dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.012035,-12.119994,0.001440,0.143987,7.199347,359.967364,6.282192
0.020000,-0.011818,-12.119994,0.001658,0.010886,-6.655070,-692.720865,6.282210
0.020000,-0.011455,-12.119995,0.002020,0.018143,0.362895,350.898253,6.282240
0.020000,-0.010947,-12.119995,0.002529,0.025403,0.362960,0.003266,6.282282
0.020000,-0.010293,-12.119996,0.003182,0.032664,0.363052,0.004573,6.282336
0.020000,-0.009495,-12.119996,0.003980,0.039927,0.363169,0.005880,6.282402
0.020000,-0.008551,-12.119997,0.004924,0.047193,0.363313,0.007188,6.282480
0.020000,-0.007462,-12.119998,0.006013,0.054463,0.363483,0.008497,6.282570
0.020000,-0.006227,-12.119998,0.007248,0.061737,0.363679,0.009807,6.282672
0.020000,-0.004847,-12.119999,0.008628,0.069015,0.363902,0.011118,6.282785
0.020000,-0.003321,-12.120000,0.010154,0.076298,0.364150,0.012431,6.282911
0.020000,-0.001649,-12.120000,0.011826,0.083586,0.364425,0.013745,6.283049
0.020000,0.003508,-12.120000,0.016983,0.257864,8.713897,417.473590,0.000014
0.020000,0.044365,-12.119996,0.057840,2.042842,89.248890,4026.749648,0.000176
0.020000,0.088242,-12.119985,0.101717,2.193848,7.550304,-4084.929289,0.000350
0.020000,0.135138,-12.119964,0.148613,2.344786,7.546928,-0.168827,0.000536
0.020000,0.185051,-12.119932,0.198526,2.495653,7.543320,-0.180398,0.000735
0.020000,0.237980,-12.119888,0.251455,2.646443,7.539481,-0.191954,0.000945
0.020000,0.293965,-12.119828,0.307440,2.799247,7.640232,5.037553,0.001168
0.020000,0.352979,-12.119753,0.366454,2.950721,7.573716,-3.325804,0.001403
0.020000,0.415007,-12.119658,0.428482,3.101403,7.534076,-1.981954,0.001650
0.020000,0.480047,-12.119542,0.493522,3.251989,7.529307,-0.238489,0.001909
0.020000,0.548140,-12.119403,0.561616,3.404691,7.635072,5.288264,0.002181
0.020000,0.619268,-12.119238,0.632744,3.556410,7.585995,-2.453844,0.002465
0.020000,0.693405,-12.119044,0.706881,3.706832,7.521090,-3.245273,0.002761
0.020000,0.770562,-12.118819,0.784039,3.857898,7.553304,1.610714,0.003070
0.020000,0.850789,-12.118560,0.864265,4.011338,7.671978,5.933722,0.003391
0.020000,0.934019,-12.118264,0.947497,4.161553,7.510759,-8.060989,0.003724
0.020000,1.020265,-12.117928,1.033743,4.312315,7.538122,1.368155,0.004070
0.020000,1.109585,-12.117548,1.123064,4.466058,7.687124,7.450100,0.004429
0.020000,1.201905,-12.117122,1.215384,4.616024,7.498314,-9.440469,0.004800
0.020000,1.297260,-12.116646,1.310741,4.767815,7.589555,4.562057,0.005183
0.020000,1.395667,-12.116116,1.409150,4.920443,7.631391,2.091784,0.005580
0.020000,1.497068,-12.115530,1.510552,5.070118,7.483759,-7.381591,0.005989
0.020000,1.601551,-12.114882,1.615037,5.224270,7.707597,11.191886,0.006410
0.020000,1.709036,-12.114170,1.722525,5.374366,7.504783,-10.140722,0.006845
0.020000,1.819568,-12.113389,1.833059,5.526706,7.617026,5.612157,0.007292
0.020000,1.933135,-12.112534,1.946630,5.678553,7.592344,-1.234072,0.007752
0.020000,2.049725,-12.111603,2.063224,5.829681,7.556370,-1.798689,0.008225
0.020000,2.169374,-12.110590,2.182876,5.982642,7.648078,4.585375,0.008711
0.020000,2.292032,-12.109490,2.305540,6.133155,7.525655,-6.121134,0.009210
0.020000,2.417758,-12.108300,2.431271,6.286595,7.671957,7.315071,0.009723
0.020000,2.546494,-12.107015,2.560013,6.437092,7.524896,-7.353036,0.010248
0.020000,2.678294,-12.105628,2.691821,6.590372,7.663962,6.953318,0.010786
0.020000,2.813115,-12.104137,2.826650,6.741454,7.554100,-5.493100,0.011338
0.020000,2.950984,-12.102535,2.964528,6.893935,7.624086,3.499270,0.011903
0.020000,3.091898,-12.100817,3.105452,7.046201,7.613268,-0.540887,0.012482
0.020000,3.235831,-12.098977,3.249397,7.197247,7.552327,-3.047068,0.013074
0.020000,3.382844,-12.097011,3.396423,7.351295,7.702390,7.503193,0.013679
0.020000,3.532859,-12.094912,3.546453,7.501483,7.509410,-9.649048,0.014298
0.020000,3.685952,-12.092675,3.699563,7.655484,7.700020,9.530519,0.014931
0.020000,3.842078,-12.090293,3.855706,7.807184,7.585038,-5.749105,0.015577
0.020000,4.001220,-12.087761,4.014869,7.958148,7.548192,-1.842310,0.016238
0.020000,4.163461,-12.085072,4.177132,8.113136,7.749383,10.059592,0.016912
0.020000,4.328718,-12.082220,4.342414,8.264114,7.548891,-10.024623,0.017600
0.020000,4.497004,-12.079199,4.510727,8.415611,7.574880,1.299431,0.018302
0.020000,4.668384,-12.076000,4.682137,8.570526,7.745751,8.543548,0.019018
0.020000,4.842791,-12.072619,4.856576,8.721952,7.571293,-8.722870,0.019749
0.020000,5.020226,-12.069049,5.034048,8.873572,7.580970,0.483822,0.020493
0.020000,5.200741,-12.065280,5.214601,9.027693,7.706045,6.253760,0.021252
0.020000,5.384309,-12.061308,5.398213,9.180568,7.643772,-3.113624,0.022026
0.020000,5.570914,-12.057123,5.584864,9.332577,7.600457,-2.165761,0.022814
0.020000,5.760558,-12.052720,5.774560,9.484761,7.609168,0.435555,0.023617
0.020000,5.953280,-12.048089,5.967337,9.638890,7.706465,4.864826,0.024434
0.020000,6.149063,-12.043222,6.163181,9.792183,7.664650,-2.090730,0.025267
0.020000,6.347891,-12.038113,6.362075,9.944697,7.625703,-1.947371,0.026114
0.020000,6.549767,-12.032753,6.564022,10.097366,7.633433,0.386524,0.026976
0.020000,6.754694,-12.027134,6.769026,10.250184,7.640919,0.374277,0.027853
0.020000,6.962686,-12.021246,6.977101,10.403758,7.678699,1.888996,0.028746
0.020000,7.173756,-12.015081,7.188261,10.557994,7.711830,1.656575,0.029654
0.020000,7.387880,-12.008631,7.402482,10.711069,7.653720,-2.905502,0.030578
0.020000,7.605061,-12.001886,7.619768,10.864273,7.660209,0.324422,0.031517
0.020000,7.825300,-11.994837,7.840120,11.017602,7.666448,0.311948,0.032471
0.020000,8.048600,-11.987475,8.063541,11.171051,7.672436,0.299428,0.033442
0.020000,8.274962,-11.979791,8.290033,11.324614,7.678173,0.286863,0.034428
0.020000,8.504387,-11.971774,8.519599,11.478287,7.683658,0.274255,0.035431
0.020000,8.736878,-11.963415,8.752240,11.632065,7.688891,0.261608,0.036449
0.020000,8.972436,-11.954703,8.987959,11.785943,7.693869,0.248924,0.037484
