dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.012035,12.119994,0.001440,0.143987,7.199347,359.967364,6.282192
0.020000,0.011818,12.119994,0.001658,0.010886,-6.655070,-692.720865,6.282210
0.020000,0.011455,12.119995,0.002020,0.018143,0.362895,350.898253,6.282240
0.020000,0.010947,12.119995,0.002529,0.025403,0.362960,0.003266,6.282282
0.020000,0.010293,12.119996,0.003182,0.032664,0.363052,0.004573,6.282336
0.020000,0.009495,12.119996,0.003980,0.039927,0.363169,0.005880,6.282402
0.020000,0.008551,12.119997,0.004924,0.047193,0.363313,0.007188,6.282480
0.020000,0.007462,12.119998,0.006013,0.054463,0.363483,0.008497,6.282570
0.020000,0.006227,12.119998,0.007248,0.061737,0.363679,0.009807,6.282672
0.020000,0.004847,12.119999,0.008628,0.069015,0.363902,0.011118,6.282785
0.020000,0.003321,12.120000,0.010154,0.076298,0.364150,0.012431,6.282911
0.020000,0.001649,12.120000,0.011826,0.083586,0.364425,0.013745,6.283049
0.020000,0.003171,12.120000,0.013348,0.076094,-0.374590,-36.950760,0.000014
0.020000,0.040099,12.120004,0.050276,1.846380,88.514294,4444.444179,0.000176
0.020000,0.079754,12.120014,0.089931,1.982763,6.819121,-4084.758615,0.000350
0.020000,0.122135,12.120033,0.132312,2.119062,6.814983,-0.206903,0.000536
0.020000,0.167240,12.120061,0.177418,2.255273,6.810561,-0.221124,0.000735
0.020000,0.215068,12.120102,0.225245,2.391391,6.805854,-0.235335,0.000945
0.020000,0.265654,12.120155,0.275831,2.529302,6.895573,4.485932,0.001168
0.020000,0.318974,12.120224,0.329151,2.665983,6.834068,-3.075241,0.001403
0.020000,0.375012,12.120309,0.385190,2.801919,6.796783,-1.864249,0.001650
0.020000,0.433767,12.120414,0.443944,2.937738,6.790930,-0.292653,0.001909
0.020000,0.495275,12.120539,0.505453,3.075434,6.884842,4.695618,0.002181
0.020000,0.559519,12.120689,0.569697,3.212210,6.838794,-2.302420,0.002465
0.020000,0.626475,12.120864,0.636653,3.347778,6.778386,-3.020368,0.002761
0.020000,0.696152,12.121067,0.706331,3.483891,6.805622,1.361766,0.003070
0.020000,0.768594,12.121301,0.778773,3.622107,6.910834,5.260607,0.003391
0.020000,0.843741,12.121568,0.853920,3.757372,6.763225,-7.380423,0.003724
0.020000,0.921602,12.121872,0.931782,3.893088,6.785836,1.130544,0.004070
0.020000,1.002231,12.122214,1.012411,4.031451,6.918152,6.615807,0.004429
0.020000,1.085557,12.122599,1.095738,4.166360,6.745440,-8.635612,0.004800
0.020000,1.171613,12.123028,1.181795,4.302869,6.825449,4.000452,0.005183
0.020000,1.260414,12.123506,1.270597,4.440084,6.860758,1.765434,0.005580
0.020000,1.351904,12.124035,1.362089,4.574585,6.725025,-6.786629,0.005989
0.020000,1.446163,12.124620,1.456350,4.713072,6.924376,9.967534,0.006410
0.020000,1.543118,12.125262,1.553307,4.847847,6.738709,-9.283346,0.006845
0.020000,1.642808,12.125967,1.652999,4.984590,6.837189,4.923982,0.007292
0.020000,1.745221,12.126737,1.755416,5.120832,6.812060,-1.256451,0.007752
0.020000,1.850345,12.127577,1.860543,5.256365,6.776676,-1.769205,0.008225
0.020000,1.958211,12.128491,1.968413,5.393492,6.856323,3.982365,0.008711
0.020000,2.068774,12.129481,2.078980,5.528348,6.742833,-5.674480,0.009210
0.020000,2.182084,12.130554,2.192295,5.665778,6.871491,6.432904,0.009723
0.020000,2.298088,12.131712,2.308305,5.800491,6.735648,-6.792150,0.010248
0.020000,2.416834,12.132961,2.427058,5.937642,6.857568,6.096001,0.010786
0.020000,2.538282,12.134305,2.548513,6.072744,6.755097,-5.123557,0.011338
0.020000,2.662454,12.135748,2.672694,6.209036,6.814568,2.973529,0.011903
0.020000,2.789346,12.137295,2.799595,6.345059,6.801146,-0.671081,0.012482
0.020000,2.918934,12.138951,2.929193,6.479909,6.742514,-2.931590,0.013074
0.020000,3.051269,12.140721,3.061541,6.617384,6.873751,6.561847,0.013679
0.020000,3.186282,12.142610,3.196567,6.751306,6.696082,-8.883456,0.014298
0.020000,3.324039,12.144624,3.334338,6.888577,6.863581,8.374947,0.014931
0.020000,3.464497,12.146766,3.474812,7.023696,6.755952,-5.381471,0.015577
0.020000,3.607640,12.149043,3.617974,7.158068,6.718580,-1.868575,0.016238
0.020000,3.753539,12.151462,3.763893,7.295971,6.895179,8.829927,0.016912
0.020000,3.902121,12.154026,3.912497,7.430180,6.710414,-9.238247,0.017600
0.020000,4.053392,12.156742,4.063792,7.564765,6.729263,0.942442,0.018302
0.020000,4.207412,12.159616,4.217838,7.702329,6.878182,7.445979,0.019018
0.020000,4.364115,12.162654,4.374572,7.836661,6.716620,-8.078132,0.019749
0.020000,4.523504,12.165861,4.533993,7.971071,6.720482,0.193121,0.020493
0.020000,4.685622,12.169246,4.696146,8.107628,6.827858,5.368820,0.021252
0.020000,4.850442,12.172813,4.861005,8.242964,6.766828,-3.051497,0.022026
0.020000,5.017949,12.176569,5.028553,8.377420,6.722759,-2.203462,0.022814
0.020000,5.188141,12.180521,5.198792,8.511926,6.725304,0.127261,0.023617
0.020000,5.361053,12.184676,5.371753,8.648070,6.807202,4.094898,0.024434
0.020000,5.536666,12.189041,5.547420,8.783352,6.764137,-2.153277,0.025267
0.020000,5.714963,12.193622,5.725777,8.917824,6.723568,-2.028442,0.026114
0.020000,5.895946,12.198427,5.906823,9.052319,6.724764,0.059805,0.026976
0.020000,6.079613,12.203464,6.090560,9.186831,6.725619,0.042749,0.027853
0.020000,6.265977,12.208739,6.276998,9.321901,6.753491,1.393618,0.028746
0.020000,6.455045,12.214262,6.466147,9.457442,6.777045,1.177687,0.029654
0.020000,6.646794,12.220038,6.657983,9.591817,6.718750,-2.914765,0.030578
0.020000,6.841224,12.226076,6.852507,9.726182,6.718217,-0.026640,0.031517
0.020000,7.038334,12.232385,7.049717,9.860528,6.717333,-0.044218,0.032471
0.020000,7.238122,12.238971,7.249614,9.994850,6.716095,-0.061904,0.033442
0.020000,7.440588,12.245845,7.452197,10.129140,6.714501,-0.079698,0.034428
0.020000,7.645731,12.253013,7.657465,10.263391,6.712549,-0.097598,0.035431
0.020000,7.853549,12.260485,7.865417,10.397596,6.710237,-0.115603,0.036449
0.020000,8.064040,12.268270,8.076052,10.531747,6.707562,-0.133710,0.037484
0.020000,8.277202,12.276376,8.289368,10.665838,6.704524,-0.151919,0.038535
0.020000,8.493035,12.284812,8.505366,10.799860,6.701120,-0.170227,0.039603
