dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.001440,0.143987,7.199347,359.967364,6.282192
0.020000,0.000000,0.000000,0.005759,0.287974,7.199347,0.000000,6.282210
0.020000,0.000000,0.000000,0.012959,0.431961,7.199347,-0.000000,6.282240
0.020000,0.000000,0.000000,0.023038,0.575948,7.199347,0.000000,6.282282
0.020000,0.000000,0.000000,0.035997,0.719935,7.199347,-0.000000,6.282336
0.020000,0.000000,0.000000,0.051835,0.863922,7.199347,0.000000,6.282402
0.020000,0.000000,0.000000,0.070554,1.007909,7.199347,0.000000,6.282480
0.020000,0.000000,0.000000,0.092152,1.151896,7.199347,-0.000000,6.282570
0.020000,0.000000,0.000000,0.116629,1.295883,7.199347,0.000000,6.282672
0.020000,0.000000,0.000000,0.143987,1.439869,7.199347,0.000000,6.282785
0.020000,0.000000,0.000000,0.174224,1.583856,7.199347,0.000000,6.282911
0.020000,0.000000,0.000000,0.207341,1.727843,7.199347,0.000000,6.283049
0.020000,0.003340,0.000000,0.243338,1.871830,7.199347,0.000000,0.000014
0.020000,0.042232,0.000004,0.282214,2.015817,7.199347,0.000000,0.000176
0.020000,0.083998,0.000015,0.323971,2.159804,7.199347,-0.000000,0.000350
0.020000,0.128636,0.000034,0.368607,2.303791,7.199347,0.000000,0.000536
0.020000,0.176146,0.000065,0.416122,2.447778,7.199347,-0.000000,0.000735
0.020000,0.226524,0.000107,0.466518,2.591765,7.199347,0.000000,0.000945
0.020000,0.279809,0.000163,0.519793,2.735752,7.199347,0.000000,0.001168
0.020000,0.335976,0.000235,0.575948,2.879739,7.199347,-0.000000,0.001403
0.020000,0.395010,0.000326,0.634982,3.023726,7.199347,0.000000,0.001650
0.020000,0.456907,0.000436,0.696897,3.167713,7.199347,-0.000000,0.001909
0.020000,0.521708,0.000568,0.761691,3.311700,7.199347,0.000000,0.002181
0.020000,0.589394,0.000726,0.829365,3.455687,7.199347,-0.000000,0.002465
0.020000,0.659940,0.000910,0.899918,3.599674,7.199347,0.000000,0.002761
0.020000,0.733357,0.001124,0.973352,3.743661,7.199347,-0.000000,0.003070
0.020000,0.809691,0.001370,1.049665,3.887648,7.199347,0.000000,0.003391
0.020000,0.888880,0.001652,1.128858,4.031634,7.199347,0.000000,0.003724
0.020000,0.970934,0.001972,1.210930,4.175621,7.199347,0.000000,0.004070
0.020000,1.055908,0.002333,1.295883,4.319608,7.199347,-0.000000,0.004429
0.020000,1.143731,0.002738,1.383715,4.463595,7.199347,0.000000,0.004800
0.020000,1.234436,0.003191,1.474426,4.607582,7.199347,0.000000,0.005183
0.020000,1.328040,0.003695,1.568018,4.751569,7.199347,-0.000000,0.005580
0.020000,1.424486,0.004253,1.664489,4.895556,7.199347,0.000000,0.005989
0.020000,1.523857,0.004869,1.763840,5.039543,7.199347,0.000000,0.006410
0.020000,1.626077,0.005546,1.866071,5.183530,7.199347,0.000000,0.006845
0.020000,1.731188,0.006289,1.971181,5.327517,7.199347,-0.000000,0.007292
0.020000,1.839178,0.007102,2.079171,5.471504,7.199347,0.000000,0.007752
0.020000,1.950035,0.007987,2.190041,5.615491,7.199347,-0.000000,0.008225
0.020000,2.063793,0.008951,2.303791,5.759478,7.199347,0.000000,0.008711
0.020000,2.180403,0.009996,2.420421,5.903465,7.199347,-0.000000,0.009210
0.020000,2.299921,0.011127,2.539930,6.047452,7.199347,0.000000,0.009723
0.020000,2.422291,0.012349,2.662319,6.191439,7.199347,-0.000000,0.010248
0.020000,2.547564,0.013666,2.787587,6.335426,7.199347,0.000000,0.010786
0.020000,2.675698,0.015084,2.915736,6.479413,7.199347,-0.000000,0.011338
0.020000,2.806719,0.016607,3.046764,6.623400,7.199347,0.000000,0.011903
0.020000,2.940622,0.018239,3.180672,6.767386,7.199347,-0.000000,0.012482
0.020000,3.077382,0.019987,3.317459,6.911373,7.199347,0.000000,0.013074
0.020000,3.217057,0.021855,3.457127,7.055360,7.199347,0.000000,0.013679
0.020000,3.359571,0.023849,3.599674,7.199347,7.199347,0.000000,0.014298
0.020000,3.504996,0.025974,3.745100,7.343334,7.199347,-0.000000,0.014931
0.020000,3.653287,0.028237,3.893407,7.487321,7.199347,0.000000,0.015577
0.020000,3.804430,0.030641,4.044593,7.631308,7.199347,0.000000,0.016238
0.020000,3.958500,0.033195,4.198659,7.775295,7.199347,0.000000,0.016912
0.020000,4.115420,0.035903,4.355605,7.919282,7.199347,-0.000000,0.017600
0.020000,4.275198,0.038772,4.515431,8.063269,7.199347,0.000000,0.018302
0.020000,4.437898,0.041808,4.678136,8.207256,7.199347,-0.000000,0.019018
0.020000,4.603453,0.045017,4.843721,8.351243,7.199347,0.000000,0.019749
0.020000,4.771865,0.048406,5.012186,8.495230,7.199347,-0.000000,0.020493
0.020000,4.943181,0.051983,5.183530,8.639217,7.199347,0.000000,0.021252
0.020000,5.117376,0.055753,5.357754,8.783204,7.199347,0.000000,0.022026
