dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.453383,125.891067,0.143155,1.431554,7.157772,35.788862,6.283111
0.200000,5.890144,125.890903,0.579916,2.183802,3.761235,-16.982685,6.282509
0.200000,6.618097,125.890045,1.307870,3.639769,7.279840,17.593023,6.281505
0.200000,7.637272,125.887614,2.327047,5.095888,7.280592,0.003759,6.280094
0.200000,8.947704,125.882373,3.637490,6.552216,7.281640,0.005243,6.278276
0.200000,10.549438,125.872722,5.239253,8.008813,7.282988,0.006738,6.276044
0.200000,12.442518,125.856695,7.132401,9.465739,7.284628,0.008201,6.273393
0.200000,14.626988,125.831946,9.317011,10.923051,7.286561,0.009664,6.270317
0.200000,17.102885,125.795744,11.793172,12.380806,7.288776,0.011074,6.266809
0.200000,19.870231,125.744962,14.560985,13.839061,7.291272,0.012484,6.262860
0.200000,22.929029,125.676060,17.620559,15.297870,7.294046,0.013866,6.258461
0.200000,26.279251,125.585079,20.972016,16.757285,7.297073,0.015134,6.253603
0.200000,29.920828,125.467622,24.615487,18.217357,7.300362,0.016449,6.248273
0.200000,33.853642,125.318840,28.551114,19.678133,7.303881,0.017593,6.242462
0.200000,38.077505,125.133416,32.779045,21.139658,7.307624,0.018715,6.236156
0.200000,42.592153,124.905547,37.299440,22.601972,7.311568,0.019719,6.229342
0.200000,47.397219,124.628931,42.112461,24.065108,7.315684,0.020580,6.222007
0.200000,52.492221,124.296744,47.218281,25.529098,7.319948,0.021319,6.214136
0.200000,57.876535,123.901630,52.617073,26.993962,7.324321,0.021867,6.205716
0.200000,63.549375,123.435678,58.309016,28.459715,7.328765,0.022219,6.196730
0.200000,69.509758,122.890415,64.294288,29.926361,7.333231,0.022331,6.187166
0.200000,75.756483,122.256785,70.573067,31.393893,7.337662,0.022153,6.177007
0.200000,82.288092,121.525145,77.145526,32.862294,7.342002,0.021700,6.166240
0.200000,89.102836,120.685254,84.011831,34.331527,7.346165,0.020817,6.154851
0.200000,96.198636,119.726272,91.172140,35.801545,7.350089,0.019619,6.142827
0.200000,102.923821,118.896298,97.948347,33.881033,-9.602560,-84.763242,6.179789
0.200000,110.172225,118.249587,105.225543,36.385982,12.524747,110.636536,6.205353
0.200000,117.941393,117.683725,113.015291,38.948739,12.813785,1.445187,6.212266
0.200000,126.243880,117.051075,121.341847,41.632780,13.420203,3.032091,6.198507
0.200000,135.092596,116.151347,130.236187,44.471701,14.194607,3.872021,6.161487
0.200000,144.481398,114.719304,139.733573,47.486931,15.076151,4.407720,6.098245
0.200000,154.343927,112.421884,149.860153,50.632901,15.729847,3.268481,6.006550
0.200000,164.314526,108.966762,160.412438,52.761424,10.642614,-25.436167,5.889643
0.200000,173.775301,104.303806,170.959922,52.737422,-0.120010,-53.813119,5.759506
0.200000,181.308266,99.682974,179.797209,44.186435,-42.754932,-213.174611,5.733675
0.200000,188.321257,95.470351,187.978177,40.904840,-16.407977,131.734773,5.752156
0.200000,195.097011,91.601768,195.780535,39.011789,-9.465254,34.713615,5.778245
0.200000,201.635797,88.128262,203.184653,37.020588,-9.956002,-2.453740,5.813555
0.200000,207.923637,85.110636,210.159107,34.872270,-10.741590,-3.927937,5.860671
0.200000,213.924186,82.623105,216.654828,32.478607,-11.968319,-6.133646,5.923628
0.200000,219.564056,80.754495,222.596194,29.706831,-13.858878,-9.452795,6.008643
0.200000,224.711024,79.599068,227.871258,26.375318,-16.657566,-13.993438,6.124913
0.200000,229.161256,79.218410,232.337740,22.332409,-20.214545,-17.784898,0.000945
0.200000,232.708206,79.564915,235.901575,17.819177,-22.566157,-11.758058,0.210865
0.200000,235.380995,80.477315,238.725805,14.121148,-18.490148,20.380044,0.458122
0.200000,237.547847,81.904032,241.320177,12.971865,-5.746415,63.718664,0.700788
0.200000,239.500254,83.943509,244.143537,14.116798,5.724665,57.355401,0.901081
0.200000,241.248892,86.557408,247.288406,15.724347,8.037748,11.565419,1.051371
0.200000,242.738723,89.555249,250.636040,16.738166,5.069093,-14.843277,1.161415
0.200000,243.960937,92.737526,254.044953,17.044566,1.532000,-17.685464,1.242836
0.200000,244.941989,95.955193,257.408856,16.819516,-1.125247,-13.286238,1.304388
0.200000,245.719608,99.107958,260.656104,16.236240,-2.916381,-8.955666,1.351958
0.200000,246.330856,102.130095,263.739436,15.416659,-4.097907,-5.907631,1.389438
0.200000,246.808057,104.978286,266.627327,14.439454,-4.886022,-3.940577,1.419426
0.200000,247.178099,107.623500,269.298298,13.354857,-5.422987,-2.684823,1.443692
0.200000,247.462914,110.045853,271.737338,12.195200,-5.798286,-1.876497,1.463476
0.200000,247.680251,112.231532,273.933795,10.982287,-6.064565,-1.331395,1.479657
0.200000,247.844393,114.170579,275.879778,9.729910,-6.261881,-0.986580,1.492873
0.200000,247.966819,115.856116,277.569755,8.449887,-6.400115,-0.691170,1.503597
0.200000,248.056648,117.282918,278.999382,7.148135,-6.508761,-0.543226,1.512173
0.200000,248.121062,118.447437,280.165681,5.831495,-6.583201,-0.372202,1.518861
0.200000,248.165557,119.346872,281.066216,4.502674,-6.644105,-0.304517,1.523846
0.200000,248.194195,119.979511,281.699503,3.166435,-6.681194,-0.185445,1.527264
0.200000,248.209718,120.344026,282.064348,1.824227,-6.711043,-0.149248,1.529201
0.200000,248.214476,120.459188,282.179608,0.576301,-6.239631,2.357061,1.529808
0.200000,248.214476,120.459188,282.179608,0.000000,-2.881503,16.790639,1.529808
0.200000,248.214476,120.459188,282.179608,0.000000,0.000000,14.407515,1.529808
