dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,5.451582,101.651067,0.143155,1.431554,7.157772,35.788862,6.283111
0.200000,5.873755,101.650909,0.565328,2.110862,3.396536,-18.806179,6.282509
0.200000,6.577355,101.650079,1.268928,3.518002,7.035703,18.195835,6.281505
0.200000,7.562350,101.647730,2.253927,4.924993,7.034951,-0.003761,6.280094
0.200000,8.828695,101.642665,3.520281,6.331772,7.033898,-0.005266,6.278276
0.200000,10.376323,101.633340,5.067938,7.738282,7.032550,-0.006742,6.276044
0.200000,12.205150,101.617857,6.896830,9.144463,7.030905,-0.008223,6.273393
0.200000,14.315066,101.593953,9.006882,10.550257,7.028971,-0.009669,6.270317
0.200000,16.705932,101.558995,11.398003,11.955607,7.026747,-0.011121,6.266809
0.200000,19.377573,101.509969,14.070094,13.360456,7.024244,-0.012515,6.262860
0.200000,22.329775,101.443468,17.023044,14.764750,7.021472,-0.013863,6.258461
0.200000,25.562270,101.355685,20.256731,16.168435,7.018425,-0.015231,6.253603
0.200000,29.074736,101.242393,23.771024,17.571462,7.015137,-0.016441,6.248273
0.200000,32.866780,101.098937,27.565780,18.973783,7.011602,-0.017678,6.242462
0.200000,36.937929,100.920217,31.640851,20.375352,7.007848,-0.018769,6.236156
0.200000,41.287619,100.700676,35.996077,21.776131,7.003893,-0.019772,6.229342
0.200000,45.915174,100.434280,40.631294,23.176083,6.999759,-0.020670,6.222007
0.200000,50.819796,100.114507,45.546330,24.575179,6.995480,-0.021395,6.214136
0.200000,56.000545,99.734332,50.741009,25.973396,6.991087,-0.021964,6.205716
0.200000,61.456317,99.286212,56.215153,27.370721,6.986623,-0.022321,6.196730
0.200000,67.185822,98.762072,61.968583,28.767148,6.982135,-0.022440,6.187166
0.200000,73.187562,98.153295,68.001119,30.162683,6.977675,-0.022299,6.177007
0.200000,79.459804,97.450711,74.312589,31.557346,6.973315,-0.021803,6.166240
0.200000,86.000550,96.644593,80.902822,32.951169,6.969111,-0.021017,6.154851
0.200000,92.807508,95.724650,87.771663,34.344201,6.965163,-0.019742,6.142827
0.200000,100.421953,94.785756,95.443775,38.360560,20.081796,65.583165,6.179789
0.200000,108.287483,94.082970,103.340639,39.484322,5.618808,-72.314938,6.205353
0.200000,116.223756,93.504658,111.297955,39.786581,1.511293,-20.537577,6.212266
0.200000,124.193727,92.897929,119.290986,39.965157,0.892882,-3.092053,6.198507
0.200000,132.149907,92.090628,127.288019,39.985164,0.100035,-3.964237,6.161487
0.200000,140.023958,90.892663,135.252679,39.823297,-0.809338,-4.546863,6.098245
0.200000,147.723483,89.103494,143.157349,39.523353,-1.499717,-3.451898,6.006550
0.200000,155.019389,86.579756,150.877420,38.600354,-4.614994,-15.576386,5.889643
0.200000,161.653605,83.312330,158.272614,36.975972,-8.121909,-17.534574,5.759506
0.200000,168.648458,79.011572,166.483855,41.056205,20.401164,142.615364,5.733675
0.200000,176.045614,74.568528,175.112793,43.144688,10.442413,-49.793755,5.752156
0.200000,183.370778,70.386842,183.547515,42.173608,-4.855399,-76.489058,5.778245
0.200000,190.665820,66.512591,191.807506,41.299957,-4.368254,2.435724,5.813555
0.200000,197.983905,63.002282,199.923948,40.582212,-3.588726,3.897642,5.860671
0.200000,205.395101,59.933189,207.945491,40.107715,-2.372482,6.081221,5.923628
0.200000,212.992429,57.422300,215.946989,40.007487,-0.501141,9.356703,6.008643
0.200000,220.890490,55.662044,224.038828,40.459196,2.258545,13.798431,6.124913
0.200000,229.184162,54.978421,232.360628,41.608998,5.749006,17.452303,0.000945
0.200000,237.781772,55.861824,241.003503,43.214378,8.026902,11.389478,0.210865
0.200000,246.101484,58.736829,249.805961,44.012287,3.989546,-20.186777,0.458122
0.200000,253.178286,63.376567,258.268129,42.310842,-8.507224,-62.483850,0.700788
0.200000,258.504380,68.896224,265.938454,38.351625,-19.796088,-56.444323,0.901081
0.200000,262.291749,74.525128,272.722902,33.922239,-22.146929,-11.754202,1.051371
0.200000,264.975708,79.906721,278.736650,30.068742,-19.267484,14.397225,1.161415
0.200000,266.908979,84.929522,284.118664,26.910067,-15.793374,17.370547,1.242836
0.200000,268.326865,89.573564,288.974333,24.278348,-13.158598,13.173881,1.304388
0.200000,269.381493,93.845566,293.374589,22.001276,-11.385358,8.866199,1.351958
0.200000,270.173312,97.758036,297.366380,19.958956,-10.211602,5.868782,1.389438
0.200000,270.770880,101.323054,300.981132,18.073762,-9.425967,3.928173,1.419426
0.200000,271.222559,104.550790,304.240319,16.295933,-8.889147,2.684101,1.443692
0.200000,271.563453,107.449390,307.158896,14.592886,-8.515236,1.869553,1.463476
0.200000,271.819647,110.025363,309.747577,12.943403,-8.247411,1.339129,1.479657
0.200000,272.010838,112.283640,312.013933,11.331781,-8.058114,0.946485,1.492873
0.200000,272.152109,114.228425,313.963842,9.749548,-7.911165,0.734743,1.503597
0.200000,272.255008,115.862708,315.601361,8.187595,-7.809765,0.506999,1.512173
0.200000,272.328378,117.189082,316.929764,6.642012,-7.727913,0.409261,1.518861
0.200000,272.378846,118.209219,317.951148,5.106921,-7.675454,0.262298,1.523846
0.200000,272.411230,118.924616,318.667277,3.580646,-7.631374,0.220396,1.527264
0.200000,272.428752,119.336038,319.079073,2.058977,-7.608346,0.115142,1.529201
0.200000,272.434117,119.465904,319.209049,0.649883,-7.045468,2.814390,1.529808
0.200000,272.434117,119.465904,319.209049,0.000000,-3.249417,18.980255,1.529808
0.200000,272.434117,119.465904,319.209049,0.000000,0.000000,16.247086,1.529808
