dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,280.802053,98.335308,0.143646,1.436464,7.182321,35.911603,3.207465
0.200000,280.550912,98.318402,0.395356,1.258548,-0.889580,-40.359504,3.209387
0.200000,279.873047,98.271288,1.074857,3.397502,10.694772,57.921761,3.212583
0.200000,278.924127,98.201682,2.026326,4.757349,6.799232,-19.477701,3.217043
0.200000,277.704254,98.105961,3.249949,6.118115,6.803829,0.022987,3.222751
0.200000,276.213554,97.979501,4.746003,7.480268,6.810769,0.034697,3.229687
0.200000,274.452274,97.816705,6.514791,8.843940,6.818359,0.037953,3.237823
0.200000,272.420720,97.611044,8.556728,10.209686,6.828729,0.051848,3.247126
0.200000,270.119309,97.355097,10.872328,11.577999,6.841566,0.064184,3.257553
0.200000,267.548583,97.040622,13.462217,12.949446,6.857232,0.078331,3.269053
0.200000,264.709258,96.658625,16.327123,14.324530,6.875423,0.090957,3.281565
0.200000,261.602209,96.199451,19.467919,15.703978,6.897236,0.109064,3.295018
0.200000,258.228494,95.652894,22.885619,17.088499,6.922606,0.126848,3.309327
0.200000,254.589368,95.008320,26.581389,18.478850,6.951756,0.145749,3.324397
0.200000,250.686273,94.254812,30.556552,19.875817,6.984834,0.165391,3.340118
0.200000,246.520845,93.381334,34.812578,21.280132,7.021576,0.183709,3.356370
0.200000,242.094867,92.376904,39.351097,22.692595,7.062316,0.203701,3.373016
0.200000,237.410242,91.230793,44.173885,24.113938,7.106714,0.221991,3.389912
0.200000,232.468929,89.932728,49.282852,25.544836,7.154492,0.238889,3.406900
0.200000,227.272869,88.473107,54.680031,26.985895,7.205295,0.254015,3.423811
0.200000,221.823888,86.843216,60.367556,28.437621,7.258628,0.266666,3.440470
0.200000,216.123582,85.035459,66.347646,29.900451,7.314152,0.277619,3.456695
0.200000,210.173177,83.043570,72.622591,31.374725,7.371366,0.286071,3.472295
0.200000,203.973385,80.862836,79.194731,32.860701,7.429880,0.292571,3.487079
0.200000,197.524229,78.490312,86.066447,34.358580,7.489399,0.297593,3.500850
0.200000,190.824870,75.925035,93.240153,35.868532,7.549758,0.301793,3.513409
0.200000,183.873415,73.168238,100.718298,37.390722,7.610952,0.305970,3.524554
0.200000,176.666731,70.223577,108.503368,38.925353,7.673154,0.311012,3.534080
0.200000,169.200247,67.097367,116.597908,40.472698,7.736722,0.317842,3.541777
0.200000,161.467770,63.798856,125.004535,42.033136,7.802194,0.327358,3.547429
0.200000,153.461307,60.340528,133.725973,43.607189,7.870264,0.340352,3.550811
0.200000,145.306490,56.797413,142.617245,44.456358,4.245845,-18.122099,3.551694
0.200000,137.257810,53.304100,151.391325,43.870399,-2.929796,-35.878202,3.550055
0.200000,129.437440,49.935958,159.906170,42.574224,-6.480873,-17.755387,3.546101
0.200000,121.841433,46.709468,168.159021,41.264255,-6.549848,-0.344871,3.540059
0.200000,114.467344,43.637899,176.147245,39.941122,-6.615667,-0.329095,3.532147
0.200000,107.314162,40.731570,183.868305,38.605300,-6.679109,-0.317213,3.522572
0.200000,100.382214,37.998084,191.319737,37.257159,-6.740702,-0.307964,3.511540
0.200000,93.673050,35.442532,198.499133,35.896980,-6.800897,-0.300974,3.499248
0.200000,87.189299,33.067673,205.404130,34.524988,-6.859958,-0.295306,3.485892
0.200000,80.934512,30.874111,212.032409,33.141392,-6.917983,-0.290124,3.471663
0.200000,74.912999,28.860467,218.381691,31.746410,-6.974910,-0.284637,3.456749
0.200000,69.129652,27.023555,224.449750,30.340297,-7.030565,-0.278277,3.441335
0.200000,63.589774,25.358568,230.234422,28.923361,-7.084677,-0.270555,3.425598
0.200000,58.298906,23.859265,235.733621,27.495991,-7.136850,-0.260866,3.409711
0.200000,53.262675,22.518185,240.945350,26.058648,-7.186719,-0.249344,3.393839
0.200000,48.486643,21.326850,245.867724,24.611866,-7.233907,-0.235941,3.378137
0.200000,43.976194,20.275987,250.498972,23.156245,-7.278109,-0.221013,3.362752
0.200000,39.736427,19.355748,254.837459,21.692433,-7.319058,-0.204741,3.347819
0.200000,35.772074,18.555924,258.881690,20.221157,-7.356380,-0.186611,3.333460
0.200000,32.087456,17.866155,262.630316,18.743128,-7.390148,-0.168841,3.319788
0.200000,28.686443,17.276129,266.082130,17.259071,-7.420284,-0.150678,3.306902
0.200000,25.572451,16.775760,269.236067,15.769684,-7.446935,-0.133257,3.294890
0.200000,22.748442,16.355361,272.091196,14.275645,-7.470196,-0.116303,3.283828
0.200000,20.216931,16.005783,274.646729,12.777666,-7.489894,-0.098492,3.273781
0.200000,17.980033,15.718548,276.901993,11.276321,-7.506722,-0.084139,3.264805
0.200000,16.039492,15.485957,278.856423,9.772151,-7.520854,-0.070660,3.256948
0.200000,14.396731,15.301181,280.509544,8.265603,-7.532736,-0.059410,3.250245
0.200000,13.052845,15.158332,281.861001,6.757283,-7.541601,-0.044326,3.244730
0.200000,12.008688,15.052527,282.910504,5.247518,-7.548828,-0.036135,3.240424
0.200000,11.264913,14.979933,283.657814,3.736550,-7.554840,-0.030062,3.237347
0.200000,10.821916,14.937795,284.102810,2.224980,-7.557845,-0.015025,3.235510
0.200000,10.675663,14.924063,284.249707,0.734484,-7.452480,0.526825,3.234903
0.200000,10.675663,14.924063,284.249707,0.000000,-3.672422,18.900291,3.234903
0.200000,10.675663,14.924063,284.249707,0.000000,0.000000,18.362110,3.234903
