dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,280.004258,110.429022,0.143646,1.436464,7.182321,35.911603,3.207465
0.200000,279.729876,110.410561,0.574586,2.872928,7.182321,0.000000,3.209387
0.200000,279.013367,110.360760,1.292818,4.309392,7.182321,0.000000,3.212583
0.200000,278.010537,110.287200,2.298343,5.745856,7.182321,-0.000000,3.217043
0.200000,276.721693,110.186068,3.591160,7.182321,7.182321,0.000000,3.222751
0.200000,275.147232,110.052502,5.171271,8.618785,7.182321,0.000000,3.229687
0.200000,273.287760,109.880631,7.038674,10.055249,7.182321,-0.000000,3.237823
0.200000,271.144032,109.663615,9.193370,11.491713,7.182321,0.000000,3.247126
0.200000,268.717022,109.393702,11.635359,12.928177,7.182321,0.000000,3.257553
0.200000,266.007945,109.062304,14.364641,14.364641,7.182321,0.000000,3.269053
0.200000,263.018325,108.660089,17.381216,15.801105,7.182321,0.000000,3.281565
0.200000,259.749981,108.177082,20.685083,17.237569,7.182321,0.000000,3.295018
0.200000,256.205072,107.602796,24.276244,18.674034,7.182321,-0.000000,3.309327
0.200000,252.386100,106.926374,28.154697,20.110498,7.182321,0.000000,3.324397
0.200000,248.295917,106.136757,32.320443,21.546962,7.182321,-0.000000,3.340118
0.200000,243.937716,105.222864,36.773482,22.983426,7.182321,0.000000,3.356370
0.200000,239.314982,104.173795,41.513813,24.419890,7.182321,0.000000,3.373016
0.200000,234.431445,102.979034,46.541438,25.856354,7.182321,-0.000000,3.389912
0.200000,229.290999,101.628675,51.856355,27.292818,7.182321,0.000000,3.406900
0.200000,223.897607,100.113640,57.458565,28.729282,7.182321,-0.000000,3.423811
0.200000,218.255179,98.425907,63.348068,30.165747,7.182321,0.000000,3.440470
0.200000,212.367429,96.558728,69.524864,31.602211,7.182321,0.000000,3.456695
0.200000,206.237719,94.506840,75.988952,33.038675,7.182321,-0.000000,3.472295
0.200000,199.868891,92.266674,82.740334,34.475139,7.182321,0.000000,3.487079
0.200000,193.263088,89.836548,89.779008,35.911603,7.182321,-0.000000,3.500850
0.200000,186.421572,87.216863,97.104975,37.348067,7.182321,0.000000,3.513409
0.200000,179.344547,84.410291,104.718235,38.784531,7.182321,0.000000,3.524554
0.200000,172.030981,81.421979,112.618787,40.220995,7.182321,0.000000,3.534080
0.200000,164.478442,78.259758,120.806633,41.657460,7.182321,-0.000000,3.541777
0.200000,156.682953,74.934381,129.281771,43.093924,7.182321,0.000000,3.547429
0.200000,148.638857,71.459807,138.044202,44.530388,7.182321,0.000000,3.550811
0.200000,140.474224,67.912430,146.946175,44.489341,-0.205235,-36.937778,3.551694
0.200000,132.443763,64.427020,155.700397,43.052877,-7.182321,-34.885428,3.550055
0.200000,124.667408,61.077825,164.167326,41.616413,-7.182321,-0.000000,3.546101
0.200000,117.138806,57.879952,172.346962,40.179948,-7.182321,0.000000,3.540059
0.200000,109.853251,54.845242,180.239305,38.743484,-7.182321,0.000000,3.532147
0.200000,102.807580,51.982575,187.844356,37.307020,-7.182321,-0.000000,3.522572
0.200000,96.000029,49.298122,195.162113,35.870556,-7.182321,0.000000,3.511540
0.200000,89.430090,46.795580,202.192578,34.434092,-7.182321,0.000000,3.499248
0.200000,83.098346,44.476376,208.935750,32.997628,-7.182321,-0.000000,3.485892
0.200000,77.006303,42.339867,215.391629,31.561164,-7.182321,0.000000,3.471663
0.200000,71.156218,40.383530,221.560216,30.124700,-7.182321,0.000000,3.456749
0.200000,65.550935,38.603157,227.441509,28.688235,-7.182321,-0.000000,3.441335
0.200000,60.193720,36.993052,233.035510,27.251771,-7.182321,0.000000,3.425598
0.200000,55.088109,35.546232,238.342218,25.815307,-7.182321,0.000000,3.409711
0.200000,50.237771,34.254640,243.361633,24.378843,-7.182321,-0.000000,3.393839
0.200000,45.646385,33.109351,248.093755,22.942379,-7.182321,0.000000,3.378137
0.200000,41.317537,32.100789,252.538584,21.505915,-7.182321,0.000000,3.362752
0.200000,37.254644,31.218933,256.696121,20.069451,-7.182321,-0.000000,3.347819
0.200000,33.460879,30.453519,260.566364,18.632987,-7.182321,0.000000,3.333460
0.200000,29.939135,29.794236,264.149315,17.196522,-7.182321,-0.000000,3.319788
0.200000,26.692002,29.230902,267.444973,15.760058,-7.182321,0.000000,3.306902
0.200000,23.721755,28.753628,270.453339,14.323594,-7.182321,-0.000000,3.294890
0.200000,21.030360,28.352969,273.174411,12.887130,-7.182321,0.000000,3.283828
0.200000,18.619471,28.020046,275.608191,11.450666,-7.182321,0.000000,3.273781
0.200000,16.490470,27.746665,277.754678,10.014202,-7.182321,0.000000,3.264805
0.200000,14.644490,27.525407,279.613871,8.577738,-7.182321,-0.000000,3.256948
0.200000,13.082449,27.349710,281.185773,7.141274,-7.182321,0.000000,3.250245
0.200000,11.805039,27.213928,282.470381,5.704809,-7.182321,0.000000,3.244730
0.200000,10.812798,27.113383,283.467696,4.268345,-7.182321,-0.000000,3.240424
0.200000,10.106142,27.044412,284.177719,2.831881,-7.182321,0.000000,3.237347
0.200000,9.685308,27.004382,284.600449,1.395417,-7.182321,-0.000000,3.235510
0.200000,9.546380,26.991338,284.739991,0.000000,-6.977086,1.026175,3.234903
0.200000,9.546380,26.991338,284.739991,0.000000,0.000000,34.885428,3.234903
0.200000,9.546380,26.991338,284.739991,0.000000,0.000000,0.000000,3.234903
