dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,279.206462,122.522736,0.143646,1.436464,7.182321,35.911603,3.207465
0.200000,278.908840,122.502720,0.441942,1.491476,0.275061,-34.536297,3.209387
0.200000,278.153686,122.450233,1.198917,3.784876,11.466999,55.959687,3.212583
0.200000,277.096948,122.372718,2.258494,5.297888,7.565060,-19.509695,3.217043
0.200000,275.739132,122.266174,3.620484,6.809949,7.560307,-0.023765,3.222751
0.200000,274.080911,122.125503,5.284661,8.320885,7.554676,-0.028151,3.229687
0.200000,272.123246,121.944557,7.250671,9.830047,7.545814,-0.044311,3.237823
0.200000,269.867345,121.716186,9.518102,11.337155,7.535538,-0.051381,3.247126
0.200000,267.314735,121.432306,12.086448,12.841734,7.522893,-0.063225,3.257553
0.200000,264.467308,121.083986,14.955101,14.343262,7.507644,-0.076247,3.269053
0.200000,261.327392,120.661553,18.123306,15.841026,7.488816,-0.094136,3.281565
0.200000,257.897754,120.154714,21.590192,17.334431,7.467026,-0.108953,3.295018
0.200000,254.181649,119.552698,25.354745,18.822766,7.441674,-0.126758,3.309327
0.200000,250.182832,118.844428,29.415802,20.305286,7.412601,-0.145367,3.324397
0.200000,245.905560,118.018701,33.772048,21.781229,7.379717,-0.164418,3.340118
0.200000,241.354587,117.064395,38.422001,23.249764,7.342673,-0.185221,3.356370
0.200000,236.535097,115.970686,43.364033,24.710161,7.301986,-0.203433,3.373016
0.200000,231.452647,114.727275,48.596372,26.161692,7.257655,-0.221654,3.389912
0.200000,226.113069,113.324621,54.117108,27.603683,7.209957,-0.238494,3.406900
0.200000,220.522346,111.754173,59.924215,29.035536,7.159262,-0.253471,3.423811
0.200000,214.686471,110.008597,66.015559,30.456720,7.105921,-0.266707,3.440470
0.200000,208.611277,108.081996,72.388924,31.866821,7.050506,-0.277074,3.456695
0.200000,202.302261,105.970111,79.042024,33.265501,6.993396,-0.285550,3.472295
0.200000,195.764397,103.670512,85.972523,34.652496,6.934978,-0.292093,3.487079
0.200000,189.001946,101.182784,93.178044,36.027605,6.875544,-0.297167,3.500850
0.200000,182.018275,98.508690,100.656175,37.390657,6.815259,-0.301425,3.513409
0.200000,174.815679,95.652344,108.404472,38.741482,6.754126,-0.305668,3.524554
0.200000,167.395230,92.620382,116.420447,40.079875,6.691965,-0.310804,3.534080
0.200000,159.756637,89.422148,124.701558,41.405557,6.628409,-0.317779,3.541777
0.200000,151.898135,86.069906,133.245186,42.718138,6.562906,-0.327515,3.547429
0.200000,143.816407,82.579086,142.048603,44.017086,6.494741,-0.340826,3.550811
0.200000,135.641958,79.027447,150.961277,44.563372,2.731430,-18.816553,3.551694
0.200000,127.629715,75.549939,159.695640,43.671814,-4.457794,-35.946123,3.550055
0.200000,119.897377,72.219692,168.114642,42.095011,-7.884013,-17.131093,3.546101
0.200000,112.436179,69.050435,176.221039,40.531981,-7.815149,0.344317,3.540059
0.200000,105.239159,66.052586,184.017461,38.982111,-7.749351,0.328994,3.532147
0.200000,98.300998,63.233580,191.506444,37.444918,-7.685966,0.316923,3.522572
0.200000,91.617843,60.598160,198.690454,35.920047,-7.624355,0.308056,3.511540
0.200000,85.187130,58.148627,205.571899,34.407224,-7.564114,0.301205,3.499248
0.200000,79.007394,55.885079,212.153144,32.906227,-7.504988,0.295631,3.485892
0.200000,73.078094,53.805624,218.436514,31.416850,-7.446885,0.290515,3.471663
0.200000,67.399437,51.906594,224.424289,29.938877,-7.389861,0.285118,3.456749
0.200000,61.972218,50.182759,230.118700,28.472054,-7.334119,0.278712,3.441335
0.200000,56.797666,48.627536,235.521912,27.016061,-7.279962,0.270785,3.425598
0.200000,51.877312,47.233198,240.636016,25.570520,-7.227709,0.261265,3.409711
0.200000,47.212868,45.991094,245.463010,24.134968,-7.177761,0.249740,3.393839
0.200000,42.806126,44.891852,250.004783,22.708868,-7.130498,0.236315,3.378137
0.200000,38.658880,43.925591,254.263105,21.291609,-7.086294,0.221018,3.362752
0.200000,34.772862,43.082118,258.239610,19.882522,-7.045437,0.204286,3.347819
0.200000,31.149683,42.351115,261.935795,18.480928,-7.007968,0.187344,3.333460
0.200000,27.790814,41.722318,265.353014,17.086095,-6.974167,0.169005,3.319788
0.200000,24.697561,41.185675,268.492473,15.697294,-6.944004,0.150812,3.306902
0.200000,21.871060,40.731496,271.355232,14.313794,-6.917500,0.132522,3.294890
0.200000,19.312278,40.350577,273.942211,12.934897,-6.894486,0.115068,3.283828
0.200000,17.022011,40.034309,276.254213,11.560007,-6.874450,0.100180,3.273781
0.200000,15.000907,39.774782,278.291911,10.188490,-6.857585,0.084328,3.264805
0.200000,13.249488,39.564858,280.055866,8.819776,-6.843570,0.070075,3.256948
0.200000,11.768167,39.398240,281.546528,7.453312,-6.832317,0.056263,3.250245
0.200000,10.557232,39.269523,282.764285,6.088780,-6.822660,0.048284,3.244730
0.200000,9.616908,39.174239,283.709424,4.725699,-6.815405,0.036275,3.240424
0.200000,8.947372,39.108891,284.382142,3.363589,-6.810551,0.024271,3.237347
0.200000,8.548700,39.070969,284.782613,2.002354,-6.806174,0.021886,3.235510
0.200000,8.417098,39.058613,284.914794,0.660906,-6.707242,0.494657,3.234903
0.200000,8.417098,39.058613,284.914794,0.000000,-3.304529,17.013567,3.234903
0.200000,8.417098,39.058613,284.914794,0.000000,0.000000,16.522646,3.234903
