dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,272.606117,124.163896,0.140374,1.403735,7.018676,35.093381,4.657609
0.200000,272.592593,123.887557,0.417043,1.383348,-0.101936,-35.603060,4.669525
0.200000,272.578201,123.444279,0.860555,2.217557,4.171047,21.364914,4.690841
0.200000,272.575014,122.865486,1.439357,2.894012,3.382272,-3.943873,4.724157
0.200000,272.598237,122.208689,2.096564,3.286035,1.960115,-7.110785,4.774164
0.200000,272.658834,121.577977,2.730181,3.168085,-0.589750,-12.749325,4.849276
0.200000,272.736264,121.158925,3.156326,2.130727,-5.186790,-22.985203,4.964663
0.200000,272.696782,121.239623,3.246166,0.449197,-8.407650,-16.104296,5.145766
0.200000,272.195387,122.000208,4.157147,4.554907,20.528550,144.680997,5.418042
0.200000,271.203052,122.847146,5.461766,6.523095,9.840938,-53.438057,5.746210
0.200000,270.873697,123.017654,5.832640,1.854371,-23.343616,-165.922773,6.005816
0.200000,271.676331,122.869856,6.648769,4.080642,11.131355,172.374859,6.153228
0.200000,273.100289,122.745637,8.078134,7.146826,15.330920,20.997824,6.226902
0.200000,274.753381,122.683598,9.732389,8.271277,5.622255,-48.543325,6.258878
0.200000,276.427953,122.651496,11.407270,8.374401,0.515616,-25.533195,6.265993
0.200000,278.004178,122.619722,12.983815,7.882725,-2.458377,-14.869967,6.258058
0.200000,279.398712,122.574314,14.379088,6.976368,-4.531785,-10.367037,6.241914
0.200000,280.543745,122.516705,15.525569,5.732406,-6.219812,-8.440137,6.223134
0.200000,281.381616,122.459494,16.365391,4.199107,-7.666494,-7.233411,6.206492
0.200000,281.867211,122.419592,16.852622,2.436158,-8.814748,-5.741270,6.195778
0.200000,282.017062,122.406200,17.003071,0.752244,-8.419569,1.975895,6.192318
0.200000,282.017062,122.406200,17.003071,0.000000,-3.761219,23.291752,6.192318
0.200000,282.017062,122.406200,17.003071,0.000000,0.000000,18.806093,6.192318
