dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,260.504298,124.827503,0.140374,1.403735,7.018676,35.093381,4.657609
0.200000,260.483726,124.406904,0.561494,2.807470,7.018676,0.000000,4.669525
0.200000,260.461015,123.705420,1.263362,4.211206,7.018676,-0.000000,4.690841
0.200000,260.455853,122.722862,2.245976,5.614941,7.018676,0.000000,4.724157
0.200000,260.501356,121.460448,3.509338,7.018676,7.018676,-0.000000,4.774164
0.200000,260.652209,119.924087,5.053447,8.422411,7.018676,0.000000,4.849276
0.200000,260.999895,118.133691,6.878303,9.826147,7.018676,0.000000,4.964663
0.200000,261.697243,116.149973,8.983905,11.229882,7.018676,0.000000,5.145766
0.200000,262.969784,114.140014,11.370255,12.633617,7.018676,0.000000,5.418042
0.200000,265.003191,112.432919,14.037352,14.037352,7.018676,-0.000000,5.746210
0.200000,267.554925,111.360890,16.812955,13.718673,-1.593398,-43.060369,6.005816
0.200000,270.105677,110.852059,19.416316,12.314938,-7.018676,-27.126392,6.153228
0.200000,272.418501,110.644828,21.738930,10.911202,-7.018676,0.000000,6.226902
0.200000,274.458805,110.567179,23.780797,9.507467,-7.018676,0.000000,6.258878
0.200000,276.219596,110.533287,25.541917,8.103732,-7.018676,0.000000,6.265993
0.200000,277.699667,110.503548,27.022289,6.699997,-7.018676,-0.000000,6.258058
0.200000,278.898649,110.464635,28.221915,5.296261,-7.018676,0.000000,6.241914
0.200000,279.816359,110.418552,29.140794,3.892526,-7.018676,0.000000,6.223134
0.200000,280.453003,110.375120,29.778926,2.488791,-7.018676,-0.000000,6.206492
0.200000,280.809187,110.345861,30.136310,1.085056,-7.018676,0.000000,6.195778
0.200000,280.917262,110.336202,30.244816,0.000000,-5.425278,7.966989,6.192318
0.200000,280.917262,110.336202,30.244816,0.000000,0.000000,27.126392,6.192318
0.200000,280.917262,110.336202,30.244816,0.000000,0.000000,0.000000,6.192318
