dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,303.520605,111.925283,0.142440,1.424399,7.121994,35.609971,3.219742
0.200000,303.167078,111.898659,0.496968,1.772640,1.741206,-26.903942,3.213738
0.200000,302.582446,111.859437,1.082914,2.929728,5.785442,20.221179,3.203319
0.200000,301.774636,111.815704,1.891907,4.044967,5.576191,-1.046250,3.187802
0.200000,300.756749,111.779487,2.910438,5.092655,5.238441,-1.688752,3.166069
0.200000,299.550108,111.767389,4.117139,6.033508,4.704265,-2.670879,3.136359
0.200000,298.189443,111.801065,5.478222,6.805411,3.859516,-4.223748,3.095886
0.200000,296.732436,111.906520,6.939039,7.304089,2.493390,-6.830627,3.040142
0.200000,295.276408,112.108935,8.409070,7.350154,0.230325,-11.315326,2.961672
0.200000,293.983092,112.413637,9.737795,6.643623,-3.532657,-18.814909,2.848064
0.200000,293.088706,112.754961,10.695098,4.786514,-9.285541,-28.764421,2.680336
0.200000,292.774159,112.944044,11.062102,1.835023,-14.757459,-27.359591,2.440366
0.200000,292.774172,112.944615,11.062673,0.002855,-9.160836,27.983116,2.146600
0.200000,292.577307,113.411179,11.569070,2.531982,12.645635,109.032355,1.884102
0.200000,292.287202,114.772333,12.960796,6.958630,22.133237,47.438008,1.707650
0.200000,292.137641,116.710769,14.904993,9.720986,13.811783,-41.607268,1.600221
0.200000,292.151025,118.882170,17.076436,10.857213,5.681136,-40.653235,1.535003
0.200000,292.276580,121.080556,19.278405,11.009844,0.763155,-24.589905,1.495788
0.200000,292.461329,123.191789,21.397705,10.596502,-2.066710,-14.149326,1.473249
0.200000,292.665566,125.149283,23.365825,9.840601,-3.779507,-8.563983,1.461739
0.200000,292.862905,126.910239,25.137804,8.859894,-4.903534,-5.620137,1.457550
0.200000,293.037446,128.444023,26.681487,7.718414,-5.707401,-4.019332,1.458029
0.200000,293.180945,129.726699,27.972165,6.453390,-6.325118,-3.088589,1.461139
0.200000,293.290388,130.738738,28.990105,5.089699,-6.818458,-2.466697,1.465250
0.200000,293.365907,131.464410,29.719695,3.647953,-7.208729,-1.951356,1.469075
0.200000,293.409004,131.892018,30.149470,2.148873,-7.495399,-1.433350,1.471667
0.200000,293.422674,132.030091,30.288218,0.693741,-7.275663,1.098681,1.472557
0.200000,293.422674,132.030091,30.288218,0.000000,-3.468703,19.034798,1.472557
0.200000,293.422674,132.030091,30.288218,0.000000,0.000000,17.343516,1.472557
