dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,1.787279,40.108861,0.141756,1.417560,7.087798,35.438992,0.022287
0.200000,2.167217,40.117211,0.521786,1.900148,2.412940,-23.374291,0.021728
0.200000,2.886971,40.132521,1.241702,3.599583,8.497174,30.421171,0.020810
0.200000,3.894337,40.152849,2.249274,5.037858,7.191375,-6.528999,0.019549
0.200000,5.189024,40.177136,3.544188,6.474572,7.183572,-0.039012,0.017972
0.200000,6.770651,40.204083,5.126045,7.909285,7.173565,-0.050037,0.016112
0.200000,8.638751,40.232205,6.994356,9.341556,7.161356,-0.061044,0.014010
0.200000,10.792762,40.259884,9.148545,10.770944,7.146941,-0.072077,0.011712
0.200000,13.232031,40.285444,11.587948,12.197016,7.130356,-0.082922,0.009273
0.200000,15.955811,40.307226,14.311816,13.619337,7.111605,-0.093759,0.006757
0.200000,18.963261,40.323681,17.319310,15.037474,7.090688,-0.104585,0.004230
0.200000,22.253448,40.333465,20.609511,16.451005,7.067655,-0.115162,0.001770
0.200000,25.825347,40.335550,24.181411,17.859500,7.042472,-0.125919,6.282645
0.200000,29.677849,40.329340,28.033918,19.262535,7.015177,-0.136473,6.280574
0.200000,33.809760,40.314796,32.165855,20.659683,6.985741,-0.147180,6.278841
0.200000,38.219807,40.292573,36.575958,22.050517,6.954168,-0.157867,6.277548
0.200000,42.906641,40.264161,41.262878,23.434597,6.920402,-0.168826,6.276808
0.200000,47.868833,40.232036,46.225174,24.811481,6.884418,-0.179921,6.276738
0.200000,53.104875,40.199827,51.461315,26.180707,6.846132,-0.191430,6.277467
0.200000,58.613167,40.172479,56.969675,27.541800,6.805463,-0.203346,6.279127
0.200000,64.391997,40.156437,62.748528,28.894263,6.762314,-0.215746,6.281862
0.200000,70.439512,40.159835,68.796044,30.237579,6.716583,-0.228653,0.002636
0.200000,76.753669,40.192695,75.110286,31.571211,6.668159,-0.242124,0.007980
0.200000,83.332170,40.267130,81.689208,32.894611,6.617001,-0.255787,0.014877
0.200000,90.172374,40.397565,88.530655,34.207234,6.563114,-0.269433,0.023505
0.200000,97.271172,40.600946,95.632366,35.508554,6.506601,-0.282566,0.034051
0.200000,104.624841,40.896953,102.991990,36.798121,6.447833,-0.293842,0.046707
0.200000,112.228846,41.308201,110.607108,38.075589,6.387342,-0.302453,0.061673
0.200000,120.077610,41.860410,118.475274,39.340831,6.326210,-0.305661,0.079150
0.200000,128.164237,42.582524,126.594078,40.594020,6.265943,-0.301334,0.099336
0.200000,136.480192,43.506763,134.961236,41.835787,6.208833,-0.285550,0.122420
0.200000,145.014958,44.668562,143.574714,43.067392,6.158028,-0.254026,0.148567
0.200000,153.755673,46.106367,152.432895,44.290906,6.117567,-0.202305,0.177910
0.200000,162.490458,47.819360,161.334065,44.505847,1.074705,-25.214309,0.209785
0.200000,170.944605,49.765180,170.009249,43.375922,-5.649625,-33.621651,0.242996
0.200000,179.046464,51.918804,178.392459,41.916051,-7.299356,-8.248655,0.276904
0.200000,186.795223,54.264117,186.488369,40.479552,-7.182496,0.584301,0.311126
0.200000,193.687892,56.657611,193.784786,36.482082,-19.987346,-64.024250,0.377396
0.200000,199.883599,59.469051,200.588534,34.018738,-12.316722,38.353122,0.471274
0.200000,205.791872,62.771215,207.356988,33.842273,-0.882326,57.171977,0.544752
0.200000,211.436033,66.415721,214.075543,33.592773,-1.247501,-1.825873,0.599013
0.200000,216.845362,70.268723,220.716813,33.206352,-1.932103,-3.423013,0.636295
0.200000,222.053093,74.217113,227.252120,32.676537,-2.649077,-3.584866,0.658948
0.200000,227.092840,78.168581,233.656271,32.020754,-3.278913,-3.149182,0.669040
