dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,2.057377,27.991871,0.141756,1.417560,7.087798,35.438992,0.022287
0.200000,2.430546,28.000072,0.567024,2.835119,7.087798,0.000000,0.021728
0.200000,3.139165,28.015145,1.275804,4.252679,7.087798,0.000000,0.020810
0.200000,4.131255,28.035165,2.268095,5.670239,7.087798,-0.000000,0.019549
0.200000,5.406834,28.059093,3.543899,7.087798,7.087798,0.000000,0.017972
0.200000,6.965923,28.085656,5.103215,8.505358,7.087798,-0.000000,0.016112
0.200000,8.808542,28.113394,6.946042,9.922918,7.087798,0.000000,0.014010
0.200000,10.934705,28.140715,9.072382,11.340477,7.087798,0.000000,0.011712
0.200000,13.344424,28.165965,11.482233,12.758037,7.087798,0.000000,0.009273
0.200000,16.037700,28.187503,14.175597,14.175597,7.087798,-0.000000,0.006757
0.200000,19.014530,28.203789,17.152472,15.593156,7.087798,0.000000,0.004230
0.200000,22.274902,28.213484,20.412859,17.010716,7.087798,0.000000,0.001770
0.200000,25.818800,28.215552,23.956759,18.428276,7.087798,-0.000000,6.282645
0.200000,29.646206,28.209381,27.784170,19.845835,7.087798,0.000000,6.280574
0.200000,33.757103,28.194910,31.895093,21.263395,7.087798,0.000000,6.278841
0.200000,38.151482,28.172766,36.289528,22.680955,7.087798,-0.000000,6.277548
0.200000,42.829343,28.144407,40.967475,24.098514,7.087798,0.000000,6.276808
0.200000,47.790698,28.112288,45.928934,25.516074,7.087798,0.000000,6.276738
0.200000,53.035569,28.080025,51.173904,26.933634,7.087798,-0.000000,6.277467
0.200000,58.563983,28.052579,56.702387,28.351194,7.087798,0.000000,6.279127
0.200000,64.375954,28.036448,62.514382,29.768753,7.087798,0.000000,6.281862
0.200000,70.471456,28.039878,68.609888,31.186313,7.087798,-0.000000,0.002636
0.200000,76.850380,28.073081,74.988907,32.603873,7.087798,0.000000,0.007980
0.200000,83.512471,28.148472,81.651437,34.021432,7.087798,-0.000000,0.014877
0.200000,90.457229,28.280913,88.597480,35.438992,7.087798,0.000000,0.023505
0.200000,97.683784,28.487971,95.827034,36.856552,7.087798,-0.000000,0.034051
0.200000,105.190720,28.790170,103.340100,38.274111,7.087798,0.000000,0.046707
0.200000,112.975846,29.211243,111.136679,39.691671,7.087798,0.000000,0.061673
0.200000,121.035907,29.778354,119.216769,41.109231,7.087798,0.000000,0.079150
0.200000,129.366216,30.522273,127.580371,42.526790,7.087798,0.000000,0.099336
0.200000,137.960217,31.477468,136.227485,43.944350,7.087798,-0.000000,0.122420
0.200000,146.808971,32.682073,145.158111,45.361910,7.087798,0.000000,0.148567
0.200000,155.900583,34.177672,154.372249,46.779469,7.087798,0.000000,0.177910
0.200000,165.014444,35.965083,163.660122,46.099266,-3.401016,-52.444072,0.209785
0.200000,173.860813,38.001247,172.738220,44.681706,-7.087798,-18.433911,0.242996
0.200000,182.359818,40.260498,181.532805,43.264147,-7.087798,0.000000,0.276904
0.200000,190.505526,42.726004,190.043878,41.846587,-7.087798,-0.000000,0.311126
0.200000,198.154126,45.390528,198.271440,40.429027,-7.087798,0.000000,0.377396
0.200000,205.386339,48.670244,206.215489,39.011468,-7.087798,0.000000,0.471274
0.200000,212.072529,52.405514,213.876027,37.593908,-7.087798,0.000000,0.544752
0.200000,218.269627,56.405906,221.253052,36.176348,-7.087798,0.000000,0.599013
0.200000,224.047307,60.520575,228.346566,34.758789,-7.087798,0.000000,0.636295
0.200000,229.473997,64.634598,235.156568,33.341229,-7.087798,-0.000000,0.658948
0.200000,234.610068,68.661443,241.683058,31.923669,-7.087798,0.000000,0.669040
0.200000,239.505383,72.535803,247.926036,30.506110,-7.087798,0.000000,0.668269
0.200000,244.198932,76.208067,253.885502,29.088550,-7.087798,-0.000000,0.658012
0.200000,248.719307,79.640523,259.561456,27.670990,-7.087798,0.000000,0.639424
0.200000,253.085435,82.804971,264.953898,26.253431,-7.087798,0.000000,0.613533
0.200000,257.307399,85.681414,270.062828,24.835871,-7.087798,-0.000000,0.581339
0.200000,261.387331,88.257475,274.888246,23.418311,-7.087798,0.000000,0.543880
0.200000,265.320471,90.528232,279.430152,22.000752,-7.087798,0.000000,0.502275
0.200000,269.096461,92.496178,283.688547,20.583192,-7.087798,-0.000000,0.457730
0.200000,272.700871,94.171021,287.663429,19.165632,-7.087798,0.000000,0.411512
0.200000,276.116870,95.569118,291.354800,17.748073,-7.087798,0.000000,0.364886
0.200000,279.326886,96.712469,294.762658,16.330513,-7.087798,-0.000000,0.319046
0.200000,282.314032,97.627301,297.887005,14.912953,-7.087798,0.000000,0.275047
0.200000,285.063176,98.342432,300.727839,13.495394,-7.087798,0.000000,0.233756
0.200000,287.561549,98.887601,303.285162,12.077834,-7.087798,0.000000,0.195833
0.200000,289.799001,99.291992,305.558973,10.660274,-7.087798,-0.000000,0.161740
0.200000,291.767827,99.583024,307.549272,9.242715,-7.087798,0.000000,0.131766
