dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,2.327476,15.874881,0.141756,1.417560,7.087798,35.438992,0.022287
0.200000,2.693874,15.882933,0.508243,1.832434,2.074372,-25.067133,0.021728
0.200000,3.391359,15.897769,1.205885,3.488213,8.278894,31.022613,0.020810
0.200000,4.368172,15.917481,2.182897,4.885060,6.984236,-6.473292,0.019549
0.200000,5.624644,15.941050,3.439590,6.283464,6.992019,0.038914,0.017972
0.200000,7.161195,15.967230,4.976364,7.683869,7.002026,0.050035,0.016112
0.200000,8.978332,15.994583,6.793707,9.086718,7.014243,0.061084,0.014010
0.200000,11.076648,16.021546,8.892197,10.492446,7.028642,0.071996,0.011712
0.200000,13.456816,16.046486,11.272495,11.901493,7.045234,0.082962,0.009273
0.200000,16.119589,16.067779,13.935353,13.314291,7.063993,0.093794,0.006757
0.200000,19.065799,16.083898,16.881607,14.731270,7.084892,0.104493,0.004230
0.200000,22.296357,16.093503,20.112179,16.152860,7.107953,0.115305,0.001770
0.200000,25.812253,16.095553,23.628076,17.579484,7.133122,0.125845,6.282645
0.200000,29.614562,16.089422,27.430390,19.011571,7.160431,0.136546,6.280574
0.200000,33.704446,16.075025,31.520299,20.449543,7.189860,0.147145,6.278841
0.200000,38.083156,16.052958,35.899065,21.893832,7.221446,0.157931,6.277548
0.200000,42.752045,16.024654,40.568040,23.344871,7.255198,0.168761,6.276808
0.200000,47.712563,15.992540,45.528661,24.803109,7.291186,0.179938,6.276738
0.200000,52.966263,15.960224,50.782461,26.269001,7.329460,0.191368,6.277467
0.200000,58.514799,15.932679,56.331066,27.743022,7.370106,0.203232,6.279127
0.200000,64.359910,15.916458,62.176199,29.225666,7.413223,0.215586,6.281862
0.200000,70.503399,15.919920,68.319689,30.717449,7.458914,0.228455,0.002636
0.200000,76.947091,15.953467,74.763469,32.218899,7.507250,0.241680,0.007980
0.200000,83.692772,16.029813,81.509581,33.730561,7.558309,0.255296,0.014877
0.200000,90.742085,16.164261,88.560176,35.252976,7.612073,0.268817,0.023505
0.200000,98.096396,16.374997,95.917506,36.786651,7.668378,0.281527,0.034051
0.200000,105.756599,16.683388,103.583915,38.332041,7.726951,0.292866,0.046707
0.200000,113.722847,17.114285,111.561807,39.889462,7.787104,0.300764,0.061673
0.200000,121.994203,17.696299,119.853615,41.459040,7.847891,0.303934,0.079150
0.200000,130.568194,18.462022,128.461731,43.040578,7.907689,0.298990,0.099336
0.200000,139.440241,19.448174,137.388416,44.633428,7.964248,0.282795,0.122420
0.200000,148.602984,20.695584,146.635680,46.236319,8.014458,0.251049,0.148567
0.200000,158.045493,22.248977,156.205111,47.847154,8.054173,0.198576,0.177910
0.200000,167.538429,24.110805,165.878902,48.368958,2.609020,-27.225765,0.209785
0.200000,176.777022,26.237313,175.359073,47.400851,-4.840535,-37.247776,0.242996
0.200000,185.673173,28.602193,184.564188,46.025579,-6.876360,-10.179123,0.276904
0.200000,194.215829,31.187891,193.489591,44.627012,-6.992835,-0.582373,0.311126
0.200000,202.620359,34.123445,202.392041,44.512249,-0.573812,32.095113,0.377396
0.200000,210.889080,37.871436,211.470541,45.392505,4.401276,24.875437,0.471274
0.200000,218.353186,42.039814,220.019708,42.745832,-13.233363,-88.173192,0.544752
0.200000,225.103221,46.396091,228.053395,40.168434,-12.886988,1.731874,0.599013
0.200000,231.249251,50.772427,235.598327,37.724661,-12.218867,3.340607,0.636295
0.200000,236.894900,55.052083,242.682733,35.422031,-11.513148,3.528593,0.658948
0.200000,242.127296,59.154305,249.331507,33.243867,-10.890820,3.111641,0.669040
0.200000,247.015275,63.022869,255.565135,31.168142,-10.378625,2.560972,0.668269
0.200000,251.610860,66.618609,261.400266,29.175652,-9.962452,2.080869,0.658012
0.200000,255.951710,69.914951,266.850848,27.252913,-9.613694,1.743787,0.639424
0.200000,260.063642,72.895429,271.929356,25.392537,-9.301884,1.559052,0.613533
0.200000,263.963021,75.552392,276.647894,23.592692,-8.999222,1.513309,0.581339
0.200000,267.658950,77.886304,281.019054,21.855798,-8.684470,1.573761,0.543880
0.200000,271.155291,79.905178,285.056411,20.186786,-8.345060,1.697046,0.502275
0.200000,274.452448,81.623837,288.774614,18.591017,-7.978848,1.831063,0.457730
0.200000,277.548815,83.062833,292.189025,17.072051,-7.594829,1.920096,0.411512
0.200000,280.441802,84.247044,295.315001,15.629881,-7.210848,1.919905,0.364886
