dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.004847,12.119999,0.143987,1.439869,7.199347,35.996736,6.282785
0.200000,0.318974,12.120224,0.458114,1.570636,0.653835,-32.727563,0.001403
0.200000,1.002231,12.122214,1.141374,3.416298,9.228306,42.872357,0.004429
0.200000,1.958211,12.128491,2.097375,4.780006,6.818542,-12.048819,0.008711
0.200000,3.186282,12.142610,3.325527,6.140762,6.803779,-0.073818,0.014298
0.200000,4.685622,12.169246,4.825103,7.497880,6.785589,-0.090948,0.021252
0.200000,6.455045,12.214262,6.595099,8.849979,6.760498,-0.125455,0.029654
0.200000,8.493035,12.284812,8.634310,10.196053,6.730370,-0.150639,0.039603
0.200000,10.797638,12.389464,10.941288,11.534890,6.694182,-0.180940,0.051220
0.200000,13.366279,12.538335,13.514239,12.864757,6.649339,-0.224214,0.064650
0.200000,16.195697,12.743272,16.351069,14.184150,6.596965,-0.261872,0.080069
0.200000,19.281673,13.018048,19.449254,15.490926,6.533879,-0.315430,0.097682
0.200000,22.618832,13.378590,22.805833,16.782894,6.459837,-0.370212,0.117734
0.200000,26.200286,13.843238,26.417302,18.057347,6.372265,-0.437857,0.140514
0.200000,30.017288,14.433026,30.279602,19.311497,6.270750,-0.507576,0.166358
0.200000,34.058647,15.171962,34.387959,20.541788,6.151457,-0.596464,0.195656
0.200000,38.310173,16.087313,38.736907,21.744737,6.014743,-0.683569,0.228858
0.200000,42.754015,17.209862,43.320339,22.917159,5.862113,-0.763154,0.266469
0.200000,47.367659,18.574007,48.131431,24.055460,5.691504,-0.853042,0.309047
0.200000,52.123271,20.217801,53.163120,25.158448,5.514938,-0.882829,0.357176
0.200000,56.986639,22.182611,58.408387,26.226337,5.339444,-0.877471,0.411430
0.200000,61.916691,24.512542,63.861276,27.264442,5.190528,-0.744579,0.472296
0.200000,66.865239,27.253376,69.518157,28.284403,5.099806,-0.453611,0.540072
0.200000,71.777442,30.451065,75.379466,29.306546,5.110711,0.054523,0.614718
0.200000,76.593106,34.149792,81.451633,30.360835,5.271448,0.803686,0.695702
0.200000,81.248711,38.389615,87.748517,31.484420,5.617926,1.732393,0.781882
0.200000,85.524217,43.019187,94.050333,31.509082,0.123310,-27.473084,0.868220
0.200000,89.260838,47.817273,100.131778,30.407224,-5.509291,-28.163002,0.949569
0.200000,92.493955,52.716195,106.001401,29.348116,-5.295540,1.068753,1.024660
0.200000,95.267429,57.655552,111.666153,28.323757,-5.121793,0.868739,1.092917
0.200000,97.627060,62.580174,117.126900,27.303735,-5.100111,0.108409,1.154266
0.200000,99.618600,67.441424,122.380278,26.266892,-5.184218,-0.420534,1.208981
0.200000,101.286231,72.197752,127.420482,25.201017,-5.329375,-0.725788,1.257538
0.200000,102.671484,76.814536,132.240608,24.100630,-5.501934,-0.862793,1.300504
0.200000,103.812581,81.263423,136.833505,22.964486,-5.680723,-0.893945,1.338464
0.200000,104.744164,85.521636,141.192430,21.794625,-5.849305,-0.842913,1.371975
0.200000,105.497226,89.570966,145.311188,20.593793,-6.004160,-0.774272,1.401548
0.200000,106.099250,93.396962,149.184260,19.365357,-6.142177,-0.690084,1.427634
0.200000,106.574449,96.988239,152.806839,18.112897,-6.262300,-0.600617,1.450628
0.200000,106.944044,100.335901,156.174842,16.840014,-6.364416,-0.510579,1.470871
0.200000,107.226540,103.432909,159.284707,15.549325,-6.453448,-0.445159,1.488653
0.200000,107.438013,106.273752,162.133410,14.243516,-6.529042,-0.377971,1.504222
0.200000,107.592375,108.854186,164.718456,12.925232,-6.591422,-0.311900,1.517787
0.200000,107.701588,111.170842,167.037686,11.596149,-6.645415,-0.269966,1.529524
0.200000,107.775880,113.221121,169.089310,10.258119,-6.690148,-0.223664,1.539581
0.200000,107.823908,115.003004,170.871840,8.912650,-6.727344,-0.185983,1.548081
0.200000,107.852912,116.514926,172.384041,7.561003,-6.758238,-0.154469,1.555124
0.200000,107.868833,117.755746,173.624962,6.204609,-6.781971,-0.118664,1.560792
0.200000,107.876409,118.724519,174.593765,4.844015,-6.802967,-0.104980,1.565149
0.200000,107.879262,119.420660,175.289912,3.480735,-6.816401,-0.067171,1.568244
0.200000,107.879946,119.843728,175.712981,2.115340,-6.826974,-0.052866,1.570110
0.200000,107.880000,119.993483,175.862736,0.748777,-6.832814,-0.029199,1.570768
0.200000,107.880000,120.000000,175.869253,0.032583,-3.580970,16.259220,1.570796
0.200000,107.880000,120.000000,175.869253,0.000000,-0.162917,17.090264,1.570796
