dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.000000,0.000000,0.143987,1.439869,7.199347,35.996736,6.282785
0.200000,0.335976,0.000235,0.575948,2.879739,7.199347,0.000000,0.001403
0.200000,1.055908,0.002333,1.295883,4.319608,7.199347,-0.000000,0.004429
0.200000,2.063793,0.008951,2.303791,5.759478,7.199347,0.000000,0.008711
0.200000,3.359571,0.023849,3.599674,7.199347,7.199347,0.000000,0.014298
0.200000,4.943181,0.051983,5.183530,8.639217,7.199347,-0.000000,0.021252
0.200000,6.814400,0.099590,7.055360,10.079086,7.199347,0.000000,0.029654
0.200000,8.972896,0.174316,9.215165,11.518956,7.199347,0.000000,0.039603
0.200000,11.418149,0.285359,11.662943,12.958825,7.199347,-0.000000,0.051220
0.200000,14.149294,0.443654,14.398695,14.398695,7.199347,0.000000,0.064650
0.200000,17.165093,0.662102,17.422420,15.838564,7.199347,-0.000000,0.080069
0.200000,20.463696,0.955825,20.734120,17.278433,7.199347,0.000000,0.097682
0.200000,24.042479,1.342493,24.333794,18.718303,7.199347,0.000000,0.117734
0.200000,27.897717,1.842691,28.221441,20.158172,7.199347,0.000000,0.140514
0.200000,32.024255,2.480349,32.397063,21.598042,7.199347,-0.000000,0.166358
0.200000,36.414895,3.283207,36.860658,23.037911,7.199347,0.000000,0.195656
0.200000,41.059777,4.283327,41.612227,24.477781,7.199347,-0.000000,0.228858
0.200000,45.945538,5.517618,46.651770,25.917650,7.199347,-0.000000,0.266469
0.200000,51.053968,7.028206,51.979287,27.357520,7.199347,0.000000,0.309047
0.200000,56.360787,8.862721,57.594778,28.797389,7.199347,0.000000,0.357176
0.200000,61.833669,11.074025,63.498243,30.237259,7.199347,-0.000000,0.411430
0.200000,67.430469,13.719366,69.689682,31.677128,7.199347,-0.000000,0.472296
0.200000,73.097318,16.858397,76.169094,33.116998,7.199347,0.000000,0.540072
0.200000,78.767391,20.549801,82.936481,34.556867,7.199347,0.000000,0.614718
0.200000,84.361114,24.846435,89.991841,35.996736,7.199347,0.000000,0.695702
0.200000,89.788658,29.789400,97.335175,37.436606,7.199347,0.000000,0.781882
0.200000,94.773955,35.187409,104.685369,36.065336,-6.856349,-70.278481,0.868220
0.200000,99.116395,40.763026,111.754450,34.625467,-7.199347,-1.714992,0.949569
0.200000,102.850951,46.421196,118.535556,33.185597,-7.199347,0.000000,1.024660
0.200000,106.029651,52.081598,125.028689,31.745728,-7.199347,-0.000000,1.092917
0.200000,108.710778,57.676542,131.233847,30.305858,-7.199347,0.000000,1.154266
0.200000,110.953899,63.151272,137.151032,28.865989,-7.199347,0.000000,1.208981
0.200000,112.816404,68.462850,142.780243,27.426119,-7.199347,0.000000,1.257538
0.200000,114.351442,73.578338,148.121480,25.986250,-7.199347,0.000000,1.300504
0.200000,115.606941,78.472819,153.174743,24.546380,-7.199347,-0.000000,1.338464
0.200000,116.625402,83.127772,157.940032,23.106511,-7.199347,-0.000000,1.371975
0.200000,117.444052,87.529456,162.417347,21.666642,-7.199347,0.000000,1.401548
0.200000,118.095260,91.667758,166.606688,20.226772,-7.199347,-0.000000,1.427634
0.200000,118.607046,95.535305,170.508056,18.786903,-7.199347,0.000000,1.450628
0.200000,119.003585,99.126821,174.121449,17.347033,-7.199347,0.000000,1.470871
0.200000,119.305673,102.438451,177.446869,15.907164,-7.199347,-0.000000,1.488653
0.200000,119.531164,105.467463,180.484315,14.467294,-7.199347,0.000000,1.504222
0.200000,119.695350,108.212008,183.233787,13.027425,-7.199347,-0.000000,1.517787
0.200000,119.811267,110.670762,185.695285,11.587555,-7.199347,0.000000,1.529524
0.200000,119.889975,112.842854,187.868809,10.147686,-7.199347,0.000000,1.539581
0.200000,119.940781,114.727717,189.754359,8.707816,-7.199347,0.000000,1.548081
0.200000,119.971424,116.324987,191.351936,7.267947,-7.199347,-0.000000,1.555124
0.200000,119.988226,117.634498,192.661538,5.828077,-7.199347,0.000000,1.560792
0.200000,119.996216,118.656077,193.683167,4.388208,-7.199347,-0.000000,1.565149
0.200000,119.999222,119.389723,194.416821,2.948339,-7.199347,0.000000,1.568244
0.200000,119.999944,119.835407,194.862502,1.508469,-7.199347,-0.000000,1.570110
0.200000,120.000000,119.993137,195.020209,0.068600,-7.199347,0.000000,1.570768
0.200000,120.000000,120.000000,195.027069,0.000000,-0.342998,34.281745,1.570796
0.200000,120.000000,120.000000,195.027069,0.000000,0.000000,1.714992,1.570796
