dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,-0.004847,-12.119999,0.143987,1.439869,7.199347,35.996736,6.282785
0.200000,0.352979,-12.119753,0.501813,1.789129,1.746296,-27.265256,0.001403
0.200000,1.109585,-12.117548,1.258422,3.783047,9.969594,41.116488,0.004429
0.200000,2.169374,-12.110590,2.318234,5.299058,7.580053,-11.947702,0.008711
0.200000,3.532859,-12.094912,3.681809,6.817874,7.594081,0.070139,0.014298
0.200000,5.200741,-12.065280,5.349954,8.340725,7.614256,0.100875,0.021252
0.200000,7.173756,-12.015081,7.323607,9.868269,7.637718,0.117308,0.029654
0.200000,9.452757,-11.936181,9.603974,11.401833,7.667819,0.150509,0.039603
0.200000,12.038660,-11.818747,12.192542,12.942840,7.705036,0.186082,0.051220
0.200000,14.932308,-11.651026,15.091047,14.492526,7.748428,0.216961,0.064650
0.200000,18.134488,-11.419068,18.301617,16.052851,7.801624,0.265982,0.080069
0.200000,21.645718,-11.106398,21.826741,17.625619,7.863840,0.311078,0.097682
0.200000,25.466126,-10.693604,25.669385,19.213220,7.938009,0.370844,0.117734
0.200000,29.595148,-10.157855,29.833020,20.818174,8.024768,0.433798,0.140514
0.200000,34.031222,-9.472327,34.321749,22.443648,8.127371,0.513015,0.166358
0.200000,38.771143,-8.605548,39.140273,24.092615,8.244835,0.587317,0.195656
0.200000,43.809381,-7.520658,44.293992,25.768596,8.379903,0.675342,0.228858
0.200000,49.137062,-6.174627,49.789080,27.475440,8.534220,0.771584,0.266469
0.200000,54.740276,-4.517595,55.632175,29.215476,8.700181,0.829803,0.309047
0.200000,60.598303,-2.492360,61.830405,30.991149,8.878364,0.890917,0.357176
0.200000,66.680699,-0.034562,68.390612,32.801035,9.049432,0.855341,0.411430
0.200000,72.944246,2.926190,75.318676,34.640321,9.196426,0.734971,0.472296
0.200000,79.329396,6.463418,82.618137,36.497304,9.284918,0.442458,0.540072
0.200000,85.757340,10.648538,90.288449,38.351561,9.271282,-0.068180,0.614718
0.200000,92.129123,15.543078,98.323132,40.173418,9.109285,-0.809984,0.695702
0.200000,98.328605,21.189185,106.708363,41.926155,8.763687,-1.727991,0.781882
0.200000,104.023693,27.355631,115.102354,41.969955,0.219002,-42.723427,0.868220
0.200000,108.971952,33.708778,123.155164,40.264049,-8.529530,-43.742661,0.949569
0.200000,113.207948,40.126196,130.844567,38.447015,-9.085172,-2.778210,1.024660
0.200000,116.791873,46.507643,138.163541,36.594870,-9.260723,-0.877752,1.092917
0.200000,119.794495,52.772910,145.111153,34.738061,-9.284045,-0.116612,1.154266
0.200000,122.289198,58.861121,151.690656,32.897511,-9.202750,0.406476,1.208981
0.200000,124.346578,64.727947,157.907766,31.085550,-9.059808,0.714711,1.257538
0.200000,126.031400,70.342139,163.769317,29.307758,-8.888958,0.854249,1.300504
0.200000,127.401301,75.682214,169.282304,27.564936,-8.714110,0.874241,1.338464
0.200000,128.506640,80.733907,174.453510,25.856028,-8.544538,0.847859,1.371975
0.200000,129.390877,85.487947,179.289084,24.177869,-8.390799,0.768695,1.401548
0.200000,130.091270,89.938554,183.794464,22.526902,-8.254833,0.679832,1.427634
0.200000,130.639643,94.082372,187.974409,20.899724,-8.135891,0.594710,1.450628
0.200000,131.063126,97.917740,191.833086,19.293386,-8.031691,0.520997,1.470871
0.200000,131.384806,101.443994,195.373982,17.704479,-7.944535,0.435780,1.488653
0.200000,131.624315,104.661175,198.600066,16.130420,-7.870293,0.371212,1.504222
0.200000,131.798325,107.569831,201.513923,14.569284,-7.805681,0.323061,1.517787
0.200000,131.920946,110.170681,204.117662,13.018698,-7.752931,0.263750,1.529524
0.200000,132.004071,112.464586,206.413073,11.477053,-7.708226,0.223526,1.539581
0.200000,132.057655,114.452430,208.401639,9.942830,-7.671114,0.185559,1.548081
0.200000,132.089935,116.135047,210.084565,8.414634,-7.640980,0.150669,1.555124
0.200000,132.107620,117.513251,211.462882,6.891585,-7.615245,0.128676,1.560792
0.200000,132.116023,118.587634,212.537299,5.372081,-7.597521,0.088617,1.565149
0.200000,132.119183,119.358787,213.308457,3.855794,-7.581435,0.080430,1.568244
0.200000,132.119941,119.827087,213.776758,2.341505,-7.571444,0.049953,1.570110
0.200000,132.120000,119.992790,213.942462,0.828516,-7.564943,0.032506,1.570768
0.200000,132.120000,120.000000,213.949671,0.036050,-3.962333,18.013050,1.570796
0.200000,132.120000,120.000000,213.949671,0.000000,-0.180248,18.910427,1.570796
