dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.999713,15.503992,0.000199,0.019863,0.993143,49.657150,0.000284
0.020000,9.999745,15.503992,0.000231,0.001608,-0.912767,-95.295501,0.000252
0.020000,9.999817,15.503992,0.000303,0.003608,0.100038,50.640256,0.000181
0.020000,9.999937,15.503992,0.000423,0.005987,0.118948,0.945482,0.000062
0.020000,10.002704,15.503992,0.003190,0.138362,6.618756,324.990416,6.283083
0.020000,10.008280,15.503991,0.008765,0.278764,7.020069,20.065648,6.282873
0.020000,10.015091,15.503988,0.015576,0.340557,3.089668,-196.520074,6.282619
0.020000,10.023136,15.503982,0.023622,0.402263,3.085288,-0.218973,6.282323
0.020000,10.032413,15.503973,0.032899,0.463862,3.079940,-0.267382,6.281987
0.020000,10.042920,15.503958,0.043406,0.525352,3.074521,-0.270955,6.281614
0.020000,10.054654,15.503937,0.055140,0.586708,3.067795,-0.336331,6.281206
0.020000,10.067613,15.503909,0.068098,0.647906,3.059899,-0.394779,6.280766
0.020000,10.081791,15.503871,0.082277,0.708936,3.051501,-0.419904,6.280297
0.020000,10.097187,15.503823,0.097673,0.769796,3.042978,-0.426135,6.279803
0.020000,10.113796,15.503762,0.114282,0.830462,3.033307,-0.483564,6.279288
0.020000,10.131614,15.503688,0.132100,0.890903,3.022075,-0.561619,6.278756
0.020000,10.150637,15.503599,0.151123,0.951143,3.012002,-0.503623,6.278211
0.020000,10.170859,15.503493,0.171346,1.011133,2.999479,-0.626147,6.277658
0.020000,10.192276,15.503368,0.192763,1.070883,2.987521,-0.597909,6.277102
0.020000,10.214883,15.503224,0.215371,1.130365,2.974105,-0.670790,6.276548
0.020000,10.238674,15.503060,0.239162,1.189571,2.960298,-0.690350,6.276002
0.020000,10.263643,15.502874,0.264132,1.248492,2.946031,-0.713377,6.275469
0.020000,10.289785,15.502665,0.290274,1.307105,2.930654,-0.768860,6.274955
0.020000,10.317092,15.502434,0.317582,1.365407,2.915077,-0.778818,6.274466
0.020000,10.345558,15.502179,0.346050,1.423373,2.898343,-0.836689,6.274010
0.020000,10.375177,15.501901,0.375670,1.481004,2.881527,-0.840814,6.273593
0.020000,10.405941,15.501600,0.406435,1.538277,2.863652,-0.893737,6.273221
0.020000,10.437843,15.501277,0.438339,1.595181,2.845179,-0.923660,6.272903
0.020000,10.470875,15.500932,0.471373,1.651693,2.825635,-0.977190,6.272645
0.020000,10.505029,15.500569,0.505529,1.707815,2.806064,-0.978559,6.272456
0.020000,10.540298,15.500188,0.540799,1.763514,2.784980,-1.054200,6.272344
0.020000,10.576671,15.499793,0.577175,1.818784,2.763515,-1.073275,6.272318
0.020000,10.614141,15.499387,0.614647,1.873604,2.740969,-1.127264,6.272386
0.020000,10.652698,15.498974,0.653206,1.927953,2.717468,-1.175071,6.272558
0.020000,10.692332,15.498558,0.692842,1.981818,2.693222,-1.212304,6.272843
0.020000,10.733033,15.498145,0.733546,2.035164,2.667316,-1.295319,6.273252
0.020000,10.774791,15.497741,0.775305,2.087985,2.641046,-1.313503,6.273794
0.020000,10.817594,15.497353,0.818110,2.140239,2.612705,-1.417041,6.274482
0.020000,10.861431,15.496989,0.861948,2.191906,2.583348,-1.467813,6.275327
0.020000,10.906288,15.496659,0.906807,2.242952,2.552312,-1.551810,6.276341
0.020000,10.952154,15.496372,0.952674,2.293352,2.519989,-1.616183,6.277537
0.020000,10.999015,15.496139,0.999536,2.343057,2.485262,-1.736314,6.278929
0.020000,11.046855,15.495973,1.047376,2.392036,2.448948,-1.815694,6.280531
0.020000,11.095660,15.495887,1.096181,2.440233,2.409835,-1.955675,6.282358
0.020000,11.145412,15.495897,1.145933,2.487607,2.368714,-2.056062,0.001242
0.020000,11.196094,15.496018,1.196615,2.534096,2.324433,-2.214011,0.003571
0.020000,11.247686,15.496268,1.248208,2.579643,2.277336,-2.354864,0.006177
0.020000,11.300168,15.496668,1.300691,2.624183,2.227027,-2.515450,0.009082
0.020000,11.353518,15.497237,1.354044,2.667630,2.172331,-2.734813,0.012307
0.020000,11.407710,15.497999,1.408242,2.709895,2.113269,-2.953104,0.015874
0.020000,11.462720,15.498979,1.463260,2.750889,2.049716,-3.177633,0.019809
0.020000,11.518516,15.500204,1.519070,2.790500,1.980516,-3.460001,0.024140
0.020000,11.575069,15.501702,1.575643,2.828641,1.907041,-3.673736,0.028897
0.020000,11.632343,15.503505,1.632945,2.865112,1.823560,-4.174092,0.034110
0.020000,11.690300,15.505646,1.690941,2.899807,1.734756,-4.440160,0.039817
0.020000,11.748897,15.508161,1.749592,2.932548,1.637043,-4.885671,0.046055
0.020000,11.808087,15.511089,1.808854,2.963118,1.528534,-5.425426,0.052867
0.020000,11.867818,15.514469,1.868682,2.991373,1.412721,-5.790669,0.060301
0.020000,11.928033,15.518347,1.929021,3.016967,1.279713,-6.650427,0.068407
0.020000,11.988666,15.522766,1.989815,3.039695,1.136412,-7.165050,0.077243
0.020000,12.049645,15.527778,2.050999,3.059217,0.976064,-8.017389,0.086873
0.020000,12.110889,15.533431,2.112504,3.075214,0.799873,-8.809527,0.097366
0.020000,12.172306,15.539780,2.174248,3.087245,0.601565,-9.915425,0.108800
0.020000,12.233796,15.546879,2.236147,3.094924,0.383938,-10.881342,0.121262
0.020000,12.295244,15.554785,2.298101,3.097711,0.139351,-12.229337,0.134849
0.020000,12.356521,15.563554,2.360002,3.095061,-0.132482,-13.591658,0.149668
0.020000,12.417483,15.573244,2.421730,3.086379,-0.434103,-15.081035,0.165839
0.020000,12.477970,15.583909,2.483150,3.070993,-0.769307,-16.760192,0.183495
0.020000,12.537801,15.595601,2.544112,3.048122,-1.143573,-18.713333,0.202783
0.020000,12.596777,15.608366,2.604454,3.017084,-1.551879,-20.415298,0.223866
0.020000,12.654678,15.622240,2.663994,2.977005,-2.003968,-22.604433,0.246922
0.020000,12.711263,15.637251,2.722536,2.927090,-2.495755,-24.589346,0.272147
0.020000,12.766271,15.653408,2.779868,2.866619,-3.023548,-26.389662,0.299748
0.020000,12.819428,15.670703,2.835768,2.794977,-3.582079,-27.926573,0.329947
0.020000,12.870449,15.689103,2.890005,2.711884,-4.154687,-28.630360,0.362973
0.020000,12.919050,15.708551,2.942352,2.617350,-4.726659,-28.598605,0.399049
0.020000,12.964961,15.728960,2.992596,2.512175,-5.258753,-26.604714,0.438387
0.020000,13.007950,15.750221,3.040555,2.397956,-5.710942,-22.609464,0.481167
0.020000,13.047841,15.772213,3.086106,2.277565,-6.019578,-15.431780,0.527511
0.020000,13.084545,15.794815,3.129212,2.155269,-6.114806,-4.761381,0.577455
0.020000,13.118086,15.817942,3.169952,2.037035,-5.911705,10.155017,0.630921
0.020000,13.148613,15.841575,3.208559,1.930321,-5.335666,28.801951,0.687679
0.020000,13.176407,15.865810,3.245435,1.843782,-4.326972,50.434708,0.747331
0.020000,13.201856,15.890886,3.281162,1.786376,-2.870303,72.833450,0.809299
0.020000,13.225407,15.917212,3.316486,1.766172,-1.010183,93.005977,0.872846
0.020000,13.247505,15.945353,3.352266,1.789035,1.143117,107.665043,0.937121
0.020000,13.268522,15.975988,3.389417,1.857527,3.424616,114.074925,1.001220
0.020000,13.288701,16.009836,3.428824,1.970357,5.641510,110.844685,1.064263
0.020000,13.308130,16.047585,3.471279,2.122759,7.620088,98.928944,1.125470
0.020000,13.326749,16.089808,3.517425,2.307276,9.225856,80.288385,1.184202
0.020000,13.344378,16.136923,3.567730,2.515269,10.399674,58.690890,1.239995
0.020000,13.360763,16.189174,3.622490,2.737984,11.135749,36.803754,1.292558
0.020000,13.375622,16.246636,3.681842,2.967628,11.482187,17.321923,1.341754
0.020000,13.388678,16.309247,3.745799,3.197849,11.511046,1.442910,1.387574
0.020000,13.399686,16.376831,3.814274,3.423734,11.294246,-10.839970,1.430098
0.020000,13.408447,16.449147,3.887119,3.642244,10.925489,-18.437882,1.469478
0.020000,13.414810,16.525906,3.964141,3.851123,10.443965,-24.076159,1.505899
0.020000,13.418672,16.606806,4.045133,4.049609,9.924275,-25.984529,1.539573
0.020000,13.419972,16.691539,4.129876,4.237132,9.376192,-27.404130,1.570712
0.020000,13.418683,16.779812,4.218159,4.414142,8.850486,-26.285302,1.599530
0.020000,13.414806,16.871343,4.309772,4.580652,8.325481,-26.250238,1.626227
0.020000,13.408365,16.965880,4.404528,4.737821,7.858441,-23.352027,1.650995
0.020000,13.399397,17.063187,4.502247,4.885939,7.405913,-22.626404,1.674006
0.020000,13.387953,17.163058,4.602772,5.026244,7.015245,-19.533415,1.695422
0.020000,13.374089,17.265303,4.705953,5.159055,6.640579,-18.733274,1.715388
0.020000,13.357869,17.369757,4.811658,5.285245,6.309500,-16.553948,1.734034
0.020000,13.339356,17.476273,4.919771,5.405663,6.020873,-14.431355,1.751480
0.020000,13.318616,17.584714,5.030177,5.520311,5.732409,-14.423181,1.767830
0.020000,13.295713,17.694969,5.142787,5.630466,5.507759,-11.232504,1.783181
0.020000,13.270710,17.806937,5.257512,5.736272,5.290313,-10.872330,1.797618
0.020000,13.247895,17.903263,5.356503,4.949561,-39.335556,-2231.293453,1.808304
0.020000,13.218641,18.021614,5.478416,6.095629,57.303369,4831.946284,1.817985
0.020000,13.188011,18.140494,5.601179,6.138151,2.126127,-2758.862105,1.828003
0.020000,13.155953,18.259863,5.724778,6.179927,2.088766,-1.868052,1.838373
0.020000,13.122415,18.379682,5.849201,6.221193,2.063346,-1.271025,1.849109
0.020000,13.087345,18.499900,5.974431,6.261471,2.013897,-2.472431,1.860226
0.020000,13.050687,18.620471,6.100451,6.301023,1.977559,-1.816916,1.871739
0.020000,13.012384,18.741342,6.227246,6.339744,1.936056,-2.075128,1.883663
0.020000,12.972378,18.862464,6.354804,6.377882,1.906930,-1.456308,1.896016
0.020000,12.930611,18.983774,6.483103,6.414966,1.854170,-2.638004,1.908813
0.020000,12.887022,19.105215,6.612130,6.451339,1.818668,-1.775077,1.922070
0.020000,12.841550,19.226720,6.741865,6.486747,1.770419,-2.412447,1.935804
0.020000,12.794131,19.348224,6.872294,6.521433,1.734265,-1.807725,1.950032
0.020000,12.744703,19.469655,7.003400,6.555304,1.693572,-2.034647,1.964770
0.020000,12.693201,19.590939,7.135165,6.588287,1.649130,-2.222123,1.980034
0.020000,12.639560,19.711996,7.267574,6.620444,1.607877,-2.062618,1.995839
0.020000,12.583715,19.832749,7.400615,6.652060,1.580775,-1.355121,2.012201
0.020000,12.525599,19.953110,7.534272,6.682843,1.539175,-2.080004,2.029133
0.020000,12.465148,20.072990,7.668532,6.712996,1.507654,-1.576028,2.046647
0.020000,12.402295,20.192300,7.803385,6.742622,1.481267,-1.319379,2.064754
0.020000,12.336975,20.310943,7.938821,6.771815,1.459683,-1.079184,2.083461
0.020000,12.269122,20.428827,8.074838,6.800852,1.451839,-0.392213,2.102777
0.020000,12.198674,20.545849,8.211429,6.829543,1.434540,-0.864919,2.122702
0.020000,12.125566,20.661908,8.348595,6.858308,1.438235,0.184735,2.143237
0.020000,12.049736,20.776903,8.486341,6.887318,1.450502,0.613378,2.164379
0.020000,11.971123,20.890730,8.624676,6.916709,1.469543,0.952027,2.186117
0.020000,11.889670,21.003284,8.763611,6.946755,1.502320,1.638853,2.208440
0.020000,11.805423,21.114328,8.902996,6.969291,1.126820,-18.775021,2.231301
0.020000,11.718596,21.223445,9.042444,6.972364,0.153611,-48.660448,2.254605
0.020000,11.629546,21.330122,9.181403,6.947972,-1.219558,-68.658447,2.278218
0.020000,11.538620,21.433941,9.319410,6.900359,-2.380674,-58.055783,2.302011
0.020000,11.446034,21.534703,9.456250,6.841996,-2.918133,-26.872966,2.325891
0.020000,11.351908,21.632353,9.591880,6.781477,-3.025979,-5.392296,2.349788
0.020000,11.256299,21.726913,9.726351,6.723580,-2.894847,6.556602,2.373652
0.020000,11.159269,21.818410,9.859718,6.668306,-2.763710,6.556845,2.397431
0.020000,11.060880,21.906876,9.992030,6.615621,-2.634240,6.473526,2.421073
0.020000,10.961197,21.992347,10.123339,6.565460,-2.508061,6.308921,2.444529
0.020000,10.860284,22.074864,10.253694,6.517746,-2.385686,6.118767,2.467749
0.020000,10.758210,22.154471,10.383141,6.472326,-2.271003,5.734145,2.490690
0.020000,10.655044,22.231216,10.511722,6.429048,-2.163885,5.355898,2.513307
0.020000,10.550854,22.305148,10.639477,6.387757,-2.064530,4.967777,2.535562
0.020000,10.445714,22.376322,10.766442,6.348284,-1.973672,4.542862,2.557418
0.020000,10.339693,22.444792,10.892651,6.310430,-1.892680,4.049639,2.578845
0.020000,10.232866,22.510618,11.018130,6.273964,-1.823321,3.467950,2.599814
0.020000,10.125304,22.573857,11.142905,6.238732,-1.761615,3.085280,2.620300
0.020000,10.017082,22.634572,11.266995,6.204491,-1.712034,2.479036,2.640285
0.020000,9.908273,22.692825,11.390416,6.171072,-1.670951,2.054161,2.659752
0.020000,9.798949,22.748679,11.513182,6.138277,-1.639763,1.559401,2.678688
0.020000,9.689183,22.802200,11.635300,6.105936,-1.617026,1.136872,2.697085
0.020000,9.579047,22.853452,11.756778,6.073884,-1.602590,0.721797,2.714936
0.020000,9.468610,22.902501,11.877618,6.041972,-1.595640,0.347478,2.732240
0.020000,9.357941,22.949413,11.997819,6.010065,-1.595335,0.015247,2.748996
0.020000,9.247108,22.994255,12.117379,5.978023,-1.602117,-0.339080,2.765206
0.020000,9.136176,23.037092,12.236295,5.945762,-1.613047,-0.546491,2.780875
0.020000,9.025209,23.077990,12.354558,5.913197,-1.628221,-0.758719,2.796009
0.020000,8.914269,23.117014,12.472162,5.880198,-1.649986,-1.088278,2.810617
0.020000,8.803414,23.154230,12.589097,5.846749,-1.672407,-1.121006,2.824707
0.020000,8.692702,23.189701,12.705353,5.812780,-1.698452,-1.302270,2.838290
0.020000,8.582188,23.223491,12.820918,5.778230,-1.727526,-1.453692,2.851377
0.020000,8.471923,23.255662,12.935779,5.743067,-1.758166,-1.531990,2.863981
0.020000,8.361960,23.286275,13.049924,5.707269,-1.789855,-1.584470,2.876113
0.020000,8.252344,23.315389,13.163341,5.670826,-1.822149,-1.614717,2.887788
0.020000,8.143121,23.343064,13.276015,5.633719,-1.855372,-1.661121,2.899017
0.020000,8.034336,23.369357,13.387933,5.595881,-1.891892,-1.826016,2.909815
0.020000,7.926027,23.394324,13.499082,5.557437,-1.922186,-1.514684,2.920196
0.020000,7.818236,23.418019,13.609447,5.518259,-1.958926,-1.837036,2.930171
0.020000,7.710998,23.440495,13.719015,5.478418,-1.992049,-1.656110,2.939756
0.020000,7.604347,23.461805,13.827774,5.437927,-2.024549,-1.625034,2.948962
0.020000,7.498317,23.481997,13.935709,5.396774,-2.057665,-1.655774,2.957804
0.020000,7.392939,23.501121,14.042809,5.354978,-2.089759,-1.604732,2.966293
0.020000,7.288241,23.519222,14.149060,5.312564,-2.120748,-1.549403,2.974443
0.020000,7.184251,23.536348,14.254450,5.269504,-2.152955,-1.610355,2.982265
0.020000,7.080996,23.552540,14.358967,5.225864,-2.182005,-1.452500,2.989770
0.020000,6.978499,23.567843,14.462601,5.181673,-2.209546,-1.377085,2.996972
0.020000,6.876783,23.582296,14.565338,5.136874,-2.239986,-1.521998,3.003880
0.020000,6.775870,23.595939,14.667169,5.091552,-2.266084,-1.304869,3.010506
0.020000,6.675780,23.608810,14.768084,5.045717,-2.291738,-1.282711,3.016860
0.020000,6.576532,23.620945,14.868071,4.999361,-2.317817,-1.303974,3.022951
