dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.000000,14.493992,0.000199,0.019863,0.993143,49.657150,0.000284
0.020000,10.000000,14.493992,0.000993,0.059589,1.986286,49.657150,0.000252
0.020000,10.000000,14.493992,0.002781,0.119177,2.979429,49.657150,0.000181
0.020000,10.000000,14.493992,0.005760,0.178766,2.979429,-0.000000,0.000062
0.020000,10.002601,14.493992,0.009931,0.238354,2.979429,0.000000,6.283083
0.020000,10.007964,14.493991,0.015294,0.297943,2.979429,0.000000,6.282873
0.020000,10.014519,14.493988,0.021849,0.357531,2.979429,-0.000000,6.282619
0.020000,10.022265,14.493983,0.029596,0.417120,2.979429,0.000000,6.282323
0.020000,10.031203,14.493974,0.038534,0.476709,2.979429,0.000000,6.281987
0.020000,10.041333,14.493959,0.048664,0.536297,2.979429,0.000000,6.281614
0.020000,10.052655,14.493939,0.059986,0.595886,2.979429,0.000000,6.281206
0.020000,10.065169,14.493912,0.072499,0.655474,2.979429,-0.000000,6.280766
0.020000,10.078874,14.493875,0.086205,0.715063,2.979429,0.000000,6.280297
0.020000,10.093771,14.493829,0.101102,0.774652,2.979429,0.000000,6.279803
0.020000,10.109860,14.493770,0.117191,0.834240,2.979429,0.000000,6.279288
0.020000,10.127141,14.493698,0.134472,0.893829,2.979429,-0.000000,6.278756
0.020000,10.145613,14.493611,0.152944,0.953417,2.979429,0.000000,6.278211
0.020000,10.165277,14.493508,0.172608,1.013006,2.979429,-0.000000,6.277658
0.020000,10.186132,14.493387,0.193464,1.072594,2.979429,0.000000,6.277102
0.020000,10.208180,14.493247,0.215512,1.132183,2.979429,-0.000000,6.276548
0.020000,10.231419,14.493086,0.238752,1.191772,2.979429,0.000000,6.276002
0.020000,10.255849,14.492904,0.263183,1.251360,2.979429,-0.000000,6.275469
0.020000,10.281472,14.492699,0.288806,1.310949,2.979429,0.000000,6.274955
0.020000,10.308286,14.492472,0.315621,1.370537,2.979429,0.000000,6.274466
0.020000,10.336291,14.492221,0.343627,1.430126,2.979429,-0.000000,6.274010
0.020000,10.365488,14.491947,0.372826,1.489714,2.979429,0.000000,6.273593
0.020000,10.395877,14.491650,0.403216,1.549303,2.979429,-0.000000,6.273221
0.020000,10.427457,14.491330,0.434798,1.608892,2.979429,0.000000,6.272903
0.020000,10.460229,14.490989,0.467572,1.668480,2.979429,0.000000,6.272645
0.020000,10.494193,14.490627,0.501537,1.728069,2.979429,-0.000000,6.272456
0.020000,10.529348,14.490248,0.536694,1.787657,2.979429,0.000000,6.272344
0.020000,10.565695,14.489853,0.573044,1.847246,2.979429,-0.000000,6.272318
0.020000,10.603234,14.489446,0.610584,1.906835,2.979429,0.000000,6.272386
0.020000,10.641964,14.489031,0.649317,1.966423,2.979429,-0.000000,6.272558
0.020000,10.681886,14.488612,0.689241,2.026012,2.979429,-0.000000,6.272843
0.020000,10.723000,14.488194,0.730357,2.085600,2.979429,-0.000000,6.273252
0.020000,10.765306,14.487785,0.772665,2.145189,2.979429,0.000000,6.273794
0.020000,10.808804,14.487391,0.816165,2.204777,2.979429,-0.000000,6.274482
0.020000,10.853494,14.487021,0.860856,2.264366,2.979429,-0.000000,6.275327
0.020000,10.899376,14.486683,0.906740,2.323955,2.979429,0.000000,6.276341
0.020000,10.946450,14.486388,0.953815,2.383543,2.979429,0.000000,6.277537
0.020000,10.994716,14.486148,1.002081,2.443132,2.979429,-0.000000,6.278929
0.020000,11.044175,14.485977,1.051540,2.502720,2.979429,0.000000,6.280531
0.020000,11.094825,14.485888,1.102190,2.562309,2.979429,0.000000,6.282358
0.020000,11.146667,14.485898,1.154032,2.621898,2.979429,0.000000,0.001242
0.020000,11.199701,14.486024,1.207066,2.681486,2.979429,-0.000000,0.003571
0.020000,11.253925,14.486288,1.261292,2.741075,2.979429,0.000000,0.006177
0.020000,11.309341,14.486709,1.316709,2.800663,2.979429,-0.000000,0.009082
0.020000,11.365947,14.487313,1.373318,2.860252,2.979429,0.000000,0.012307
0.020000,11.423743,14.488126,1.431119,2.919840,2.979429,-0.000000,0.015874
0.020000,11.482726,14.489177,1.490112,2.979429,2.979429,0.000000,0.019809
0.020000,11.542896,14.490498,1.550296,3.039018,2.979429,-0.000000,0.024140
0.020000,11.604250,14.492124,1.611672,3.098606,2.979429,-0.000000,0.028897
0.020000,11.666787,14.494093,1.674240,3.158195,2.979429,0.000000,0.034110
0.020000,11.730504,14.496447,1.738000,3.217783,2.979429,-0.000000,0.039817
0.020000,11.795395,14.499232,1.802952,3.277372,2.979429,0.000000,0.046055
0.020000,11.861458,14.502500,1.869095,3.336960,2.979429,0.000000,0.052867
0.020000,11.928685,14.506305,1.936430,3.396549,2.979429,0.000000,0.060301
0.020000,11.997070,14.510709,2.004957,3.456138,2.979429,-0.000000,0.068407
0.020000,12.066604,14.515778,2.074676,3.515726,2.979429,0.000000,0.077243
0.020000,12.137276,14.521586,2.145586,3.575315,2.979429,-0.000000,0.086873
0.020000,12.209073,14.528215,2.217688,3.634903,2.979429,0.000000,0.097366
0.020000,12.281978,14.535752,2.290982,3.694492,2.979429,-0.000000,0.108800
0.020000,12.355971,14.544295,2.365468,3.754081,2.979429,0.000000,0.121262
0.020000,12.431029,14.553954,2.441145,3.813669,2.979429,-0.000000,0.134849
0.020000,12.507122,14.564846,2.518015,3.873258,2.979429,-0.000000,0.149668
0.020000,12.584214,14.577101,2.596076,3.932846,2.979429,0.000000,0.165839
0.020000,12.662262,14.590865,2.675329,3.992435,2.979429,-0.000000,0.183495
0.020000,12.741211,14.606296,2.755773,4.052023,2.979429,0.000000,0.202783
0.020000,12.820998,14.623569,2.837410,4.111612,2.979429,0.000000,0.223866
0.020000,12.901543,14.642874,2.920238,4.171201,2.979429,-0.000000,0.246922
0.020000,12.982750,14.664423,3.004258,4.230789,2.979429,0.000000,0.272147
0.020000,13.064503,14.688443,3.089469,4.290378,2.979429,-0.000000,0.299748
0.020000,13.146661,14.715183,3.175873,4.349966,2.979429,0.000000,0.329947
0.020000,13.229054,14.744909,3.263468,4.409555,2.979429,0.000000,0.362973
0.020000,13.311477,14.777905,3.352255,4.469143,2.979429,0.000000,0.399049
0.020000,13.393686,14.814468,3.442234,4.528732,2.979429,-0.000000,0.438387
0.020000,13.475392,14.854902,3.533404,4.588321,2.979429,0.000000,0.481167
0.020000,13.556259,14.899509,3.625766,4.647909,2.979429,0.000000,0.527511
0.020000,13.635898,14.948582,3.719321,4.707498,2.979429,0.000000,0.577455
0.020000,13.713873,15.002382,3.814066,4.767086,2.979429,0.000000,0.630921
0.020000,13.789706,15.061127,3.910004,4.826675,2.979429,-0.000000,0.687679
0.020000,13.862887,15.124969,4.007133,4.886264,2.979429,0.000000,0.747331
0.020000,13.932897,15.193980,4.105455,4.945852,2.979429,-0.000000,0.809299
0.020000,13.999230,15.268138,4.204967,5.005441,2.979429,0.000000,0.872846
0.020000,14.061421,15.347322,4.305672,5.065029,2.979429,-0.000000,0.937121
0.020000,14.119073,15.431319,4.407569,5.124618,2.979429,0.000000,1.001220
0.020000,14.171877,15.519836,4.510657,5.184206,2.979429,0.000000,1.064263
0.020000,14.219625,15.612525,4.614937,5.243795,2.979429,0.000000,1.125470
0.020000,14.262209,15.709001,4.720409,5.303384,2.979429,-0.000000,1.184202
0.020000,14.299618,15.808874,4.827072,5.362972,2.979429,0.000000,1.239995
0.020000,14.331919,15.911765,4.934928,5.422561,2.979429,0.000000,1.292558
0.020000,14.359245,16.017321,5.043975,5.482149,2.979429,0.000000,1.341754
0.020000,14.381772,16.125225,5.154214,5.541738,2.979429,-0.000000,1.387574
0.020000,14.399705,16.235194,5.265644,5.601326,2.979429,0.000000,1.430098
0.020000,14.413267,16.346990,5.378267,5.660915,2.979429,0.000000,1.469478
0.020000,14.422684,16.460406,5.492081,5.720504,2.979429,0.000000,1.505899
0.020000,14.428180,16.575275,5.607087,5.780092,2.979429,0.000000,1.539573
0.020000,14.429972,16.691454,5.723284,5.839681,2.979429,-0.000000,1.570712
0.020000,14.428266,16.808829,5.840674,5.899269,2.979429,0.000000,1.599530
0.020000,14.423255,16.927300,5.959255,5.958858,2.979429,-0.000000,1.626227
0.020000,14.415118,17.046794,6.079028,6.018447,2.979429,0.000000,1.650995
0.020000,14.404022,17.167243,6.199993,6.078035,2.979429,0.000000,1.674006
0.020000,14.390119,17.288604,6.322150,6.137624,2.979429,-0.000000,1.695422
0.020000,14.373550,17.410832,6.445498,6.197212,2.979429,0.000000,1.715388
0.020000,14.354443,17.533895,6.570038,6.256801,2.979429,0.000000,1.734034
0.020000,14.332914,17.657772,6.695770,6.316389,2.979429,0.000000,1.751480
0.020000,14.309074,17.782433,6.822694,6.375978,2.979429,-0.000000,1.767830
0.020000,14.283019,17.907869,6.950809,6.435567,2.979429,-0.000000,1.783181
0.020000,14.254840,18.034068,7.080116,6.495155,2.979429,0.000000,1.797618
0.020000,14.229542,18.140897,7.210615,6.554744,2.979429,0.000000,1.808304
0.020000,14.197941,18.268739,7.342306,6.614332,2.979429,-0.000000,1.817985
0.020000,14.164786,18.397418,7.475189,6.673921,2.979429,0.000000,1.828003
0.020000,14.130012,18.526902,7.609263,6.733510,2.979429,0.000000,1.838373
0.020000,14.093551,18.657163,7.744529,6.793098,2.979429,-0.000000,1.849109
0.020000,14.055336,18.788160,7.880987,6.852687,2.979429,0.000000,1.860226
0.020000,14.015295,18.919856,8.018637,6.912275,2.979429,0.000000,1.871739
0.020000,13.973354,19.052208,8.157478,6.971864,2.979429,0.000000,1.883663
0.020000,13.929435,19.185176,8.297511,7.031452,2.979429,-0.000000,1.896016
0.020000,13.883460,19.318707,8.438736,7.091041,2.979429,-0.000000,1.908813
0.020000,13.835347,19.452750,8.581153,7.150630,2.979429,0.000000,1.922070
0.020000,13.785012,19.587246,8.724761,7.210218,2.979429,0.000000,1.935804
0.020000,13.732369,19.722136,8.869561,7.269807,2.979429,0.000000,1.950032
0.020000,13.677328,19.857354,9.015553,7.329395,2.979429,0.000000,1.964770
0.020000,13.619799,19.992828,9.162737,7.388984,2.979429,-0.000000,1.980034
0.020000,13.559691,20.128480,9.311113,7.448572,2.979429,0.000000,1.995839
0.020000,13.496908,20.264231,9.460680,7.508161,2.979429,-0.000000,2.012201
0.020000,13.431356,20.399992,9.611439,7.567750,2.979429,0.000000,2.029133
0.020000,13.362940,20.535666,9.763390,7.627338,2.979429,0.000000,2.046647
0.020000,13.291563,20.671155,9.916533,7.686927,2.979429,0.000000,2.064754
0.020000,13.217130,20.806350,10.070867,7.746515,2.979429,-0.000000,2.083461
0.020000,13.139545,20.941141,10.226393,7.806104,2.979429,0.000000,2.102777
0.020000,13.058716,21.075403,10.383111,7.865693,2.979429,0.000000,2.122702
0.020000,12.974553,21.209011,10.541021,7.925281,2.979429,-0.000000,2.143237
0.020000,12.886967,21.341831,10.700123,7.984870,2.979429,-0.000000,2.164379
0.020000,12.795877,21.473723,10.860416,8.044458,2.979429,0.000000,2.186117
0.020000,12.701206,21.604541,11.021901,8.104047,2.979429,0.000000,2.208440
0.020000,12.603002,21.733978,11.184379,8.143773,1.986286,-49.657150,2.231301
0.020000,12.501520,21.861513,11.347366,8.154907,0.556746,-71.476983,2.254605
0.020000,12.397187,21.986497,11.510178,8.126317,-1.429540,-99.314299,2.278218
0.020000,12.290427,22.108393,11.672220,8.077863,-2.422683,-49.657150,2.302011
0.020000,12.181523,22.226914,11.833181,8.018274,-2.979429,-27.837317,2.325891
0.020000,12.070646,22.341941,11.992951,7.958686,-2.979429,-0.000000,2.349788
0.020000,11.957901,22.453450,12.151529,7.899097,-2.979429,0.000000,2.373652
0.020000,11.843398,22.561423,12.308915,7.839509,-2.979429,0.000000,2.397431
0.020000,11.727253,22.665854,12.465109,7.779920,-2.979429,-0.000000,2.421073
0.020000,11.609586,22.766745,12.620112,7.720332,-2.979429,0.000000,2.444529
0.020000,11.490518,22.864108,12.773922,7.660743,-2.979429,-0.000000,2.467749
0.020000,11.370174,22.957964,12.926541,7.601154,-2.979429,0.000000,2.490690
0.020000,11.248680,23.048342,13.077969,7.541566,-2.979429,-0.000000,2.513307
0.020000,11.126160,23.135283,13.228204,7.481977,-2.979429,0.000000,2.535562
0.020000,11.002739,23.218831,13.377248,7.422389,-2.979429,-0.000000,2.557418
0.020000,10.878540,23.299043,13.525100,7.362800,-2.979429,0.000000,2.578845
0.020000,10.753683,23.375978,13.671760,7.303212,-2.979429,-0.000000,2.599814
0.020000,10.628285,23.449705,13.817228,7.243623,-2.979429,0.000000,2.620300
0.020000,10.502460,23.520297,13.961505,7.184034,-2.979429,0.000000,2.640285
0.020000,10.376318,23.587830,14.104589,7.124446,-2.979429,-0.000000,2.659752
0.020000,10.249964,23.652386,14.246482,7.064857,-2.979429,0.000000,2.678688
0.020000,10.123497,23.714051,14.387184,7.005269,-2.979429,-0.000000,2.697085
0.020000,9.997014,23.772910,14.526693,6.945680,-2.979429,0.000000,2.714936
0.020000,9.870605,23.829053,14.665011,6.886091,-2.979429,-0.000000,2.732240
0.020000,9.744356,23.882571,14.802137,6.826503,-2.979429,0.000000,2.748996
0.020000,9.618346,23.933554,14.938071,6.766914,-2.979429,0.000000,2.765206
0.020000,9.492651,23.982092,15.072813,6.707326,-2.979429,0.000000,2.780875
