dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.000287,13.483992,0.000199,0.019863,0.993143,49.657150,0.000284
0.020000,10.000255,13.483992,0.000231,0.001608,-0.912767,-95.295501,0.000252
0.020000,10.000183,13.483992,0.000303,0.003608,0.100038,50.640256,0.000181
0.020000,10.000063,13.483992,0.000423,0.005987,0.118948,0.945482,0.000062
0.020000,10.002497,13.483992,0.002857,0.121711,5.786182,283.361731,6.283083
0.020000,10.007648,13.483991,0.008008,0.257547,6.791819,50.281837,6.282873
0.020000,10.013946,13.483988,0.014306,0.314923,2.868775,-196.152207,6.282619
0.020000,10.021394,13.483983,0.021754,0.372388,2.873241,0.223324,6.282323
0.020000,10.029993,13.483974,0.030353,0.429954,2.878323,0.254082,6.281987
0.020000,10.039746,13.483961,0.040106,0.487651,2.884834,0.325545,6.281614
0.020000,10.050656,13.483941,0.051016,0.545483,2.891610,0.338789,6.281206
0.020000,10.062725,13.483915,0.063085,0.603458,2.898755,0.357251,6.280766
0.020000,10.075957,13.483880,0.076317,0.661595,2.906866,0.405542,6.280297
0.020000,10.090355,13.483834,0.090715,0.719921,2.916275,0.470477,6.279803
0.020000,10.105924,13.483778,0.106284,0.778441,2.926006,0.486543,6.279288
0.020000,10.122667,13.483708,0.123027,0.837154,2.935643,0.481854,6.278756
0.020000,10.140589,13.483624,0.140949,0.896108,2.947721,0.603891,6.278211
0.020000,10.159694,13.483523,0.160055,0.955285,2.958827,0.555316,6.277658
0.020000,10.179988,13.483406,0.180349,1.014720,2.971782,0.647727,6.277102
0.020000,10.201476,13.483269,0.201838,1.074414,2.984661,0.643988,6.276548
0.020000,10.224163,13.483112,0.224525,1.134383,2.998462,0.690002,6.276002
0.020000,10.248056,13.482934,0.248418,1.194645,3.013112,0.732516,6.275469
0.020000,10.273159,13.482734,0.273522,1.255205,3.027989,0.743847,6.274955
0.020000,10.299480,13.482510,0.299844,1.316084,3.043967,0.798897,6.274466
0.020000,10.327024,13.482264,0.327390,1.377287,3.060135,0.808397,6.274010
0.020000,10.355800,13.481994,0.356167,1.438838,3.077547,0.870606,6.273593
0.020000,10.385813,13.481700,0.386181,1.500744,3.095286,0.886978,6.273221
0.020000,10.417072,13.481383,0.417442,1.563020,3.113833,0.927314,6.272903
0.020000,10.449584,13.481045,0.449955,1.625676,3.132768,0.946758,6.272645
0.020000,10.483357,13.480685,0.483730,1.688739,3.153175,1.020375,6.272456
0.020000,10.518399,13.480307,0.518774,1.752212,3.173663,1.024392,6.272344
0.020000,10.554719,13.479912,0.555097,1.816121,3.195431,1.088405,6.272318
0.020000,10.592326,13.479505,0.592706,1.880479,3.217889,1.122885,6.272386
0.020000,10.631230,13.479088,0.631612,1.945304,3.241275,1.169286,6.272558
0.020000,10.671441,13.478666,0.671825,2.010623,3.265941,1.233316,6.272843
0.020000,10.712967,13.478244,0.713354,2.076445,3.291118,1.258863,6.273252
0.020000,10.755822,13.477830,0.756210,2.142812,3.318308,1.359471,6.273794
0.020000,10.800014,13.477429,0.800405,2.209731,3.345977,1.383445,6.274482
0.020000,10.845558,13.477052,0.845949,2.277240,3.375440,1.473171,6.275327
0.020000,10.892464,13.476706,0.892857,2.345366,3.406286,1.542316,6.276341
0.020000,10.940746,13.476404,0.941140,2.414150,3.439235,1.647452,6.277537
0.020000,10.990417,13.476157,0.990812,2.483620,3.473467,1.711603,6.278929
0.020000,11.041494,13.475980,1.041889,2.553824,3.510234,1.838350,6.280531
0.020000,11.093990,13.475888,1.094385,2.624798,3.548697,1.923153,6.282358
0.020000,11.147922,13.475898,1.148317,2.696603,3.590208,2.075524,0.001242
0.020000,11.203307,13.476031,1.203702,2.769285,3.634103,2.194767,0.003571
0.020000,11.260165,13.476307,1.260561,2.842913,3.681402,2.364913,0.006177
0.020000,11.318514,13.476751,1.318912,2.917561,3.732419,2.550882,0.009082
0.020000,11.378377,13.477390,1.378778,2.993295,3.786688,2.713452,0.012307
0.020000,11.439775,13.478254,1.440182,3.070198,3.845164,2.923766,0.015874
0.020000,11.502732,13.479376,1.503149,3.148374,3.908786,3.181122,0.019809
0.020000,11.567275,13.480793,1.567708,3.227923,3.977468,3.434092,0.024140
0.020000,11.633432,13.482546,1.633888,3.309007,4.054219,3.837550,0.028897
0.020000,11.701232,13.484680,1.701722,3.391686,4.133947,3.986385,0.034110
0.020000,11.770708,13.487247,1.771245,3.476165,4.223908,4.498069,0.039817
0.020000,11.841894,13.490303,1.842497,3.562604,4.321985,4.903840,0.046055
0.020000,11.914829,13.493911,1.915520,3.651169,4.428212,5.311374,0.052867
0.020000,11.989552,13.498141,1.990364,3.742161,4.549624,6.070602,0.060301
0.020000,12.066108,13.503071,2.067078,3.835702,4.677036,6.370607,0.068407
0.020000,12.144543,13.508790,2.145721,3.932152,4.822511,7.273721,0.077243
0.020000,12.224907,13.515395,2.226356,4.031783,4.981534,7.951160,0.086873
0.020000,12.307257,13.522998,2.309056,4.134986,5.160192,8.932877,0.097366
0.020000,12.391649,13.531724,2.393898,4.242091,5.355249,9.752880,0.108800
0.020000,12.478146,13.541712,2.480970,4.353615,5.576203,11.047714,0.121262
0.020000,12.566815,13.553123,2.570370,4.469994,5.818911,12.135374,0.134849
0.020000,12.657724,13.566137,2.662206,4.591788,6.089692,13.539046,0.149668
0.020000,12.750946,13.580958,2.756598,4.719634,6.392300,15.130389,0.165839
0.020000,12.846554,13.597821,2.853683,4.854207,6.728693,16.819660,0.183495
0.020000,12.944621,13.616991,2.953606,4.996154,7.097337,18.432226,0.202783
0.020000,13.045218,13.638772,3.056534,5.146405,7.512544,20.760354,0.223866
0.020000,13.148408,13.663508,3.162647,5.305649,7.962178,22.481661,0.246922
0.020000,13.254238,13.691595,3.272140,5.474685,8.451809,24.481569,0.272147
0.020000,13.362736,13.723478,3.385226,5.654282,8.979842,26.401650,0.299748
0.020000,13.473894,13.759663,3.502126,5.844995,9.535663,27.791069,0.329947
0.020000,13.587660,13.800715,3.623071,6.047272,10.113842,28.908926,0.362973
0.020000,13.703904,13.847260,3.748288,6.260848,10.678830,28.249411,0.399049
0.020000,13.822411,13.899976,3.877991,6.485132,11.214179,26.767425,0.438387
0.020000,13.942834,13.959582,4.012359,6.718378,11.662328,22.407472,0.481167
0.020000,14.064677,14.026806,4.151515,6.957843,11.973208,15.543992,0.527511
0.020000,14.187250,14.102349,4.295498,7.199123,12.064024,4.540817,0.577455
0.020000,14.309661,14.186823,4.444226,7.436419,11.864796,-9.961428,0.630921
0.020000,14.430799,14.280678,4.597469,7.662140,11.286026,-28.938466,0.687679
0.020000,14.549367,14.384128,4.754823,7.867695,10.277786,-50.412041,0.747331
0.020000,14.663939,14.497073,4.915706,8.044154,8.822914,-72.743596,0.809299
0.020000,14.773053,14.619063,5.079374,8.183421,6.963391,-92.976139,0.872846
0.020000,14.875336,14.749290,5.244967,8.279653,4.811593,-107.589909,0.937121
0.020000,14.969624,14.886651,5.411575,8.330372,2.535921,-113.783583,1.001220
0.020000,15.055053,15.029836,5.578309,8.336719,0.317392,-110.926425,1.064263
0.020000,15.131120,15.177465,5.744382,8.303659,-1.653009,-98.520088,1.125470
0.020000,15.197670,15.328194,5.909149,8.238343,-3.265795,-80.639270,1.184202
0.020000,15.254858,15.480825,6.072143,8.149664,-4.433952,-58.407870,1.239995
0.020000,15.303076,15.634357,6.233067,8.046240,-5.171203,-36.862549,1.292558
0.020000,15.342868,15.788006,6.391786,7.935946,-5.514723,-17.175995,1.341754
0.020000,15.374866,15.941204,6.548290,7.825180,-5.538312,-1.179462,1.387574
