dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.485993,4.392207,0.000197,0.019728,0.986415,49.320733,3.587696
0.020000,14.485993,4.392208,0.000198,0.000017,-0.985542,-98.597840,3.587696
0.020000,14.485994,4.392208,0.000198,0.000037,0.000986,49.326393,3.587697
0.020000,14.485995,4.392208,0.000199,0.000055,0.000916,-0.003490,3.587698
0.020000,14.482753,4.390658,0.003794,0.179716,8.983043,449.106335,3.587699
0.020000,14.477948,4.388360,0.009119,0.266273,4.327822,-232.761020,3.587700
0.020000,14.472076,4.385551,0.015629,0.325480,2.960362,-68.372992,3.587701
0.020000,14.465135,4.382232,0.023323,0.384709,2.961428,0.053278,3.587701
0.020000,14.457124,4.378401,0.032202,0.443962,2.962687,0.062961,3.587700
0.020000,14.448044,4.374058,0.042267,0.503245,2.964141,0.072673,3.587696
0.020000,14.437894,4.369204,0.053518,0.562561,2.965787,0.082331,3.587690
0.020000,14.426673,4.363837,0.065957,0.621913,2.967628,0.092021,3.587681
0.020000,14.414380,4.357958,0.079583,0.681307,2.969662,0.101718,3.587667
0.020000,14.401015,4.351567,0.094398,0.740744,2.971889,0.111345,3.587649
0.020000,14.386576,4.344663,0.110402,0.800231,2.974316,0.121359,3.587624
0.020000,14.371063,4.337245,0.127598,0.859769,2.976926,0.130516,3.587593
0.020000,14.354474,4.329314,0.145985,0.919364,2.979739,0.140606,3.587553
0.020000,14.336809,4.320869,0.165565,0.979019,2.982744,0.150275,3.587504
0.020000,14.318065,4.311909,0.186340,1.038738,2.985941,0.159829,3.587445
0.020000,14.298242,4.302436,0.208311,1.098524,2.989332,0.169578,3.587374
0.020000,14.277338,4.292448,0.231478,1.158383,2.992924,0.179572,3.587289
0.020000,14.255352,4.281945,0.255845,1.218317,2.996705,0.189076,3.587189
0.020000,14.232281,4.270927,0.281411,1.278331,3.000678,0.198667,3.587073
0.020000,14.208124,4.259394,0.308180,1.338428,3.004849,0.208509,3.586939
0.020000,14.182879,4.247347,0.336152,1.398612,3.009234,0.219277,3.586786
0.020000,14.156545,4.234784,0.365330,1.458888,3.013771,0.226859,3.586610
0.020000,14.129118,4.221707,0.395715,1.519259,3.018553,0.239078,3.586411
0.020000,14.100596,4.208115,0.427310,1.579729,3.023502,0.247453,3.586187
0.020000,14.070977,4.194009,0.460116,1.640302,3.028658,0.257779,3.585935
0.020000,14.040259,4.179389,0.494135,1.700982,3.034020,0.268105,3.585654
0.020000,14.008439,4.164257,0.529371,1.761773,3.039543,0.276175,3.585340
0.020000,13.975513,4.148612,0.565824,1.822680,3.045330,0.289350,3.584993
0.020000,13.941479,4.132456,0.603498,1.883705,3.051260,0.296488,3.584609
0.020000,13.906334,4.115789,0.642395,1.944853,3.057409,0.307456,3.584187
0.020000,13.870073,4.098614,0.682518,2.006129,3.063782,0.318658,3.583723
0.020000,13.832694,4.080930,0.723869,2.067535,3.070324,0.327108,3.583214
0.020000,13.794193,4.062741,0.766450,2.129077,3.077093,0.338447,3.582660
0.020000,13.754565,4.044048,0.810265,2.190758,3.084051,0.347900,3.582056
0.020000,13.713807,4.024853,0.855317,2.252583,3.091234,0.359146,3.581399
0.020000,13.671915,4.005159,0.901608,2.314555,3.098608,0.368673,3.580688
0.020000,13.628883,3.984968,0.949142,2.376679,3.106201,0.379684,3.579918
0.020000,13.584706,3.964283,0.997921,2.438959,3.114012,0.390523,3.579087
0.020000,13.539381,3.943108,1.047949,2.501400,3.122029,0.400861,3.578191
0.020000,13.492901,3.921446,1.099229,2.564005,3.130241,0.410578,3.577228
0.020000,13.445260,3.899301,1.151765,2.626778,3.138680,0.421951,3.576193
0.020000,13.396454,3.876678,1.205559,2.689726,3.147391,0.435549,3.575084
0.020000,13.346476,3.853581,1.260616,2.752850,3.156198,0.440353,3.573897
0.020000,13.295320,3.830016,1.316939,2.816158,3.165378,0.459021,3.572629
0.020000,13.242978,3.805988,1.374532,2.879651,3.174648,0.463487,3.571275
0.020000,13.189445,3.781503,1.433399,2.943334,3.184197,0.477467,3.569832
0.020000,13.134713,3.756569,1.493543,3.007215,3.194017,0.491001,3.568296
0.020000,13.078774,3.731192,1.554969,3.071294,3.203966,0.497425,3.566663
0.020000,13.021621,3.705380,1.617681,3.135579,3.214242,0.513799,3.564930
0.020000,12.963246,3.679141,1.681682,3.200072,3.224665,0.521182,3.563091
0.020000,12.903639,3.652484,1.746978,3.264780,3.235365,0.534980,3.561142
0.020000,12.842793,3.625420,1.813572,3.329705,3.246264,0.544931,3.559080
0.020000,12.780697,3.597957,1.881469,3.394855,3.257506,0.562101,3.556900
0.020000,12.717344,3.570108,1.950674,3.460231,3.268778,0.563625,3.554598
0.020000,12.652722,3.541883,2.021190,3.525839,3.280443,0.583243,3.552168
0.020000,12.586822,3.513295,2.093024,3.591685,3.292304,0.593072,3.549606
0.020000,12.519633,3.484358,2.166180,3.657773,3.304358,0.602697,3.546907
0.020000,12.451144,3.455086,2.240662,3.724105,3.316601,0.612158,3.544067
0.020000,12.381344,3.425494,2.316475,3.790689,3.329214,0.630602,3.541081
0.020000,12.310222,3.395597,2.393626,3.857526,3.341862,0.632434,3.537943
0.020000,12.237765,3.365413,2.472118,3.924623,3.354826,0.648202,3.534648
0.020000,12.163961,3.334961,2.551958,3.991982,3.367958,0.656583,3.531191
0.020000,12.088798,3.304258,2.633150,4.059608,3.381300,0.667097,3.527568
0.020000,12.012262,3.273326,2.715700,4.127504,3.394825,0.676269,3.523771
0.020000,11.934341,3.242185,2.799614,4.195674,3.408505,0.683979,3.519797
0.020000,11.855020,3.210858,2.884896,4.264121,3.422326,0.691040,3.515640
0.020000,11.774287,3.179369,2.971553,4.332847,3.436301,0.698766,3.511293
0.020000,11.692126,3.147744,3.059590,4.401855,3.450420,0.705958,3.506752
0.020000,11.608719,3.116082,3.148805,4.460717,2.943073,-25.367369,3.502022
0.020000,11.524539,3.084589,3.238683,4.493927,1.660516,-64.127859,3.497127
0.020000,11.440261,3.053535,3.328500,4.490862,-0.153279,-90.689702,3.492106
0.020000,11.356476,3.023144,3.417626,4.456306,-1.727792,-78.725683,3.486996
0.020000,11.273492,2.993525,3.505738,4.405577,-2.536440,-40.432401,3.481821
0.020000,11.191421,2.964713,3.592720,4.349091,-2.824276,-14.391789,3.476592
0.020000,11.110273,2.936702,3.678566,4.292311,-2.839029,-0.737650,3.471316
0.020000,11.030059,2.909489,3.763271,4.235237,-2.853668,-0.731950,3.465998
0.020000,10.950789,2.883067,3.846828,4.177874,-2.868162,-0.724704,3.460644
0.020000,10.872474,2.857430,3.929233,4.120224,-2.882516,-0.717704,3.455259
0.020000,10.795125,2.832570,4.010479,4.062290,-2.896698,-0.709106,3.449850
0.020000,10.718753,2.808480,4.090560,4.004075,-2.910729,-0.701542,3.444421
0.020000,10.643368,2.785151,4.169472,3.945584,-2.924570,-0.692052,3.438979
0.020000,10.568982,2.762575,4.247208,3.886820,-2.938184,-0.680715,3.433529
0.020000,10.495606,2.740741,4.323764,3.827787,-2.951683,-0.674944,3.428075
0.020000,10.423250,2.719640,4.399134,3.768490,-2.964833,-0.657479,3.422624
0.020000,10.351926,2.699260,4.473312,3.708933,-2.977858,-0.651271,3.417180
0.020000,10.281644,2.679591,4.546295,3.649120,-2.990615,-0.637810,3.411748
0.020000,10.212415,2.660621,4.618076,3.589059,-3.003062,-0.622371,3.406334
0.020000,10.144249,2.642338,4.688651,3.528752,-3.015348,-0.614298,3.400942
0.020000,10.077158,2.624729,4.758015,3.468208,-3.027225,-0.593841,3.395577
0.020000,10.011150,2.607781,4.826164,3.407428,-3.038991,-0.588303,3.390243
0.020000,9.946237,2.591482,4.893092,3.346420,-3.050416,-0.571279,3.384946
0.020000,9.882427,2.575817,4.958796,3.285190,-3.061462,-0.552298,3.379689
0.020000,9.819732,2.560774,5.023271,3.223748,-3.072097,-0.531711,3.374477
0.020000,9.758160,2.546337,5.086513,3.162090,-3.082924,-0.541390,3.369314
0.020000,9.697721,2.532493,5.148517,3.100233,-3.092847,-0.496153,3.364204
0.020000,9.638423,2.519228,5.209281,3.038178,-3.102738,-0.494535,3.359150
0.020000,9.580275,2.506526,5.268800,2.975933,-3.112263,-0.476238,3.354157
0.020000,9.523287,2.494373,5.327069,2.913498,-3.121736,-0.473643,3.349229
0.020000,9.467465,2.482754,5.384087,2.850892,-3.130292,-0.427815,3.344368
0.020000,9.412819,2.471655,5.439850,2.788112,-3.139019,-0.436354,3.339579
0.020000,9.359355,2.461060,5.494353,2.725165,-3.147374,-0.417726,3.334864
0.020000,9.307082,2.450955,5.547594,2.662059,-3.155265,-0.394551,3.330226
0.020000,9.256005,2.441325,5.599570,2.598806,-3.162659,-0.369739,3.325669
0.020000,9.206134,2.432155,5.650278,2.535397,-3.170438,-0.388935,3.321196
0.020000,9.157472,2.423430,5.699715,2.471856,-3.177043,-0.330233,3.316809
0.020000,9.110028,2.415136,5.747879,2.408179,-3.183871,-0.341393,3.312511
0.020000,9.063807,2.407258,5.794766,2.344375,-3.190224,-0.317685,3.308305
0.020000,9.018815,2.399782,5.840375,2.280448,-3.196317,-0.304613,3.304192
0.020000,8.975058,2.392694,5.884703,2.216402,-3.202321,-0.300195,3.300176
0.020000,8.932540,2.385980,5.927748,2.152248,-3.207694,-0.268648,3.296258
0.020000,8.891266,2.379625,5.969508,2.087990,-3.212896,-0.260129,3.292440
0.020000,8.851242,2.373617,6.009981,2.023633,-3.217871,-0.248730,3.288725
0.020000,8.812471,2.367943,6.049164,1.959180,-3.222644,-0.238662,3.285115
0.020000,8.774959,2.362589,6.087057,1.894634,-3.227274,-0.231490,3.281610
0.020000,8.738708,2.357542,6.123657,1.830008,-3.231295,-0.201064,3.278213
0.020000,8.703723,2.352791,6.158963,1.765303,-3.235262,-0.198355,3.274926
0.020000,8.670008,2.348324,6.192974,1.700522,-3.239067,-0.190236,3.271749
0.020000,8.637564,2.344127,6.225687,1.635674,-3.242402,-0.166772,3.268685
0.020000,8.606397,2.340192,6.257102,1.570748,-3.246284,-0.194086,3.265734
0.020000,8.576508,2.336505,6.287218,1.505775,-3.248672,-0.119379,3.262898
0.020000,8.547900,2.333057,6.316032,1.440735,-3.251963,-0.164578,3.260177
0.020000,8.520576,2.329838,6.343545,1.375639,-3.254824,-0.143057,3.257574
0.020000,8.494539,2.326837,6.369755,1.310494,-3.257241,-0.120854,3.255089
0.020000,8.469790,2.324046,6.394661,1.245310,-3.259201,-0.097996,3.252722
0.020000,8.446331,2.321454,6.418263,1.180068,-3.262082,-0.144018,3.250476
0.020000,8.424164,2.319055,6.440559,1.114797,-3.263554,-0.073615,3.248350
0.020000,8.403292,2.316840,6.461548,1.049484,-3.265667,-0.105675,3.246345
0.020000,8.383715,2.314800,6.481231,0.984137,-3.267361,-0.084662,3.244463
0.020000,8.365435,2.312929,6.499606,0.918764,-3.268651,-0.064495,3.242703
0.020000,8.348454,2.311220,6.516673,0.853343,-3.271052,-0.120082,3.241066
0.020000,8.332773,2.309667,6.532431,0.787914,-3.271421,-0.018461,3.239553
0.020000,8.318392,2.308264,6.546880,0.722455,-3.272950,-0.076429,3.238165
0.020000,8.305313,2.307005,6.560020,0.656973,-3.274103,-0.057666,3.236901
0.020000,8.293536,2.305886,6.571849,0.591476,-3.274849,-0.037268,3.235762
0.020000,8.283064,2.304902,6.582369,0.525954,-3.276093,-0.062228,3.234748
0.020000,8.273894,2.304050,6.591577,0.460429,-3.276273,-0.008975,3.233860
0.020000,8.266030,2.303325,6.599475,0.394875,-3.277686,-0.070658,3.233098
0.020000,8.259471,2.302725,6.606061,0.329322,-3.277665,0.001046,3.232463
0.020000,8.254218,2.302248,6.611336,0.263749,-3.278633,-0.048391,3.231953
0.020000,8.250270,2.301891,6.615300,0.198179,-3.278523,0.005497,3.231571
0.020000,8.247629,2.301653,6.617952,0.132601,-3.278880,-0.017844,3.231314
0.020000,8.246190,2.301524,6.619397,0.072248,-3.017650,13.061506,3.231175
0.020000,8.245631,2.301474,6.619958,0.028046,-2.210114,40.376760,3.231121
0.020000,8.245518,2.301464,6.620072,0.005705,-1.117055,54.652959,3.231110
0.020000,8.245518,2.301464,6.620072,0.000000,-0.285240,41.590738,3.231110
