dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.614457,6.214521,0.000197,0.019728,0.986415,49.320733,3.587696
0.020000,13.614457,6.214521,0.000198,0.000017,-0.985542,-98.597840,3.587696
0.020000,13.614456,6.214520,0.000198,0.000037,0.000986,49.326393,3.587697
0.020000,13.614455,6.214520,0.000199,0.000055,0.000916,-0.003490,3.587698
0.020000,13.611210,6.212968,0.003796,0.179845,8.989454,449.426909,3.587699
0.020000,13.606404,6.210669,0.009124,0.266391,4.327329,-233.106246,3.587700
0.020000,13.600530,6.207860,0.015635,0.325554,2.958126,-68.460176,3.587701
0.020000,13.593589,6.204540,0.023329,0.384695,2.957060,-0.053279,3.587701
0.020000,13.585582,6.200711,0.032205,0.443811,2.955801,-0.062971,3.587700
0.020000,13.576508,6.196371,0.042263,0.502898,2.954348,-0.072634,3.587696
0.020000,13.566369,6.191522,0.053502,0.561952,2.952701,-0.082352,3.587690
0.020000,13.555165,6.186164,0.065922,0.620969,2.950860,-0.092039,3.587681
0.020000,13.542897,6.180297,0.079521,0.679946,2.948826,-0.101723,3.587667
0.020000,13.529565,6.173921,0.094298,0.738877,2.946596,-0.111479,3.587649
0.020000,13.515171,6.167038,0.110253,0.797761,2.944179,-0.120854,3.587624
0.020000,13.499715,6.159648,0.127385,0.856592,2.941557,-0.131089,3.587593
0.020000,13.483198,6.151751,0.145693,0.915367,2.938749,-0.140403,3.587553
0.020000,13.465622,6.143349,0.165174,0.974082,2.935746,-0.150145,3.587504
0.020000,13.446987,6.134441,0.185829,1.032733,2.932546,-0.160014,3.587445
0.020000,13.427294,6.125030,0.207655,1.091316,2.929152,-0.169704,3.587374
0.020000,13.406544,6.115115,0.230652,1.149827,2.925569,-0.179167,3.587289
0.020000,13.384739,6.104699,0.254817,1.208263,2.921786,-0.189139,3.587189
0.020000,13.361880,6.093782,0.280149,1.266619,2.917805,-0.199047,3.587073
0.020000,13.337967,6.082366,0.306647,1.324892,2.913630,-0.208733,3.586939
0.020000,13.313003,6.070452,0.334309,1.383077,2.909279,-0.217538,3.586786
0.020000,13.286988,6.058042,0.363132,1.441171,2.904689,-0.229531,3.586610
0.020000,13.259923,6.045138,0.393116,1.499170,2.899949,-0.236981,3.586411
0.020000,13.231811,6.031741,0.424257,1.557070,2.894984,-0.248278,3.586187
0.020000,13.202652,6.017854,0.456554,1.614866,2.889830,-0.257700,3.585935
0.020000,13.172447,6.003479,0.490006,1.672556,2.884486,-0.267185,3.585654
0.020000,13.141198,5.988618,0.524608,1.730134,2.878907,-0.278952,3.585340
0.020000,13.108906,5.973274,0.560360,1.787598,2.873191,-0.285777,3.584993
0.020000,13.075572,5.957450,0.597259,1.844943,2.867219,-0.298612,3.584609
0.020000,13.041198,5.941150,0.635302,1.902164,2.861064,-0.307770,3.584187
0.020000,13.005785,5.924375,0.674487,1.959258,2.854728,-0.316801,3.583723
0.020000,12.969334,5.907131,0.714812,2.016221,2.848155,-0.328624,3.583214
0.020000,12.931845,5.889421,0.756273,2.073050,2.841401,-0.337734,3.582660
0.020000,12.893322,5.871248,0.798868,2.129738,2.834425,-0.348801,3.582056
0.020000,12.853763,5.852618,0.842593,2.186283,2.827260,-0.358249,3.581399
0.020000,12.813172,5.833536,0.887447,2.242681,2.819870,-0.369501,3.580688
0.020000,12.771547,5.814005,0.933425,2.298926,2.812280,-0.379452,3.579918
0.020000,12.728891,5.794032,0.980526,2.355016,2.804486,-0.389720,3.579087
0.020000,12.685205,5.773623,1.028745,2.410945,2.796474,-0.400624,3.578191
0.020000,12.640489,5.752782,1.078079,2.466710,2.788228,-0.412282,3.577228
0.020000,12.594743,5.731518,1.128525,2.522305,2.779778,-0.422505,3.576193
0.020000,12.547969,5.709837,1.180080,2.577729,2.771163,-0.430767,3.575084
0.020000,12.500167,5.687746,1.232739,2.632973,2.762210,-0.447625,3.573897
0.020000,12.451338,5.665253,1.286500,2.688037,2.753183,-0.451370,3.572629
0.020000,12.401482,5.642366,1.341358,2.742913,2.743805,-0.468867,3.571275
0.020000,12.350600,5.619094,1.397310,2.797598,2.734257,-0.477425,3.569832
0.020000,12.298691,5.595446,1.454352,2.852088,2.724525,-0.486585,3.568296
0.020000,12.245756,5.571431,1.512479,2.906378,2.714472,-0.502631,3.566663
0.020000,12.191795,5.547061,1.571689,2.960463,2.704285,-0.509367,3.564930
0.020000,12.136807,5.522345,1.631975,3.014339,2.693791,-0.524723,3.563091
0.020000,12.080793,5.497295,1.693335,3.068001,2.683109,-0.534099,3.561142
0.020000,12.023753,5.471923,1.755764,3.121445,2.672166,-0.547157,3.559080
0.020000,11.965685,5.446241,1.819258,3.174667,2.661096,-0.553473,3.556900
0.020000,11.906590,5.420264,1.883811,3.227659,2.649608,-0.574411,3.554598
0.020000,11.846466,5.394003,1.949419,3.280420,2.638041,-0.578345,3.552168
0.020000,11.785313,5.367475,2.016078,3.332944,2.626215,-0.591319,3.549606
0.020000,11.723131,5.340694,2.083783,3.385227,2.614129,-0.604265,3.546907
0.020000,11.659917,5.313677,2.152528,3.437262,2.601788,-0.617066,3.544067
0.020000,11.595671,5.286439,2.222309,3.489050,2.589363,-0.621223,3.541081
0.020000,11.530393,5.258999,2.293120,3.540581,2.576559,-0.640236,3.537943
0.020000,11.464079,5.231375,2.364958,3.591854,2.563642,-0.645813,3.534648
0.020000,11.396730,5.203585,2.437815,3.642863,2.550493,-0.657477,3.531191
0.020000,11.328343,5.175650,2.511687,3.693607,2.537167,-0.666320,3.527568
0.020000,11.258917,5.147591,2.586569,3.744080,2.523659,-0.675365,3.523771
0.020000,11.188451,5.119429,2.662454,3.794279,2.509969,-0.684521,3.519797
0.020000,11.116942,5.091188,2.739338,3.844202,2.496112,-0.692835,3.515640
0.020000,11.044388,5.062889,2.817215,3.893844,2.482134,-0.698904,3.511293
0.020000,10.970788,5.034559,2.896079,3.943206,2.468063,-0.703570,3.506752
0.020000,10.896314,5.006288,2.975739,3.982985,1.988955,-23.955383,3.502022
0.020000,10.821395,4.978259,3.055729,3.999526,0.827063,-58.094582,3.497127
0.020000,10.746634,4.950712,3.135404,3.983724,-0.790084,-80.857346,3.492106
0.020000,10.672552,4.923841,3.214208,3.940230,-2.174702,-69.230940,3.486996
0.020000,10.599414,4.897736,3.291866,3.882884,-2.867327,-34.631256,3.481821
0.020000,10.527308,4.872422,3.368286,3.820999,-3.094208,-11.344017,3.476592
0.020000,10.456235,4.847889,3.443474,3.759410,-3.079451,0.737835,3.471316
0.020000,10.386194,4.824127,3.517437,3.698114,-3.064826,0.731266,3.465998
0.020000,10.317184,4.801125,3.590179,3.637107,-3.050326,0.724990,3.460644
0.020000,10.249206,4.778871,3.661706,3.576388,-3.035978,0.717402,3.455259
0.020000,10.182260,4.757355,3.732026,3.515952,-3.021776,0.710080,3.449850
0.020000,10.116345,4.736563,3.801141,3.455797,-3.007762,0.700725,3.444421
0.020000,10.051463,4.716484,3.869060,3.395919,-2.993924,0.691898,3.438979
0.020000,9.987613,4.697105,3.935786,3.336314,-2.980254,0.683514,3.433529
0.020000,9.924795,4.678413,4.001326,3.276976,-2.966869,0.669232,3.428075
0.020000,9.863011,4.660395,4.065684,3.217904,-2.953591,0.663876,3.422624
0.020000,9.802260,4.643037,4.128866,3.159092,-2.940635,0.647806,3.417180
0.020000,9.742544,4.626324,4.190876,3.100534,-2.927897,0.636922,3.411748
0.020000,9.683863,4.610245,4.251721,3.042226,-2.915362,0.626719,3.406334
0.020000,9.626217,4.594783,4.311404,2.984163,-2.903176,0.609342,3.400942
0.020000,9.569608,4.579925,4.369931,2.926340,-2.891144,0.601586,3.395577
0.020000,9.514035,4.565657,4.427306,2.868749,-2.879536,0.580419,3.390243
0.020000,9.459500,4.551963,4.483534,2.811386,-2.868171,0.568240,3.384946
0.020000,9.406004,4.538830,4.538618,2.754245,-2.857030,0.557022,3.379689
0.020000,9.353546,4.526243,4.592565,2.697323,-2.846100,0.546530,3.374477
0.020000,9.302129,4.514187,4.645377,2.640605,-2.835895,0.510249,3.369314
0.020000,9.251751,4.502648,4.697059,2.584095,-2.825505,0.519477,3.364204
0.020000,9.202415,4.491611,4.747615,2.527782,-2.815668,0.491880,3.359150
0.020000,9.154121,4.481062,4.797048,2.471660,-2.806108,0.477978,3.354157
0.020000,9.106869,4.470985,4.845362,2.415718,-2.797091,0.450877,3.349229
0.020000,9.060660,4.461367,4.892561,2.359960,-2.787900,0.459530,3.344368
0.020000,9.015495,4.452194,4.938649,2.304371,-2.779438,0.423073,3.339579
0.020000,8.971374,4.443450,4.983628,2.248946,-2.771254,0.409239,3.334864
0.020000,8.928298,4.435123,5.027501,2.193681,-2.763268,0.399262,3.330226
0.020000,8.886267,4.427199,5.070273,2.138572,-2.755453,0.390793,3.325669
0.020000,8.845282,4.419663,5.111945,2.083601,-2.748524,0.346403,3.321196
0.020000,8.805343,4.412502,5.152520,2.028777,-2.741196,0.366426,3.316809
0.020000,8.766451,4.405703,5.192002,1.974085,-2.734608,0.329381,3.312511
0.020000,8.728607,4.399252,5.230392,1.919522,-2.728179,0.321446,3.308305
0.020000,8.691810,4.393138,5.267694,1.865080,-2.722074,0.305269,3.304192
0.020000,8.656061,4.387347,5.303909,1.810752,-2.716423,0.282572,3.300176
0.020000,8.621360,4.381867,5.339040,1.756536,-2.710770,0.282625,3.296258
0.020000,8.587708,4.376686,5.373088,1.702427,-2.705481,0.264453,3.292440
0.020000,8.555105,4.371792,5.406057,1.648417,-2.700495,0.249292,3.288725
0.020000,8.523551,4.367174,5.437947,1.594500,-2.695821,0.233728,3.285115
0.020000,8.493047,4.362820,5.468760,1.540671,-2.691490,0.216512,3.281610
0.020000,8.463592,4.358720,5.498499,1.486928,-2.687112,0.218909,3.278213
0.020000,8.435188,4.354862,5.527164,1.433266,-2.683123,0.199474,3.274926
0.020000,8.407833,4.351238,5.554757,1.379677,-2.679419,0.185185,3.271749
0.020000,8.381529,4.347836,5.581281,1.326163,-2.675737,0.184078,3.268685
0.020000,8.356275,4.344646,5.606735,1.272705,-2.672887,0.142544,3.265734
0.020000,8.332072,4.341661,5.631121,1.219321,-2.669198,0.184423,3.262898
0.020000,8.308920,4.338871,5.654441,1.165989,-2.666601,0.129862,3.260177
0.020000,8.286819,4.336267,5.676695,1.112709,-2.663999,0.130096,3.257574
0.020000,8.265769,4.333841,5.697885,1.059482,-2.661368,0.131556,3.255089
0.020000,8.245769,4.331585,5.718011,1.006308,-2.658684,0.134205,3.252722
0.020000,8.226821,4.329492,5.737074,0.953167,-2.657046,0.081878,3.250476
0.020000,8.208924,4.327555,5.755076,0.900076,-2.654561,0.124271,3.248350
0.020000,8.192078,4.325767,5.772016,0.847018,-2.652871,0.084509,3.246345
0.020000,8.176284,4.324121,5.787896,0.793996,-2.651106,0.088220,3.244463
0.020000,8.161541,4.322612,5.802716,0.741011,-2.649270,0.091802,3.242703
0.020000,8.147849,4.321235,5.816477,0.688039,-2.648573,0.034843,3.241066
0.020000,8.135209,4.319983,5.829179,0.635110,-2.646470,0.105172,3.239553
0.020000,8.123620,4.318852,5.840823,0.582200,-2.645524,0.047291,3.238165
0.020000,8.113082,4.317838,5.851410,0.529310,-2.644489,0.051740,3.236901
0.020000,8.103596,4.316936,5.860938,0.476443,-2.643331,0.057909,3.235762
0.020000,8.095162,4.316144,5.869410,0.423588,-2.642773,0.027921,3.234748
0.020000,8.087778,4.315458,5.876825,0.370757,-2.641547,0.061276,3.233860
0.020000,8.081447,4.314874,5.883184,0.317927,-2.641500,0.002380,3.233098
0.020000,8.076166,4.314391,5.888486,0.265117,-2.640476,0.051164,3.232463
0.020000,8.071938,4.314007,5.892732,0.212309,-2.640423,0.002644,3.231953
0.020000,8.068760,4.313720,5.895923,0.159515,-2.639673,0.037503,3.231571
0.020000,8.066634,4.313528,5.898057,0.106726,-2.639466,0.010349,3.231314
0.020000,8.065476,4.313424,5.899220,0.058148,-2.428891,10.528758,3.231175
0.020000,8.065026,4.313384,5.899672,0.022572,-1.778803,32.504432,3.231121
0.020000,8.064935,4.313376,5.899763,0.004591,-0.899036,43.988326,3.231110
0.020000,8.064935,4.313376,5.899763,0.000000,-0.229568,33.473417,3.231110
