dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000999,1.010000,0.000199,0.019851,0.992530,49.626490,6.282196
0.020000,0.000959,1.010000,0.000239,0.002001,-0.892479,-94.250421,6.282236
0.020000,0.000869,1.010000,0.000329,0.004503,0.125093,50.878582,6.282325
0.020000,0.000719,1.010000,0.000479,0.007507,0.150186,1.254625,6.282474
0.020000,0.000509,1.010000,0.000689,0.010513,0.150320,0.006708,6.282682
0.020000,0.000238,1.010000,0.000959,0.013523,0.150508,0.009396,6.282950
0.020000,0.001744,1.010000,0.002465,0.075284,3.088043,146.876786,0.000092
0.020000,0.009096,1.010002,0.009817,0.367601,14.615840,576.389832,0.000479
0.020000,0.017575,1.010008,0.018296,0.423950,2.817442,-589.919881,0.000927
0.020000,0.027187,1.010019,0.027909,0.480621,2.833556,0.805689,0.001435
0.020000,0.037925,1.010038,0.038647,0.536908,2.814382,-0.958702,0.002003
0.020000,0.049797,1.010065,0.050519,0.593607,2.834931,1.027447,0.002633
0.020000,0.062796,1.010104,0.063518,0.649942,2.816760,-0.908568,0.003324
0.020000,0.076922,1.010156,0.077644,0.706312,2.818497,0.086858,0.004077
0.020000,0.092179,1.010225,0.092901,0.762830,2.825876,0.368964,0.004892
0.020000,0.108563,1.010312,0.109285,0.819232,2.820136,-0.287015,0.005769
0.020000,0.126074,1.010421,0.126797,0.875577,2.817211,-0.146237,0.006709
0.020000,0.144712,1.010556,0.145435,0.931907,2.816519,-0.034626,0.007713
0.020000,0.164476,1.010719,0.165199,0.988211,2.815209,-0.065451,0.008781
0.020000,0.185364,1.010914,0.186089,1.044477,2.813280,-0.096468,0.009914
0.020000,0.207377,1.011146,0.208102,1.100691,2.810727,-0.127669,0.011112
0.020000,0.230516,1.011417,0.231244,1.157053,2.818093,0.368331,0.012376
0.020000,0.254778,1.011734,0.255507,1.213194,2.807038,-0.552772,0.013707
0.020000,0.280160,1.012099,0.280892,1.269237,2.802133,-0.245235,0.015105
0.020000,0.306666,1.012519,0.307401,1.325459,2.811143,0.450473,0.016572
0.020000,0.334291,1.012998,0.335030,1.381453,2.799667,-0.573790,0.018107
0.020000,0.363036,1.013542,0.363781,1.437518,2.803241,0.178691,0.019713
0.020000,0.392898,1.014156,0.393648,1.493386,2.793423,-0.490908,0.021389
0.020000,0.423879,1.014845,0.424638,1.549473,2.804361,0.546946,0.023137
0.020000,0.455975,1.015617,0.456743,1.605258,2.789220,-0.757087,0.024958
0.020000,0.489185,1.016478,0.489964,1.661035,2.788881,-0.016916,0.026853
0.020000,0.523507,1.017434,0.524300,1.716792,2.787847,-0.051742,0.028823
0.020000,0.558943,1.018491,0.559751,1.772556,2.788192,0.017294,0.030870
0.020000,0.595488,1.019659,0.596315,1.828191,2.781733,-0.322947,0.032993
0.020000,0.633141,1.020943,0.633990,1.883752,2.778059,-0.183724,0.035196
0.020000,0.671902,1.022352,0.672776,1.939328,2.778825,0.038311,0.037478
0.020000,0.711768,1.023894,0.712671,1.994767,2.771931,-0.344702,0.039842
0.020000,0.752735,1.025577,0.753673,2.050098,2.766545,-0.269291,0.042288
0.020000,0.794801,1.027410,0.795780,2.105306,2.760409,-0.306831,0.044819
0.020000,0.837968,1.029403,0.838993,2.160663,2.767851,0.372095,0.047436
0.020000,0.882230,1.031564,0.883307,2.215707,2.752202,-0.782417,0.050140
0.020000,0.927585,1.033903,0.928723,2.270796,2.754441,0.111912,0.052934
0.020000,0.974030,1.036431,0.975236,2.325669,2.743647,-0.539699,0.055818
0.020000,1.021565,1.039158,1.022850,2.380670,2.750074,0.321387,0.058795
0.020000,1.070184,1.042095,1.071557,2.435355,2.734251,-0.791184,0.061867
0.020000,1.119883,1.045253,1.121357,2.489989,2.731678,-0.128619,0.065036
0.020000,1.170661,1.048643,1.172248,2.544554,2.728237,-0.172041,0.068303
0.020000,1.222515,1.052278,1.224229,2.599045,2.724540,-0.184859,0.071672
0.020000,1.275440,1.056170,1.277296,2.653394,2.717451,-0.354466,0.075143
0.020000,1.329433,1.060332,1.331450,2.707658,2.713206,-0.212244,0.078721
0.020000,1.384489,1.064776,1.386685,2.761769,2.705548,-0.382917,0.082405
0.020000,1.440604,1.069518,1.442999,2.815720,2.697591,-0.397857,0.086201
0.020000,1.497771,1.074571,1.500389,2.869495,2.688702,-0.444440,0.090109
0.020000,1.555989,1.079949,1.558855,2.923297,2.690126,0.071205,0.094133
0.020000,1.615250,1.085667,1.618392,2.976833,2.676783,-0.667161,0.098275
0.020000,1.675550,1.091742,1.678997,3.030269,2.671808,-0.248729,0.102539
0.020000,1.736882,1.098189,1.740667,3.083475,2.660309,-0.574968,0.106926
0.020000,1.799243,1.105024,1.803401,3.136722,2.662325,0.100834,0.111442
0.020000,1.862623,1.112266,1.867193,3.189615,2.644649,-0.883798,0.116087
0.020000,1.927016,1.119931,1.932041,3.242381,2.638319,-0.316517,0.120867
0.020000,1.992415,1.128037,1.997941,3.294998,2.630875,-0.372214,0.125784
0.020000,2.058814,1.136603,2.064890,3.347445,2.622306,-0.428421,0.130843
0.020000,2.126203,1.145649,2.132884,3.399697,2.612606,-0.485014,0.136046
0.020000,2.194575,1.155195,2.201918,3.451732,2.601769,-0.541852,0.141397
0.020000,2.263919,1.165260,2.271989,3.503528,2.589793,-0.598784,0.146901
0.020000,2.334229,1.175867,2.343094,3.555267,2.586962,-0.141545,0.152562
0.020000,2.405492,1.187036,2.415228,3.606659,2.569612,-0.867531,0.158383
0.020000,2.477699,1.198790,2.488385,3.657865,2.560264,-0.467403,0.164369
0.020000,2.550837,1.211152,2.562561,3.708806,2.547074,-0.659473,0.170526
0.020000,2.624899,1.224146,2.637754,3.759647,2.542020,-0.252710,0.176856
0.020000,2.699869,1.237796,2.713956,3.810098,2.522594,-0.971304,0.183366
0.020000,2.775734,1.252128,2.791163,3.860339,2.512022,-0.528584,0.190060
0.020000,2.852481,1.267166,2.869369,3.910341,2.500119,-0.595154,0.196943
0.020000,2.930096,1.282938,2.948571,3.960079,2.486899,-0.661027,0.204021
0.020000,3.008564,1.299470,3.028762,4.009527,2.472382,-0.725839,0.211299
0.020000,3.087868,1.316790,3.109935,4.058659,2.456598,-0.789191,0.218781
0.020000,3.167993,1.334928,3.192088,4.107639,2.449004,-0.379720,0.226476
0.020000,3.248920,1.353913,3.275212,4.156197,2.427913,-1.054537,0.234386
0.020000,3.330632,1.373774,3.359302,4.204512,2.415745,-0.608415,0.242520
0.020000,3.413105,1.394542,3.444350,4.252423,2.395568,-1.008845,0.250882
0.020000,3.496325,1.416251,3.530355,4.300235,2.390556,-0.250582,0.259480
0.020000,3.580266,1.438931,3.617306,4.347560,2.366274,-1.214122,0.268319
0.020000,3.664907,1.462615,3.705198,4.394589,2.351442,-0.741593,0.277405
0.020000,3.750223,1.487339,3.794024,4.441296,2.335380,-0.803118,0.286746
0.020000,3.836189,1.513136,3.883777,4.487660,2.318170,-0.860458,0.296347
0.020000,3.922780,1.540042,3.974453,4.533784,2.306200,-0.598531,0.306215
0.020000,4.009969,1.568093,4.066043,4.579505,2.286077,-1.006128,0.316357
0.020000,4.097725,1.597326,4.158540,4.624851,2.267263,-0.940700,0.326779
0.020000,4.186021,1.627779,4.251939,4.669973,2.256107,-0.557793,0.337488
0.020000,4.274823,1.659489,4.346234,4.714718,2.237249,-0.942910,0.348491
0.020000,4.364100,1.692495,4.441416,4.759119,2.220069,-0.859017,0.359792
0.020000,4.453816,1.726837,4.537481,4.803237,2.205909,-0.708005,0.371399
0.020000,4.543937,1.762555,4.634422,4.847061,2.191188,-0.736035,0.383318
0.020000,4.634426,1.799690,4.732234,4.890584,2.176149,-0.751942,0.395554
0.020000,4.725243,1.838281,4.830910,4.933805,2.161062,-0.754372,0.408113
0.020000,4.816349,1.878371,4.930447,4.976856,2.152542,-0.425986,0.421000
0.020000,4.907703,1.920002,5.030839,5.019594,2.136893,-0.782457,0.434219
0.020000,4.999261,1.963215,5.132083,5.062190,2.129823,-0.353502,0.447774
0.020000,5.090978,2.008053,5.234173,5.104544,2.117670,-0.607661,0.461669
0.020000,5.182810,2.054558,5.337109,5.146791,2.112351,-0.265929,0.475906
0.020000,5.274709,2.102773,5.440888,5.188949,2.107919,-0.221592,0.490489
0.020000,5.366626,2.152741,5.545509,5.231045,2.104769,-0.157505,0.505417
0.020000,5.458511,2.204505,5.650971,5.273111,2.103315,-0.072717,0.520691
0.020000,5.550312,2.258106,5.757275,5.315191,2.103984,0.033477,0.536311
0.020000,5.641977,2.313587,5.864423,5.357414,2.111185,0.360041,0.552274
0.020000,5.733453,2.370990,5.972419,5.399752,2.116898,0.285632,0.568578
0.020000,5.824685,2.430356,6.081266,5.442355,2.130148,0.662517,0.585217
0.020000,5.915617,2.491727,6.190970,5.485203,2.142374,0.611310,0.602188
0.020000,6.006193,2.555142,6.301538,5.528431,2.161396,0.951062,0.619481
0.020000,6.096355,2.620642,6.412980,5.572103,2.183611,1.110777,0.637089
0.020000,6.186044,2.688265,6.525306,5.616290,2.209361,1.287509,0.655000
0.020000,6.275204,2.758048,6.638528,5.661069,2.238947,1.479270,0.673205
0.020000,6.363773,2.830028,6.752658,5.706522,2.272660,1.685650,0.691688
0.020000,6.451694,2.904242,6.867713,5.752773,2.312546,1.994311,0.710435
0.020000,6.538907,2.980721,6.983710,5.799819,2.352304,1.987915,0.729429
0.020000,6.625352,3.059500,7.100666,5.847823,2.400208,2.395177,0.748652
0.020000,6.710846,3.140491,7.218432,5.888292,2.023456,-18.837606,0.768057
0.020000,6.795054,3.223430,7.336626,5.909706,1.070685,-47.638546,0.787555
0.020000,6.877545,3.307906,7.454698,5.903594,-0.305623,-68.815406,0.807029
0.020000,6.957962,3.393523,7.572159,5.873061,-1.526626,-61.050117,0.826375
0.020000,7.036134,3.480029,7.688753,5.829692,-2.168468,-32.092117,0.845525
0.020000,7.112019,3.567285,7.804391,5.781891,-2.390055,-11.079356,0.864442
0.020000,7.185648,3.655233,7.919091,5.735020,-2.343545,2.325519,0.883108
0.020000,7.257057,3.743813,8.032870,5.688926,-2.304691,1.942672,0.901508
