dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.299491,11.590000,0.000198,0.019814,0.990708,49.535387,3.141646
0.020000,17.299480,11.590000,0.000209,0.000563,-0.962559,-97.663334,3.141635
0.020000,17.299455,11.590000,0.000235,0.001266,0.035145,49.885209,3.141610
0.020000,17.297659,11.590000,0.002031,0.089801,4.426740,219.579719,3.141568
0.020000,17.293439,11.590000,0.006251,0.210994,6.059645,81.645258,3.141510
0.020000,17.288013,11.590001,0.011676,0.271268,3.013742,-152.295138,3.141435
0.020000,17.281383,11.590002,0.018307,0.331536,3.013404,-0.016893,3.141344
0.020000,17.273547,11.590005,0.026143,0.391796,3.012989,-0.020737,3.141236
0.020000,17.264506,11.590008,0.035184,0.452046,3.012501,-0.024445,3.141113
0.020000,17.254260,11.590014,0.045429,0.512285,3.011936,-0.028236,3.140974
0.020000,17.242810,11.590022,0.056879,0.572511,3.011296,-0.031979,3.140819
0.020000,17.230155,11.590033,0.069534,0.632723,3.010582,-0.035726,3.140650
0.020000,17.216297,11.590047,0.083392,0.692918,3.009791,-0.039538,3.140465
0.020000,17.201235,11.590066,0.098454,0.753097,3.008925,-0.043313,3.140266
0.020000,17.184970,11.590089,0.114719,0.813257,3.007984,-0.047020,3.140052
0.020000,17.167502,11.590118,0.132187,0.873396,3.006968,-0.050821,3.139825
0.020000,17.148832,11.590153,0.150858,0.933513,3.005876,-0.054597,3.139584
0.020000,17.128960,11.590196,0.170730,0.993608,3.004709,-0.058339,3.139330
0.020000,17.107886,11.590246,0.191803,1.053677,3.003467,-0.062106,3.139064
0.020000,17.085612,11.590306,0.214078,1.113720,3.002149,-0.065921,3.138786
0.020000,17.062137,11.590375,0.237552,1.173735,3.000756,-0.069621,3.138497
0.020000,17.037463,11.590455,0.262227,1.233721,2.999287,-0.073452,3.138197
0.020000,17.011590,11.590547,0.288100,1.293676,2.997744,-0.077182,3.137887
0.020000,16.984518,11.590651,0.315172,1.353598,2.996124,-0.080962,3.137567
0.020000,16.956248,11.590770,0.343442,1.413487,2.994430,-0.084733,3.137239
0.020000,16.926782,11.590903,0.372909,1.473340,2.992660,-0.088504,3.136902
0.020000,16.896119,11.591052,0.403572,1.533156,2.990814,-0.092272,3.136558
0.020000,16.864261,11.591218,0.435431,1.592934,2.988893,-0.096045,3.136208
0.020000,16.831208,11.591402,0.468484,1.652672,2.986897,-0.099817,3.135851
0.020000,16.796961,11.591605,0.502731,1.712369,2.984825,-0.103569,3.135489
0.020000,16.761521,11.591828,0.538172,1.772022,2.982678,-0.107365,3.135124
0.020000,16.724890,11.592072,0.574804,1.831631,2.980456,-0.111108,3.134755
0.020000,16.687067,11.592337,0.612628,1.891194,2.978158,-0.114894,3.134383
0.020000,16.648054,11.592626,0.651643,1.950710,2.975785,-0.118661,3.134010
0.020000,16.607851,11.592938,0.691846,2.010177,2.973337,-0.122421,3.133637
0.020000,16.566461,11.593275,0.733238,2.069593,2.970813,-0.126193,3.133264
0.020000,16.523883,11.593638,0.775817,2.128957,2.968213,-0.129962,3.132893
0.020000,16.480120,11.594027,0.819582,2.188268,2.965539,-0.133722,3.132524
0.020000,16.435171,11.594443,0.864533,2.247524,2.962789,-0.137493,3.132159
0.020000,16.389039,11.594886,0.910667,2.306723,2.959964,-0.141257,3.131799
0.020000,16.341724,11.595358,0.957985,2.365864,2.957064,-0.145020,3.131445
0.020000,16.293227,11.595859,1.006484,2.424946,2.954088,-0.148786,3.131098
0.020000,16.243551,11.596388,1.056163,2.483967,2.951037,-0.152548,3.130759
0.020000,16.192695,11.596948,1.107021,2.542925,2.947911,-0.156314,3.130430
0.020000,16.140662,11.597537,1.159058,2.601819,2.944709,-0.160073,3.130112
0.020000,16.087453,11.598156,1.212271,2.660648,2.941432,-0.163838,3.129806
0.020000,16.033069,11.598805,1.266659,2.719410,2.938080,-0.167598,3.129513
