dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.299437,12.600000,0.000198,0.019814,0.990708,49.535387,3.141646
0.020000,17.299437,12.600000,0.000991,0.059442,1.981415,49.535387,3.141635
0.020000,17.299437,12.600000,0.002774,0.118885,2.972123,49.535387,3.141610
0.020000,17.297683,12.600000,0.005746,0.178327,2.972123,0.000000,3.141568
0.020000,17.293522,12.600000,0.009907,0.237770,2.972123,-0.000000,3.141510
0.020000,17.288173,12.600001,0.015257,0.297212,2.972123,0.000000,3.141435
0.020000,17.281634,12.600002,0.021796,0.356655,2.972123,0.000000,3.141344
0.020000,17.273906,12.600005,0.029523,0.416097,2.972123,-0.000000,3.141236
0.020000,17.264990,12.600008,0.038439,0.475540,2.972123,0.000000,3.141113
0.020000,17.254885,12.600014,0.048545,0.534982,2.972123,0.000000,3.140974
0.020000,17.243591,12.600022,0.059839,0.594425,2.972123,-0.000000,3.140819
0.020000,17.231108,12.600032,0.072322,0.653867,2.972123,0.000000,3.140650
0.020000,17.217436,12.600047,0.085993,0.713310,2.972123,-0.000000,3.140465
0.020000,17.202575,12.600065,0.100854,0.772752,2.972123,0.000000,3.140266
0.020000,17.186526,12.600088,0.116904,0.832195,2.972123,-0.000000,3.140052
0.020000,17.169288,12.600116,0.134142,0.891637,2.972123,0.000000,3.139825
0.020000,17.150861,12.600151,0.152569,0.951079,2.972123,-0.000000,3.139584
0.020000,17.131245,12.600193,0.172185,1.010522,2.972123,0.000000,3.139330
0.020000,17.110440,12.600243,0.192990,1.069964,2.972123,0.000000,3.139064
0.020000,17.088446,12.600302,0.214984,1.129407,2.972123,-0.000000,3.138786
0.020000,17.065264,12.600370,0.238166,1.188849,2.972123,0.000000,3.138497
0.020000,17.040892,12.600449,0.262538,1.248292,2.972123,0.000000,3.138197
0.020000,17.015332,12.600540,0.288098,1.307734,2.972123,-0.000000,3.137887
0.020000,16.988583,12.600643,0.314847,1.367177,2.972123,0.000000,3.137567
0.020000,16.960646,12.600760,0.342785,1.426619,2.972123,0.000000,3.137239
0.020000,16.931519,12.600892,0.371912,1.486062,2.972123,0.000000,3.136902
