dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.100000,15.010000,0.000197,0.019745,0.987241,49.362035,3.141593
0.020000,15.100000,15.010000,0.000197,0.000000,-0.987241,-98.724070,3.141593
0.020000,15.100000,15.010000,0.000197,0.000000,0.000000,49.362035,3.141593
0.020000,15.100000,15.010000,0.000197,0.000000,0.000000,0.000000,3.141593
0.020000,15.096228,15.010000,0.003970,0.188620,9.431018,471.550879,3.141593
0.020000,15.090896,15.010000,0.009301,0.266555,3.896732,-276.714283,3.141593
0.020000,15.084381,15.010000,0.015817,0.325789,2.961722,-46.750490,3.141593
0.020000,15.076680,15.010000,0.023517,0.385024,2.961722,0.000000,3.141593
0.020000,15.067795,15.010000,0.032402,0.444258,2.961722,-0.000000,3.141593
0.020000,15.057725,15.010000,0.042472,0.503493,2.961722,0.000000,3.141593
0.020000,15.046471,15.010000,0.053727,0.562727,2.961722,-0.000000,3.141593
0.020000,15.034031,15.010000,0.066166,0.621962,2.961722,0.000000,3.141593
0.020000,15.020408,15.010000,0.079790,0.681196,2.961722,0.000000,3.141593
0.020000,15.005599,15.010000,0.094599,0.740431,2.961722,-0.000000,3.141593
0.020000,14.989606,15.010000,0.110592,0.799665,2.961722,0.000000,3.141593
0.020000,14.972428,15.010000,0.127770,0.858899,2.961722,-0.000000,3.141593
0.020000,14.954065,15.010000,0.146133,0.918134,2.961722,0.000000,3.141593
0.020000,14.934518,15.010000,0.165680,0.977368,2.961722,-0.000000,3.141593
0.020000,14.913786,15.010000,0.186412,1.036603,2.961722,0.000000,3.141593
0.020000,14.891869,15.010000,0.208329,1.095837,2.961722,-0.000000,3.141593
0.020000,14.868767,15.010000,0.231430,1.155072,2.961722,0.000000,3.141593
0.020000,14.844481,15.010000,0.255716,1.214306,2.961722,0.000000,3.141593
0.020000,14.819010,15.010000,0.281187,1.273541,2.961722,-0.000000,3.141593
0.020000,14.792355,15.010000,0.307843,1.332775,2.961722,0.000000,3.141593
0.020000,14.764515,15.010000,0.335683,1.392009,2.961722,-0.000000,3.141593
0.020000,14.735490,15.010000,0.364708,1.451244,2.961722,0.000000,3.141593
0.020000,14.705280,15.010000,0.394917,1.510478,2.961722,0.000000,3.141593
