dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.789029,13.391376,0.000197,0.019718,0.985923,49.296146,3.120801
0.020000,17.789023,13.391376,0.000204,0.000332,-0.969336,-97.762950,3.120794
0.020000,17.789008,13.391377,0.000219,0.000746,0.020703,49.501973,3.120779
0.020000,17.788076,13.391396,0.001151,0.046607,2.293041,113.616892,3.120755
0.020000,17.783901,13.391483,0.005326,0.208778,8.108545,290.775180,3.120720
0.020000,17.778534,13.391595,0.010695,0.268422,2.982202,-256.317148,3.120676
0.020000,17.771974,13.391733,0.017256,0.328061,2.981951,-0.012532,3.120623
0.020000,17.764222,13.391895,0.025010,0.387693,2.981645,-0.015316,3.120560
0.020000,17.755278,13.392084,0.033956,0.447319,2.981283,-0.018105,3.120487
0.020000,17.745141,13.392298,0.044095,0.506936,2.980865,-0.020888,3.120406
0.020000,17.733813,13.392539,0.055426,0.566544,2.980392,-0.023675,3.120316
0.020000,17.721293,13.392806,0.067949,0.626142,2.979862,-0.026453,3.120216
0.020000,17.707581,13.393100,0.081663,0.685727,2.979277,-0.029250,3.120109
0.020000,17.692679,13.393421,0.096569,0.745300,2.978637,-0.032024,3.119993
0.020000,17.676586,13.393770,0.112666,0.804859,2.977941,-0.034817,3.119869
0.020000,17.659302,13.394146,0.129955,0.864402,2.977189,-0.037599,3.119737
0.020000,17.640827,13.394551,0.148433,0.923930,2.976381,-0.040385,3.119598
0.020000,17.621163,13.394985,0.168102,0.983440,2.975518,-0.043168,3.119452
0.020000,17.600310,13.395449,0.188961,1.042932,2.974599,-0.045953,3.119299
0.020000,17.578267,13.395942,0.211009,1.102405,2.973624,-0.048750,3.119140
0.020000,17.555036,13.396466,0.234246,1.161857,2.972593,-0.051515,3.118975
0.020000,17.530617,13.397020,0.258672,1.221287,2.971507,-0.054317,3.118805
0.020000,17.505010,13.397606,0.284285,1.280694,2.970365,-0.057095,3.118630
0.020000,17.478215,13.398224,0.311087,1.340077,2.969168,-0.059877,3.118450
0.020000,17.450234,13.398874,0.339076,1.399436,2.967914,-0.062672,3.118266
0.020000,17.421067,13.399557,0.368251,1.458768,2.966605,-0.065448,3.118078
0.020000,17.390714,13.400274,0.398612,1.518073,2.965240,-0.068239,3.117888
0.020000,17.359176,13.401025,0.430159,1.577349,2.963820,-0.071015,3.117695
0.020000,17.326453,13.401810,0.462891,1.636596,2.962344,-0.073806,3.117501
0.020000,17.292547,13.402630,0.496808,1.695812,2.960812,-0.076587,3.117305
0.020000,17.257457,13.403486,0.531908,1.754997,2.959225,-0.079373,3.117109
