dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.831026,15.410939,0.000197,0.019718,0.985923,49.296146,3.120801
0.020000,17.831033,15.410939,0.000204,0.000332,-0.969336,-97.762950,3.120794
0.020000,17.831048,15.410939,0.000219,0.000746,0.020703,49.501973,3.120779
0.020000,17.830165,15.410957,0.001101,0.044124,2.168926,107.411138,3.120755
0.020000,17.826060,15.411043,0.005207,0.205310,8.059289,294.518127,3.120720
0.020000,17.820782,15.411153,0.010487,0.263977,2.933336,-256.297653,3.120676
0.020000,17.814330,15.411288,0.016940,0.322649,2.933586,0.012533,3.120623
0.020000,17.806705,15.411449,0.024566,0.381326,2.933893,0.015319,3.120560
0.020000,17.797907,15.411634,0.033367,0.440011,2.934255,0.018101,3.120487
0.020000,17.787935,15.411845,0.043341,0.498705,2.934672,0.020888,3.120406
0.020000,17.776789,15.412082,0.054489,0.557408,2.935146,0.023672,3.120316
0.020000,17.764470,15.412344,0.066811,0.616121,2.935675,0.026463,3.120216
0.020000,17.750976,15.412634,0.080308,0.674847,2.936260,0.029237,3.120109
0.020000,17.736308,15.412950,0.094980,0.733585,2.936901,0.032034,3.119993
0.020000,17.720465,15.413293,0.110827,0.792337,2.937597,0.034811,3.119869
0.020000,17.703447,15.413664,0.127849,0.851103,2.938349,0.037600,3.119737
0.020000,17.685253,15.414063,0.146047,0.909887,2.939156,0.040384,3.119598
0.020000,17.665884,15.414490,0.165420,0.968687,2.940020,0.043171,3.119452
0.020000,17.645339,15.414947,0.185970,1.027506,2.940939,0.045957,3.119299
0.020000,17.623618,15.415433,0.207697,1.086344,2.941914,0.048731,3.119140
0.020000,17.600720,15.415949,0.230601,1.145203,2.942944,0.051536,3.118975
0.020000,17.576644,15.416496,0.254683,1.204084,2.944030,0.054305,3.118805
0.020000,17.551391,15.417073,0.279943,1.262987,2.945172,0.057097,3.118630
0.020000,17.524960,15.417683,0.306381,1.321914,2.946370,0.059885,3.118450
0.020000,17.497350,15.418324,0.333998,1.380867,2.947623,0.062659,3.118266
0.020000,17.468561,15.418999,0.362795,1.439846,2.948932,0.065453,3.118078
0.020000,17.438592,15.419707,0.392772,1.498851,2.950297,0.068232,3.117888
0.020000,17.407443,15.420448,0.423930,1.557886,2.951718,0.071025,3.117695
0.020000,17.375114,15.421224,0.456269,1.616950,2.953194,0.073803,3.117501
