dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.672665,10.501800,0.000200,0.019990,0.999493,49.974644,4.712089
0.020000,22.672665,10.501856,0.000256,0.002796,-0.859700,-92.959632,4.712144
0.020000,22.672665,10.501982,0.000382,0.006302,0.175324,51.751165,4.712269
0.020000,22.672665,10.500924,0.001440,0.052908,2.330305,107.749086,4.712477
0.020000,22.672666,10.497022,0.005341,0.195059,7.107540,238.861727,4.712771
0.020000,22.672669,10.492009,0.010354,0.250659,2.780010,-216.376482,4.713151
0.020000,22.672675,10.485886,0.016477,0.306151,2.774598,-0.270590,4.713620
0.020000,22.672686,10.478656,0.023708,0.361530,2.768917,-0.284057,4.714180
0.020000,22.672703,10.470321,0.032043,0.416752,2.761120,-0.389852,4.714834
0.020000,22.672730,10.460885,0.041479,0.471804,2.752579,-0.427049,4.715585
0.020000,22.672768,10.450351,0.052012,0.526667,2.743162,-0.470853,4.716438
0.020000,22.672821,10.438725,0.063638,0.581300,2.731675,-0.574358,4.717396
0.020000,22.672891,10.426012,0.076352,0.635696,2.719796,-0.593928,4.718464
0.020000,22.672983,10.412216,0.090149,0.689818,2.706061,-0.686757,4.719648
0.020000,22.673101,10.397344,0.105021,0.743632,2.690697,-0.768217,4.720954
0.020000,22.673249,10.381402,0.120964,0.797125,2.674660,-0.801853,4.722389
0.020000,22.673432,10.364397,0.137969,0.850264,2.656952,-0.885411,4.723958
0.020000,22.673656,10.346339,0.156029,0.903011,2.637347,-0.980239,4.725671
0.020000,22.673928,10.327234,0.175136,0.955329,2.615912,-1.071738,4.727535
0.020000,22.674253,10.307093,0.195280,1.007200,2.593536,-1.118807,4.729560
0.020000,22.674640,10.285924,0.216452,1.058581,2.569089,-1.222359,4.731754
0.020000,22.675096,10.263741,0.238640,1.109423,2.542067,-1.351101,4.734129
0.020000,22.675629,10.240553,0.261834,1.159710,2.514369,-1.384885,4.736697
0.020000,22.676251,10.216373,0.286022,1.209372,2.483071,-1.564922,4.739468
0.020000,22.676969,10.191216,0.311189,1.258377,2.450262,-1.640421,4.742456
0.020000,22.677797,10.165095,0.337323,1.306682,2.415235,-1.751355,4.745675
0.020000,22.678745,10.138028,0.364407,1.354217,2.376768,-1.923341,4.749141
0.020000,22.679826,10.110030,0.392426,1.400931,2.335723,-2.052277,4.752869
0.020000,22.681055,10.081120,0.421361,1.446777,2.292302,-2.171031,4.756876
0.020000,22.682445,10.051320,0.451195,1.491663,2.244257,-2.402262,4.761183
0.020000,22.684014,10.020649,0.481905,1.535542,2.193947,-2.515509,4.765808
0.020000,22.685777,9.989132,0.513472,1.578318,2.138839,-2.755394,4.770773
0.020000,22.687753,9.956794,0.545870,1.619910,2.079584,-2.962742,4.776102
0.020000,22.689961,9.923663,0.579075,1.660231,2.016043,-3.177047,4.781821
0.020000,22.692422,9.889768,0.613058,1.699177,1.947308,-3.436778,4.787955
0.020000,22.695157,9.855144,0.647791,1.736634,1.872843,-3.723253,4.794536
0.020000,22.698189,9.819824,0.683241,1.772491,1.792862,-3.999022,4.801594
0.020000,22.701543,9.783847,0.719373,1.806619,1.706386,-4.323805,4.809163
0.020000,22.705244,9.747257,0.756150,1.838853,1.611692,-4.734721,4.817282
0.020000,22.709318,9.710098,0.793532,1.869081,1.511395,-5.014829,4.825990
0.020000,22.713793,9.672421,0.831474,1.897104,1.401149,-5.512277,4.835330
0.020000,22.718698,9.634280,0.869929,1.922744,1.282022,-5.956377,4.845350
0.020000,22.724063,9.595735,0.908845,1.945818,1.153684,-6.416883,4.856101
0.020000,22.729917,9.556851,0.948167,1.966105,1.014372,-6.965597,4.867637
0.020000,22.736290,9.517699,0.987835,1.983402,0.864828,-7.477227,4.880019
0.020000,22.743214,9.478354,1.027784,1.997447,0.702244,-8.129182,4.893310
0.020000,22.750719,9.438902,1.067944,2.008014,0.528367,-8.693837,4.907579
0.020000,22.758834,9.399430,1.108241,2.014834,0.341004,-9.368146,4.922900
0.020000,22.767587,9.360038,1.148595,2.017674,0.142017,-9.949371,4.939353
0.020000,22.777003,9.320827,1.188920,2.016252,-0.071101,-10.655904,4.957021
0.020000,22.787106,9.281910,1.229127,2.010363,-0.294462,-11.168057,4.975993
0.020000,22.797915,9.243403,1.269123,1.999793,-0.528501,-11.701925,4.996362
0.020000,22.809445,9.205427,1.308810,1.984374,-0.770926,-12.121282,5.018224
0.020000,22.821705,9.168108,1.348091,1.964051,-1.016182,-12.262790,5.041676
0.020000,22.834697,9.131573,1.386868,1.938831,-1.261009,-12.241333,5.066814
0.020000,22.848421,9.095947,1.425046,1.908902,-1.496449,-11.772013,5.093733
0.020000,22.862867,9.061349,1.462538,1.874610,-1.714585,-10.906778,5.122517
0.020000,22.878021,9.027889,1.499269,1.836573,-1.901857,-9.363640,5.153243
0.020000,22.893868,8.995661,1.535183,1.795675,-2.044880,-7.151146,5.185966
0.020000,22.910391,8.964736,1.570246,1.753148,-2.126350,-4.073486,5.220718
0.020000,22.927583,8.935156,1.604458,1.710614,-2.126714,-0.018220,5.257499
0.020000,22.945445,8.906933,1.637860,1.670067,-2.027341,4.968654,5.296271
0.020000,22.964004,8.880037,1.670537,1.633883,-1.809225,10.905838,5.336947
