dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.662665,10.502103,0.000200,0.019990,0.999493,49.974644,4.712089
0.020000,21.662665,10.502103,0.000999,0.059970,1.998986,49.974644,4.712144
0.020000,21.662665,10.502103,0.002799,0.119939,2.998479,49.974644,4.712269
0.020000,21.662665,10.500834,0.005797,0.179909,2.998479,0.000000,4.712477
0.020000,21.662666,10.496636,0.009995,0.239878,2.998479,-0.000000,4.712771
0.020000,21.662669,10.491239,0.015392,0.299848,2.998479,0.000000,4.713151
0.020000,21.662676,10.484643,0.021989,0.359817,2.998479,0.000000,4.713620
0.020000,21.662687,10.476847,0.029785,0.419787,2.998479,-0.000000,4.714180
0.020000,21.662706,10.467851,0.038780,0.479757,2.998479,0.000000,4.714834
0.020000,21.662735,10.457656,0.048975,0.539726,2.998479,-0.000000,4.715585
0.020000,21.662776,10.446262,0.060369,0.599696,2.998479,0.000000,4.716438
0.020000,21.662833,10.433669,0.072963,0.659665,2.998479,0.000000,4.717396
0.020000,21.662910,10.419876,0.086756,0.719635,2.998479,0.000000,4.718464
0.020000,21.663010,10.404884,0.101748,0.779604,2.998479,-0.000000,4.719648
0.020000,21.663138,10.388693,0.117940,0.839574,2.998479,-0.000000,4.720954
0.020000,21.663299,10.371302,0.135331,0.899544,2.998479,0.000000,4.722389
0.020000,21.663500,10.352713,0.153922,0.959513,2.998479,-0.000000,4.723958
0.020000,21.663745,10.332924,0.173712,1.019483,2.998479,0.000000,4.725671
0.020000,21.664044,10.311937,0.194701,1.079452,2.998479,-0.000000,4.727535
0.020000,21.664402,10.289751,0.216890,1.139422,2.998479,0.000000,4.729560
0.020000,21.664829,10.266367,0.240278,1.199391,2.998479,0.000000,4.731754
0.020000,21.665334,10.241785,0.264866,1.259361,2.998479,0.000000,4.734129
0.020000,21.665928,10.216004,0.290653,1.319331,2.998479,-0.000000,4.736697
0.020000,21.666621,10.189027,0.317639,1.379300,2.998479,0.000000,4.739468
0.020000,21.667426,10.160853,0.345825,1.439270,2.998479,0.000000,4.742456
0.020000,21.668356,10.131483,0.375210,1.499239,2.998479,-0.000000,4.745675
0.020000,21.669427,10.100917,0.405794,1.559209,2.998479,0.000000,4.749141
0.020000,21.670654,10.069157,0.437578,1.619178,2.998479,-0.000000,4.752869
0.020000,21.672054,10.036203,0.470561,1.679148,2.998479,-0.000000,4.756876
0.020000,21.673647,10.002058,0.504744,1.739118,2.998479,0.000000,4.761183
0.020000,21.675454,9.966722,0.540126,1.799087,2.998479,-0.000000,4.765808
0.020000,21.677498,9.930197,0.576707,1.859057,2.998479,0.000000,4.770773
0.020000,21.679802,9.892487,0.614488,1.919026,2.998479,-0.000000,4.776102
0.020000,21.682394,9.853593,0.653468,1.978996,2.998479,0.000000,4.781821
0.020000,21.685304,9.813519,0.693648,2.038965,2.998479,0.000000,4.787955
0.020000,21.688563,9.772269,0.735027,2.098935,2.998479,-0.000000,4.794536
0.020000,21.692205,9.729846,0.777605,2.158905,2.998479,0.000000,4.801594
0.020000,21.696269,9.686258,0.821383,2.218874,2.998479,-0.000000,4.809163
0.020000,21.700795,9.641509,0.866360,2.278844,2.998479,0.000000,4.817282
0.020000,21.705828,9.595608,0.912537,2.338813,2.998479,0.000000,4.825990
0.020000,21.711417,9.548563,0.959913,2.398783,2.998479,-0.000000,4.835330
0.020000,21.717613,9.500384,1.008488,2.458752,2.998479,0.000000,4.845350
0.020000,21.724475,9.451085,1.058263,2.518722,2.998479,0.000000,4.856101
0.020000,21.732064,9.400679,1.109237,2.578692,2.998479,-0.000000,4.867637
0.020000,21.740447,9.349184,1.161411,2.638661,2.998479,0.000000,4.880019
0.020000,21.749699,9.296620,1.214784,2.698631,2.998479,0.000000,4.893310
0.020000,21.759898,9.243009,1.269356,2.758600,2.998479,-0.000000,4.907579
0.020000,21.771130,9.188381,1.325128,2.818570,2.998479,0.000000,4.922900
0.020000,21.783489,9.132767,1.382099,2.878539,2.998479,0.000000,4.939353
0.020000,21.797074,9.076206,1.440269,2.938509,2.998479,-0.000000,4.957021
0.020000,21.811995,9.018743,1.499639,2.998479,2.998479,0.000000,4.975993
0.020000,21.828366,8.960429,1.560208,3.058448,2.998479,0.000000,4.996362
0.020000,21.846313,8.901326,1.621977,3.118418,2.998479,0.000000,5.018224
0.020000,21.865969,8.841506,1.684945,3.178387,2.998479,-0.000000,5.041676
0.020000,21.887473,8.781051,1.749113,3.238357,2.998479,0.000000,5.066814
0.020000,21.910974,8.720057,1.814479,3.298327,2.998479,0.000000,5.093733
0.020000,21.936626,8.658635,1.881046,3.358296,2.998479,-0.000000,5.122517
0.020000,21.964590,8.596911,1.948811,3.418266,2.998479,0.000000,5.153243
0.020000,21.995025,8.535028,2.017776,3.478235,2.998479,0.000000,5.185966
0.020000,22.028096,8.473151,2.087941,3.538205,2.998479,-0.000000,5.220718
0.020000,22.063962,8.411459,2.159304,3.598174,2.998479,0.000000,5.257499
0.020000,22.102773,8.350153,2.231868,3.658144,2.998479,-0.000000,5.296271
0.020000,22.144670,8.289450,2.305630,3.718114,2.998479,0.000000,5.336947
0.020000,22.189776,8.229584,2.380592,3.778083,2.998479,-0.000000,5.379388
0.020000,22.238189,8.170798,2.456753,3.838053,2.998479,0.000000,5.423398
0.020000,22.289983,8.113344,2.534114,3.898022,2.998479,-0.000000,5.468728
0.020000,22.345200,8.057472,2.612674,3.957992,2.998479,0.000000,5.515075
0.020000,22.403847,8.003427,2.692434,4.017961,2.998479,0.000000,5.562098
0.020000,22.465899,7.951439,2.773393,4.077931,2.998479,0.000000,5.609427
0.020000,22.531296,7.901720,2.855551,4.137901,2.998479,-0.000000,5.656683
0.020000,22.599946,7.854451,2.938909,4.197870,2.998479,-0.000000,5.703493
0.020000,22.671736,7.809787,3.023466,4.257840,2.998479,0.000000,5.749511
0.020000,22.746528,7.767847,3.109222,4.317809,2.998479,-0.000000,5.794431
0.020000,22.824175,7.728717,3.196178,4.377779,2.998479,0.000000,5.837993
0.020000,22.904518,7.692452,3.284334,4.437748,2.998479,0.000000,5.879992
0.020000,22.987398,7.659073,3.373688,4.497718,2.998479,0.000000,5.920282
0.020000,23.072658,7.628581,3.464242,4.557688,2.998479,-0.000000,5.958762
0.020000,23.160146,7.600949,3.555996,4.617657,2.998479,0.000000,5.995384
0.020000,23.249721,7.576136,3.648949,4.677627,2.998479,-0.000000,6.030135
0.020000,23.341055,7.554129,3.742901,4.717606,1.998986,-49.974644,6.062968
0.020000,23.433631,7.534918,3.837453,4.737596,0.999493,-49.974644,6.093817
0.020000,23.526829,7.518459,3.932097,4.726800,-0.539789,-76.964074,6.122634
0.020000,23.620038,7.504657,4.026325,4.696015,-1.539281,-49.974644,6.149417
0.020000,23.712763,7.493361,4.119738,4.645239,-2.538774,-49.974644,6.174227
0.020000,23.800878,7.484713,4.212043,4.585270,-2.998479,-22.985214,6.195769
0.020000,23.891665,7.477101,4.303148,4.525300,-2.998479,0.000000,6.203502
0.020000,23.981316,7.470333,4.393055,4.465331,-2.998479,-0.000000,6.212406
0.020000,24.069830,7.464497,4.481762,4.405361,-2.998479,0.000000,6.222501
0.020000,24.157204,7.459674,4.569269,4.345391,-2.998479,0.000000,6.233810
0.020000,24.243431,7.455945,4.655577,4.285422,-2.998479,0.000000,6.246366
0.020000,24.328501,7.453390,4.740686,4.225452,-2.998479,0.000000,6.260202
0.020000,24.412399,7.452086,4.824595,4.165483,-2.998479,0.000000,6.275360
0.020000,24.495108,7.452111,4.907305,4.105513,-2.998479,-0.000000,0.008698
0.020000,24.576605,7.453540,4.988816,4.045544,-2.998479,0.000000,0.026633
0.020000,24.656863,7.456445,5.069127,3.985574,-2.998479,-0.000000,0.046027
0.020000,24.735847,7.460898,5.148239,3.925604,-2.998479,0.000000,0.066930
0.020000,24.813521,7.466969,5.226151,3.865635,-2.998479,0.000000,0.089387
0.020000,24.889840,7.474723,5.302864,3.805665,-2.998479,-0.000000,0.113441
0.020000,24.964751,7.484220,5.378378,3.745696,-2.998479,0.000000,0.139126
0.020000,25.038200,7.495518,5.452692,3.685726,-2.998479,-0.000000,0.166469
0.020000,25.110120,7.508664,5.525807,3.625757,-2.998479,0.000000,0.195480
0.020000,25.180443,7.523700,5.597722,3.565787,-2.998479,-0.000000,0.226154
0.020000,25.249093,7.540655,5.668438,3.505817,-2.998479,0.000000,0.258461
0.020000,25.315991,7.559546,5.737955,3.445848,-2.998479,-0.000000,0.292348
