dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,20.652665,10.502513,0.000200,0.019963,0.998167,49.908369,4.711984
0.020000,20.652665,10.502442,0.000271,0.003554,-0.820492,-90.932986,4.712054
0.020000,20.652665,10.502282,0.000431,0.008005,0.222591,52.154157,4.712212
0.020000,20.652665,10.501017,0.001695,0.063225,2.760968,126.918863,4.712477
0.020000,20.652666,10.496449,0.006263,0.228402,8.258848,274.894018,4.712849
0.020000,20.652670,10.490573,0.012139,0.293787,3.269272,-249.478824,4.713330
0.020000,20.652679,10.483388,0.019324,0.359254,3.273340,0.203419,4.713921
0.020000,20.652695,10.474892,0.027821,0.424825,3.278535,0.259717,4.714625
0.020000,20.652721,10.465081,0.037631,0.490533,3.285425,0.344510,4.715444
0.020000,20.652760,10.453953,0.048759,0.556403,3.293489,0.403221,4.716381
0.020000,20.652817,10.441505,0.061208,0.622439,3.301794,0.415238,4.717440
0.020000,20.652894,10.427731,0.074981,0.688668,3.311447,0.482640,4.718625
0.020000,20.652998,10.412629,0.090084,0.755123,3.322776,0.566441,4.719940
0.020000,20.653134,10.396193,0.106521,0.821833,3.335473,0.634889,4.721389
0.020000,20.653308,10.378418,0.124297,0.888803,3.348529,0.652785,4.722979
0.020000,20.653528,10.359298,0.143418,0.956074,3.363552,0.751148,4.724715
0.020000,20.653799,10.338826,0.163892,1.023671,3.379817,0.813239,4.726604
0.020000,20.654132,10.316996,0.185724,1.091629,3.397934,0.905848,4.728652
0.020000,20.654535,10.293800,0.208923,1.159961,3.416604,0.933518,4.730868
0.020000,20.655018,10.269230,0.233498,1.228735,3.438658,1.102683,4.733259
0.020000,20.655593,10.243278,0.259457,1.297944,3.460489,1.091575,4.735835
0.020000,20.656272,10.215933,0.286810,1.367650,3.485261,1.238565,4.738606
0.020000,20.657069,10.187187,0.315568,1.437891,3.512094,1.341649,4.741581
0.020000,20.657997,10.157027,0.345742,1.508699,3.540398,1.415201,4.744773
0.020000,20.659074,10.125442,0.377345,1.580143,3.572187,1.589454,4.748193
0.020000,20.660317,10.092421,0.410390,1.652261,3.605890,1.685163,4.751855
0.020000,20.661746,10.057949,0.444891,1.725071,3.640527,1.731837,4.755774
0.020000,20.663381,10.022012,0.480865,1.798693,3.681084,2.027863,4.759964
0.020000,20.665246,9.984596,0.518328,1.873135,3.722081,2.049872,4.764442
0.020000,20.667366,9.945683,0.557298,1.948509,3.768731,2.332464,4.769227
0.020000,20.669770,9.905258,0.597795,2.024836,3.816351,2.380992,4.774338
0.020000,20.672487,9.863301,0.639840,2.102257,3.871052,2.735092,4.779796
0.020000,20.675551,9.819792,0.683456,2.180829,3.928589,2.876821,4.785623
0.020000,20.678998,9.774711,0.728669,2.260612,3.989139,3.027531,4.791845
0.020000,20.682870,9.728036,0.775504,2.341778,4.058283,3.457190,4.798488
0.020000,20.687210,9.679743,0.823992,2.424376,4.129925,3.582093,4.805580
0.020000,20.692067,9.629807,0.874164,2.508599,4.211142,4.060867,4.813155
0.020000,20.697495,9.578201,0.926054,2.594498,4.294927,4.189245,4.821244
0.020000,20.703552,9.524899,0.979699,2.682281,4.389186,4.712924,4.829886
0.020000,20.710304,9.469870,1.035141,2.772070,4.489427,5.012056,4.839120
0.020000,20.717823,9.413084,1.092423,2.864103,4.601668,5.612039,4.848990
0.020000,20.726187,9.354508,1.151592,2.958480,4.718859,5.859581,4.859544
0.020000,20.735487,9.294110,1.212702,3.055500,4.850993,6.606689,4.870832
0.020000,20.745818,9.231856,1.275808,3.155288,4.989376,6.919140,4.882911
0.020000,20.757288,9.167710,1.340971,3.258149,5.143067,7.684537,4.895841
0.020000,20.770018,9.101639,1.408257,3.364309,5.308005,8.246913,4.909687
0.020000,20.784139,9.033608,1.477738,3.474051,5.487079,8.953685,4.924521
0.020000,20.799800,8.963585,1.549491,3.587643,5.679638,9.627964,4.940417
0.020000,20.817163,8.891541,1.623598,3.705350,5.885314,10.283825,4.957459
0.020000,20.836409,8.817451,1.700148,3.827480,6.106490,11.058796,4.975734
0.020000,20.857739,8.741296,1.779233,3.954268,6.339418,11.646371,4.995334
0.020000,20.881372,8.663068,1.860953,4.086007,6.586928,12.375532,5.016356
0.020000,20.907552,8.582771,1.945411,4.222860,6.842660,12.786558,5.038903
0.020000,20.936544,8.500427,2.032709,4.364922,7.103096,13.021799,5.063077
0.020000,20.968636,8.416081,2.122954,4.512252,7.366538,13.172132,5.088983
0.020000,21.004138,8.329806,2.216248,4.664704,7.622595,12.802823,5.116723
0.020000,21.043382,8.241712,2.312687,4.821945,7.862026,11.971546,5.146391
0.020000,21.086712,8.151956,2.412355,4.983388,8.072155,10.506471,5.178070
0.020000,21.134484,8.060747,2.515318,5.148150,8.238107,8.297597,5.211827
0.020000,21.186896,7.968618,2.621312,5.299692,7.577099,-33.050418,5.247597
0.020000,21.243917,7.876426,2.729712,5.420045,6.017667,-77.971590,5.285158
0.020000,21.305274,7.785221,2.839635,5.496126,3.804044,-110.681145,5.324149
0.020000,21.370514,7.696059,2.950116,5.524064,1.396910,-120.356681,5.364131
0.020000,21.439119,7.609813,3.060321,5.510254,-0.690522,-104.371627,5.404674
0.020000,21.510546,7.527149,3.169569,5.462368,-2.394281,-85.187920,5.445377
0.020000,21.584359,7.448430,3.277481,5.395619,-3.337460,-47.158946,5.485944
0.020000,21.660162,7.373866,3.383811,5.316479,-3.957032,-30.978606,5.526129
0.020000,21.737533,7.303605,3.488323,5.225634,-4.542208,-29.258822,5.565701
0.020000,21.816042,7.237733,3.590806,5.124149,-5.074288,-26.603996,5.604449
0.020000,21.895262,7.176269,3.691074,5.013389,-5.537971,-23.184166,5.642189
0.020000,21.974786,7.119174,3.788971,4.894856,-5.926671,-19.434982,5.678768
0.020000,22.054232,7.066355,3.884374,4.770129,-6.236360,-15.484444,5.714062
0.020000,22.133258,7.017672,3.977191,4.640840,-6.464434,-11.403705,5.747981
0.020000,22.211555,6.972954,4.067359,4.508402,-6.621877,-7.872154,5.780464
0.020000,22.288863,6.932000,4.154844,4.374268,-6.706728,-4.242534,5.811475
0.020000,22.364955,6.894593,4.239634,4.239498,-6.738490,-1.588091,5.841004
0.020000,22.439650,6.860508,4.321738,4.105193,-6.715263,1.161351,5.869058
0.020000,22.512796,6.829515,4.401179,3.972061,-6.656568,2.934735,5.895662
0.020000,22.584276,6.801388,4.477995,3.840775,-6.564300,4.613397,5.920852
0.020000,22.654003,6.775906,4.552231,3.711840,-6.446763,5.876853,5.944674
0.020000,22.721906,6.752858,4.623940,3.585424,-6.320787,6.298805,5.967178
0.020000,22.787941,6.732044,4.693177,3.461847,-6.178892,7.094757,5.988422
0.020000,22.852077,6.713274,4.760003,3.341336,-6.025520,7.668588,6.008465
0.020000,22.914297,6.696373,4.824478,3.223719,-5.880869,7.232524,6.027365
0.020000,22.974595,6.681176,4.886662,3.109190,-5.726426,7.722183,6.045181
0.020000,23.032972,6.667534,4.946611,2.997456,-5.586720,6.985280,6.061972
0.020000,23.089434,6.655306,5.004382,2.888545,-5.445554,7.058335,6.077792
0.020000,23.143997,6.644364,5.060032,2.782505,-5.301982,7.178572,6.092698
0.020000,23.196676,6.634591,5.113610,2.678891,-5.180704,6.063920,6.106738
0.020000,23.247490,6.625878,5.165164,2.577744,-5.057328,6.168800,6.119961
0.020000,23.296460,6.618127,5.214745,2.479024,-4.936033,6.064755,6.132415
0.020000,23.343608,6.611248,5.262392,2.382354,-4.833477,5.127795,6.144140
0.020000,23.388955,6.605157,5.308146,2.287717,-4.731854,5.081130,6.155178
0.020000,23.432526,6.599780,5.352048,2.195080,-4.631872,4.999121,6.165567
0.020000,23.474341,6.595047,5.394130,2.104102,-4.548880,4.149563,6.175340
0.020000,23.514421,6.590894,5.434425,2.014724,-4.468910,3.998501,6.184530
0.020000,23.552789,6.587264,5.472963,1.926946,-4.388897,4.000690,6.193167
0.020000,23.589465,6.584104,5.509775,1.840577,-4.318435,3.523073,6.201280
0.020000,23.624468,6.581365,5.544885,1.755495,-4.254138,3.214868,6.208894
0.020000,23.657816,6.579003,5.578317,1.671614,-4.194051,3.004328,6.216033
0.020000,23.689529,6.576977,5.610095,1.588881,-4.136651,2.869993,6.222719
0.020000,23.719622,6.575250,5.640237,1.507103,-4.088876,2.388786,6.228972
0.020000,23.748110,6.573788,5.668763,1.426301,-4.040076,2.439984,6.234811
0.020000,23.775010,6.572559,5.695691,1.346385,-3.995845,2.211537,6.240253
0.020000,23.800333,6.571535,5.721034,1.267194,-3.959546,1.814936,6.245314
0.020000,23.824095,6.570691,5.744812,1.188862,-3.916573,2.148687,6.250009
0.020000,23.846307,6.570002,5.767034,1.111127,-3.886759,1.490667,6.254350
0.020000,23.866979,6.569447,5.787714,1.033967,-3.858007,1.437615,6.258350
0.020000,23.886122,6.569007,5.806862,0.957414,-3.827629,1.518924,6.262020
0.020000,23.903747,6.568664,5.824490,0.881384,-3.801490,1.306942,6.265370
0.020000,23.919860,6.568401,5.840605,0.805795,-3.779498,1.099610,6.268409
0.020000,23.934470,6.568205,5.855216,0.730551,-3.762153,0.867247,6.271144
0.020000,23.947583,6.568063,5.868330,0.655685,-3.743322,0.941556,6.273583
0.020000,23.959206,6.567964,5.879954,0.581170,-3.725731,0.879518,6.275733
0.020000,23.969346,6.567898,5.890093,0.506996,-3.708701,0.851517,6.277598
0.020000,23.978006,6.567856,5.898754,0.433022,-3.698745,0.497797,6.279185
0.020000,23.985190,6.567832,5.905938,0.359183,-3.691920,0.341267,6.280496
0.020000,23.990900,6.567820,5.911648,0.285520,-3.683163,0.437843,6.281535
0.020000,23.995142,6.567815,5.915889,0.212070,-3.672469,0.534682,6.282305
0.020000,23.997916,6.567813,5.918663,0.138701,-3.668489,0.198987,6.282808
0.020000,23.999372,6.567813,5.920120,0.072836,-3.293221,18.763431,6.283072
0.020000,23.999904,6.567812,5.920652,0.026594,-2.312114,49.055344,6.283168
0.020000,24.000000,6.567812,5.920748,0.004790,-1.090185,61.096439,6.283185
