dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000199,0.019851,0.992530,49.626490,6.282196
0.020000,0.000000,0.000000,0.000993,0.059552,1.985060,49.626490,6.282236
0.020000,0.000000,0.000000,0.002779,0.119104,2.977589,49.626490,6.282325
0.020000,0.000000,0.000000,0.005757,0.178655,2.977589,0.000000,6.282474
0.020000,0.000000,0.000000,0.009925,0.238207,2.977589,-0.000000,6.282682
0.020000,0.000000,0.000000,0.015285,0.297759,2.977589,0.000000,6.282950
0.020000,0.001836,0.000000,0.021836,0.357311,2.977589,0.000000,0.000092
0.020000,0.009580,0.000002,0.029577,0.416863,2.977589,0.000000,0.000479
0.020000,0.018511,0.000009,0.038510,0.476414,2.977589,-0.000000,0.000927
0.020000,0.028636,0.000021,0.048634,0.535966,2.977589,0.000000,0.001435
0.020000,0.039949,0.000040,0.059949,0.595518,2.977589,0.000000,0.002003
0.020000,0.052457,0.000069,0.072455,0.655070,2.977589,0.000000,0.002633
0.020000,0.066154,0.000110,0.086152,0.714621,2.977589,0.000000,0.003324
0.020000,0.081040,0.000165,0.101040,0.774173,2.977589,0.000000,0.004077
0.020000,0.097119,0.000237,0.117119,0.833725,2.977589,0.000000,0.004892
0.020000,0.114390,0.000329,0.134389,0.893277,2.977589,0.000000,0.005769
0.020000,0.132851,0.000444,0.152850,0.952829,2.977589,-0.000000,0.006709
0.020000,0.152502,0.000586,0.172502,1.012380,2.977589,0.000000,0.007713
0.020000,0.173345,0.000758,0.193345,1.071932,2.977589,0.000000,0.008781
0.020000,0.195377,0.000964,0.215379,1.131484,2.977589,-0.000000,0.009914
0.020000,0.218600,0.001208,0.238604,1.191036,2.977589,0.000000,0.011112
0.020000,0.243016,0.001495,0.263020,1.250588,2.977589,-0.000000,0.012376
0.020000,0.268622,0.001829,0.288628,1.310139,2.977589,0.000000,0.013707
0.020000,0.295416,0.002215,0.315426,1.369691,2.977589,0.000000,0.015105
0.020000,0.323403,0.002658,0.343415,1.429243,2.977589,-0.000000,0.016572
0.020000,0.352578,0.003164,0.372596,1.488795,2.977589,0.000000,0.018107
