dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000999,-1.010000,0.000199,0.019851,0.992530,49.626490,6.282196
0.020000,-0.000959,-1.010000,0.000239,0.002001,-0.892479,-94.250421,6.282236
0.020000,-0.000869,-1.010000,0.000329,0.004503,0.125093,50.878582,6.282325
0.020000,-0.000719,-1.010000,0.000479,0.007507,0.150186,1.254625,6.282474
0.020000,-0.000509,-1.010000,0.000689,0.010513,0.150320,0.006708,6.282682
0.020000,-0.000238,-1.010000,0.000959,0.013523,0.150508,0.009396,6.282950
0.020000,0.001929,-1.010000,0.003127,0.108365,4.742088,229.579016,0.000092
0.020000,0.010064,-1.009998,0.011262,0.406738,14.918677,508.829463,0.000479
0.020000,0.019447,-1.009991,0.020644,0.469146,3.120385,-589.914592,0.000927
0.020000,0.030086,-1.009978,0.031283,0.531936,3.139500,0.955727,0.001435
0.020000,0.041972,-1.009958,0.043170,0.594331,3.119737,-0.988161,0.002003
0.020000,0.055116,-1.009928,0.056314,0.657213,3.144120,1.219160,0.002633
0.020000,0.069511,-1.009885,0.070709,0.719730,3.125819,-0.915057,0.003324
0.020000,0.085157,-1.009827,0.086355,0.782324,3.129737,0.195895,0.004077
0.020000,0.102060,-1.009751,0.103258,0.845126,3.140092,0.517788,0.004892
0.020000,0.120216,-1.009654,0.121415,0.907848,3.136104,-0.199431,0.005769
0.020000,0.139627,-1.009533,0.140826,0.970557,3.135421,-0.034139,0.006709
0.020000,0.160293,-1.009384,0.161492,1.033305,3.137404,0.099159,0.007713
0.020000,0.182214,-1.009203,0.183413,1.096083,3.138900,0.074805,0.008781
0.020000,0.205390,-1.008987,0.206591,1.158881,3.139908,0.050374,0.009914
0.020000,0.229823,-1.008730,0.231025,1.221689,3.140425,0.025878,0.011112
0.020000,0.255516,-1.008428,0.256720,1.284733,3.152166,0.587016,0.012376
0.020000,0.282465,-1.008077,0.283672,1.347606,3.143667,-0.424931,0.013707
0.020000,0.310672,-1.007670,0.311881,1.410450,3.142205,-0.073099,0.015105
0.020000,0.340139,-1.007203,0.341352,1.473579,3.156431,0.711301,0.016572
0.020000,0.370866,-1.006671,0.372083,1.536541,3.148116,-0.415747,0.018107
0.020000,0.402853,-1.006066,0.404077,1.599676,3.156765,0.432463,0.019713
0.020000,0.436100,-1.005382,0.437330,1.662691,3.150752,-0.300678,0.021389
0.020000,0.470613,-1.004614,0.471852,1.726053,3.168094,0.867108,0.023137
0.020000,0.506386,-1.003753,0.507635,1.789186,3.156643,-0.572550,0.024958
0.020000,0.543422,-1.002794,0.544684,1.852425,3.161932,0.264456,0.026853
0.020000,0.581723,-1.001727,0.582999,1.915759,3.166714,0.239122,0.028823
0.020000,0.621289,-1.000546,0.622583,1.979225,3.173316,0.330097,0.030870
0.020000,0.662122,-0.999242,0.663437,2.042678,3.172603,-0.035678,0.032993
0.020000,0.704221,-0.997806,0.705561,2.106183,3.175282,0.133977,0.035196
0.020000,0.747590,-0.996230,0.748958,2.169848,3.183228,0.397285,0.037478
0.020000,0.792226,-0.994503,0.793628,2.233506,3.182913,-0.015730,0.039842
0.020000,0.838132,-0.992617,0.839572,2.297198,3.184594,0.084037,0.042288
0.020000,0.885305,-0.990561,0.886790,2.360913,3.185752,0.057892,0.044819
0.020000,0.933753,-0.988325,0.935289,2.424963,3.202483,0.836527,0.047436
0.020000,0.983470,-0.985897,0.985066,2.488836,3.193655,-0.441374,0.050140
0.020000,1.034461,-0.983267,1.036125,2.552941,3.205259,0.580183,0.052934
0.020000,1.086724,-0.980423,1.088465,2.616993,3.202586,-0.133620,0.055818
0.020000,1.140263,-0.977351,1.142092,2.681386,3.219675,0.854432,0.058795
0.020000,1.195076,-0.974040,1.197005,2.745628,3.212107,-0.378405,0.061867
0.020000,1.251164,-0.970477,1.253205,2.810025,3.219859,0.387598,0.065036
0.020000,1.308527,-0.966647,1.310697,2.874567,3.227060,0.360060,0.068303
0.020000,1.367168,-0.962536,1.369482,2.939255,3.234414,0.367675,0.071672
0.020000,1.427087,-0.958130,1.429562,3.004023,3.238382,0.198404,0.075143
0.020000,1.488284,-0.953413,1.490941,3.068943,3.246032,0.382496,0.078721
0.020000,1.550760,-0.948369,1.553620,3.133949,3.250293,0.213066,0.082405
0.020000,1.614514,-0.942982,1.617601,3.199043,3.254700,0.220368,0.086201
0.020000,1.679544,-0.937234,1.682885,3.264214,3.258548,0.192379,0.090109
0.020000,1.745856,-0.931108,1.749479,3.329707,3.274662,0.805711,0.094133
0.020000,1.813446,-0.924586,1.817383,3.395198,3.274515,-0.007346,0.098275
0.020000,1.882315,-0.917648,1.886601,3.460887,3.284455,0.496977,0.102539
0.020000,1.952462,-0.910275,1.957134,3.526637,3.287519,0.153224,0.106926
0.020000,2.023889,-0.902445,2.028989,3.592770,3.306646,0.956319,0.111442
0.020000,2.096593,-0.894138,2.102166,3.658847,3.303847,-0.139950,0.116087
0.020000,2.170574,-0.885332,2.176669,3.725140,3.314658,0.540545,0.120867
0.020000,2.245831,-0.876004,2.252502,3.791637,3.324850,0.509603,0.125784
0.020000,2.322363,-0.866130,2.329668,3.858325,3.334422,0.478603,0.130843
0.020000,2.400169,-0.855686,2.408172,3.925193,3.343374,0.447639,0.136046
0.020000,2.479246,-0.844646,2.488017,3.992227,3.351711,0.416817,0.141397
0.020000,2.559593,-0.832983,2.569205,4.059416,3.359436,0.386245,0.146901
0.020000,2.641209,-0.820671,2.651745,4.126986,3.378503,0.953372,0.152562
0.020000,2.724089,-0.807681,2.735637,4.194616,3.381483,0.149017,0.158383
0.020000,2.808232,-0.793984,2.820887,4.262506,3.394502,0.650934,0.164369
0.020000,2.893632,-0.779549,2.907499,4.330582,3.403822,0.465985,0.170526
0.020000,2.980290,-0.764345,2.995480,4.399051,3.423439,0.980846,0.176856
0.020000,3.068196,-0.748339,3.084832,4.467592,3.427047,0.180405,0.183366
0.020000,3.157348,-0.731498,3.175560,4.536428,3.441798,0.737537,0.190060
0.020000,3.247740,-0.713786,3.267671,4.605544,3.455800,0.700143,0.196943
0.020000,3.339366,-0.695167,3.361169,4.674925,3.469058,0.662878,0.204021
0.020000,3.432218,-0.675604,3.456061,4.744556,3.481576,0.625920,0.211299
0.020000,3.526289,-0.655058,3.552349,4.814424,3.493366,0.589460,0.218781
0.020000,3.621573,-0.633489,3.650044,4.884737,3.515654,1.114429,0.226476
0.020000,3.718058,-0.610854,3.749148,4.955190,3.522662,0.350370,0.234386
0.020000,3.815734,-0.587113,3.849668,5.026010,3.540989,0.916347,0.242520
0.020000,3.914588,-0.562219,3.951608,5.097018,3.550421,0.471612,0.250882
0.020000,4.014613,-0.536127,4.054980,5.168592,3.578676,1.412762,0.259480
0.020000,4.115790,-0.508790,4.159786,5.240280,3.584392,0.285783,0.268319
0.020000,4.218106,-0.480158,4.266032,5.312318,3.601941,0.877479,0.277405
0.020000,4.321544,-0.450183,4.373726,5.384687,3.618441,0.824975,0.286746
0.020000,4.426086,-0.418812,4.482873,5.457365,3.633877,0.771804,0.296347
0.020000,4.531714,-0.385990,4.593483,5.530483,3.655919,1.102109,0.306215
0.020000,4.638405,-0.351664,4.705560,5.603846,3.668128,0.610461,0.316357
0.020000,4.746134,-0.315778,4.819109,5.677482,3.681831,0.685120,0.326779
0.020000,4.854880,-0.278272,4.934141,5.751577,3.704712,1.144088,0.337488
0.020000,4.964612,-0.239087,5.050659,5.825931,3.717723,0.650517,0.348491
0.020000,5.075301,-0.198164,5.168671,5.900574,3.732134,0.720557,0.359792
0.020000,5.186914,-0.155440,5.288182,5.975562,3.749405,0.863563,0.371399
0.020000,5.299417,-0.110851,5.409199,6.050859,3.764846,0.772067,0.383318
0.020000,5.412772,-0.064332,5.531728,6.126428,3.778444,0.679852,0.395554
0.020000,5.526937,-0.015819,5.655772,6.202231,3.790190,0.587314,0.408113
0.020000,5.641869,0.034756,5.781340,6.278393,3.808073,0.894186,0.421000
0.020000,5.757520,0.087460,5.908434,6.354682,3.814465,0.319594,0.434219
0.020000,5.873840,0.142360,6.037059,6.431257,3.828761,0.714769,0.447774
0.020000,5.990773,0.199526,6.167218,6.507922,3.833233,0.223603,0.461669
0.020000,6.108261,0.259025,6.298913,6.584773,3.842542,0.465473,0.475906
0.020000,6.226244,0.320926,6.432148,6.661746,3.848665,0.306128,0.490489
0.020000,6.344653,0.385296,6.566923,6.738778,3.851579,0.145685,0.505417
0.020000,6.463420,0.452204,6.703240,6.815803,3.851278,-0.015031,0.520691
0.020000,6.582467,0.521715,6.841095,6.892759,3.847775,-0.175158,0.536311
0.020000,6.701719,0.593893,6.980488,6.969684,3.846273,-0.075107,0.552274
0.020000,6.821090,0.668801,7.121416,7.046401,3.835844,-0.521418,0.568578
0.020000,6.940494,0.746500,7.263876,7.122956,3.827728,-0.405794,0.585217
0.020000,7.059839,0.827048,7.407859,7.199161,3.810282,-0.872342,0.602188
0.020000,7.179030,0.910499,7.553359,7.275027,3.793299,-0.849146,0.619481
0.020000,7.297967,0.996903,7.700369,7.350461,3.771707,-1.079562,0.637089
0.020000,7.416547,1.086308,7.848876,7.425374,3.745647,-1.302997,0.655000
0.020000,7.534663,1.178756,7.998870,7.499680,3.715296,-1.517558,0.673205
0.020000,7.652206,1.274284,8.150336,7.573299,3.680924,-1.718628,0.691688
0.020000,7.769065,1.372924,8.303260,7.646204,3.645246,-1.783878,0.710435
0.020000,7.885124,1.474701,8.457624,7.718204,3.600006,-2.261996,0.729429
0.020000,8.000269,1.579635,8.613410,7.789333,3.556446,-2.178015,0.748652
0.020000,8.114219,1.687582,8.770372,7.848093,2.938005,-30.922061,0.768057
0.020000,8.226487,1.798158,8.927951,7.878953,1.543020,-69.749212,0.787555
0.020000,8.336461,1.910779,9.085362,7.870516,-0.421879,-98.244971,0.807029
0.020000,8.443631,2.024880,9.241901,7.826942,-2.178661,-87.839109,0.826375
0.020000,8.547739,2.140085,9.397177,7.763806,-3.156847,-48.909315,0.845525
0.020000,8.648700,2.256174,9.551026,7.692484,-3.566068,-20.461030,0.864442
0.020000,8.746534,2.373033,9.703432,7.620303,-3.609076,-2.150399,0.883108
