dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,20.652665,17.502403,0.000197,0.019688,0.984399,49.219947,1.570397
0.020000,20.652665,17.502274,0.000326,0.006443,-0.662274,-82.333636,1.570525
0.020000,20.652665,17.502079,0.000521,0.009775,0.166609,41.444157,1.570812
0.020000,20.652664,17.504550,0.002993,0.123574,5.689950,276.167016,1.571289
0.020000,20.652661,17.508012,0.006455,0.173102,2.476426,-160.676203,1.571954
0.020000,20.652654,17.512467,0.010909,0.222730,2.481381,0.247776,1.572807
0.020000,20.652641,17.517917,0.016359,0.272485,2.487768,0.319323,1.573844
0.020000,20.652617,17.524364,0.022807,0.322397,2.495593,0.391248,1.575062
0.020000,20.652580,17.531814,0.030257,0.372494,2.504868,0.463772,1.576458
0.020000,20.652525,17.540270,0.038713,0.422805,2.515539,0.533561,1.578027
0.020000,20.652449,17.549737,0.048180,0.473360,2.527733,0.609666,1.579764
0.020000,20.652345,17.560220,0.058664,0.524186,2.541332,0.679958,1.581665
0.020000,20.652208,17.571726,0.070170,0.575316,2.556467,0.756771,1.583723
0.020000,20.652032,17.584260,0.082706,0.626777,2.573040,0.828639,1.585931
0.020000,20.651810,17.597830,0.096278,0.678599,2.591113,0.903644,1.588283
0.020000,20.651537,17.612444,0.110894,0.730813,2.610694,0.979043,1.590770
0.020000,20.651203,17.628109,0.126563,0.783449,2.631791,1.054847,1.593385
0.020000,20.650802,17.644835,0.143294,0.836536,2.654395,1.130213,1.596118
0.020000,20.650326,17.662631,0.161096,0.890106,2.678497,1.205086,1.598960
0.020000,20.649767,17.681507,0.179980,0.944189,2.704151,1.282741,1.601900
0.020000,20.649115,17.701472,0.199956,0.998815,2.731297,1.357278,1.604929
0.020000,20.648363,17.722539,0.221036,1.054015,2.759986,1.434435,1.608034
0.020000,20.647501,17.744719,0.243233,1.109819,2.790178,1.509630,1.611203
0.020000,20.646521,17.768023,0.266558,1.166256,2.821879,1.585058,1.614425
0.020000,20.645414,17.792465,0.291025,1.223358,2.855090,1.660543,1.617685
0.020000,20.644170,17.818058,0.316648,1.281154,2.889796,1.735310,1.620970
0.020000,20.642782,17.844816,0.343441,1.339674,2.925982,1.809293,1.624266
0.020000,20.641241,17.872752,0.371420,1.398946,2.963642,1.882994,1.627558
0.020000,20.639537,17.901882,0.400600,1.459002,3.002759,1.955837,1.630831
0.020000,20.637664,17.932222,0.430998,1.519868,3.043325,2.028293,1.634067
0.020000,20.635613,17.963787,0.462629,1.581574,3.085317,2.099623,1.637252
0.020000,20.633378,17.996594,0.495512,1.644149,3.128727,2.170504,1.640367
0.020000,20.630952,18.030660,0.529665,1.707620,3.173550,2.241143,1.643394
0.020000,20.628329,18.066003,0.565105,1.772015,3.219764,2.310692,1.646316
0.020000,20.625504,18.102642,0.601852,1.837362,3.267356,2.379581,1.649114
0.020000,20.622474,18.140595,0.639926,1.903689,3.316339,2.449178,1.651768
0.020000,20.619236,18.179882,0.679346,1.971023,3.366701,2.518067,1.654258
0.020000,20.615788,18.220524,0.720134,2.039392,3.418431,2.586497,1.656563
0.020000,20.612130,18.262541,0.762311,2.108823,3.471561,2.656547,1.658664
0.020000,20.608263,18.305956,0.805898,2.179345,3.526081,2.725962,1.660538
0.020000,20.604191,18.350791,0.850917,2.250985,3.582012,2.796545,1.662162
0.020000,20.599918,18.397070,0.897393,2.323773,3.639386,2.868722,1.663515
0.020000,20.595451,18.444816,0.945347,2.397737,3.698214,2.941391,1.664573
0.020000,20.590801,18.494055,0.994806,2.472907,3.758531,3.015865,1.665312
0.020000,20.585977,18.544813,1.045792,2.549315,3.820378,3.092345,1.665707
0.020000,20.580996,18.597116,1.098332,2.626991,3.883782,3.170199,1.665734
0.020000,20.575874,18.650992,1.152451,2.705966,3.948785,3.250133,1.665366
0.020000,20.570631,18.706471,1.208177,2.786275,4.015422,3.331841,1.664578
0.020000,20.565293,18.763581,1.265536,2.867949,4.083716,3.414744,1.663342
0.020000,20.559887,18.822353,1.324556,2.951023,4.153700,3.499178,1.661631
0.020000,20.554445,18.882819,1.385267,3.035531,4.225374,3.583711,1.659416
0.020000,20.549003,18.945012,1.447697,3.121505,4.298733,3.667932,1.656668
0.020000,20.543601,19.008964,1.511876,3.208980,4.373738,3.750248,1.653357
0.020000,20.538287,19.074709,1.577836,3.297986,4.450318,3.828985,1.649453
0.020000,20.533112,19.142282,1.645607,3.388554,4.528372,3.902744,1.644926
0.020000,20.528133,19.211718,1.715221,3.480708,4.607710,3.966861,1.639743
0.020000,20.523414,19.283052,1.786711,3.574471,4.688124,4.020709,1.633873
0.020000,20.519026,19.356317,1.860108,3.669856,4.769272,4.057434,1.627284
0.020000,20.515045,19.431550,1.935445,3.766871,4.850759,4.074330,1.619944
0.020000,20.511557,19.508781,2.012755,3.865512,4.932044,4.064230,1.611819
0.020000,20.508654,19.588043,2.092071,3.965761,5.012459,4.020761,1.602879
0.020000,20.506438,19.669365,2.173422,4.067585,5.091195,3.936817,1.593092
0.020000,20.505019,19.752771,2.256841,4.170930,5.167252,3.802842,1.582429
0.020000,20.504514,19.838284,2.342355,4.275719,5.239426,3.608687,1.570859
