dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.672665,17.501597,0.000197,0.019688,0.984399,49.219947,1.570397
0.020000,22.672665,17.501726,0.000326,0.006443,-0.662274,-82.333636,1.570525
0.020000,22.672665,17.502109,0.000709,0.019186,0.637156,64.971506,1.570812
0.020000,22.672664,17.505544,0.004144,0.171746,7.628031,349.543740,1.571289
0.020000,22.672660,17.510351,0.008951,0.240346,3.429967,-209.903210,1.571954
0.020000,22.672650,17.516528,0.015128,0.308846,3.424999,-0.248400,1.572807
0.020000,22.672631,17.524073,0.022673,0.377218,3.418612,-0.319366,1.573844
0.020000,22.672599,17.532981,0.031581,0.445434,3.410801,-0.390555,1.575062
0.020000,22.672548,17.543250,0.041851,0.513465,3.401565,-0.461789,1.576458
0.020000,22.672473,17.554876,0.053476,0.581281,3.390810,-0.537753,1.578027
0.020000,22.672367,17.567852,0.066453,0.648855,3.378689,-0.606057,1.579764
0.020000,22.672225,17.582175,0.080776,0.716155,3.365020,-0.683438,1.581665
0.020000,22.672039,17.597837,0.096439,0.783155,3.349960,-0.752980,1.583723
0.020000,22.671801,17.614832,0.113436,0.849822,3.333353,-0.830361,1.585931
0.020000,22.671502,17.633152,0.131758,0.916127,3.315264,-0.904469,1.588283
0.020000,22.671134,17.652789,0.151399,0.982041,3.295684,-0.978986,1.590770
0.020000,22.670688,17.673735,0.172350,1.047533,3.274608,-1.053786,1.593385
0.020000,22.670155,17.695980,0.194601,1.112573,3.252011,-1.129844,1.596118
0.020000,22.669525,17.719514,0.218144,1.177130,3.227871,-1.207034,1.598960
0.020000,22.668789,17.744327,0.242967,1.241176,3.202254,-1.280833,1.601900
0.020000,22.667938,17.770406,0.269061,1.304677,3.175077,-1.358839,1.604929
0.020000,22.666962,17.797741,0.296413,1.367605,3.146412,-1.433251,1.608034
0.020000,22.665852,17.826318,0.325012,1.429930,3.116215,-1.509862,1.611203
0.020000,22.664599,17.856124,0.354844,1.491620,3.084504,-1.585546,1.614425
0.020000,22.663194,17.887145,0.385897,1.552646,3.051297,-1.660332,1.617685
0.020000,22.661628,17.919367,0.418157,1.612978,3.016597,-1.735009,1.620970
0.020000,22.659895,17.952774,0.451608,1.672586,2.980408,-1.809463,1.624266
0.020000,22.657987,17.987350,0.486237,1.731441,2.942750,-1.882908,1.627558
0.020000,22.655898,18.023079,0.522027,1.789513,2.903631,-1.955954,1.630831
0.020000,22.653622,18.059944,0.558963,1.846775,2.863072,-2.027956,1.634067
0.020000,22.651154,18.097928,0.597027,1.903196,2.821075,-2.099804,1.637252
0.020000,22.648491,18.137013,0.636202,1.958750,2.777661,-2.170711,1.640367
0.020000,22.645631,18.177179,0.676470,2.013407,2.732850,-2.240556,1.643394
0.020000,22.642571,18.218408,0.717813,2.067139,2.686640,-2.310528,1.646316
0.020000,22.639312,18.260681,0.760211,2.119920,2.639033,-2.380328,1.649114
0.020000,22.635856,18.303978,0.803646,2.171721,2.590059,-2.448690,1.651768
0.020000,22.632205,18.348278,0.848096,2.222515,2.539706,-2.517646,1.654258
0.020000,22.628363,18.393561,0.893541,2.272275,2.487960,-2.587295,1.656563
0.020000,22.624337,18.439806,0.939961,2.320971,2.434845,-2.655783,1.658664
0.020000,22.620135,18.486990,0.987332,2.368578,2.380322,-2.726155,1.660538
0.020000,22.615766,18.535094,1.035634,2.415066,2.324383,-2.796913,1.662162
0.020000,22.611241,18.584093,1.084842,2.460406,2.267020,-2.868158,1.663515
0.020000,22.606576,18.633967,1.134933,2.504570,2.208189,-2.941573,1.664573
0.020000,22.601785,18.684692,1.185884,2.547527,2.147865,-3.016191,1.665312
0.020000,22.596886,18.736245,1.237669,2.589247,2.086021,-3.092184,1.665707
0.020000,22.591899,18.788602,1.290263,2.629700,2.022612,-3.170441,1.665734
0.020000,22.586847,18.841739,1.343640,2.668852,1.957607,-3.250286,1.665366
0.020000,22.581755,18.895632,1.397773,2.706671,1.890969,-3.331863,1.664578
0.020000,22.576649,18.950257,1.452636,2.743124,1.822664,-3.415269,1.663342
0.020000,22.571559,19.005587,1.508199,2.778178,1.752677,-3.499340,1.661631
0.020000,22.566518,19.061596,1.564435,2.811798,1.680994,-3.584176,1.659416
0.020000,22.561560,19.118259,1.621314,2.843950,1.607627,-3.668331,1.656668
0.020000,22.556721,19.175547,1.678806,2.874603,1.532611,-3.750819,1.653357
0.020000,22.552042,19.233432,1.736881,2.903723,1.456012,-3.829930,1.649453
0.020000,22.547565,19.291887,1.795506,2.931282,1.377956,-3.902825,1.644926
0.020000,22.543334,19.350880,1.854651,2.957254,1.298586,-3.968471,1.639743
0.020000,22.539397,19.410383,1.914284,2.981617,1.218164,-4.021112,1.633873
0.020000,22.535804,19.470362,1.974371,3.004357,1.136984,-4.059024,1.627284
0.020000,22.532606,19.530787,2.034880,3.025466,1.055475,-4.075422,1.619944
0.020000,22.529857,19.591624,2.095779,3.044949,0.974162,-4.065665,1.611819
0.020000,22.527615,19.652839,2.157036,3.062824,0.893708,-4.022681,1.602879
0.020000,22.525936,19.714399,2.218618,3.079122,0.814942,-3.938286,1.593092
0.020000,22.524882,19.776268,2.280496,3.093900,0.738853,-3.804486,1.582429
0.020000,22.524514,19.838411,2.342641,3.107232,0.666611,-3.612098,1.570859
0.020000,22.524894,19.900632,2.404862,3.111087,0.192766,-23.692226,1.558392
0.020000,22.526068,19.962500,2.466741,3.093950,-0.856872,-52.481915,1.545097
0.020000,22.528057,20.023448,2.527722,3.049010,-2.246995,-69.506164,1.531107
0.020000,22.530852,20.083015,2.587355,2.981664,-3.367285,-56.014473,1.516563
0.020000,22.535039,20.162417,2.666867,3.975591,49.696369,2653.182668,1.525010
0.020000,22.538363,20.249699,2.754212,4.367259,19.583379,-1505.649496,1.540145
0.020000,22.540384,20.333335,2.837873,4.183047,-9.210621,-1439.699963,1.552801
0.020000,22.541401,20.413444,2.917988,4.005737,-8.865491,17.256492,1.563116
0.020000,22.541667,20.490145,2.994689,3.835081,-8.532795,16.634783,1.571221
0.020000,22.541405,20.563559,3.068104,3.670737,-8.217200,15.779751,1.577241
0.020000,22.540799,20.633803,3.138350,3.512326,-7.920533,14.833366,1.581293
0.020000,22.540011,20.700988,3.205540,3.359460,-7.643303,13.861480,1.583488
0.020000,22.539172,20.765217,3.269775,3.211765,-7.384769,12.926711,1.583928
0.020000,22.538395,20.826590,3.331153,3.068897,-7.143402,12.068335,1.582709
0.020000,22.537771,20.885198,3.389764,2.930551,-6.917261,11.307063,1.579920
0.020000,22.537372,20.941126,3.445693,2.796470,-6.704050,10.660571,1.575645
0.020000,22.537258,20.994455,3.499022,2.666443,-6.501368,10.134093,1.569965
0.020000,22.537471,21.045260,3.549828,2.540307,-6.306815,9.727654,1.562957
0.020000,22.538044,21.093616,3.598187,2.417947,-6.117988,9.441337,1.554695
0.020000,22.538995,21.139592,3.644173,2.299293,-5.932690,9.264883,1.545254
0.020000,22.540335,21.183258,3.687859,2.184314,-5.748941,9.187449,1.534705
0.020000,22.542065,21.224682,3.729320,2.073017,-5.564875,9.203300,1.523122
0.020000,22.544180,21.263934,3.768628,1.965438,-5.378962,9.295683,1.510578
0.020000,22.546665,21.301084,3.805861,1.861635,-5.190116,9.442252,1.497149
0.020000,22.549503,21.336203,3.841095,1.761685,-4.997505,9.630558,1.482910
0.020000,22.552671,21.369365,3.874408,1.665674,-4.800583,9.846109,1.467939
0.020000,22.556143,21.400647,3.905882,1.573687,-4.599307,10.063784,1.452316
0.020000,22.559891,21.430126,3.935598,1.485806,-4.394077,10.261538,1.436123
0.020000,22.563885,21.457882,3.963640,1.402095,-4.185526,10.427561,1.419442
0.020000,22.568093,21.483997,3.990092,1.322602,-3.974670,10.542781,1.402356
0.020000,22.572487,21.508554,4.015039,1.247345,-3.762875,10.589758,1.384949
0.020000,22.577035,21.531636,4.038565,1.176312,-3.551649,10.561293,1.367306
0.020000,22.581711,21.553327,4.060754,1.109455,-3.342828,10.441033,1.349508
0.020000,22.586486,21.573709,4.081688,1.046695,-3.138017,10.240557,1.331637
0.020000,22.591336,21.592863,4.101446,0.987909,-2.939278,9.936930,1.313771
0.020000,22.596238,21.610866,4.120105,0.932948,-2.748062,9.560815,1.295987
0.020000,22.601171,21.627795,4.137738,0.881622,-2.566279,9.089182,1.278356
0.020000,22.606116,21.643719,4.154412,0.833723,-2.394956,8.566143,1.260945
0.020000,22.611055,21.658706,4.170193,0.789014,-2.235454,7.975081,1.243819
0.020000,22.615973,21.672819,4.185137,0.747239,-2.088769,7.334261,1.227036
0.020000,22.620855,21.686113,4.199300,0.708138,-1.955024,6.687245,1.210648
0.020000,22.625687,21.698643,4.212729,0.671444,-1.834707,6.015822,1.194702
0.020000,22.630457,21.710454,4.225467,0.636882,-1.728126,5.329091,1.179242
0.020000,22.635152,21.721589,4.237551,0.604197,-1.634251,4.693748,1.164304
0.020000,22.639759,21.732084,4.249013,0.573126,-1.553508,4.037118,1.149921
0.020000,22.644268,21.741974,4.259882,0.543434,-1.484596,3.445639,1.136119
0.020000,22.648666,21.751285,4.270180,0.514899,-1.426753,2.892152,1.122922
0.020000,22.652942,21.760043,4.279926,0.487311,-1.379434,2.365942,1.110348
0.020000,22.657083,21.768269,4.289136,0.460482,-1.341461,1.898640,1.098412
0.020000,22.661078,21.775981,4.297821,0.434244,-1.311865,1.479784,1.087126
0.020000,22.664916,21.783192,4.305990,0.408456,-1.289393,1.123615,1.076499
0.020000,22.668583,21.789917,4.313649,0.382988,-1.273417,0.798805,1.066538
0.020000,22.672069,21.796165,4.320804,0.357726,-1.263101,0.515785,1.057246
0.020000,22.675362,21.801945,4.327456,0.332590,-1.256801,0.315030,1.048625
0.020000,22.678450,21.807263,4.333606,0.307496,-1.254702,0.104946,1.040677
0.020000,22.681324,21.812125,4.339253,0.282391,-1.255271,-0.028488,1.033402
0.020000,22.683972,21.816536,4.344398,0.257234,-1.257818,-0.127325,1.026798
0.020000,22.686385,21.820499,4.349038,0.231983,-1.262566,-0.237383,1.020864
0.020000,22.688554,21.824016,4.353170,0.206630,-1.267638,-0.253599,1.015597
0.020000,22.690471,21.827091,4.356794,0.181154,-1.273792,-0.307726,1.010996
0.020000,22.692128,21.829724,4.359905,0.155557,-1.279856,-0.303197,1.007057
0.020000,22.693520,21.831916,4.362502,0.129847,-1.285521,-0.283254,1.003778
0.020000,22.694639,21.833670,4.364582,0.104022,-1.291240,-0.285925,1.001158
0.020000,22.695483,21.834985,4.366144,0.078110,-1.295578,-0.216926,0.999194
0.020000,22.696048,21.835861,4.367187,0.052129,-1.299053,-0.173768,0.997885
0.020000,22.696354,21.836336,4.367752,0.028262,-1.193357,5.284839,0.997176
0.020000,22.696472,21.836519,4.367970,0.010882,-0.868993,16.218196,0.996904
0.020000,22.696496,21.836555,4.368013,0.002179,-0.435142,21.692523,0.996849
0.020000,22.696496,21.836555,4.368013,0.000000,-0.108973,16.308449,0.996849
