dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.589204,9.805844,0.000120,0.011989,0.599440,29.971978,0.000463
0.020000,0.589204,9.805844,0.000480,0.023978,0.599440,0.000000,0.000447
0.020000,0.589204,9.805844,0.001079,0.035966,0.599440,0.000000,0.000421
0.020000,0.589204,9.805844,0.001918,0.047955,0.599440,-0.000000,0.000385
0.020000,0.589204,9.805844,0.002997,0.059944,0.599440,0.000000,0.000338
0.020000,0.589204,9.805844,0.004316,0.071933,0.599440,-0.000000,0.000281
0.020000,0.589204,9.805844,0.005875,0.083922,0.599440,0.000000,0.000214
0.020000,0.589204,9.805844,0.007673,0.095910,0.599440,-0.000000,0.000136
0.020000,0.589204,9.805844,0.009711,0.107899,0.599440,0.000000,0.000048
0.020000,0.590368,9.805844,0.011989,0.119888,0.599440,0.000000,6.283135
0.020000,0.592886,9.805843,0.014506,0.131877,0.599440,-0.000000,6.283026
0.020000,0.595644,9.805843,0.017264,0.143865,0.599440,0.000000,6.282907
0.020000,0.598641,9.805842,0.020261,0.155854,0.599440,-0.000000,6.282778
0.020000,0.601878,9.805840,0.023498,0.167843,0.599440,0.000000,6.282638
0.020000,0.605354,9.805838,0.026975,0.179832,0.599440,-0.000000,6.282488
0.020000,0.609071,9.805835,0.030691,0.191821,0.599440,-0.000000,6.282328
0.020000,0.613027,9.805831,0.034648,0.203809,0.599440,0.000000,6.282157
0.020000,0.617223,9.805827,0.038844,0.215798,0.599440,-0.000000,6.281976
0.020000,0.621659,9.805821,0.043280,0.227787,0.599440,0.000000,6.281785
0.020000,0.626335,9.805814,0.047955,0.239776,0.599440,0.000000,6.281584
0.020000,0.631250,9.805805,0.052871,0.251765,0.599440,-0.000000,6.281372
0.020000,0.636405,9.805796,0.058026,0.263753,0.599440,0.000000,6.281151
0.020000,0.641800,9.805784,0.063421,0.275742,0.599440,-0.000000,6.280919
0.020000,0.647435,9.805770,0.069055,0.287731,0.599440,0.000000,6.280677
0.020000,0.653309,9.805755,0.074930,0.299720,0.599440,0.000000,6.280424
0.020000,0.659424,9.805737,0.081044,0.311709,0.599440,-0.000000,6.280162
0.020000,0.665778,9.805717,0.087398,0.323697,0.599440,0.000000,6.279889
0.020000,0.672372,9.805695,0.093992,0.335686,0.599440,0.000000,6.279607
0.020000,0.679205,9.805669,0.100826,0.347675,0.599440,-0.000000,6.279314
0.020000,0.686278,9.805641,0.107899,0.359664,0.599440,0.000000,6.279012
0.020000,0.693592,9.805609,0.115212,0.371653,0.599440,-0.000000,6.278699
0.020000,0.701144,9.805574,0.122765,0.383641,0.599440,0.000000,6.278376
0.020000,0.708937,9.805535,0.130558,0.395630,0.599440,0.000000,6.278043
0.020000,0.716969,9.805492,0.138590,0.407619,0.599440,0.000000,6.277701
0.020000,0.725242,9.805446,0.146863,0.419608,0.599440,-0.000000,6.277348
0.020000,0.733753,9.805394,0.155375,0.431596,0.599440,0.000000,6.276986
0.020000,0.742505,9.805339,0.164127,0.443585,0.599440,0.000000,6.276613
0.020000,0.751496,9.805278,0.173118,0.455574,0.599440,0.000000,6.276231
0.020000,0.760728,9.805212,0.182350,0.467563,0.599440,0.000000,6.275839
0.020000,0.770198,9.805140,0.191821,0.479552,0.599440,0.000000,6.275437
0.020000,0.779909,9.805063,0.201532,0.491540,0.599440,-0.000000,6.275026
0.020000,0.789859,9.804980,0.211482,0.503529,0.599440,-0.000000,6.274604
0.020000,0.800050,9.804890,0.221673,0.515518,0.599440,0.000000,6.274173
0.020000,0.810479,9.804794,0.232103,0.527507,0.599440,-0.000000,6.273733
0.020000,0.821149,9.804690,0.242773,0.539496,0.599440,0.000000,6.273282
0.020000,0.832058,9.804580,0.253683,0.551484,0.599440,0.000000,6.272823
0.020000,0.843207,9.804462,0.264832,0.563473,0.599440,-0.000000,6.272353
0.020000,0.854596,9.804336,0.276222,0.575462,0.599440,0.000000,6.271874
0.020000,0.866224,9.804201,0.287851,0.587451,0.599440,-0.000000,6.271386
0.020000,0.878092,9.804058,0.299720,0.599440,0.599440,0.000000,6.270888
0.020000,0.890200,9.803906,0.311828,0.611428,0.599440,0.000000,6.270381
0.020000,0.902547,9.803745,0.324177,0.623417,0.599440,-0.000000,6.269864
0.020000,0.915134,9.803574,0.336765,0.635406,0.599440,0.000000,6.269338
0.020000,0.927961,9.803393,0.349593,0.647395,0.599440,-0.000000,6.268803
0.020000,0.941027,9.803202,0.362661,0.659384,0.599440,0.000000,6.268259
0.020000,0.954333,9.802999,0.375968,0.671372,0.599440,-0.000000,6.267705
0.020000,0.967879,9.802786,0.389516,0.683361,0.599440,-0.000000,6.267143
0.020000,0.981664,9.802561,0.403303,0.695350,0.599440,0.000000,6.266571
