dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.589668,8.795844,0.000199,0.019866,0.993296,49.664816,0.000459
0.020000,0.589633,8.795844,0.000233,0.001736,-0.906501,-94.989851,0.000425
0.020000,0.589555,8.795844,0.000311,0.003905,0.108467,50.748404,0.000348
0.020000,0.589425,8.795844,0.000442,0.006507,0.130092,1.081218,0.000219
0.020000,0.589243,8.795844,0.000624,0.009106,0.129966,-0.006271,0.000039
0.020000,0.593481,8.795843,0.004862,0.211922,10.140778,500.540603,6.282992
0.020000,0.599751,8.795841,0.011132,0.313490,5.078398,-253.119034,6.282709
0.020000,0.607161,8.795836,0.018542,0.370508,2.850886,-111.375570,6.282375
0.020000,0.615712,8.795828,0.027093,0.427523,2.850767,-0.005973,6.281989
0.020000,0.625403,8.795814,0.036784,0.484547,2.851188,0.021078,6.281553
0.020000,0.636234,8.795794,0.047615,0.541579,2.851629,0.022037,6.281066
0.020000,0.648207,8.795765,0.059588,0.598621,2.852060,0.021534,6.280528
0.020000,0.661320,8.795726,0.072701,0.655670,2.852482,0.021118,6.279940
0.020000,0.675575,8.795676,0.086956,0.712739,2.853441,0.047919,6.279302
0.020000,0.690971,8.795611,0.102352,0.769810,2.853530,0.004465,6.278613
0.020000,0.707508,8.795529,0.118890,0.826901,2.854551,0.051066,6.277875
0.020000,0.725188,8.795428,0.136570,0.883999,2.854928,0.018830,6.277088
0.020000,0.744010,8.795305,0.155392,0.941117,2.855903,0.048738,6.276251
0.020000,0.763975,8.795158,0.175357,0.998253,2.856772,0.043471,6.275366
0.020000,0.785082,8.794983,0.196465,1.055402,2.857457,0.034269,6.274432
0.020000,0.807332,8.794777,0.218717,1.112571,2.858460,0.050145,6.273450
0.020000,0.830726,8.794538,0.242112,1.169761,2.859516,0.052773,6.272421
0.020000,0.855264,8.794260,0.266651,1.226967,2.860294,0.038918,6.271344
0.020000,0.880946,8.793942,0.292335,1.284196,2.861460,0.058317,6.270220
0.020000,0.907773,8.793578,0.319164,1.341450,2.862671,0.060527,6.269050
0.020000,0.935744,8.793166,0.347139,1.398727,2.863837,0.058279,6.267834
0.020000,0.964861,8.792700,0.376259,1.456026,2.864951,0.055725,6.266572
0.020000,0.995123,8.792178,0.406526,1.513352,2.866332,0.069035,6.265265
0.020000,1.026532,8.791594,0.437940,1.570707,2.867715,0.069183,6.263914
0.020000,1.059087,8.790943,0.470502,1.628089,2.869106,0.069548,6.262519
0.020000,1.092790,8.790223,0.504212,1.685499,2.870509,0.070131,6.261081
0.020000,1.127639,8.789426,0.539071,1.742938,2.871962,0.072659,6.259600
0.020000,1.163637,8.788550,0.575079,1.800417,2.873928,0.098318,6.258077
0.020000,1.200783,8.787588,0.612238,1.857918,2.875066,0.056875,6.256512
0.020000,1.239078,8.786535,0.650547,1.915461,2.877157,0.104571,6.254907
0.020000,1.278522,8.785387,0.690008,1.973037,2.878778,0.081015,6.253262
0.020000,1.319115,8.784138,0.730621,2.030648,2.880567,0.089472,6.251577
0.020000,1.360859,8.782782,0.772387,2.088298,2.882489,0.096081,6.249854
0.020000,1.403754,8.781314,0.815306,2.145986,2.884430,0.097065,6.248093
0.020000,1.447800,8.779728,0.859381,2.203714,2.886396,0.098307,6.246295
