dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.000000,10.000000,0.000199,0.019857,0.992838,49.641906,0.000000
0.020000,2.000000,10.000000,0.000993,0.059570,1.985676,49.641906,0.000000
0.020000,2.000000,10.000000,0.002780,0.119141,2.978514,49.641906,0.000000
0.020000,2.000000,10.000000,0.005758,0.178711,2.978514,0.000000,0.000000
0.020000,2.000303,10.000000,0.009928,0.238281,2.978514,-0.000000,0.000000
0.020000,2.005665,10.000000,0.015290,0.297851,2.978514,0.000000,0.000000
0.020000,2.012217,10.000000,0.021842,0.357422,2.978514,0.000000,0.000000
0.020000,2.019962,10.000000,0.029587,0.416992,2.978514,-0.000000,0.000000
0.020000,2.028897,10.000000,0.038522,0.476562,2.978514,0.000000,0.000000
0.020000,2.039024,10.000000,0.048649,0.536133,2.978514,0.000000,0.000000
0.020000,2.050342,10.000000,0.059967,0.595703,2.978514,-0.000000,0.000000
0.020000,2.062852,10.000000,0.072477,0.655273,2.978514,0.000000,0.000000
0.020000,2.076553,10.000000,0.086178,0.714843,2.978514,-0.000000,0.000000
0.020000,2.091446,10.000000,0.101071,0.774414,2.978514,0.000000,0.000000
0.020000,2.107530,10.000000,0.117155,0.833984,2.978514,0.000000,0.000000
0.020000,2.124805,10.000000,0.134430,0.893554,2.978514,0.000000,0.000000
0.020000,2.143272,10.000000,0.152897,0.953125,2.978514,-0.000000,0.000000
0.020000,2.162930,10.000000,0.172555,1.012695,2.978514,0.000000,0.000000
0.020000,2.183780,10.000000,0.193405,1.072265,2.978514,0.000000,0.000000
0.020000,2.205821,10.000000,0.215446,1.131835,2.978514,-0.000000,0.000000
0.020000,2.229053,10.000000,0.238678,1.191406,2.978514,0.000000,0.000000
0.020000,2.253477,10.000000,0.263102,1.250976,2.978514,0.000000,0.000000
0.020000,2.279092,10.000000,0.288717,1.310546,2.978514,0.000000,0.000000
0.020000,2.305899,10.000000,0.315524,1.370117,2.978514,-0.000000,0.000000
0.020000,2.333897,10.000000,0.343522,1.429687,2.978514,0.000000,0.000000
0.020000,2.363086,10.000000,0.372711,1.489257,2.978514,-0.000000,0.000000
0.020000,2.393467,10.000000,0.403092,1.548827,2.978514,0.000000,0.000000
0.020000,2.425040,10.000000,0.434665,1.608398,2.978514,0.000000,0.000000
0.020000,2.457803,10.000000,0.467428,1.667968,2.978514,-0.000000,0.000000
0.020000,2.491758,10.000000,0.501383,1.727538,2.978514,0.000000,0.000000
