dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000000,10.000000,0.000198,0.019842,0.992115,49.605748,0.000000
0.020000,5.000000,10.000000,0.000992,0.059527,1.984230,49.605748,0.000000
0.020000,5.000000,10.000000,0.002778,0.119054,2.976345,49.605748,0.000000
0.020000,5.000754,10.000000,0.005754,0.178581,2.976345,-0.000000,0.000000
0.020000,5.004921,10.000000,0.009921,0.238108,2.976345,0.000000,0.000000
0.020000,5.010279,10.000000,0.015279,0.297634,2.976345,-0.000000,0.000000
0.020000,5.016827,10.000000,0.021827,0.357161,2.976345,0.000000,0.000000
0.020000,5.024565,10.000000,0.029565,0.416688,2.976345,-0.000000,0.000000
0.020000,5.033494,10.000000,0.038494,0.476215,2.976345,0.000000,0.000000
0.020000,5.043614,10.000000,0.048614,0.535742,2.976345,-0.000000,0.000000
0.020000,5.054924,10.000000,0.059924,0.595269,2.976345,0.000000,0.000000
0.020000,5.067424,10.000000,0.072424,0.654796,2.976345,0.000000,0.000000
0.020000,5.081116,10.000000,0.086116,0.714323,2.976345,0.000000,0.000000
0.020000,5.095997,10.000000,0.100997,0.773850,2.976345,-0.000000,0.000000
0.020000,5.112070,10.000000,0.117070,0.833377,2.976345,0.000000,0.000000
0.020000,5.129332,10.000000,0.134332,0.892903,2.976345,0.000000,0.000000
0.020000,5.147786,10.000000,0.152786,0.952430,2.976345,0.000000,0.000000
0.020000,5.167430,10.000000,0.172430,1.011957,2.976345,-0.000000,0.000000
0.020000,5.188264,10.000000,0.193264,1.071484,2.976345,-0.000000,0.000000
0.020000,5.210289,10.000000,0.215289,1.131011,2.976345,0.000000,0.000000
0.020000,5.233504,10.000000,0.238504,1.190538,2.976345,-0.000000,0.000000
0.020000,5.257910,10.000000,0.262910,1.250065,2.976345,0.000000,0.000000
0.020000,5.283507,10.000000,0.288507,1.309592,2.976345,-0.000000,0.000000
0.020000,5.310294,10.000000,0.315294,1.369119,2.976345,0.000000,0.000000
0.020000,5.338272,10.000000,0.343272,1.428646,2.976345,-0.000000,0.000000
0.020000,5.367440,10.000000,0.372440,1.488172,2.976345,0.000000,0.000000
0.020000,5.397799,10.000000,0.402799,1.547699,2.976345,-0.000000,0.000000
0.020000,5.429348,10.000000,0.434348,1.607226,2.976345,0.000000,0.000000
0.020000,5.462088,10.000000,0.467088,1.666753,2.976345,-0.000000,0.000000
0.020000,5.496018,10.000000,0.501018,1.726280,2.976345,0.000000,0.000000
0.020000,5.531139,10.000000,0.536139,1.785807,2.976345,0.000000,0.000000
0.020000,5.567450,10.000000,0.572450,1.845334,2.976345,0.000000,0.000000
0.020000,5.604952,10.000000,0.609952,1.904861,2.976345,0.000000,0.000000
0.020000,5.643645,10.000000,0.648645,1.964388,2.976345,-0.000000,0.000000
0.020000,5.683528,10.000000,0.688528,2.023915,2.976345,0.000000,0.000000
0.020000,5.724601,10.000000,0.729601,2.083441,2.976345,-0.000000,0.000000
0.020000,5.766865,10.000000,0.771865,2.142968,2.976345,0.000000,0.000000
0.020000,5.810320,10.000000,0.815320,2.202495,2.976345,0.000000,0.000000
0.020000,5.854965,10.000000,0.859965,2.262022,2.976345,0.000000,0.000000
0.020000,5.900801,10.000000,0.905801,2.321549,2.976345,0.000000,0.000000
0.020000,5.947827,10.000000,0.952827,2.381076,2.976345,-0.000000,0.000000
0.020000,5.996044,10.000000,1.001044,2.440603,2.976345,0.000000,0.000000
0.020000,6.045451,10.000000,1.050451,2.500130,2.976345,-0.000000,0.000000
0.020000,6.096049,10.000000,1.101049,2.559657,2.976345,0.000000,0.000000
0.020000,6.147838,10.000000,1.152838,2.619183,2.976345,0.000000,0.000000
0.020000,6.200817,10.000000,1.205817,2.678710,2.976345,0.000000,0.000000
