dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000000,8.990000,0.000198,0.019842,0.992115,49.605748,0.000000
0.020000,5.000000,8.990000,0.000198,0.000000,-0.992115,-99.211496,0.000000
0.020000,5.000000,8.990000,0.000198,0.000000,0.000000,49.605748,0.000000
0.020000,5.000754,8.990000,0.000953,0.037713,1.885667,94.283346,0.000000
0.020000,5.004921,8.990000,0.005120,0.208344,8.531540,332.293662,0.000000
0.020000,5.010279,8.990000,0.010477,0.267871,2.976345,-277.759764,0.000000
0.020000,5.016827,8.990000,0.017025,0.327398,2.976345,0.000000,0.000000
0.020000,5.024565,8.990000,0.024763,0.386925,2.976345,-0.000000,0.000000
0.020000,5.033494,8.990000,0.033692,0.446452,2.976345,0.000000,0.000000
0.020000,5.043614,8.990000,0.043812,0.505979,2.976345,0.000000,0.000000
0.020000,5.054924,8.990000,0.055122,0.565506,2.976345,-0.000000,0.000000
0.020000,5.067424,8.990000,0.067623,0.625032,2.976345,0.000000,0.000000
0.020000,5.081116,8.990000,0.081314,0.684559,2.976345,0.000000,0.000000
0.020000,5.095997,8.990000,0.096196,0.744086,2.976345,-0.000000,0.000000
0.020000,5.112070,8.990000,0.112268,0.803613,2.976345,0.000000,0.000000
0.020000,5.129332,8.990000,0.129531,0.863140,2.976345,0.000000,0.000000
0.020000,5.147786,8.990000,0.147984,0.922667,2.976345,-0.000000,0.000000
0.020000,5.167430,8.990000,0.167628,0.982194,2.976345,0.000000,0.000000
0.020000,5.188264,8.990000,0.188462,1.041721,2.976345,-0.000000,0.000000
0.020000,5.210289,8.990000,0.210487,1.101248,2.976345,0.000000,0.000000
0.020000,5.233504,8.990000,0.233703,1.160775,2.976345,-0.000000,0.000000
0.020000,5.257910,8.990000,0.258109,1.220301,2.976345,0.000000,0.000000
0.020000,5.283507,8.990000,0.283705,1.279828,2.976345,-0.000000,0.000000
0.020000,5.310294,8.990000,0.310493,1.339355,2.976345,0.000000,0.000000
0.020000,5.338272,8.990000,0.338470,1.398882,2.976345,0.000000,0.000000
0.020000,5.367440,8.990000,0.367638,1.458409,2.976345,-0.000000,0.000000
0.020000,5.397799,8.990000,0.397997,1.517936,2.976345,0.000000,0.000000
0.020000,5.429348,8.990000,0.429546,1.577463,2.976345,-0.000000,0.000000
0.020000,5.462088,8.990000,0.462286,1.636990,2.976345,0.000000,0.000000
0.020000,5.496018,8.990000,0.496216,1.696517,2.976345,-0.000000,0.000000
0.020000,5.531139,8.990000,0.531337,1.756043,2.976345,0.000000,0.000000
0.020000,5.567450,8.990000,0.567649,1.815570,2.976345,-0.000000,0.000000
0.020000,5.604952,8.990000,0.605151,1.875097,2.976345,0.000000,0.000000
0.020000,5.643645,8.990000,0.643843,1.934624,2.976345,0.000000,0.000000
0.020000,5.683528,8.990000,0.683726,1.994151,2.976345,-0.000000,0.000000
0.020000,5.724601,8.990000,0.724800,2.053678,2.976345,0.000000,0.000000
0.020000,5.766865,8.990000,0.767064,2.113205,2.976345,0.000000,0.000000
0.020000,5.810320,8.990000,0.810518,2.172732,2.976345,0.000000,0.000000
0.020000,5.854965,8.990000,0.855164,2.232259,2.976345,-0.000000,0.000000
0.020000,5.900801,8.990000,0.900999,2.291786,2.976345,0.000000,0.000000
0.020000,5.947827,8.990000,0.948026,2.351312,2.976345,0.000000,0.000000
0.020000,5.996044,8.990000,0.996242,2.410839,2.976345,-0.000000,0.000000
0.020000,6.045451,8.990000,1.045650,2.470366,2.976345,0.000000,0.000000
0.020000,6.096049,8.990000,1.096248,2.529893,2.976345,0.000000,0.000000
0.020000,6.147838,8.990000,1.148036,2.589420,2.976345,-0.000000,0.000000
0.020000,6.200817,8.990000,1.201015,2.648947,2.976345,0.000000,0.000000
0.020000,6.254986,8.990000,1.255184,2.708474,2.976345,0.000000,0.000000
0.020000,6.310346,8.990000,1.310544,2.768001,2.976345,-0.000000,0.000000
0.020000,6.366897,8.990000,1.367095,2.827528,2.976345,0.000000,0.000000
0.020000,6.424638,8.990000,1.424836,2.887055,2.976345,-0.000000,0.000000
0.020000,6.483569,8.990000,1.483768,2.946581,2.976345,0.000000,0.000000
0.020000,6.543691,8.990000,1.543890,3.006108,2.976345,0.000000,0.000000
0.020000,6.605004,8.990000,1.605203,3.065635,2.976345,-0.000000,0.000000
0.020000,6.667507,8.990000,1.667706,3.125162,2.976345,0.000000,0.000000
0.020000,6.731201,8.990000,1.731400,3.184689,2.976345,-0.000000,0.000000
0.020000,6.796085,8.990000,1.796284,3.244216,2.976345,0.000000,0.000000
0.020000,6.862160,8.990000,1.862359,3.303743,2.976345,-0.000000,0.000000
0.020000,6.929426,8.990000,1.929624,3.363270,2.976345,0.000000,0.000000
0.020000,6.997882,8.990000,1.998080,3.422797,2.976345,-0.000000,0.000000
0.020000,7.067528,8.990000,2.067727,3.482324,2.976345,0.000000,0.000000
0.020000,7.138365,8.990000,2.138564,3.541850,2.976345,0.000000,0.000000
0.020000,7.210393,8.990000,2.210591,3.601377,2.976345,0.000000,0.000000
0.020000,7.283611,8.990000,2.283809,3.660904,2.976345,-0.000000,0.000000
0.020000,7.358019,8.990000,2.358218,3.720431,2.976345,0.000000,0.000000
