dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.053383,25.855054,0.000200,0.019980,0.999018,49.950882,6.283180
0.020000,1.053382,25.855054,0.000200,0.000033,-0.997382,-99.819983,6.283180
0.020000,1.053381,25.855054,0.000202,0.000072,0.001974,49.967809,6.283182
0.020000,1.053378,25.855054,0.000204,0.000116,0.002190,0.010792,6.283184
0.020000,1.055997,25.855054,0.002823,0.130930,6.540720,326.926505,0.000002
0.020000,1.061388,25.855054,0.008214,0.269553,6.931144,19.521177,0.000005
0.020000,1.067978,25.855054,0.014803,0.329478,2.996227,-196.745852,0.000009
0.020000,1.075766,25.855054,0.022592,0.389417,2.996941,0.035737,0.000013
0.020000,1.084753,25.855054,0.031579,0.449372,2.997786,0.042225,0.000017
0.020000,1.094940,25.855054,0.041766,0.509348,2.998761,0.048756,0.000020
0.020000,1.106327,25.855054,0.053153,0.569345,2.999865,0.055206,0.000022
0.020000,1.118914,25.855055,0.065740,0.629367,3.001099,0.061689,0.000022
0.020000,1.132703,25.855055,0.079529,0.689416,3.002463,0.068224,0.000020
0.020000,1.147693,25.855055,0.094519,0.749495,3.003957,0.074694,0.000016
0.020000,1.163885,25.855055,0.110711,0.809607,3.005581,0.081174,0.000008
0.020000,1.181280,25.855055,0.128106,0.869754,3.007337,0.087817,6.283181
0.020000,1.199879,25.855055,0.146705,0.929938,3.009217,0.094016,6.283164
0.020000,1.219682,25.855055,0.166508,0.990163,3.011235,0.100897,6.283142
0.020000,1.240691,25.855053,0.187516,1.050430,3.013376,0.107049,6.283113
0.020000,1.262905,25.855051,0.209731,1.110743,3.015652,0.113764,6.283076
0.020000,1.286327,25.855048,0.233153,1.171104,3.018056,0.120212,6.283032
0.020000,1.310958,25.855044,0.257784,1.231516,3.020588,0.126588,6.282978
0.020000,1.336797,25.855038,0.283623,1.291981,3.023261,0.133694,6.282914
0.020000,1.363847,25.855029,0.310673,1.352502,3.026044,0.139140,6.282838
0.020000,1.392109,25.855018,0.338935,1.413082,3.028980,0.146783,6.282749
0.020000,1.421584,25.855004,0.368409,1.473722,3.032034,0.152691,6.282647
0.020000,1.452272,25.854986,0.399098,1.534427,3.035219,0.159281,6.282530
0.020000,1.484176,25.854963,0.431002,1.595198,3.038547,0.166368,6.282396
0.020000,1.517297,25.854934,0.464123,1.656037,3.041981,0.171709,6.282244
0.020000,1.551636,25.854899,0.498462,1.716949,3.045578,0.179846,6.282073
0.020000,1.587194,25.854856,0.534020,1.777935,3.049278,0.185009,6.281882
0.020000,1.623974,25.854804,0.570800,1.838997,3.053130,0.192608,6.281668
0.020000,1.661977,25.854742,0.608803,1.900139,3.057110,0.198975,6.281430
0.020000,1.701204,25.854668,0.648030,1.961364,3.061214,0.205237,6.281167
0.020000,1.741658,25.854580,0.688484,2.022673,3.065453,0.211919,6.280877
0.020000,1.783339,25.854478,0.730165,2.084070,3.069850,0.219872,6.280558
0.020000,1.826250,25.854358,0.773076,2.145557,3.074344,0.224701,6.280209
0.020000,1.870392,25.854218,0.817219,2.207136,3.078990,0.232284,6.279827
0.020000,1.915768,25.854056,0.862595,2.268812,3.083773,0.239177,6.279411
0.020000,1.962380,25.853870,0.909207,2.330585,3.088682,0.245433,6.278958
0.020000,2.010228,25.853656,0.957056,2.392460,3.093748,0.253286,6.278467
0.020000,2.059317,25.853411,1.006145,2.454439,3.098925,0.258873,6.277936
0.020000,2.109646,25.853133,1.056476,2.516524,3.104265,0.267010,6.277362
0.020000,2.161220,25.852817,1.108050,2.578718,3.109712,0.272333,6.276744
0.020000,2.214039,25.852459,1.160870,2.641025,3.115321,0.280454,6.276079
0.020000,2.268106,25.852056,1.214939,2.703446,3.121056,0.286754,6.275365
0.020000,2.323424,25.851602,1.270259,2.765985,3.126960,0.295206,6.274599
0.020000,2.379995,25.851093,1.326832,2.828645,3.132967,0.300323,6.273780
0.020000,2.437821,25.850524,1.384660,2.891428,3.139151,0.309198,6.272904
0.020000,2.496904,25.849889,1.443747,2.954336,3.145439,0.314407,6.271969
0.020000,2.557247,25.849183,1.504095,3.017374,3.151902,0.323157,6.270973
0.020000,2.618853,25.848398,1.565706,3.080544,3.158493,0.329539,6.269914
0.020000,2.681724,25.847528,1.628583,3.143849,3.165238,0.337254,6.268787
0.020000,2.745863,25.846567,1.692728,3.207292,3.172156,0.345909,6.267591
0.020000,2.811272,25.845505,1.758146,3.270875,3.179158,0.350088,6.266323
0.020000,2.877953,25.844336,1.824838,3.334602,3.186346,0.359390,6.264981
0.020000,2.945911,25.843051,1.892807,3.398476,3.193693,0.367366,6.263560
0.020000,3.015146,25.841640,1.962057,3.462499,3.201169,0.373804,6.262058
0.020000,3.085663,25.840095,2.032591,3.526675,3.208772,0.380153,6.260473
0.020000,3.157463,25.838404,2.104411,3.591007,3.216623,0.392562,6.258800
0.020000,3.230550,25.836557,2.177521,3.655497,3.224471,0.392378,6.257038
0.020000,3.304925,25.834543,2.251924,3.720149,3.232591,0.406011,6.255182
0.020000,3.380593,25.832350,2.327623,3.784965,3.240840,0.412437,6.253230
0.020000,3.457555,25.829966,2.404622,3.849950,3.249215,0.418747,6.251178
0.020000,3.535814,25.827376,2.482924,3.915104,3.257714,0.424967,6.249022
0.020000,3.615373,25.824567,2.562533,3.980431,3.266376,0.433069,6.246760
0.020000,3.696235,25.821525,2.643452,4.045936,3.275242,0.443310,6.244388
0.020000,3.778401,25.818234,2.725684,4.111620,3.284190,0.447426,6.241902
0.020000,3.861875,25.814678,2.809234,4.177486,3.293276,0.454293,6.239299
0.020000,3.946659,25.810839,2.894105,4.243536,3.302516,0.461972,6.236575
0.020000,4.032755,25.806701,2.980300,4.309775,3.311934,0.470930,6.233726
0.020000,4.120166,25.802244,3.067824,4.376203,3.321400,0.473272,6.230748
