dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.053377,24.845054,0.000200,0.019968,0.998396,49.919787,0.000541
0.020000,1.053377,24.845054,0.000998,0.059904,1.996791,49.919787,0.000508
0.020000,1.053377,24.845054,0.002796,0.119807,2.995187,49.919787,0.000432
0.020000,1.053377,24.845054,0.005791,0.179711,2.995187,-0.000000,0.000307
0.020000,1.053377,24.845054,0.009984,0.239615,2.995187,0.000000,0.000131
0.020000,1.055632,24.845053,0.015375,0.299519,2.995187,0.000000,6.283091
0.020000,1.062222,24.845052,0.021965,0.359422,2.995187,-0.000000,6.282815
0.020000,1.070009,24.845048,0.029752,0.419326,2.995187,0.000000,6.282490
0.020000,1.078994,24.845040,0.038738,0.479230,2.995187,-0.000000,6.282115
0.020000,1.089178,24.845027,0.048921,0.539134,2.995187,0.000000,6.281690
0.020000,1.100560,24.845007,0.060303,0.599037,2.995187,-0.000000,6.281215
0.020000,1.113140,24.844979,0.072883,0.658941,2.995187,0.000000,6.280692
0.020000,1.126917,24.844941,0.086661,0.718845,2.995187,0.000000,6.280119
0.020000,1.141893,24.844890,0.101637,0.778749,2.995187,0.000000,6.279498
0.020000,1.158067,24.844825,0.117811,0.838652,2.995187,-0.000000,6.278828
0.020000,1.175439,24.844743,0.135183,0.898556,2.995187,0.000000,6.278109
0.020000,1.194009,24.844642,0.153753,0.958460,2.995187,-0.000000,6.277343
0.020000,1.213777,24.844518,0.173521,1.018364,2.995187,0.000000,6.276529
0.020000,1.234743,24.844370,0.194487,1.078267,2.995187,-0.000000,6.275667
0.020000,1.256906,24.844193,0.216652,1.138171,2.995187,0.000000,6.274759
0.020000,1.280268,24.843985,0.240014,1.198075,2.995187,0.000000,6.273804
0.020000,1.304827,24.843742,0.264575,1.257979,2.995187,0.000000,6.272802
0.020000,1.330584,24.843461,0.290333,1.317882,2.995187,-0.000000,6.271755
0.020000,1.357539,24.843138,0.317290,1.377786,2.995187,0.000000,6.270662
0.020000,1.385691,24.842770,0.345445,1.437690,2.995187,-0.000000,6.269524
0.020000,1.415041,24.842351,0.374798,1.497594,2.995187,0.000000,6.268341
0.020000,1.445588,24.841879,0.405349,1.557497,2.995187,-0.000000,6.267115
0.020000,1.477333,24.841349,0.437098,1.617401,2.995187,0.000000,6.265845
0.020000,1.510275,24.840756,0.470045,1.677305,2.995187,0.000000,6.264532
0.020000,1.544413,24.840096,0.504190,1.737209,2.995187,-0.000000,6.263176
0.020000,1.579749,24.839364,0.539533,1.797112,2.995187,0.000000,6.261779
0.020000,1.616281,24.838556,0.576074,1.857016,2.995187,-0.000000,6.260341
0.020000,1.654010,24.837666,0.613814,1.916920,2.995187,-0.000000,6.258861
0.020000,1.692935,24.836689,0.652751,1.976824,2.995187,0.000000,6.257342
0.020000,1.733057,24.835621,0.692887,2.036727,2.995187,0.000000,6.255784
0.020000,1.774374,24.834455,0.734220,2.096631,2.995187,-0.000000,6.254188
0.020000,1.816887,24.833187,0.776752,2.156535,2.995187,0.000000,6.252553
0.020000,1.860595,24.831811,0.820482,2.216439,2.995187,0.000000,6.250881
0.020000,1.905498,24.830322,0.865409,2.276342,2.995187,-0.000000,6.249173
0.020000,1.951596,24.828713,0.911535,2.336246,2.995187,0.000000,6.247430
0.020000,1.998888,24.826979,0.958859,2.396150,2.995187,0.000000,6.245652
0.020000,2.047374,24.825114,1.007381,2.456054,2.995187,0.000000,6.243840
0.020000,2.097054,24.823113,1.057101,2.515957,2.995187,0.000000,6.241996
0.020000,2.147927,24.820968,1.108020,2.575861,2.995187,-0.000000,6.240119
0.020000,2.199992,24.818675,1.160136,2.635765,2.995187,0.000000,6.238211
0.020000,2.253251,24.816226,1.213450,2.695669,2.995187,0.000000,6.236274
0.020000,2.307700,24.813616,1.267963,2.755572,2.995187,0.000000,6.234307
0.020000,2.363342,24.810839,1.323673,2.815476,2.995187,-0.000000,6.232312
0.020000,2.420174,24.807887,1.380582,2.875380,2.995187,0.000000,6.230290
0.020000,2.478196,24.804756,1.438688,2.935284,2.995187,0.000000,6.228242
0.020000,2.537408,24.801437,1.497993,2.995187,2.995187,0.000000,6.226169
0.020000,2.597808,24.797926,1.558496,3.055091,2.995187,-0.000000,6.224072
0.020000,2.659397,24.794216,1.620197,3.114995,2.995187,0.000000,6.221952
0.020000,2.722174,24.790299,1.683096,3.174898,2.995187,0.000000,6.219812
0.020000,2.786138,24.786171,1.747193,3.234802,2.995187,-0.000000,6.217650
0.020000,2.851288,24.781824,1.812488,3.294706,2.995187,0.000000,6.215470
0.020000,2.917624,24.777251,1.878981,3.354610,2.995187,0.000000,6.213272
0.020000,2.985145,24.772448,1.946672,3.414513,2.995187,-0.000000,6.211057
0.020000,3.053849,24.767407,2.015561,3.474417,2.995187,0.000000,6.208828
0.020000,3.123737,24.762121,2.085649,3.534321,2.995187,0.000000,6.206584
0.020000,3.194807,24.756586,2.156934,3.594225,2.995187,-0.000000,6.204327
0.020000,3.267059,24.750794,2.229418,3.654128,2.995187,0.000000,6.202060
0.020000,3.340491,24.744739,2.303099,3.714032,2.995187,0.000000,6.199783
0.020000,3.415104,24.738416,2.377979,3.773936,2.995187,-0.000000,6.197497
0.020000,3.490895,24.731817,2.454057,3.833840,2.995187,0.000000,6.195204
0.020000,3.567864,24.724939,2.531333,3.893743,2.995187,0.000000,6.192906
0.020000,3.646010,24.717774,2.609806,3.953647,2.995187,-0.000000,6.190604
0.020000,3.725332,24.710317,2.689478,4.013551,2.995187,0.000000,6.188300
