dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.053372,23.835054,0.000200,0.019980,0.999018,49.950882,6.283180
0.020000,1.053372,23.835054,0.000200,0.000033,-0.997382,-99.819983,6.283180
0.020000,1.053374,23.835054,0.000202,0.000072,0.001974,49.967809,6.283182
0.020000,1.053376,23.835054,0.000204,0.000116,0.002190,0.010792,6.283184
0.020000,1.056001,23.835054,0.002829,0.131237,6.556050,327.693008,0.000002
0.020000,1.061399,23.835054,0.008227,0.269916,6.933965,18.895722,0.000005
0.020000,1.067996,23.835054,0.014825,0.329874,2.997878,-196.804316,0.000009
0.020000,1.075793,23.835054,0.022621,0.389817,2.997164,-0.035719,0.000013
0.020000,1.084788,23.835054,0.031616,0.449744,2.996319,-0.042222,0.000017
0.020000,1.094981,23.835054,0.041809,0.509650,2.995346,-0.048683,0.000020
0.020000,1.106371,23.835054,0.053200,0.569535,2.994241,-0.055224,0.000022
0.020000,1.118959,23.835055,0.065788,0.629395,2.993007,-0.061733,0.000022
0.020000,1.132744,23.835055,0.079572,0.689228,2.991643,-0.068190,0.000020
0.020000,1.147724,23.835055,0.094553,0.749031,2.990149,-0.074714,0.000016
0.020000,1.163901,23.835055,0.110729,0.808802,2.988524,-0.081228,0.000008
0.020000,1.181271,23.835055,0.128100,0.868537,2.986772,-0.087581,6.283181
0.020000,1.199836,23.835055,0.146664,0.928235,2.984885,-0.094382,6.283164
0.020000,1.219594,23.835055,0.166422,0.987892,2.982875,-0.100504,6.283142
0.020000,1.240544,23.835053,0.187372,1.047507,2.980728,-0.107356,6.283113
0.020000,1.262685,23.835051,0.209514,1.107076,2.978455,-0.113654,6.283076
0.020000,1.286017,23.835048,0.232846,1.166597,2.976050,-0.120223,6.283032
0.020000,1.310539,23.835044,0.257367,1.226067,2.973513,-0.126872,6.282978
0.020000,1.336248,23.835038,0.283077,1.285484,2.970857,-0.132803,6.282914
0.020000,1.363145,23.835029,0.309974,1.344845,2.968049,-0.140396,6.282838
0.020000,1.391228,23.835018,0.338057,1.404148,2.965132,-0.145816,6.282749
0.020000,1.420496,23.835004,0.367324,1.463389,2.962073,-0.152976,6.282647
0.020000,1.450947,23.834986,0.397776,1.522567,2.958883,-0.159473,6.282530
0.020000,1.482581,23.834963,0.429409,1.581679,2.955573,-0.165495,6.282396
0.020000,1.515395,23.834935,0.462224,1.640721,2.952108,-0.173270,6.282244
0.020000,1.549389,23.834900,0.496218,1.699692,2.948542,-0.178297,6.282073
0.020000,1.584561,23.834858,0.531389,1.758588,2.944816,-0.186295,6.281882
0.020000,1.620909,23.834806,0.567737,1.817407,2.940978,-0.191910,6.281668
0.020000,1.658432,23.834745,0.605260,1.876148,2.937002,-0.198777,6.281430
0.020000,1.697128,23.834672,0.643957,1.934805,2.932887,-0.205781,6.281167
0.020000,1.736995,23.834586,0.683824,1.993378,2.928639,-0.212408,6.280877
0.020000,1.778033,23.834485,0.724861,2.051864,2.924282,-0.217825,6.280558
0.020000,1.820238,23.834367,0.767067,2.110259,2.919755,-0.226364,6.280209
0.020000,1.863609,23.834229,0.810438,2.168561,2.915110,-0.232238,6.279827
0.020000,1.908144,23.834070,0.854973,2.226768,2.910333,-0.238845,6.279411
0.020000,1.953841,23.833888,0.900671,2.284876,2.905411,-0.246133,6.278958
0.020000,2.000698,23.833678,0.947528,2.342883,2.900372,-0.251914,6.278467
0.020000,2.048713,23.833439,0.995544,2.400787,2.895173,-0.259979,6.277936
0.020000,2.097884,23.833167,1.044716,2.458584,2.889860,-0.265613,6.277362
0.020000,2.148209,23.832859,1.095041,2.516272,2.884379,-0.274069,6.276744
0.020000,2.199684,23.832510,1.146518,2.573847,2.878782,-0.279863,6.276079
0.020000,2.252309,23.832117,1.199144,2.631308,2.873032,-0.287511,6.275365
0.020000,2.306080,23.831676,1.252917,2.688651,2.867169,-0.293143,6.274599
0.020000,2.360996,23.831183,1.307835,2.745874,2.861127,-0.302099,6.273780
0.020000,2.417052,23.830631,1.363894,2.802973,2.854977,-0.307484,6.272904
0.020000,2.474248,23.830016,1.421093,2.859946,2.848647,-0.316511,6.271969
0.020000,2.532580,23.829333,1.479429,2.916790,2.842203,-0.322187,6.270973
0.020000,2.592045,23.828576,1.538899,2.973502,2.835598,-0.330241,6.269914
0.020000,2.652641,23.827738,1.599501,3.030079,2.828857,-0.337088,6.268787
0.020000,2.714364,23.826812,1.661231,3.086519,2.821994,-0.343113,6.267591
0.020000,2.777212,23.825792,1.724087,3.142818,2.814924,-0.353520,6.266323
0.020000,2.841182,23.824671,1.788067,3.198973,2.807743,-0.359063,6.264981
0.020000,2.906270,23.823440,1.853166,3.254981,2.800424,-0.365953,6.263560
0.020000,2.972473,23.822091,1.919383,3.310840,2.792936,-0.374371,6.262058
0.020000,3.039788,23.820616,1.986714,3.366545,2.785278,-0.382909,6.260473
0.020000,3.108211,23.819005,2.055156,3.422097,2.777564,-0.385699,6.258800
0.020000,3.177738,23.817248,2.124706,3.477488,2.769554,-0.400515,6.257038
0.020000,3.248367,23.815335,2.195360,3.532718,2.761511,-0.402153,6.255182
0.020000,3.320092,23.813257,2.267116,3.587784,2.753298,-0.410643,6.253230
0.020000,3.392911,23.811000,2.339969,3.642682,2.744914,-0.419183,6.251178
0.020000,3.466819,23.808555,2.413918,3.697409,2.736360,-0.427720,6.249022
0.020000,3.541811,23.805907,2.488957,3.751963,2.727673,-0.434359,6.246760
0.020000,3.617884,23.803045,2.565084,3.806341,2.718896,-0.438844,6.244388
0.020000,3.695033,23.799955,2.642294,3.860539,2.709918,-0.448907,6.241902
0.020000,3.773253,23.796623,2.720586,3.914555,2.700795,-0.456125,6.239299
0.020000,3.852540,23.793033,2.799953,3.968386,2.691549,-0.462284,6.236575
0.020000,3.932888,23.789171,2.880394,4.022030,2.682211,-0.466898,6.233726
0.020000,4.014292,23.785021,2.961904,4.075483,2.672666,-0.477263,6.230748
0.020000,4.096746,23.780565,3.044478,4.128745,2.663054,-0.480597,6.227639
0.020000,4.180246,23.775787,3.128115,4.181810,2.653283,-0.488576,6.224393
0.020000,4.264784,23.770668,3.212808,4.234679,2.643439,-0.492185,6.221007
0.020000,4.350356,23.765190,3.298555,4.287348,2.633472,-0.498369,6.217477
0.020000,4.436955,23.759332,3.385352,4.339816,2.623394,-0.503861,6.213799
