dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.749886,14.510000,0.000198,0.019822,0.991104,49.555207,0.000113
0.020000,5.749908,14.510000,0.000220,0.001104,-0.935928,-96.351624,0.000091
0.020000,5.749957,14.510000,0.000270,0.002481,0.068859,50.239349,0.000042
0.020000,5.751480,14.510000,0.001793,0.076131,3.682517,180.682933,6.283146
0.020000,5.755758,14.510000,0.006070,0.213896,6.888259,160.287080,6.283032
0.020000,5.761258,14.509998,0.011570,0.274985,3.054430,-191.691466,6.282885
0.020000,5.767979,14.509996,0.018291,0.336055,3.053507,-0.046146,6.282707
0.020000,5.775921,14.509991,0.026233,0.397103,3.052378,-0.056411,6.282498
0.020000,5.785083,14.509984,0.035396,0.458123,3.051045,-0.066658,6.282258
0.020000,5.795466,14.509973,0.045778,0.519114,3.049507,-0.076931,6.281988
0.020000,5.807067,14.509957,0.057379,0.580069,3.047763,-0.087167,6.281688
0.020000,5.819887,14.509936,0.070199,0.640985,3.045814,-0.097460,6.281359
0.020000,5.833924,14.509908,0.084236,0.701858,3.043660,-0.107684,6.281003
0.020000,5.849177,14.509871,0.099490,0.762684,3.041300,-0.118003,6.280620
0.020000,5.865646,14.509826,0.115959,0.823459,3.038737,-0.128181,6.280210
0.020000,5.883330,14.509769,0.133643,0.884178,3.035966,-0.138529,6.279776
0.020000,5.902227,14.509700,0.152539,0.944838,3.032991,-0.148762,6.279319
0.020000,5.922335,14.509618,0.172648,1.005434,3.029812,-0.158968,6.278839
0.020000,5.943654,14.509520,0.193967,1.065963,3.026424,-0.169370,6.278338
0.020000,5.966182,14.509405,0.216496,1.126420,3.022835,-0.179475,6.277817
0.020000,5.989918,14.509271,0.240232,1.186800,3.019037,-0.189870,6.277278
0.020000,6.014859,14.509117,0.265174,1.247101,3.015038,-0.199985,6.276723
0.020000,6.041005,14.508940,0.291320,1.307318,3.010829,-0.210414,6.276153
0.020000,6.068353,14.508740,0.318669,1.367446,3.006419,-0.220533,6.275569
0.020000,6.096902,14.508514,0.347219,1.427482,3.001801,-0.230870,6.274975
0.020000,6.126649,14.508261,0.376967,1.487422,2.996981,-0.241020,6.274371
0.020000,6.157593,14.507978,0.407912,1.547261,2.991954,-0.251359,6.273760
0.020000,6.189732,14.507665,0.440052,1.606995,2.986723,-0.261550,6.273143
0.020000,6.223062,14.507320,0.473385,1.666621,2.981286,-0.271818,6.272523
0.020000,6.257583,14.506942,0.507907,1.726134,2.975646,-0.282003,6.271902
0.020000,6.293291,14.506527,0.543618,1.785530,2.969800,-0.292309,6.271283
0.020000,6.330185,14.506077,0.580514,1.844805,2.963752,-0.302421,6.270668
0.020000,6.368261,14.505589,0.618593,1.903955,2.957497,-0.312733,6.270058
0.020000,6.407516,14.505061,0.657853,1.962976,2.951039,-0.322878,6.269458
0.020000,6.447950,14.504494,0.698290,2.021863,2.944377,-0.333127,6.268869
0.020000,6.489558,14.503887,0.739902,2.080613,2.937511,-0.343303,6.268294
0.020000,6.532337,14.503237,0.782687,2.139222,2.930440,-0.353540,6.267736
0.020000,6.576285,14.502546,0.826640,2.197685,2.923165,-0.363753,6.267198
0.020000,6.621399,14.501813,0.871760,2.255999,2.915686,-0.373941,6.266683
0.020000,6.667676,14.501038,0.918044,2.314159,2.908006,-0.383994,6.266194
0.020000,6.715112,14.500221,0.965487,2.372162,2.900117,-0.394480,6.265734
0.020000,6.763705,14.499362,1.014087,2.430002,2.892027,-0.404470,6.265305
0.020000,6.813450,14.498463,1.063840,2.487677,2.883732,-0.414784,6.264913
0.020000,6.864345,14.497523,1.114744,2.545181,2.875233,-0.424915,6.264559
0.020000,6.916386,14.496546,1.166794,2.602512,2.866528,-0.435246,6.264248
0.020000,6.969570,14.495531,1.219988,2.659664,2.857619,-0.445442,6.263982
0.020000,7.023892,14.494482,1.274320,2.716635,2.848506,-0.455682,6.263766
0.020000,7.079350,14.493400,1.329789,2.773418,2.839186,-0.465998,6.263603
0.020000,7.135939,14.492288,1.386389,2.830012,2.829661,-0.476259,6.263496
0.020000,7.193656,14.491150,1.444117,2.886410,2.819929,-0.486562,6.263451
0.020000,7.252497,14.489989,1.502969,2.942610,2.809992,-0.496896,6.263470
0.020000,7.312458,14.488809,1.562941,2.998607,2.799846,-0.507254,6.263558
0.020000,7.373534,14.487615,1.624029,3.054397,2.789494,-0.517605,6.263719
0.020000,7.435722,14.486411,1.686229,3.109975,2.778934,-0.528032,6.263956
0.020000,7.499017,14.485203,1.749536,3.165339,2.768166,-0.538408,6.264275
0.020000,7.563415,14.483998,1.813945,3.220482,2.757188,-0.548874,6.264680
0.020000,7.628913,14.482801,1.879453,3.275403,2.746002,-0.559320,6.265174
0.020000,7.695504,14.481621,1.946055,3.330095,2.734608,-0.569685,6.265763
0.020000,7.763185,14.480465,2.013746,3.384555,2.723002,-0.580299,6.266452
0.020000,7.831952,14.479340,2.082522,3.438778,2.711189,-0.590635,6.267244
0.020000,7.901798,14.478258,2.152377,3.492762,2.699166,-0.601166,6.268144
0.020000,7.972721,14.477226,2.223307,3.546501,2.686938,-0.611396,6.269158
0.020000,8.044714,14.476257,2.295307,3.599991,2.674498,-0.622001,6.270290
0.020000,8.117773,14.475360,2.368371,3.653228,2.661855,-0.632173,6.271546
0.020000,8.191893,14.474547,2.442496,3.706208,2.649008,-0.642311,6.272930
0.020000,8.267068,14.473833,2.517674,3.758927,2.635957,-0.652577,6.274448
0.020000,8.343293,14.473229,2.593902,3.811381,2.622710,-0.662354,6.276105
0.020000,8.420563,14.472751,2.671173,3.863566,2.609266,-0.672208,6.277905
0.020000,8.498872,14.472413,2.749483,3.915479,2.595631,-0.681708,6.279856
0.020000,8.578214,14.472231,2.828825,3.967115,2.581813,-0.690921,6.281961
0.020000,8.658584,14.472223,2.909194,4.018472,2.567816,-0.699837,0.001042
0.020000,8.739974,14.472406,2.990585,4.069545,2.553650,-0.708324,0.003474
0.020000,8.822380,14.472799,3.072992,4.120331,2.539322,-0.716364,0.006078
0.020000,8.905794,14.473421,3.156408,4.170828,2.524848,-0.723748,0.008860
0.020000,8.990210,14.474293,3.240829,4.221033,2.510237,-0.730524,0.011825
0.020000,9.075622,14.475436,3.326248,4.270943,2.495502,-0.736752,0.014979
0.020000,9.162021,14.476874,3.412659,4.320556,2.480671,-0.741526,0.018328
0.020000,9.249401,14.478630,3.500057,4.369871,2.465751,-0.746028,0.021879
0.020000,9.337753,14.480728,3.588434,4.418887,2.450777,-0.748673,0.025636
0.020000,9.427071,14.483194,3.677786,4.467602,2.435763,-0.750726,0.029606
0.020000,9.517346,14.486056,3.768107,4.516017,2.420754,-0.750465,0.033795
0.020000,9.608570,14.489340,3.859389,4.564132,2.405766,-0.749361,0.038209
0.020000,9.700733,14.493076,3.951628,4.611950,2.390860,-0.745294,0.042854
0.020000,9.793827,14.497294,4.044818,4.659470,2.376027,-0.741674,0.047735
0.020000,9.887842,14.502025,4.138952,4.706698,2.361395,-0.731591,0.052858
0.020000,9.982768,14.507302,4.234024,4.753637,2.346945,-0.722497,0.058229
0.020000,10.069449,14.512693,4.320873,4.342421,-20.560792,-1145.386880,0.066597
0.020000,10.162518,14.519346,4.414179,4.665307,16.144277,1835.253471,0.076072
0.020000,10.256937,14.526985,4.508907,4.736402,3.554778,-629.474978,0.085317
0.020000,10.352716,14.535614,4.605073,4.808315,3.595622,2.042209,0.094316
0.020000,10.449861,14.545235,4.702694,4.881033,3.635904,2.014118,0.103052
0.020000,10.548382,14.555849,4.801785,4.954547,3.675711,1.990328,0.111510
0.020000,10.648287,14.567452,4.902362,5.028844,3.714848,1.956848,0.119674
0.020000,10.749586,14.580041,5.004440,5.103914,3.753481,1.931661,0.127530
0.020000,10.852106,14.593582,5.107850,5.170492,3.328911,-21.228506,0.135048
0.020000,10.955425,14.608001,5.212170,5.216006,2.275703,-52.660384,0.142188
0.020000,11.058933,14.623177,5.316785,5.230764,0.737914,-76.889469,0.148904
0.020000,11.162077,14.638984,5.421133,5.217398,-0.668316,-70.311503,0.155164
0.020000,11.264543,14.655320,5.524893,5.188006,-1.469602,-40.064265,0.160958
0.020000,11.366202,14.672108,5.627929,5.151771,-1.811750,-17.107422,0.166293
0.020000,11.467046,14.689290,5.730226,5.114880,-1.844557,-1.640346,0.171180
0.020000,11.567069,14.706815,5.831773,5.077331,-1.877405,-1.642418,0.175634
0.020000,11.666265,14.724628,5.932556,5.039129,-1.910127,-1.636090,0.179666
0.020000,11.764628,14.742680,6.032561,5.000276,-1.942659,-1.626578,0.183290
0.020000,11.862151,14.760924,6.131777,4.960778,-1.974888,-1.611461,0.186519
0.020000,11.958831,14.779314,6.230190,4.920642,-2.006776,-1.594376,0.189365
0.020000,12.054660,14.797807,6.327787,4.879878,-2.038242,-1.573332,0.191841
0.020000,12.149635,14.816361,6.424557,4.838492,-2.069283,-1.552058,0.193959
0.020000,12.243749,14.834937,6.520487,4.796496,-2.099822,-1.526924,0.195730
0.020000,12.336998,14.853497,6.615565,4.753897,-2.129907,-1.504280,0.197168
0.020000,12.429376,14.872007,6.709779,4.710708,-2.159455,-1.477367,0.198284
0.020000,12.520878,14.890433,6.803118,4.666938,-2.188523,-1.453400,0.199088
0.020000,12.611498,14.908743,6.895570,4.622596,-2.217088,-1.428245,0.199594
0.020000,12.701232,14.926907,6.987123,4.577693,-2.245149,-1.403091,0.199810
0.020000,12.790074,14.944898,7.077768,4.532238,-2.272741,-1.379565,0.199750
0.020000,12.878017,14.962689,7.167493,4.486241,-2.299855,-1.355686,0.199422
0.020000,12.965056,14.980256,7.256287,4.439711,-2.326516,-1.333073,0.198839
0.020000,13.051185,14.997575,7.344140,4.392656,-2.352729,-1.310628,0.198009
0.020000,13.136398,15.014627,7.431042,4.345085,-2.378544,-1.290792,0.196945
0.020000,13.220687,15.031390,7.516982,4.297007,-2.403909,-1.268230,0.195654
0.020000,13.304046,15.047848,7.601951,4.248429,-2.428929,-1.250993,0.194148
0.020000,13.386469,15.063983,7.685938,4.199358,-2.453552,-1.231148,0.192436
0.020000,13.467948,15.079779,7.768934,4.149801,-2.477826,-1.213702,0.190528
0.020000,13.548476,15.095225,7.850929,4.099767,-2.501713,-1.194374,0.188434
0.020000,13.628044,15.110306,7.931915,4.049260,-2.525351,-1.181880,0.186161
0.020000,13.706646,15.125012,8.011880,3.998288,-2.548580,-1.161476,0.183721
0.020000,13.784273,15.139333,8.090817,3.946857,-2.571552,-1.148564,0.181121
0.020000,13.860917,15.153261,8.168717,3.894973,-2.594197,-1.132272,0.178372
0.020000,13.936570,15.166789,8.245570,3.842642,-2.616555,-1.117873,0.175481
0.020000,14.011223,15.179910,8.321367,3.789869,-2.638646,-1.104563,0.172457
0.020000,14.084868,15.192619,8.396100,3.736661,-2.660394,-1.087391,0.169309
0.020000,14.157495,15.204914,8.469761,3.683023,-2.681898,-1.075212,0.166047
0.020000,14.229096,15.216790,8.542340,3.628961,-2.703117,-1.060972,0.162677
0.020000,14.299662,15.228247,8.613830,3.574481,-2.724020,-1.045117,0.159208
0.020000,14.369183,15.239284,8.684221,3.519587,-2.744683,-1.033160,0.155649
0.020000,14.437650,15.249901,8.753507,3.464287,-2.765016,-1.016642,0.152007
0.020000,14.505055,15.260099,8.821679,3.408585,-2.785077,-1.003082,0.148291
0.020000,14.571387,15.269881,8.888729,3.352489,-2.804827,-0.987469,0.144508
0.020000,14.636638,15.279249,8.954649,3.296003,-2.824275,-0.972431,0.140666
0.020000,14.700799,15.288207,9.019431,3.239135,-2.843408,-0.956630,0.136773
0.020000,14.763859,15.296761,9.083069,3.181890,-2.862228,-0.941004,0.132835
0.020000,14.825810,15.304914,9.145555,3.124276,-2.880713,-0.924263,0.128861
0.020000,14.886643,15.312673,9.206881,3.066299,-2.898860,-0.907337,0.124857
0.020000,14.946349,15.320046,9.267040,3.007966,-2.916662,-0.890099,0.120831
0.020000,15.004919,15.327038,9.326026,2.949283,-2.934117,-0.872761,0.116790
0.020000,15.062344,15.333657,9.383831,2.890259,-2.951224,-0.855357,0.112740
0.020000,15.118615,15.339913,9.440449,2.830900,-2.967925,-0.835041,0.108687
0.020000,15.173724,15.345814,9.495873,2.771215,-2.984263,-0.816879,0.104639
0.020000,15.227663,15.351369,9.550097,2.711211,-3.000227,-0.798189,0.100602
0.020000,15.280424,15.356588,9.603115,2.650895,-3.015759,-0.776595,0.096581
0.020000,15.331998,15.361481,9.654921,2.590276,-3.030989,-0.761539,0.092583
0.020000,15.382378,15.366058,9.705508,2.529363,-3.045632,-0.732125,0.088614
0.020000,15.431556,15.370330,9.754871,2.468161,-3.060092,-0.723005,0.084679
0.020000,15.479525,15.374308,9.803005,2.406682,-3.073939,-0.692371,0.080784
0.020000,15.526277,15.378003,9.849904,2.344931,-3.087546,-0.680342,0.076935
0.020000,15.571807,15.381426,9.895562,2.282921,-3.100504,-0.647905,0.073135
0.020000,15.616108,15.384589,9.939975,2.220657,-3.113197,-0.634659,0.069392
0.020000,15.659172,15.387502,9.983138,2.158150,-3.125387,-0.609485,0.065708
0.020000,15.700995,15.390178,10.025046,2.095404,-3.137261,-0.593678,0.062089
0.020000,15.741570,15.392629,10.065695,2.032432,-3.148630,-0.568448,0.058540
0.020000,15.780891,15.394865,10.105080,1.969242,-3.159468,-0.541927,0.055064
0.020000,15.818953,15.396898,10.143196,1.905841,-3.170064,-0.529801,0.051667
0.020000,15.855752,15.398740,10.180041,1.842240,-3.180034,-0.498500,0.048351
0.020000,15.891282,15.400402,10.215610,1.778444,-3.189833,-0.489949,0.045121
0.020000,15.925539,15.401895,10.249899,1.714461,-3.199119,-0.464270,0.041980
0.020000,15.958518,15.403230,10.282905,1.650304,-3.207869,-0.437540,0.038933
0.020000,15.990215,15.404418,10.314625,1.585983,-3.216064,-0.409746,0.035981
0.020000,16.020627,15.405469,10.345055,1.521491,-3.224571,-0.425350,0.033129
0.020000,16.049749,15.406394,10.374192,1.456855,-3.231805,-0.361677,0.030379
0.020000,16.077579,15.407203,10.402034,1.392073,-3.239106,-0.365045,0.027735
0.020000,16.104113,15.407905,10.428577,1.327155,-3.245882,-0.338815,0.025198
0.020000,16.129348,15.408511,10.453819,1.262103,-3.252621,-0.336967,0.022773
0.020000,16.153281,15.409028,10.477757,1.196938,-3.258260,-0.281907,0.020460
0.020000,16.175910,15.409466,10.500390,1.131648,-3.264476,-0.310797,0.018262
0.020000,16.197232,15.409834,10.521716,1.066259,-3.269466,-0.249530,0.016182
0.020000,16.217245,15.410138,10.541731,1.000770,-3.274454,-0.249392,0.014220
0.020000,16.235947,15.410387,10.560435,0.935180,-3.279517,-0.253158,0.012381
0.020000,16.253336,15.410587,10.577825,0.869515,-3.283225,-0.185416,0.010663
0.020000,16.269410,15.410746,10.593900,0.803760,-3.287767,-0.227074,0.009071
0.020000,16.284169,15.410869,10.608659,0.737939,-3.291047,-0.164005,0.007604
0.020000,16.297609,15.410962,10.622100,0.672050,-3.294432,-0.169255,0.006265
0.020000,16.309731,15.411031,10.634222,0.606103,-3.297368,-0.146778,0.005053
0.020000,16.320533,15.411079,10.645024,0.540092,-3.300538,-0.158515,0.003972
0.020000,16.330014,15.411112,10.654505,0.474046,-3.302290,-0.087602,0.003020
0.020000,16.338173,15.411134,10.662664,0.407953,-3.304650,-0.117988,0.002200
0.020000,16.345009,15.411146,10.669500,0.341822,-3.306579,-0.096472,0.001512
0.020000,16.350522,15.411153,10.675013,0.275661,-3.308028,-0.072461,0.000957
0.020000,16.354712,15.411156,10.679203,0.209481,-3.308994,-0.048285,0.000534
0.020000,16.357578,15.411157,10.682069,0.143279,-3.310100,-0.055303,0.000245
0.020000,16.359193,15.411158,10.683684,0.080779,-3.124990,9.255504,0.000082
0.020000,16.359853,15.411158,10.684345,0.033017,-2.388112,36.843885,0.000015
0.020000,16.360000,15.411158,10.684491,0.007327,-1.284525,55.179388,6.283185
0.020000,16.360000,15.411158,10.684491,0.000000,-0.366333,45.909575,6.283185
