dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.750000,13.500000,0.000198,0.019822,0.991104,49.555207,0.000113
0.020000,5.750000,13.500000,0.000991,0.059466,1.982208,49.555207,0.000091
0.020000,5.750000,13.500000,0.002775,0.118932,2.973312,49.555207,0.000042
0.020000,5.751440,13.500000,0.005748,0.178399,2.973312,-0.000000,6.283146
0.020000,5.755603,13.500000,0.009911,0.237865,2.973312,0.000000,6.283032
0.020000,5.760955,13.499998,0.015263,0.297331,2.973312,-0.000000,6.282885
0.020000,5.767496,13.499996,0.021804,0.356797,2.973312,-0.000000,6.282707
0.020000,5.775227,13.499991,0.029535,0.416264,2.973312,0.000000,6.282498
0.020000,5.784146,13.499984,0.038455,0.475730,2.973312,-0.000000,6.282258
0.020000,5.794256,13.499973,0.048564,0.535196,2.973312,0.000000,6.281988
0.020000,5.805554,13.499958,0.059863,0.594662,2.973312,-0.000000,6.281688
0.020000,5.818042,13.499937,0.072351,0.654129,2.973312,0.000000,6.281359
0.020000,5.831719,13.499910,0.086028,0.713595,2.973312,-0.000000,6.281003
0.020000,5.846586,13.499875,0.100894,0.773061,2.973312,0.000000,6.280620
0.020000,5.862642,13.499830,0.116950,0.832527,2.973312,-0.000000,6.280210
0.020000,5.879887,13.499775,0.134195,0.891994,2.973312,0.000000,6.279776
0.020000,5.898321,13.499708,0.152630,0.951460,2.973312,0.000000,6.279319
0.020000,5.917945,13.499627,0.172254,1.010926,2.973312,0.000000,6.278839
0.020000,5.938758,13.499532,0.193067,1.070392,2.973312,0.000000,6.278338
0.020000,5.960760,13.499419,0.215070,1.129859,2.973312,-0.000000,6.277817
0.020000,5.983952,13.499289,0.238261,1.189325,2.973312,0.000000,6.277278
0.020000,6.008332,13.499138,0.262643,1.248791,2.973312,0.000000,6.276723
0.020000,6.033902,13.498965,0.288213,1.308257,2.973312,0.000000,6.276153
0.020000,6.060661,13.498769,0.314973,1.367724,2.973312,0.000000,6.275569
0.020000,6.088610,13.498548,0.342922,1.427190,2.973312,-0.000000,6.274975
0.020000,6.117747,13.498300,0.372060,1.486656,2.973312,0.000000,6.274371
0.020000,6.148074,13.498023,0.402388,1.546122,2.973312,-0.000000,6.273760
0.020000,6.179589,13.497716,0.433905,1.605589,2.973312,-0.000000,6.273143
0.020000,6.212294,13.497378,0.466612,1.665055,2.973312,0.000000,6.272523
0.020000,6.246188,13.497006,0.500508,1.724521,2.973312,-0.000000,6.271902
0.020000,6.281270,13.496599,0.535593,1.783987,2.973312,0.000000,6.271283
0.020000,6.317542,13.496156,0.571867,1.843454,2.973312,0.000000,6.270668
0.020000,6.355003,13.495676,0.609331,1.902920,2.973312,-0.000000,6.270058
0.020000,6.393652,13.495157,0.647984,1.962386,2.973312,0.000000,6.269458
0.020000,6.433491,13.494598,0.687826,2.021852,2.973312,0.000000,6.268869
0.020000,6.474518,13.493998,0.728858,2.081319,2.973312,-0.000000,6.268294
0.020000,6.516734,13.493358,0.771079,2.140785,2.973312,0.000000,6.267736
0.020000,6.560139,13.492675,0.814489,2.200251,2.973312,-0.000000,6.267198
0.020000,6.604733,13.491951,0.859089,2.259717,2.973312,0.000000,6.266683
0.020000,6.650516,13.491184,0.904878,2.319184,2.973312,0.000000,6.266194
0.020000,6.697487,13.490375,0.951856,2.378650,2.973312,-0.000000,6.265734
0.020000,6.745647,13.489524,1.000024,2.438116,2.973312,0.000000,6.265305
0.020000,6.794996,13.488631,1.049381,2.497582,2.973312,0.000000,6.264913
0.020000,6.845534,13.487699,1.099927,2.557049,2.973312,0.000000,6.264559
0.020000,6.897260,13.486727,1.151663,2.616515,2.973312,0.000000,6.264248
0.020000,6.950176,13.485717,1.204588,2.675981,2.973312,0.000000,6.263982
0.020000,7.004280,13.484672,1.258702,2.735447,2.973312,0.000000,6.263766
0.020000,7.059573,13.483593,1.314006,2.794914,2.973312,0.000000,6.263603
0.020000,7.116055,13.482484,1.370499,2.854380,2.973312,-0.000000,6.263496
0.020000,7.173726,13.481347,1.428181,2.913846,2.973312,0.000000,6.263451
0.020000,7.232586,13.480185,1.487053,2.973312,2.973312,-0.000000,6.263470
0.020000,7.292635,13.479003,1.547114,3.032779,2.973312,-0.000000,6.263558
0.020000,7.353874,13.477806,1.608364,3.092245,2.973312,0.000000,6.263719
0.020000,7.416302,13.476597,1.670803,3.151711,2.973312,-0.000000,6.263956
0.020000,7.479919,13.475384,1.734432,3.211177,2.973312,-0.000000,6.264275
0.020000,7.544726,13.474171,1.799250,3.270644,2.973312,0.000000,6.264680
0.020000,7.610722,13.472965,1.865258,3.330110,2.973312,-0.000000,6.265174
0.020000,7.677909,13.471774,1.932455,3.389576,2.973312,-0.000000,6.265763
0.020000,7.746285,13.470606,2.000841,3.449042,2.973312,0.000000,6.266452
0.020000,7.815851,13.469469,2.070417,3.508509,2.973312,0.000000,6.267244
0.020000,7.886607,13.468372,2.141181,3.567975,2.973312,-0.000000,6.268144
0.020000,7.958554,13.467326,2.213136,3.627441,2.973312,0.000000,6.269158
0.020000,8.031691,13.466340,2.286279,3.686907,2.973312,0.000000,6.270290
0.020000,8.106018,13.465428,2.360612,3.746374,2.973312,-0.000000,6.271546
0.020000,8.181536,13.464601,2.436134,3.805840,2.973312,0.000000,6.272930
0.020000,8.258244,13.463871,2.512845,3.865306,2.973312,-0.000000,6.274448
0.020000,8.336142,13.463255,2.590746,3.924772,2.973312,0.000000,6.276105
0.020000,8.415231,13.462765,2.669836,3.984239,2.973312,0.000000,6.277905
