dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.750114,12.490000,0.000198,0.019822,0.991104,49.555207,0.000113
0.020000,5.750092,12.490000,0.000220,0.001104,-0.935928,-96.351624,0.000091
0.020000,5.750043,12.490000,0.000270,0.002481,0.068859,50.239349,0.000042
0.020000,5.751400,12.490000,0.001627,0.067876,3.269753,160.044714,6.283146
0.020000,5.755447,12.490000,0.005675,0.202368,6.724589,172.741795,6.283032
0.020000,5.760652,12.489998,0.010879,0.260211,2.892195,-191.619681,6.282885
0.020000,5.767013,12.489996,0.017240,0.318074,2.893118,0.046151,6.282707
0.020000,5.774532,12.489992,0.024760,0.375959,2.894246,0.056400,6.282498
0.020000,5.783210,12.489985,0.033437,0.433870,2.895580,0.066668,6.282258
0.020000,5.793046,12.489974,0.043273,0.491813,2.897118,0.076913,6.281988
0.020000,5.804042,12.489959,0.054269,0.549790,2.898862,0.087196,6.281688
0.020000,5.816198,12.489939,0.066425,0.607806,2.900810,0.097426,6.281359
0.020000,5.829515,12.489912,0.079743,0.665865,2.902965,0.107723,6.281003
0.020000,5.843995,12.489878,0.094222,0.723972,2.905323,0.117932,6.280620
0.020000,5.859637,12.489835,0.109865,0.782130,2.907889,0.128276,6.280210
0.020000,5.876444,12.489781,0.126671,0.840343,2.910658,0.138461,6.279776
0.020000,5.894416,12.489716,0.144644,0.898615,2.913633,0.148754,6.279319
0.020000,5.913555,12.489637,0.163783,0.956952,2.916815,0.159072,6.278839
0.020000,5.933862,12.489544,0.184090,1.015356,2.920199,0.169204,6.278338
0.020000,5.955338,12.489434,0.205567,1.073832,2.923791,0.179616,6.277817
0.020000,5.977985,12.489306,0.228214,1.132383,2.927586,0.189750,6.277278
0.020000,6.001805,12.489159,0.252034,1.191015,2.931589,0.200148,6.276723
0.020000,6.026799,12.488990,0.277029,1.249731,2.935794,0.210241,6.276153
0.020000,6.052969,12.488798,0.303200,1.308535,2.940206,0.220626,6.275569
0.020000,6.080317,12.488582,0.330548,1.367432,2.944822,0.230795,6.274975
0.020000,6.108845,12.488339,0.359077,1.426424,2.949645,0.241138,6.274371
0.020000,6.138554,12.488068,0.388787,1.485518,2.954671,0.251291,6.273760
0.020000,6.169447,12.487767,0.419682,1.544716,2.959902,0.261579,6.273143
0.020000,6.201525,12.487435,0.451762,1.604023,2.965338,0.271782,6.272523
0.020000,6.234792,12.487070,0.485031,1.663442,2.970979,0.282057,6.271902
0.020000,6.269249,12.486671,0.519490,1.722979,2.976823,0.292207,6.271283
0.020000,6.304899,12.486235,0.555143,1.782636,2.982874,0.302534,6.270668
0.020000,6.341745,12.485763,0.591992,1.842419,2.989127,0.312659,6.270058
0.020000,6.379788,12.485252,0.630038,1.902330,2.995586,0.322937,6.269458
0.020000,6.419032,12.484701,0.669286,1.962375,3.002248,0.333106,6.268869
0.020000,6.459478,12.484110,0.709737,2.022558,3.009115,0.343340,6.268294
0.020000,6.501131,12.483478,0.751394,2.082881,3.016185,0.353509,6.267736
0.020000,6.543993,12.482805,0.794261,2.143351,3.023459,0.363698,6.267198
0.020000,6.588067,12.482088,0.838341,2.203969,3.030937,0.373911,6.266683
0.020000,6.633355,12.481330,0.883636,2.264742,3.038622,0.384258,6.266194
0.020000,6.679862,12.480529,0.930149,2.325672,3.046506,0.394186,6.265734
0.020000,6.727589,12.479685,0.977884,2.386764,3.054598,0.404606,6.265305
0.020000,6.776542,12.478800,1.026845,2.448022,3.062893,0.414721,6.264913
0.020000,6.826722,12.477874,1.077034,2.509450,3.071393,0.425030,6.264559
0.020000,6.878134,12.476908,1.128455,2.571051,3.080096,0.435162,6.264248
0.020000,6.930781,12.475904,1.181111,2.632832,3.089005,0.445449,6.263982
0.020000,6.984667,12.474863,1.235007,2.694794,3.098120,0.455720,6.263766
0.020000,7.039796,12.473787,1.290146,2.756943,3.107439,0.465947,6.263603
0.020000,7.096170,12.472680,1.346532,2.819282,3.116964,0.476262,6.263496
0.020000,7.153795,12.471543,1.404168,2.881816,3.126695,0.486574,6.263451
0.020000,7.212675,12.470381,1.463059,2.944549,3.136633,0.496896,6.263470
0.020000,7.272813,12.469198,1.523209,3.007484,3.146778,0.507236,6.263558
0.020000,7.334214,12.467997,1.584621,3.070627,3.157131,0.517627,6.263719
0.020000,7.396882,12.466784,1.647301,3.133981,3.167690,0.527984,6.263956
0.020000,7.460821,12.465564,1.711252,3.197550,3.178459,0.538433,6.264275
0.020000,7.526036,12.464344,1.776479,3.261339,3.189436,0.548827,6.264680
0.020000,7.592532,12.463129,1.842986,3.325351,3.200621,0.559271,6.265174
0.020000,7.660313,12.461928,1.910778,3.389591,3.212017,0.569818,6.265763
0.020000,7.729385,12.460747,1.979859,3.454064,3.223620,0.580117,6.266452
0.020000,7.799751,12.459597,2.050234,3.518772,3.235433,0.590689,6.267244
0.020000,7.871416,12.458486,2.121909,3.583721,3.247454,0.601029,6.268144
0.020000,7.944387,12.457425,2.194887,3.648915,3.259686,0.611620,6.269158
0.020000,8.018667,12.456424,2.269174,3.714358,3.272121,0.621731,6.270290
0.020000,8.094263,12.455496,2.344775,3.780053,3.284764,0.632153,6.271546
0.020000,8.171178,12.454654,2.421695,3.846005,3.297613,0.642431,6.272930
0.020000,8.249419,12.453910,2.499940,3.912218,3.310659,0.652336,6.274448
0.020000,8.328991,12.453280,2.579514,3.978696,3.323908,0.662444,6.276105
0.020000,8.409898,12.452779,2.660423,4.045443,3.337350,0.672087,6.277905
0.020000,8.492146,12.452424,2.742672,4.112463,3.350983,0.681624,6.279856
0.020000,8.575741,12.452233,2.826267,4.179759,3.364800,0.690883,6.281961
0.020000,8.660688,12.452224,2.911214,4.247335,3.378795,0.699754,0.001042
0.020000,8.746992,12.452418,2.997518,4.315194,3.392960,0.708242,0.003474
0.020000,8.834658,12.452836,3.085184,4.383340,3.407284,0.716212,0.006078
0.020000,8.923691,12.453500,3.174220,4.451775,3.421759,0.723713,0.008860
