dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.750099,14.510000,0.000198,0.019822,0.991109,49.555430,6.283087
0.020000,5.750080,14.510000,0.000217,0.000960,-0.943103,-96.710596,6.283106
0.020000,5.750037,14.510000,0.000261,0.002158,0.059910,50.150663,6.283149
0.020000,5.751405,14.510000,0.001629,0.068413,3.312758,162.642392,0.000034
0.020000,5.755468,14.510000,0.005691,0.203118,6.735206,171.122412,0.000134
0.020000,5.760691,14.510001,0.010915,0.261173,2.902750,-191.622783,0.000261
0.020000,5.767076,14.510004,0.017300,0.319244,2.903553,0.040153,0.000416
0.020000,5.774623,14.510007,0.024846,0.377334,2.904535,0.049070,0.000598
0.020000,5.783332,14.510014,0.033555,0.435448,2.905695,0.058002,0.000807
0.020000,5.793203,14.510023,0.043427,0.493589,2.907033,0.066917,0.001042
0.020000,5.804239,14.510036,0.054462,0.551760,2.908550,0.075859,0.001303
0.020000,5.816438,14.510053,0.066661,0.609965,2.910246,0.084762,0.001589
0.020000,5.829802,14.510077,0.080026,0.668207,2.912120,0.093716,0.001899
0.020000,5.844332,14.510107,0.094555,0.726491,2.914172,0.102602,0.002232
0.020000,5.860028,14.510144,0.110252,0.784819,2.916404,0.111591,0.002588
0.020000,5.876892,14.510191,0.127116,0.843195,2.918813,0.120459,0.002966
0.020000,5.894924,14.510248,0.145148,0.901623,2.921401,0.129409,0.003364
0.020000,5.914126,14.510317,0.164350,0.960106,2.924169,0.138379,0.003782
0.020000,5.934499,14.510398,0.184723,1.018649,2.927113,0.147207,0.004218
0.020000,5.956044,14.510494,0.206268,1.077253,2.930238,0.156248,0.004671
0.020000,5.978762,14.510606,0.228987,1.135924,2.933539,0.165077,0.005139
0.020000,6.002655,14.510734,0.252880,1.194665,2.937022,0.174108,0.005623
0.020000,6.027724,14.510881,0.277950,1.253478,2.940680,0.182906,0.006119
0.020000,6.053971,14.511049,0.304197,1.312369,2.944518,0.191927,0.006626
