dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.750000,13.500000,0.000198,0.019822,0.991109,49.555430,6.283087
0.020000,5.750000,13.500000,0.000991,0.059467,1.982217,49.555430,6.283106
0.020000,5.750000,13.500000,0.002775,0.118933,2.973326,49.555430,6.283149
0.020000,5.751440,13.500000,0.005748,0.178400,2.973326,-0.000000,0.000034
0.020000,5.755603,13.500000,0.009911,0.237866,2.973326,0.000000,0.000134
0.020000,5.760955,13.500001,0.015263,0.297333,2.973326,0.000000,0.000261
0.020000,5.767496,13.500004,0.021804,0.356799,2.973326,-0.000000,0.000416
0.020000,5.775227,13.500008,0.029535,0.416266,2.973326,0.000000,0.000598
0.020000,5.784147,13.500014,0.038455,0.475732,2.973326,-0.000000,0.000807
0.020000,5.794256,13.500023,0.048564,0.535199,2.973326,0.000000,0.001042
0.020000,5.805555,13.500036,0.059863,0.594665,2.973326,-0.000000,0.001303
0.020000,5.818043,13.500054,0.072351,0.654132,2.973326,0.000000,0.001589
0.020000,5.831720,13.500078,0.086028,0.713598,2.973326,-0.000000,0.001899
0.020000,5.846586,13.500109,0.100895,0.773065,2.973326,0.000000,0.002232
0.020000,5.862642,13.500148,0.116951,0.832531,2.973326,-0.000000,0.002588
0.020000,5.879888,13.500196,0.134196,0.891998,2.973326,0.000000,0.002966
0.020000,5.898322,13.500254,0.152631,0.951464,2.973326,-0.000000,0.003364
0.020000,5.917946,13.500324,0.172255,1.010931,2.973326,0.000000,0.003782
0.020000,5.938759,13.500407,0.193068,1.070397,2.973326,0.000000,0.004218
0.020000,5.960761,13.500505,0.215071,1.129864,2.973326,-0.000000,0.004671
0.020000,5.983953,13.500619,0.238263,1.189330,2.973326,0.000000,0.005139
0.020000,6.008334,13.500750,0.262644,1.248797,2.973326,-0.000000,0.005623
0.020000,6.033904,13.500900,0.288214,1.308263,2.973326,0.000000,0.006119
0.020000,6.060664,13.501071,0.314974,1.367730,2.973326,-0.000000,0.006626
0.020000,6.088612,13.501263,0.342924,1.427196,2.973326,0.000000,0.007144
0.020000,6.117750,13.501479,0.372062,1.486663,2.973326,0.000000,0.007669
0.020000,6.148077,13.501720,0.402390,1.546129,2.973326,0.000000,0.008201
0.020000,6.179593,13.501987,0.433907,1.605596,2.973326,-0.000000,0.008737
0.020000,6.212298,13.502281,0.466614,1.665062,2.973326,0.000000,0.009277
0.020000,6.246193,13.502605,0.500510,1.724529,2.973326,0.000000,0.009817
0.020000,6.281276,13.502959,0.535595,1.783995,2.973326,0.000000,0.010356
0.020000,6.317549,13.503344,0.571870,1.843462,2.973326,0.000000,0.010891
0.020000,6.355010,13.503762,0.609334,1.902929,2.973326,-0.000000,0.011421
0.020000,6.393661,13.504214,0.647987,1.962395,2.973326,0.000000,0.011944
0.020000,6.433500,13.504700,0.687829,2.021862,2.973326,0.000000,0.012456
0.020000,6.474529,13.505222,0.728861,2.081328,2.973326,0.000000,0.012956
0.020000,6.516747,13.505779,0.771082,2.140795,2.973326,0.000000,0.013442
0.020000,6.560153,13.506373,0.814493,2.200261,2.973326,-0.000000,0.013910
0.020000,6.604748,13.507003,0.859093,2.259728,2.973326,0.000000,0.014358
0.020000,6.650533,13.507671,0.904882,2.319194,2.973326,0.000000,0.014784
0.020000,6.697506,13.508375,0.951861,2.378661,2.973326,0.000000,0.015184
0.020000,6.745668,13.509115,1.000029,2.438127,2.973326,0.000000,0.015557
0.020000,6.795019,13.509892,1.049386,2.497594,2.973326,-0.000000,0.015898
0.020000,6.845559,13.510703,1.099932,2.557060,2.973326,0.000000,0.016206
0.020000,6.897288,13.511549,1.151668,2.616527,2.973326,0.000000,0.016477
0.020000,6.950206,13.512427,1.204593,2.675993,2.973326,0.000000,0.016708
0.020000,7.004313,13.513336,1.258708,2.735460,2.973326,-0.000000,0.016896
0.020000,7.059609,13.514275,1.314012,2.794926,2.973326,0.000000,0.017038
0.020000,7.116094,13.515240,1.370505,2.854393,2.973326,-0.000000,0.017131
0.020000,7.173768,13.516230,1.428187,2.913859,2.973326,0.000000,0.017170
0.020000,7.232631,13.517240,1.487059,2.973326,2.973326,-0.000000,0.017154
0.020000,7.292684,13.518269,1.547121,3.032792,2.973326,0.000000,0.017077
0.020000,7.353925,13.519311,1.608371,3.092259,2.973326,0.000000,0.016937
0.020000,7.416356,13.520362,1.670811,3.151725,2.973326,-0.000000,0.016730
0.020000,7.479977,13.521418,1.734440,3.211192,2.973326,0.000000,0.016453
0.020000,7.544787,13.522473,1.799259,3.270658,2.973326,0.000000,0.016101
0.020000,7.610786,13.523522,1.865266,3.330125,2.973326,0.000000,0.015670
0.020000,7.677975,13.524558,1.932464,3.389591,2.973326,-0.000000,0.015158
0.020000,7.746354,13.525575,2.000850,3.449058,2.973326,0.000000,0.014559
0.020000,7.815923,13.526564,2.070426,3.508524,2.973326,-0.000000,0.013869
0.020000,7.886682,13.527519,2.141191,3.567991,2.973326,0.000000,0.013086
0.020000,7.958630,13.528429,2.213145,3.627457,2.973326,-0.000000,0.012203
0.020000,8.031769,13.529286,2.286289,3.686924,2.973326,0.000000,0.011218
0.020000,8.106098,13.530080,2.360622,3.746390,2.973326,-0.000000,0.010125
0.020000,8.181617,13.530800,2.436145,3.805857,2.973326,0.000000,0.008921
0.020000,8.258326,13.531434,2.512857,3.865324,2.973326,-0.000000,0.007600
0.020000,8.336226,13.531970,2.590758,3.924790,2.973326,0.000000,0.006159
0.020000,8.415315,13.532396,2.669848,3.984257,2.973326,0.000000,0.004592
0.020000,8.495594,13.532698,2.750128,4.043723,2.973326,-0.000000,0.002895
0.020000,8.577063,13.532860,2.831597,4.103190,2.973326,0.000000,0.001063
0.020000,8.659722,13.532867,2.914256,4.162656,2.973326,0.000000,6.282277
0.020000,8.743569,13.532703,2.998104,4.222123,2.973326,0.000000,6.280161
0.020000,8.828605,13.532350,3.083141,4.281589,2.973326,0.000000,6.277895
0.020000,8.914830,13.531790,3.169367,4.341056,2.973326,-0.000000,6.275474
0.020000,9.002242,13.531004,3.256783,4.400522,2.973326,0.000000,6.272895
0.020000,9.090841,13.529972,3.345388,4.459989,2.973326,0.000000,6.270150
0.020000,9.180626,13.528672,3.435182,4.519455,2.973326,-0.000000,6.267235
0.020000,9.271596,13.527081,3.526166,4.578922,2.973326,0.000000,6.264146
0.020000,9.363750,13.525177,3.618339,4.638388,2.973326,0.000000,6.260876
0.020000,9.457085,13.522934,3.711702,4.697855,2.973326,-0.000000,6.257420
0.020000,9.551601,13.520327,3.806253,4.757321,2.973326,0.000000,6.253774
0.020000,9.647295,13.517329,3.901995,4.816788,2.973326,-0.000000,6.249932
0.020000,9.744165,13.513911,3.998925,4.876254,2.973326,0.000000,6.245889
0.020000,9.842208,13.510046,4.097045,4.935721,2.973326,-0.000000,6.241638
0.020000,9.941422,13.505701,4.196354,4.995187,2.973326,0.000000,6.237176
0.020000,10.041803,13.500845,4.296852,5.054654,2.973326,0.000000,6.232497
0.020000,10.136956,13.495639,4.398540,5.114120,2.973326,-0.000000,6.223876
0.020000,10.239620,13.489028,4.501417,5.173587,2.973326,0.000000,6.213936
0.020000,10.343401,13.481321,4.605483,5.233053,2.973326,-0.000000,6.204229
0.020000,10.448287,13.472519,4.710739,5.292520,2.973326,0.000000,6.194771
0.020000,10.554272,13.462630,4.817184,5.351986,2.973326,0.000000,6.185581
0.020000,10.661345,13.451660,4.924819,5.411453,2.973326,-0.000000,6.176674
0.020000,10.769501,13.439622,5.033642,5.470919,2.973326,0.000000,6.168067
0.020000,10.878732,13.426529,5.143655,5.530386,2.973326,0.000000,6.159776
0.020000,10.988836,13.412423,5.254660,5.570030,1.982217,-49.555430,6.151831
0.020000,11.099350,13.397394,5.366192,5.583196,0.658302,-66.195741,6.144276
0.020000,11.209620,13.381573,5.477591,5.556718,-1.323915,-99.110860,6.137159
0.020000,11.319059,13.365102,5.588262,5.510418,-2.315023,-49.555430,6.130515
0.020000,11.427345,13.348095,5.697876,5.450951,-2.973326,-32.915119,6.124354
0.020000,11.534354,13.330638,5.806300,5.391485,-2.973326,0.000000,6.118670
0.020000,11.640095,13.312796,5.913535,5.332018,-2.973326,-0.000000,6.113450
0.020000,11.744573,13.294630,6.019581,5.272552,-2.973326,0.000000,6.108681
0.020000,11.847796,13.276198,6.124437,5.213085,-2.973326,0.000000,6.104349
0.020000,11.949773,13.257555,6.228104,5.153619,-2.973326,-0.000000,6.100442
0.020000,12.050511,13.238753,6.330582,5.094152,-2.973326,0.000000,6.096946
0.020000,12.150018,13.219840,6.431871,5.034685,-2.973326,0.000000,6.093847
0.020000,12.248302,13.200865,6.531970,4.975219,-2.973326,-0.000000,6.091134
0.020000,12.345371,13.181869,6.630879,4.915752,-2.973326,0.000000,6.088793
0.020000,12.441231,13.162895,6.728600,4.856286,-2.973326,0.000000,6.086811
0.020000,12.535891,13.143980,6.825131,4.796819,-2.973326,-0.000000,6.085177
0.020000,12.629357,13.125162,6.920472,4.737353,-2.973326,0.000000,6.083878
0.020000,12.721636,13.106473,7.014625,4.677886,-2.973326,0.000000,6.082902
0.020000,12.812734,13.087946,7.107588,4.618420,-2.973326,-0.000000,6.082237
