dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.749901,12.490000,0.000198,0.019822,0.991109,49.555430,6.283087
0.020000,5.749920,12.490000,0.000217,0.000960,-0.943103,-96.710596,6.283106
0.020000,5.749963,12.490000,0.000261,0.002158,0.059910,50.150663,6.283149
0.020000,5.751475,12.490000,0.001773,0.075596,3.671880,180.598519,0.000034
0.020000,5.755738,12.490000,0.006035,0.213148,6.877606,160.286281,0.000134
0.020000,5.761218,12.490001,0.011516,0.274026,3.043901,-191.685238,0.000261
0.020000,5.767916,12.490004,0.018214,0.334888,3.043098,-0.040149,0.000416
0.020000,5.775831,12.490008,0.026128,0.395730,3.042117,-0.049079,0.000598
0.020000,5.784962,12.490014,0.035259,0.456549,3.040957,-0.057994,0.000807
0.020000,5.795309,12.490024,0.045606,0.517342,3.039618,-0.066930,0.001042
0.020000,5.806871,12.490037,0.057168,0.578104,3.038101,-0.075837,0.001303
0.020000,5.819647,12.490056,0.069945,0.638832,3.036406,-0.084788,0.001589
0.020000,5.833638,12.490080,0.083935,0.699523,3.034532,-0.093686,0.001899
0.020000,5.848841,12.490112,0.099139,0.760172,3.032479,-0.102656,0.002232
0.020000,5.865257,12.490151,0.115554,0.820777,3.030248,-0.111519,0.002588
0.020000,5.882883,12.490200,0.133181,0.881334,3.027838,-0.120510,0.002966
0.020000,5.901720,12.490260,0.152018,0.941839,3.025250,-0.129415,0.003364
0.020000,5.921766,12.490331,0.172064,1.002289,3.022484,-0.138300,0.003782
0.020000,5.943019,12.490416,0.193317,1.062679,3.019537,-0.147332,0.004218
0.020000,5.965479,12.490516,0.215777,1.123008,3.016414,-0.156141,0.004671
0.020000,5.989144,12.490632,0.239443,1.183270,3.013111,-0.165168,0.005139
0.020000,6.014013,12.490766,0.264312,1.243462,3.009631,-0.173984,0.005623
0.020000,6.040084,12.490919,0.290384,1.303582,3.005971,-0.183038,0.006119
0.020000,6.067356,12.491093,0.317656,1.363625,3.002133,-0.191857,0.006626
0.020000,6.095827,12.491289,0.346128,1.423587,2.998117,-0.200841,0.007144
0.020000,6.125496,12.491509,0.375797,1.483465,2.993923,-0.209686,0.007669
0.020000,6.156360,12.491754,0.406662,1.543256,2.989550,-0.218672,0.008201
0.020000,6.188418,12.492025,0.438721,1.602956,2.984999,-0.227547,0.008737
0.020000,6.221668,12.492325,0.471973,1.662562,2.980269,-0.236482,0.009277
0.020000,6.256107,12.492654,0.506414,1.722069,2.975362,-0.245353,0.009817
0.020000,6.291735,12.493013,0.542043,1.781474,2.970276,-0.254317,0.010356
0.020000,6.328548,12.493404,0.578859,1.840775,2.965013,-0.263134,0.010891
0.020000,6.366545,12.493828,0.616858,1.899966,2.959571,-0.272104,0.011421
0.020000,6.405724,12.494286,0.656039,1.959045,2.953952,-0.280946,0.011944
0.020000,6.446081,12.494779,0.696399,2.018008,2.948154,-0.289869,0.012456
0.020000,6.487614,12.495306,0.737936,2.076852,2.942180,-0.298737,0.012956
0.020000,6.530322,12.495870,0.780648,2.135572,2.936027,-0.307648,0.013442
0.020000,6.574201,12.496471,0.824531,2.194166,2.929696,-0.316549,0.013910
0.020000,6.619250,12.497107,0.869584,2.252630,2.923187,-0.325419,0.014358
0.020000,6.665464,12.497781,0.915803,2.310960,2.916503,-0.334200,0.014784
0.020000,6.712842,12.498491,0.963186,2.369153,2.909637,-0.343296,0.015184
