dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.749901,14.510000,0.000199,0.019947,0.997344,49.867205,0.000098
0.020000,5.749920,14.510000,0.000219,0.000965,-0.949111,-97.322775,0.000079
0.020000,5.749963,14.510000,0.000262,0.002169,0.060193,50.465228,0.000036
0.020000,5.751512,14.510000,0.001811,0.077421,3.762632,185.121962,6.283150
0.020000,5.755801,14.510000,0.006100,0.214481,6.852996,154.518186,6.283050
0.020000,5.761316,14.509999,0.011615,0.275740,3.062933,-189.503155,6.282922
0.020000,5.768056,14.509996,0.018355,0.336982,3.062121,-0.040593,6.282767
0.020000,5.776020,14.509992,0.026319,0.398205,3.061129,-0.049620,6.282584
0.020000,5.785208,14.509986,0.035507,0.459404,3.059956,-0.058638,6.282374
0.020000,5.795620,14.509976,0.045918,0.520576,3.058603,-0.067672,6.282138
0.020000,5.807254,14.509962,0.057553,0.581717,3.057069,-0.076668,6.281876
0.020000,5.820110,14.509944,0.070409,0.642824,3.055355,-0.085734,6.281589
0.020000,5.834188,14.509919,0.084487,0.703894,3.053460,-0.094726,6.281277
0.020000,5.849487,14.509887,0.099785,0.764921,3.051384,-0.103776,6.280942
0.020000,5.866005,14.509847,0.116304,0.825904,3.049129,-0.112771,6.280585
0.020000,5.883741,14.509798,0.134040,0.886838,3.046692,-0.121830,6.280206
0.020000,5.902696,14.509737,0.152995,0.947719,3.044076,-0.130841,6.279806
0.020000,5.922866,14.509665,0.173166,1.008545,3.041278,-0.139867,6.279387
0.020000,5.944252,14.509579,0.194552,1.069311,3.038300,-0.148896,6.278949
0.020000,5.966853,14.509478,0.217152,1.130014,3.035141,-0.157948,6.278494
0.020000,5.990665,14.509361,0.240965,1.190650,3.031803,-0.166925,6.278024
0.020000,6.015689,14.509226,0.265989,1.251215,3.028284,-0.175970,6.277539
0.020000,6.041923,14.509071,0.292223,1.311707,3.024584,-0.184999,6.277041
0.020000,6.069365,14.508895,0.319666,1.372121,3.020703,-0.194022,6.276532
0.020000,6.098013,14.508697,0.348315,1.432454,3.016643,-0.203000,6.276013
0.020000,6.127866,14.508475,0.378169,1.492702,3.012401,-0.212102,6.275487
0.020000,6.158923,14.508228,0.409226,1.552862,3.007981,-0.221027,6.274953
0.020000,6.191180,14.507954,0.441485,1.612929,3.003378,-0.230135,6.274416
0.020000,6.224637,14.507651,0.474943,1.672901,2.998599,-0.238961,6.273876
0.020000,6.259291,14.507319,0.509598,1.732774,2.993634,-0.248209,6.273335
0.020000,6.295140,14.506956,0.545449,1.792544,2.988494,-0.257025,6.272795
0.020000,6.332182,14.506561,0.582493,1.852207,2.983171,-0.266130,6.272259
0.020000,6.370414,14.506133,0.620729,1.911761,2.977671,-0.275017,6.271729
0.020000,6.409836,14.505671,0.660153,1.971200,2.971989,-0.284115,6.271206
0.020000,6.450443,14.505174,0.700763,2.030523,2.966128,-0.293055,6.270694
0.020000,6.492234,14.504642,0.742558,2.089725,2.960087,-0.302044,6.270195
0.020000,6.535206,14.504073,0.785534,2.148802,2.953866,-0.311039,6.269711
0.020000,6.579357,14.503468,0.829689,2.207751,2.947465,-0.320063,6.269244
0.020000,6.624684,14.502825,0.875020,2.266569,2.940885,-0.328967,6.268797
0.020000,6.671184,14.502146,0.921525,2.325251,2.934125,-0.337992,6.268374
0.020000,6.718855,14.501431,0.969201,2.383795,2.927186,-0.346988,6.267976
0.020000,6.767693,14.500679,1.018045,2.442196,2.920066,-0.355977,6.267607
0.020000,6.817696,14.499891,1.068054,2.500452,2.912767,-0.364935,6.267269
0.020000,6.868860,14.499068,1.119225,2.558558,2.905287,-0.374011,6.266965
0.020000,6.921184,14.498213,1.171555,2.616510,2.897629,-0.382938,6.266699
0.020000,6.974662,14.497325,1.225041,2.674306,2.889788,-0.392013,6.266473
0.020000,7.029293,14.496406,1.279680,2.731941,2.881769,-0.400954,6.266291
0.020000,7.085074,14.495460,1.335468,2.789413,2.873567,-0.410086,6.266156
0.020000,7.142000,14.494488,1.392403,2.846716,2.865186,-0.419062,6.266072
0.020000,7.200068,14.493493,1.450480,2.903849,2.856623,-0.428149,6.266040
0.020000,7.259275,14.492478,1.509696,2.960806,2.847879,-0.437210,6.266066
0.020000,7.319618,14.491447,1.570048,3.017585,2.838953,-0.446303,6.266153
0.020000,7.381093,14.490404,1.631531,3.074182,2.829845,-0.455401,6.266303
0.020000,7.443696,14.489354,1.694143,3.130593,2.820554,-0.464522,6.266522
0.020000,7.507424,14.488301,1.757879,3.186815,2.811082,-0.473645,6.266812
0.020000,7.572272,14.487250,1.822736,3.242844,2.801426,-0.482760,6.267178
0.020000,7.638238,14.486209,1.888710,3.298675,2.791587,-0.491954,6.267623
0.020000,7.705316,14.485182,1.955796,3.354307,2.781565,-0.501098,6.268152
0.020000,7.773503,14.484177,2.023991,3.409734,2.771361,-0.510236,6.268768
0.020000,7.842795,14.483202,2.093290,3.464953,2.760973,-0.519390,6.269475
0.020000,7.913188,14.482265,2.163689,3.519961,2.750401,-0.528586,6.270278
0.020000,7.984678,14.481374,2.235184,3.574754,2.739650,-0.537578,6.271181
0.020000,8.057260,14.480538,2.307770,3.629329,2.728714,-0.546803,6.272189
0.020000,8.130929,14.479769,2.381444,3.683681,2.717599,-0.555718,6.273305
0.020000,8.205682,14.479076,2.456200,3.737807,2.706302,-0.564863,6.274534
0.020000,8.281514,14.478470,2.532034,3.791703,2.694831,-0.573552,6.275881
0.020000,8.358419,14.477964,2.608942,3.845367,2.683181,-0.582503,6.277350
0.020000,8.436394,14.477570,2.686918,3.898794,2.671360,-0.591059,6.278946
0.020000,8.515433,14.477303,2.765957,3.951981,2.659367,-0.599655,6.280674
0.020000,8.595532,14.477176,2.846056,4.004926,2.647209,-0.607872,6.282539
