dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.750000,13.500000,0.000199,0.019947,0.997344,49.867205,0.000098
0.020000,5.750000,13.500000,0.000997,0.059841,1.994688,49.867205,0.000079
0.020000,5.750000,13.500000,0.002793,0.119681,2.992032,49.867205,0.000036
0.020000,5.751476,13.500000,0.005785,0.179522,2.992032,-0.000000,6.283150
0.020000,5.755665,13.500000,0.009973,0.239363,2.992032,0.000000,6.283050
0.020000,5.761051,13.499999,0.015359,0.299203,2.992032,0.000000,6.282922
0.020000,5.767633,13.499996,0.021942,0.359044,2.992032,-0.000000,6.282767
0.020000,5.775413,13.499992,0.029721,0.418885,2.992032,0.000000,6.282584
0.020000,5.784389,13.499986,0.038697,0.478725,2.992032,0.000000,6.282374
0.020000,5.794562,13.499977,0.048870,0.538566,2.992032,0.000000,6.282138
0.020000,5.805931,13.499963,0.060240,0.598406,2.992032,-0.000000,6.281876
0.020000,5.818498,13.499945,0.072806,0.658247,2.992032,0.000000,6.281589
0.020000,5.832261,13.499921,0.086569,0.718088,2.992032,-0.000000,6.281277
0.020000,5.847221,13.499890,0.101530,0.777928,2.992032,0.000000,6.280942
0.020000,5.863378,13.499851,0.117687,0.837769,2.992032,-0.000000,6.280585
0.020000,5.880732,13.499802,0.135040,0.897610,2.992032,0.000000,6.280206
0.020000,5.899282,13.499743,0.153591,0.957450,2.992032,-0.000000,6.279806
0.020000,5.919030,13.499672,0.173338,1.017291,2.992032,-0.000000,6.279387
0.020000,5.939974,13.499588,0.194283,1.077132,2.992032,0.000000,6.278949
0.020000,5.962115,13.499489,0.216424,1.136972,2.992032,-0.000000,6.278494
0.020000,5.985452,13.499374,0.239762,1.196813,2.992032,0.000000,6.278024
0.020000,6.009986,13.499242,0.264296,1.256654,2.992032,0.000000,6.277539
0.020000,6.035717,13.499090,0.290028,1.316494,2.992032,0.000000,6.277041
0.020000,6.062645,13.498918,0.316956,1.376335,2.992032,-0.000000,6.276532
0.020000,6.090770,13.498723,0.345081,1.436176,2.992032,0.000000,6.276013
0.020000,6.120091,13.498505,0.374403,1.496016,2.992032,0.000000,6.275487
0.020000,6.150608,13.498262,0.404922,1.555857,2.992032,0.000000,6.274953
