dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.750099,12.490000,0.000199,0.019947,0.997344,49.867205,0.000098
0.020000,5.750080,12.490000,0.000219,0.000965,-0.949111,-97.322775,0.000079
0.020000,5.750037,12.490000,0.000262,0.002169,0.060193,50.465228,0.000036
0.020000,5.751441,12.490000,0.001666,0.070205,3.401814,167.081049,6.283150
0.020000,5.755529,12.490000,0.005754,0.204403,6.709932,165.405880,6.283050
0.020000,5.760785,12.489999,0.011011,0.262826,2.921132,-189.440008,6.282922
0.020000,5.767211,12.489996,0.017436,0.321265,2.921944,0.040597,6.282767
0.020000,5.774805,12.489993,0.025031,0.379724,2.922936,0.049614,6.282584
0.020000,5.783569,12.489986,0.033795,0.438206,2.924109,0.058642,6.282374
0.020000,5.793503,12.489977,0.043729,0.496715,2.925462,0.067655,6.282138
0.020000,5.804609,12.489964,0.054834,0.555255,2.926996,0.076706,6.281876
0.020000,5.816885,12.489946,0.067111,0.613829,2.928710,0.085692,6.281589
0.020000,5.830334,12.489923,0.080560,0.672441,2.930605,0.094749,6.281277
0.020000,5.844956,12.489892,0.095181,0.731095,2.932680,0.103752,6.280942
0.020000,5.860752,12.489854,0.110977,0.789794,2.934936,0.112809,6.280585
0.020000,5.877722,12.489807,0.127948,0.848541,2.937372,0.121805,6.280206
0.020000,5.895869,12.489749,0.146095,0.907341,2.939989,0.130847,6.279806
0.020000,5.915193,12.489680,0.165419,0.966197,2.942786,0.139874,6.279387
0.020000,5.935695,12.489597,0.185921,1.025112,2.945764,0.148898,6.278949
0.020000,5.957377,12.489500,0.207603,1.084090,2.948922,0.157899,6.278494
0.020000,5.980239,12.489388,0.230466,1.143135,2.952262,0.166970,6.278024
0.020000,6.004284,12.489258,0.254511,1.202251,2.955781,0.175974,6.277539
0.020000,6.029512,12.489109,0.279739,1.261441,2.959481,0.184990,6.277041
0.020000,6.055926,12.488940,0.306154,1.320708,2.963361,0.194009,6.276532
0.020000,6.083526,12.488749,0.333755,1.380056,2.967423,0.203066,6.276013
0.020000,6.112315,12.488535,0.362545,1.439490,2.971663,0.212000,6.275487
0.020000,6.142294,12.488296,0.392525,1.499011,2.976085,0.221099,6.274953
0.020000,6.173466,12.488031,0.423697,1.558625,2.980685,0.230016,6.274416
0.020000,6.205831,12.487739,0.456064,1.618334,2.985469,0.239200,6.273876
0.020000,6.239392,12.487417,0.489627,1.678143,2.990428,0.247969,6.273335
0.020000,6.274152,12.487065,0.524388,1.738054,2.995571,0.257150,6.272795
0.020000,6.310111,12.486682,0.560349,1.798072,3.000892,0.266045,6.272259
0.020000,6.347273,12.486266,0.597513,1.858200,3.006395,0.275145,6.271729
0.020000,6.385639,12.485816,0.635882,1.918442,3.012076,0.284035,6.271206
0.020000,6.425212,12.485332,0.675458,1.978800,3.017937,0.293073,6.270694
0.020000,6.465994,12.484812,0.716244,2.039280,3.023978,0.302060,6.270195
0.020000,6.507988,12.484256,0.758241,2.099884,3.030199,0.311037,6.269711
0.020000,6.551197,12.483664,0.801454,2.160616,3.036599,0.319985,6.269244
0.020000,6.595622,12.483034,0.845883,2.221480,3.043180,0.329049,6.268797
0.020000,6.641266,12.482368,0.891533,2.282478,3.049940,0.337995,6.268374
0.020000,6.688133,12.481664,0.938405,2.343616,3.056879,0.346974,6.267976
0.020000,6.736226,12.480924,0.986503,2.404896,3.063998,0.355965,6.267607
0.020000,6.785546,12.480147,1.035830,2.466322,3.071298,0.364994,6.267269
0.020000,6.836097,12.479334,1.086388,2.527897,3.078777,0.373917,6.266965
0.020000,6.887883,12.478487,1.138180,2.589626,3.086437,0.383000,6.266699
0.020000,6.940906,12.477607,1.191210,2.651512,3.094276,0.391952,6.266473
0.020000,6.995169,12.476695,1.245481,2.713558,3.102297,0.401056,6.266291
0.020000,7.050677,12.475753,1.300997,2.775768,3.110497,0.409991,6.266156
0.020000,7.107431,12.474784,1.357760,2.838145,3.118879,0.419105,6.266072
0.020000,7.165437,12.473790,1.415774,2.900694,3.127441,0.428134,6.266040
0.020000,7.224696,12.472774,1.475042,2.963418,3.136186,0.437215,6.266066
0.020000,7.285214,12.471740,1.535568,3.026320,3.145112,0.446293,6.266153
0.020000,7.346993,12.470692,1.597356,3.089404,3.154220,0.455396,6.266303
0.020000,7.410038,12.469634,1.660410,3.152674,3.163510,0.464503,6.266522
0.020000,7.474352,12.468571,1.724733,3.216134,3.172982,0.473635,6.266812
0.020000,7.539939,12.467509,1.790328,3.279787,3.182638,0.482800,6.267178
0.020000,7.606803,12.466453,1.857201,3.343636,3.192476,0.491902,6.267623
0.020000,7.674949,12.465410,1.925355,3.407686,3.202498,0.501066,6.268152
0.020000,7.744380,12.464387,1.994794,3.471940,3.212702,0.510240,6.268768
0.020000,7.815101,12.463392,2.065522,3.536402,3.223090,0.519388,6.269475
0.020000,7.887116,12.462433,2.137543,3.601075,3.233660,0.528469,6.270278
0.020000,7.960430,12.461519,2.210862,3.665964,3.244414,0.537714,6.271181
0.020000,8.035046,12.460661,2.285484,3.731071,3.255347,0.546654,6.272189
0.020000,8.110970,12.459867,2.361412,3.796400,3.266463,0.555818,6.273305
0.020000,8.188206,12.459151,2.438651,3.861955,3.277756,0.564618,6.274534
0.020000,8.266758,12.458524,2.517206,3.927740,3.289230,0.573721,6.275881
0.020000,8.346632,12.457998,2.597081,3.993757,3.300877,0.582341,6.277350
0.020000,8.427831,12.457589,2.678281,4.060011,3.312699,0.591102,6.278946
0.020000,8.510361,12.457309,2.760811,4.126505,3.324689,0.599494,6.280674
0.020000,8.594225,12.457176,2.844676,4.193242,3.336846,0.607879,6.282539
0.020000,8.679430,12.457206,2.929881,4.260225,3.349165,0.615901,0.001359
0.020000,8.765979,12.457416,3.016430,4.327458,3.361638,0.623694,0.003512
0.020000,8.853877,12.457825,3.104329,4.394943,3.374261,0.631144,0.005815
0.020000,8.943128,12.458453,3.193582,4.462684,3.387024,0.638135,0.008275
0.020000,9.033738,12.459320,3.284196,4.530682,3.399920,0.644823,0.010897
0.020000,9.125709,12.460450,3.376175,4.598941,3.412938,0.650899,0.013685
0.020000,9.219048,12.461864,3.469524,4.667462,3.426065,0.656308,0.016646
0.020000,9.313757,12.463589,3.564249,4.736248,3.439286,0.661062,0.019783
0.020000,9.409841,12.465648,3.660355,4.805300,3.452593,0.665338,0.023103
0.020000,9.507303,12.468070,3.757847,4.874619,3.465947,0.667707,0.026611
0.020000,9.606148,12.470883,3.856731,4.944206,3.479358,0.670574,0.030311
0.020000,9.706377,12.474116,3.957013,5.014061,3.492771,0.670625,0.034210
0.020000,9.807994,12.477801,4.058696,5.084185,3.506201,0.671494,0.038312
0.020000,9.911001,12.481971,4.161788,5.154576,3.519561,0.668010,0.042624
0.020000,10.015400,12.486659,4.266292,5.225234,3.532887,0.666305,0.047150
0.020000,10.114810,12.491571,4.365824,4.976557,-12.433869,-798.337792,0.052088
0.020000,10.235090,12.498932,4.486329,6.025260,52.435147,3243.450797,0.070088
0.020000,10.356172,12.508517,4.607789,6.073005,2.387277,-2502.393507,0.087848
0.020000,10.477967,12.520322,4.730155,6.118324,2.265926,-6.067534,0.105320
0.020000,10.600393,12.534330,4.853380,6.161253,2.146454,-5.973585,0.122457
0.020000,10.723370,12.550518,4.977417,6.201843,2.029500,-5.847723,0.139213
0.020000,10.846819,12.568850,5.102221,6.240166,1.916163,-5.666827,0.155543
0.020000,10.970671,12.589285,5.227747,6.276308,1.807099,-5.453234,0.171403
0.020000,11.094859,12.611772,5.353954,6.310361,1.702636,-5.223118,0.186753
0.020000,11.219101,12.636207,5.480577,6.331148,1.039356,-33.164005,0.201527
0.020000,11.342914,12.662420,5.607134,6.327836,-0.165584,-60.247022,0.215643
0.020000,11.465669,12.690178,5.732988,6.292737,-1.754964,-79.469010,0.229014
0.020000,11.586771,12.719218,5.857523,6.226726,-3.300536,-77.278605,0.241571
0.020000,11.705808,12.749294,5.980301,6.138927,-4.389959,-54.471134,0.253279
0.020000,11.822552,12.780195,6.101065,6.038188,-5.036954,-32.349726,0.264126
0.020000,11.936992,12.811767,6.219781,5.935797,-5.119553,-4.129988,0.274132
0.020000,12.049179,12.843878,6.336473,5.834583,-5.060715,2.941921,0.283317
0.020000,12.159161,12.876407,6.451165,5.734586,-4.999822,3.044636,0.291708
0.020000,12.266990,12.909239,6.563881,5.635828,-4.937897,3.096244,0.299328
0.020000,12.372716,12.942271,6.674648,5.538321,-4.875349,3.127424,0.306202
0.020000,12.476392,12.975404,6.783489,5.442063,-4.812932,3.120837,0.312355
0.020000,12.578066,13.008550,6.890430,5.347040,-4.751111,3.091057,0.317811
0.020000,12.677789,13.041625,6.995494,5.253242,-4.689896,3.060730,0.322594
0.020000,12.775609,13.074553,7.098707,5.160642,-4.630006,2.994542,0.326729
0.020000,12.871571,13.107265,7.200092,5.069219,-4.571178,2.941376,0.330239
0.020000,12.965721,13.139696,7.299670,4.978942,-4.513826,2.867616,0.333145
0.020000,13.058101,13.171789,7.397466,4.889784,-4.457928,2.794899,0.335472
0.020000,13.148752,13.203488,7.493500,4.801714,-4.403499,2.721458,0.337239
0.020000,13.237714,13.234747,7.587795,4.714704,-4.350508,2.649548,0.338468
0.020000,13.325024,13.265520,7.680369,4.628724,-4.298997,2.575529,0.339179
0.020000,13.410717,13.295768,7.771244,4.543746,-4.248875,2.506114,0.339393
0.020000,13.494827,13.325455,7.860439,4.459745,-4.200073,2.440101,0.339129
0.020000,13.577385,13.354548,7.947973,4.376694,-4.152534,2.376959,0.338404
0.020000,13.658421,13.383018,8.033864,4.294572,-4.106124,2.320479,0.337239
0.020000,13.737962,13.410840,8.118131,4.213355,-4.060833,2.264541,0.335650
0.020000,13.816036,13.437992,8.200792,4.133025,-4.016511,2.216131,0.333656
0.020000,13.892667,13.464454,8.281863,4.053563,-3.973082,2.171423,0.331273
0.020000,13.967878,13.490210,8.361362,3.974954,-3.930467,2.130732,0.328518
0.020000,14.041692,13.515246,8.439306,3.897184,-3.888485,2.099131,0.325408
0.020000,14.114128,13.539550,8.515710,3.820238,-3.847305,2.058967,0.321960
0.020000,14.185206,13.563113,8.590593,3.744106,-3.806572,2.036694,0.318189
0.020000,14.254945,13.585928,8.663968,3.668780,-3.766338,2.011677,0.314111
0.020000,14.323360,13.607991,8.735853,3.594248,-3.726581,1.987849,0.309743
0.020000,14.390468,13.629300,8.806263,3.520503,-3.687250,1.966542,0.305099
0.020000,14.456285,13.649852,8.875214,3.447542,-3.648027,1.961172,0.300195
0.020000,14.520824,13.669650,8.942721,3.375354,-3.609430,1.929852,0.295047
0.020000,14.584098,13.688697,9.008800,3.303936,-3.570903,1.926318,0.289670
0.020000,14.646120,13.706996,9.073466,3.233282,-3.532674,1.911458,0.284078
0.020000,14.706903,13.724554,9.136733,3.163388,-3.494726,1.897405,0.278288
0.020000,14.766457,13.741378,9.198618,3.094250,-3.456894,1.891613,0.272313
0.020000,14.824794,13.757477,9.259135,3.025860,-3.419510,1.869175,0.266169
0.020000,14.881923,13.772861,9.318300,2.958215,-3.382218,1.864605,0.259870
0.020000,14.937855,13.787541,9.376126,2.891310,-3.345252,1.848293,0.253432
0.020000,14.992598,13.801529,9.432629,2.825138,-3.308619,1.831674,0.246868
0.020000,15.046163,13.814839,9.487823,2.759692,-3.272320,1.814954,0.240193
0.020000,15.098558,13.827485,9.541722,2.694964,-3.236355,1.798267,0.233422
0.020000,15.149791,13.839482,9.594341,2.630948,-3.200829,1.776301,0.226567
0.020000,15.199871,13.850845,9.645693,2.567633,-3.165751,1.753857,0.219644
0.020000,15.248805,13.861591,9.695794,2.505009,-3.131185,1.728312,0.212666
0.020000,15.296601,13.871738,9.744655,2.443066,-3.097137,1.702388,0.205646
0.020000,15.343267,13.881301,9.792291,2.381791,-3.063749,1.669414,0.198598
0.020000,15.388810,13.890300,9.838714,2.321173,-3.030906,1.642137,0.191535
0.020000,15.433237,13.898753,9.883938,2.261196,-2.998886,1.601016,0.184468
0.020000,15.476555,13.906678,9.927975,2.201844,-2.967592,1.564701,0.177412
0.020000,15.518770,13.914095,9.970837,2.143103,-2.937020,1.528605,0.170377
0.020000,15.559890,13.921022,10.012536,2.084960,-2.907155,1.493227,0.163376
0.020000,15.599921,13.927478,10.053084,2.027389,-2.878577,1.428930,0.156419
0.020000,15.638868,13.933483,10.092492,1.970380,-2.850421,1.407773,0.149519
0.020000,15.676738,13.939056,10.130770,1.913911,-2.823487,1.346700,0.142686
0.020000,15.713538,13.944217,10.167929,1.857962,-2.797405,1.304096,0.135929
0.020000,15.749272,13.948983,10.203979,1.802515,-2.772390,1.250752,0.129260
0.020000,15.783945,13.953375,10.238930,1.747547,-2.748391,1.199985,0.122687
0.020000,15.817565,13.957410,10.272791,1.693040,-2.725344,1.152342,0.116220
0.020000,15.850135,13.961108,10.305571,1.638975,-2.703225,1.105938,0.109867
0.020000,15.881661,13.964486,10.337277,1.585331,-2.682229,1.049821,0.103636
0.020000,15.912148,13.967564,10.367919,1.532084,-2.662327,0.995060,0.097537
