dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.999664,11.010000,0.000198,0.019832,0.991603,49.580173,0.000333
0.020000,4.999715,11.010000,0.000250,0.002574,-0.862901,-92.725201,0.000282
0.020000,4.999831,11.010000,0.000366,0.005787,0.160671,51.178586,0.000167
0.020000,5.000392,11.010000,0.000926,0.028035,1.112384,47.585660,6.283162
0.020000,5.004826,11.009999,0.005360,0.221696,9.683049,428.533254,6.282895
0.020000,5.010526,11.009997,0.011060,0.284992,3.164789,-325.913001,6.282553
0.020000,5.017491,11.009991,0.018025,0.348253,3.163065,-0.086202,6.282137
0.020000,5.025720,11.009980,0.026255,0.411472,3.160956,-0.105444,6.281647
0.020000,5.035213,11.009963,0.035747,0.474642,3.158467,-0.124490,6.281084
0.020000,5.045968,11.009937,0.046502,0.537754,3.155590,-0.143834,6.280450
0.020000,5.057984,11.009900,0.058518,0.600800,3.152328,-0.163084,6.279745
0.020000,5.071259,11.009849,0.071794,0.663774,3.148684,-0.182223,6.278972
0.020000,5.085792,11.009782,0.086327,0.726667,3.144659,-0.201258,6.278131
0.020000,5.101582,11.009695,0.102117,0.789472,3.140235,-0.221189,6.277225
0.020000,5.118625,11.009585,0.119160,0.852180,3.135441,-0.239693,6.276255
0.020000,5.136920,11.009449,0.137456,0.914786,3.130255,-0.259279,6.275223
0.020000,5.156465,11.009282,0.157002,0.977279,3.124675,-0.279028,6.274132
0.020000,5.177257,11.009082,0.177795,1.039654,3.118731,-0.297200,6.272984
0.020000,5.199294,11.008844,0.199833,1.101901,3.112372,-0.317948,6.271782
0.020000,5.222572,11.008564,0.223113,1.164014,3.105653,-0.335953,6.270528
0.020000,5.247090,11.008238,0.247633,1.225985,3.098526,-0.356344,6.269225
0.020000,5.272843,11.007861,0.273389,1.287805,3.091038,-0.374387,6.267876
0.020000,5.299829,11.007429,0.300378,1.349468,3.083141,-0.394871,6.266484
0.020000,5.328044,11.006937,0.328597,1.410966,3.074877,-0.413172,6.265052
0.020000,5.357485,11.006381,0.358043,1.472290,3.066222,-0.432797,6.263584
0.020000,5.388147,11.005757,0.388712,1.533434,3.057182,-0.451977,6.262083
0.020000,5.420027,11.005060,0.420600,1.594389,3.047755,-0.471361,6.260554
0.020000,5.453121,11.004285,0.453703,1.655148,3.037956,-0.489928,6.259000
0.020000,5.487425,11.003428,0.488017,1.715704,3.027777,-0.508947,6.257424
0.020000,5.522933,11.002485,0.523538,1.776048,3.017219,-0.527928,6.255832
0.020000,5.559642,11.001451,0.560261,1.836173,3.006248,-0.548528,6.254227
0.020000,5.597547,11.000322,0.598183,1.896072,2.994965,-0.564152,6.252615
0.020000,5.636642,10.999095,0.637297,1.955737,2.983255,-0.585498,6.250999
0.020000,5.676923,10.997765,0.677601,2.015161,2.971184,-0.603570,6.249384
