dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000000,10.000000,0.000198,0.019832,0.991603,49.580173,0.000333
0.020000,5.000000,10.000000,0.000992,0.059496,1.983207,49.580173,0.000282
0.020000,5.000000,10.000000,0.002776,0.118992,2.974810,49.580173,0.000167
0.020000,5.000368,10.000000,0.005751,0.178489,2.974810,-0.000000,6.283162
0.020000,5.004533,9.999999,0.009916,0.237985,2.974810,0.000000,6.282895
0.020000,5.009887,9.999997,0.015271,0.297481,2.974810,-0.000000,6.282553
0.020000,5.016432,9.999991,0.021815,0.356977,2.974810,0.000000,6.282137
0.020000,5.024167,9.999981,0.029550,0.416473,2.974810,-0.000000,6.281647
0.020000,5.033091,9.999965,0.038474,0.475970,2.974810,0.000000,6.281084
0.020000,5.043205,9.999941,0.048589,0.535466,2.974810,0.000000,6.280450
0.020000,5.054509,9.999906,0.059893,0.594962,2.974810,-0.000000,6.279745
0.020000,5.067004,9.999858,0.072387,0.654458,2.974810,0.000000,6.278972
0.020000,5.080688,9.999795,0.086071,0.713954,2.974810,-0.000000,6.278131
0.020000,5.095561,9.999713,0.100945,0.773451,2.974810,0.000000,6.277225
0.020000,5.111625,9.999609,0.117009,0.832947,2.974810,-0.000000,6.276255
0.020000,5.128878,9.999481,0.134263,0.892443,2.974810,0.000000,6.275223
0.020000,5.147322,9.999324,0.152707,0.951939,2.974810,0.000000,6.274132
0.020000,5.166954,9.999135,0.172341,1.011436,2.974810,0.000000,6.272984
0.020000,5.187777,9.998910,0.193164,1.070932,2.974810,-0.000000,6.271782
0.020000,5.209789,9.998645,0.215178,1.130428,2.974810,-0.000000,6.270528
0.020000,5.232990,9.998336,0.238381,1.189924,2.974810,0.000000,6.269225
0.020000,5.257381,9.997979,0.262775,1.249420,2.974810,0.000000,6.267876
0.020000,5.282961,9.997569,0.288358,1.308917,2.974810,0.000000,6.266484
0.020000,5.309731,9.997103,0.315132,1.368413,2.974810,-0.000000,6.265052
0.020000,5.337689,9.996575,0.343095,1.427909,2.974810,0.000000,6.263584
0.020000,5.366836,9.995982,0.372248,1.487405,2.974810,0.000000,6.262083
0.020000,5.397172,9.995319,0.402591,1.546901,2.974810,0.000000,6.260554
0.020000,5.428696,9.994580,0.434124,1.606398,2.974810,0.000000,6.259000
0.020000,5.461409,9.993763,0.466847,1.665894,2.974810,-0.000000,6.257424
0.020000,5.495310,9.992862,0.500760,1.725390,2.974810,0.000000,6.255832
0.020000,5.530398,9.991874,0.535863,1.784886,2.974810,0.000000,6.254227
0.020000,5.566675,9.990794,0.572155,1.844382,2.974810,0.000000,6.252615
0.020000,5.604139,9.989618,0.609638,1.903879,2.974810,0.000000,6.250999
0.020000,5.642791,9.988342,0.648310,1.963375,2.974810,0.000000,6.249384
0.020000,5.682629,9.986963,0.688173,2.022871,2.974810,0.000000,6.247776
0.020000,5.723655,9.985476,0.729225,2.082367,2.974810,-0.000000,6.246179
0.020000,5.765867,9.983880,0.771467,2.141863,2.974810,0.000000,6.244599
0.020000,5.809265,9.982170,0.814900,2.201360,2.974810,-0.000000,6.243041
0.020000,5.853850,9.980345,0.859522,2.260856,2.974810,-0.000000,6.241511
0.020000,5.899621,9.978402,0.905334,2.320352,2.974810,0.000000,6.240013
0.020000,5.946578,9.976339,0.952336,2.379848,2.974810,0.000000,6.238555
0.020000,5.994720,9.974154,1.000528,2.439345,2.974810,-0.000000,6.237141
0.020000,6.044048,9.971847,1.049910,2.498841,2.974810,0.000000,6.235779
0.020000,6.094561,9.969418,1.100482,2.558337,2.974810,-0.000000,6.234474
0.020000,6.146260,9.966865,1.152243,2.617833,2.974810,0.000000,6.233233
0.020000,6.199144,9.964189,1.205195,2.677329,2.974810,-0.000000,6.232062
0.020000,6.253213,9.961393,1.259336,2.736826,2.974810,0.000000,6.230967
0.020000,6.308468,9.958476,1.314668,2.796322,2.974810,0.000000,6.229957
0.020000,6.364908,9.955442,1.371189,2.855818,2.974810,-0.000000,6.229037
0.020000,6.422533,9.952295,1.428901,2.915314,2.974810,0.000000,6.228215
0.020000,6.481344,9.949037,1.487802,2.974810,2.974810,-0.000000,6.227497
0.020000,6.541341,9.945673,1.547893,3.034307,2.974810,0.000000,6.226893
0.020000,6.602524,9.942210,1.609174,3.093803,2.974810,0.000000,6.226408
0.020000,6.664894,9.938653,1.671645,3.153299,2.974810,-0.000000,6.226051
0.020000,6.728451,9.935010,1.735306,3.212795,2.974810,0.000000,6.225830
0.020000,6.793195,9.931289,1.800157,3.272291,2.974810,-0.000000,6.225753
0.020000,6.859127,9.927500,1.866198,3.331788,2.974810,0.000000,6.225827
0.020000,6.926247,9.923653,1.933428,3.391284,2.974810,0.000000,6.226062
0.020000,6.994557,9.919760,2.001849,3.450780,2.974810,-0.000000,6.226466
0.020000,7.064057,9.915833,2.071460,3.510276,2.974810,0.000000,6.227047
0.020000,7.134747,9.911886,2.142260,3.569772,2.974810,-0.000000,6.227814
0.020000,7.206629,9.907936,2.214251,3.629269,2.974810,0.000000,6.228777
0.020000,7.279703,9.903998,2.287431,3.688765,2.974810,-0.000000,6.229945
0.020000,7.353971,9.900090,2.361801,3.748261,2.974810,0.000000,6.231327
0.020000,7.429433,9.896233,2.437361,3.807757,2.974810,-0.000000,6.232932
0.020000,7.506089,9.892446,2.514111,3.867253,2.974810,0.000000,6.234771
0.020000,7.583942,9.888754,2.592051,3.926750,2.974810,-0.000000,6.236853
0.020000,7.662991,9.885180,2.671181,3.986246,2.974810,-0.000000,6.239189
0.020000,7.743238,9.881750,2.751501,4.045742,2.974810,0.000000,6.241788
0.020000,7.824682,9.878492,2.833011,4.105238,2.974810,-0.000000,6.244662
0.020000,7.907325,9.875436,2.915711,4.164735,2.974810,0.000000,6.247820
0.020000,7.991168,9.872613,2.999600,4.224231,2.974810,-0.000000,6.251274
0.020000,8.076209,9.870056,3.084680,4.283727,2.974810,0.000000,6.255034
0.020000,8.162449,9.867802,3.170950,4.343223,2.974810,-0.000000,6.259112
0.020000,8.249887,9.865888,3.258409,4.402719,2.974810,0.000000,6.263518
0.020000,8.338523,9.864352,3.347058,4.462216,2.974810,-0.000000,6.268264
0.020000,8.428355,9.863239,3.436898,4.521712,2.974810,0.000000,6.273361
0.020000,8.519382,9.862591,3.527927,4.581208,2.974810,0.000000,6.278821
0.020000,8.611601,9.862455,3.620146,4.640704,2.974810,-0.000000,0.001468
0.020000,8.705009,9.862880,3.713555,4.700200,2.974810,0.000000,0.007685
0.020000,8.799602,9.863917,3.808154,4.759697,2.974810,-0.000000,0.014299
0.020000,8.895376,9.865620,3.903943,4.819193,2.974810,0.000000,0.021318
0.020000,8.992324,9.868045,4.000922,4.878689,2.974810,-0.000000,0.028756
0.020000,9.090440,9.871251,4.099090,4.938185,2.974810,0.000000,0.036620
0.020000,9.189716,9.875298,4.198449,4.997681,2.974810,-0.000000,0.044923
0.020000,9.290142,9.880250,4.298998,5.057178,2.974810,0.000000,0.053672
0.020000,9.391708,9.886172,4.400736,5.116674,2.974810,0.000000,0.062877
0.020000,9.494400,9.893133,4.503665,5.176170,2.974810,0.000000,0.072546
0.020000,9.598205,9.901203,4.607783,5.235666,2.974810,-0.000000,0.082686
0.020000,9.703105,9.910455,4.713091,5.295162,2.974810,0.000000,0.093304
0.020000,9.809083,9.920962,4.819589,5.354659,2.974810,0.000000,0.104404
0.020000,9.916118,9.932802,4.927278,5.414155,2.974810,0.000000,0.115990
0.020000,10.024186,9.946052,5.036156,5.473651,2.974810,-0.000000,0.128064
0.020000,10.133262,9.960791,5.146224,5.533147,2.974810,0.000000,0.140628
0.020000,10.243317,9.977101,5.257482,5.592643,2.974810,-0.000000,0.153680
0.020000,10.354321,9.995062,5.369929,5.652140,2.974810,0.000000,0.167217
0.020000,10.459489,10.013910,5.483567,5.711636,2.974810,-0.000000,0.190110
0.020000,10.571927,10.037196,5.598395,5.771132,2.974810,0.000000,0.218225
0.020000,10.684828,10.063887,5.714412,5.830628,2.974810,-0.000000,0.245933
0.020000,10.798105,10.093971,5.831620,5.890125,2.974810,0.000000,0.273103
0.020000,10.911486,10.127363,5.949819,5.929789,1.983207,-49.580173,0.299563
0.020000,11.024462,10.163855,6.068546,5.942885,0.654801,-66.420291,0.325100
0.020000,11.136365,10.203111,6.187138,5.916317,-1.328406,-99.160346,0.349491
0.020000,11.246623,10.244754,6.305000,5.869916,-2.320009,-49.580173,0.372562
0.020000,11.354940,10.288457,6.421804,5.810420,-2.974810,-32.740055,0.394228
0.020000,11.461224,10.333951,6.537417,5.750924,-2.974810,0.000000,0.414463
0.020000,11.565515,10.381023,6.651840,5.691428,-2.974810,-0.000000,0.433281
0.020000,11.667861,10.429467,6.765074,5.631932,-2.974810,0.000000,0.450704
0.020000,11.768315,10.479090,6.877118,5.572435,-2.974810,0.000000,0.466761
0.020000,11.866935,10.529711,6.987971,5.512939,-2.974810,0.000000,0.481488
0.020000,11.963782,10.581157,7.097635,5.453443,-2.974810,0.000000,0.494925
0.020000,12.058918,10.633267,7.206109,5.393947,-2.974810,-0.000000,0.507112
0.020000,12.152408,10.685892,7.313393,5.334451,-2.974810,0.000000,0.518094
0.020000,12.244315,10.738892,7.419487,5.274954,-2.974810,-0.000000,0.527914
0.020000,12.334702,10.792137,7.524391,5.215458,-2.974810,0.000000,0.536617
0.020000,12.423631,10.845506,7.628106,5.155962,-2.974810,-0.000000,0.544244
0.020000,12.511162,10.898885,7.730630,5.096466,-2.974810,0.000000,0.550839
0.020000,12.597355,10.952172,7.831964,5.036969,-2.974810,-0.000000,0.556442
0.020000,12.682264,11.005269,7.932109,4.977473,-2.974810,-0.000000,0.561091
0.020000,12.765944,11.058086,8.031063,4.917977,-2.974810,0.000000,0.564825
0.020000,12.848446,11.110540,8.128828,4.858481,-2.974810,-0.000000,0.567678
0.020000,12.929817,11.162553,8.225402,4.798985,-2.974810,0.000000,0.569686
0.020000,13.010104,11.214053,8.320787,4.739488,-2.974810,-0.000000,0.570880
0.020000,13.089348,11.264975,8.414982,4.679992,-2.974810,0.000000,0.571291
0.020000,13.167590,11.315256,8.507987,4.620496,-2.974810,-0.000000,0.570949
0.020000,13.244865,11.364839,8.599802,4.561000,-2.974810,0.000000,0.569882
0.020000,13.321209,11.413671,8.690427,4.501504,-2.974810,0.000000,0.568117
0.020000,13.396651,11.461704,8.779862,4.442007,-2.974810,0.000000,0.565679
0.020000,13.471220,11.508891,8.868107,4.382511,-2.974810,0.000000,0.562594
0.020000,13.544941,11.555193,8.955162,4.323015,-2.974810,-0.000000,0.558886
0.020000,13.617837,11.600569,9.041028,4.263519,-2.974810,0.000000,0.554578
0.020000,13.689928,11.644985,9.125703,4.204023,-2.974810,0.000000,0.549692
0.020000,13.761231,11.688410,9.209189,4.144526,-2.974810,0.000000,0.544252
0.020000,13.831760,11.730814,9.291484,4.085030,-2.974810,-0.000000,0.538280
0.020000,13.901529,11.772171,9.372590,4.025534,-2.974810,0.000000,0.531797
0.020000,13.970547,11.812458,9.452505,3.966038,-2.974810,0.000000,0.524826
0.020000,14.038821,11.851654,9.531231,3.906542,-2.974810,-0.000000,0.517389
0.020000,14.106358,11.889742,9.608767,3.847045,-2.974810,0.000000,0.509507
0.020000,14.173159,11.926705,9.685113,3.787549,-2.974810,0.000000,0.501203
0.020000,14.239226,11.962532,9.760269,3.728053,-2.974810,-0.000000,0.492499
0.020000,14.304558,11.997211,9.834235,3.668557,-2.974810,0.000000,0.483418
0.020000,14.369152,12.030736,9.907011,3.609061,-2.974810,-0.000000,0.473983
0.020000,14.433003,12.063102,9.978598,3.549564,-2.974810,0.000000,0.464218
0.020000,14.496106,12.094305,10.048994,3.490068,-2.974810,-0.000000,0.454146
0.020000,14.558452,12.124345,10.118200,3.430572,-2.974810,0.000000,0.443791
0.020000,14.620033,12.153225,10.186217,3.371076,-2.974810,-0.000000,0.433178
0.020000,14.680837,12.180948,10.253043,3.311579,-2.974810,0.000000,0.422331
0.020000,14.740853,12.207523,10.318680,3.252083,-2.974810,-0.000000,0.411275
0.020000,14.800068,12.232956,10.383127,3.192587,-2.974810,-0.000000,0.400036
0.020000,14.858469,12.257261,10.446383,3.133091,-2.974810,0.000000,0.388637
0.020000,14.916041,12.280450,10.508450,3.073595,-2.974810,-0.000000,0.377105
0.020000,14.972769,12.302538,10.569327,3.014098,-2.974810,0.000000,0.365464
0.020000,15.028638,12.323543,10.629014,2.954602,-2.974810,-0.000000,0.353740
0.020000,15.083630,12.343485,10.687511,2.895106,-2.974810,0.000000,0.341956
0.020000,15.137731,12.362383,10.744819,2.835610,-2.974810,0.000000,0.330138
0.020000,15.190924,12.380262,10.800936,2.776114,-2.974810,0.000000,0.318309
0.020000,15.243192,12.397144,10.855863,2.716617,-2.974810,-0.000000,0.306493
0.020000,15.294519,12.413056,10.909600,2.657121,-2.974810,0.000000,0.294712
0.020000,15.344889,12.428025,10.962148,2.597625,-2.974810,-0.000000,0.282988
0.020000,15.394286,12.442079,11.013505,2.538129,-2.974810,-0.000000,0.271342
