dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000336,8.990000,0.000198,0.019832,0.991603,49.580173,0.000333
0.020000,5.000285,8.990000,0.000250,0.002574,-0.862901,-92.725201,0.000282
0.020000,5.000169,8.990000,0.000366,0.005787,0.160671,51.178586,0.000167
0.020000,5.000344,8.990000,0.000541,0.008769,0.149081,-0.579509,6.283162
0.020000,5.004240,8.989999,0.004436,0.194777,9.300409,457.566421,6.282895
0.020000,5.009249,8.989997,0.009446,0.250474,2.784831,-325.778916,6.282553
0.020000,5.015373,8.989992,0.015570,0.306205,2.786556,0.086222,6.282137
0.020000,5.022613,8.989983,0.022810,0.361978,2.788662,0.105347,6.281647
0.020000,5.030969,8.989967,0.031166,0.417801,2.791156,0.124668,6.281084
0.020000,5.040443,8.989944,0.040639,0.473682,2.794031,0.143751,6.280450
0.020000,5.051035,8.989912,0.051232,0.529628,2.797290,0.162944,6.279745
0.020000,5.062748,8.989867,0.062945,0.585646,2.800935,0.182261,6.278972
0.020000,5.075583,8.989807,0.075780,0.641746,2.804969,0.201697,6.278131
0.020000,5.089541,8.989731,0.089738,0.697933,2.809376,0.220368,6.277225
0.020000,5.104625,8.989633,0.104823,0.754217,2.814183,0.240322,6.276255
0.020000,5.120837,8.989513,0.121035,0.810604,2.819369,0.259340,6.275223
0.020000,5.138178,8.989365,0.138377,0.867103,2.824934,0.278228,6.274132
0.020000,5.156652,8.989187,0.156851,0.923721,2.830904,0.298522,6.272984
0.020000,5.176260,8.988975,0.176461,0.980466,2.837235,0.316534,6.271782
0.020000,5.197005,8.988726,0.197208,1.037345,2.843975,0.336976,6.270528
0.020000,5.218891,8.988434,0.219095,1.094367,2.851080,0.355283,6.269225
0.020000,5.241919,8.988097,0.242126,1.151539,2.858593,0.375658,6.267876
0.020000,5.266093,8.987710,0.266303,1.208868,2.866470,0.393821,6.266484
0.020000,5.291417,8.987269,0.291630,1.266363,2.874748,0.413891,6.265052
0.020000,5.317893,8.986769,0.318111,1.324031,2.883402,0.432722,6.263584
0.020000,5.345525,8.986207,0.345748,1.381880,2.892440,0.451884,6.262083
0.020000,5.374316,8.985577,0.374547,1.439917,2.901856,0.470784,6.260554
0.020000,5.404271,8.984876,0.404510,1.498150,2.911662,0.490334,6.259000
0.020000,5.435393,8.984098,0.435642,1.556587,2.921850,0.509380,6.257424
0.020000,5.467686,8.983240,0.467946,1.615236,2.932417,0.528355,6.255832
0.020000,5.501155,8.982298,0.501428,1.674102,2.943332,0.545737,6.254227
0.020000,5.535804,8.981266,0.536092,1.733196,2.954682,0.567531,6.252615
0.020000,5.571636,8.980141,0.571943,1.792523,2.966362,0.583986,6.250999
0.020000,5.608658,8.978919,0.608985,1.852092,2.978428,0.603294,6.249384
0.020000,5.646873,8.977596,0.647223,1.911909,2.990881,0.622656,6.247776
0.020000,5.686287,8.976168,0.686662,1.971983,3.003679,0.639882,6.246179
0.020000,5.726904,8.974632,0.727309,2.032321,3.016878,0.659951,6.244599
0.020000,5.768731,8.972984,0.769167,2.092929,3.030420,0.677141,6.243041
0.020000,5.811771,8.971222,0.812244,2.153816,3.044346,0.696272,6.241511
0.020000,5.856031,8.969343,0.856543,2.214989,3.058642,0.714786,6.240013
0.020000,5.901516,8.967345,0.902073,2.276454,3.073281,0.731984,6.238555
0.020000,5.948232,8.965225,0.948837,2.338221,3.088311,0.751500,6.237141
0.020000,5.996186,8.962982,0.996843,2.400295,3.103706,0.769728,6.235779
0.020000,6.045383,8.960616,1.046097,2.462684,3.119440,0.786709,6.234474
0.020000,6.095829,8.958125,1.096604,2.525395,3.135587,0.807347,6.233233
0.020000,6.147532,8.955509,1.148373,2.588436,3.152050,0.823141,6.232062
0.020000,6.200497,8.952769,1.201409,2.651815,3.168924,0.843701,6.230967
0.020000,6.254732,8.949907,1.255720,2.715538,3.186148,0.861204,6.229957
0.020000,6.310244,8.946923,1.311312,2.779612,3.203736,0.879425,6.229037
0.020000,6.367041,8.943820,1.368193,2.844047,3.221729,0.899649,6.228215
0.020000,6.425129,8.940603,1.426370,2.908848,3.240075,0.917300,6.227497
0.020000,6.484516,8.937273,1.485851,2.974025,3.258811,0.936775,6.226893
0.020000,6.545210,8.933838,1.546643,3.039583,3.277939,0.956402,6.226408
0.020000,6.607220,8.930301,1.608753,3.105533,3.297453,0.975693,6.226051
0.020000,6.670554,8.926671,1.672191,3.171880,3.317365,0.995608,6.225830
0.020000,6.735220,8.922955,1.736963,3.238633,3.337677,1.015625,6.225753
0.020000,6.801227,8.919161,1.803080,3.305801,3.358401,1.036195,6.225827
0.020000,6.868584,8.915301,1.870547,3.373392,3.379536,1.056716,6.226062
0.020000,6.937301,8.911384,1.939376,3.441414,3.401094,1.077931,6.226466
0.020000,7.007387,8.907424,2.009573,3.509875,3.423073,1.098938,6.227047
0.020000,7.078851,8.903434,2.081149,3.578785,3.445488,1.120744,6.227814
0.020000,7.151704,8.899430,2.154112,3.648152,3.468334,1.142279,6.228777
0.020000,7.225956,8.895429,2.228472,3.717985,3.491640,1.165326,6.229945
0.020000,7.301617,8.891448,2.304237,3.788292,3.515361,1.186030,6.231327
0.020000,7.378698,8.887508,2.381419,3.859083,3.539553,1.209633,6.232932
0.020000,7.457210,8.883630,2.460026,3.930367,3.564184,1.231528,6.234771
0.020000,7.537163,8.879838,2.540069,4.002152,3.589245,1.253033,6.236853
0.020000,7.618569,8.876157,2.621558,4.074447,3.614796,1.277582,6.239189
0.020000,7.701439,8.872615,2.704504,4.147262,3.640712,1.295794,6.241788
0.020000,7.785783,8.869242,2.788916,4.220603,3.667084,1.318573,6.244662
0.020000,7.871614,8.866068,2.874805,4.294480,3.693848,1.338236,6.247820
0.020000,7.958943,8.863127,2.962183,4.368901,3.721014,1.358276,6.251274
0.020000,8.047780,8.860457,3.051061,4.443870,3.748480,1.373335,6.255034
0.020000,8.138137,8.858095,3.141449,4.519396,3.776287,1.390333,6.259112
0.020000,8.230025,8.856083,3.233358,4.595483,3.804347,1.402986,6.263518
0.020000,8.323453,8.854465,3.326801,4.672135,3.832612,1.413257,6.268264
0.020000,8.418433,8.853287,3.421788,4.749355,3.861013,1.420035,6.273361
0.020000,8.514974,8.852600,3.518331,4.827145,3.889460,1.422370,6.278821
0.020000,8.613084,8.852456,3.616441,4.905502,3.917860,1.420007,0.001468
0.020000,8.712771,8.852910,3.716130,4.984424,3.946102,1.412100,0.007685
0.020000,8.814043,8.854020,3.817408,5.063905,3.974055,1.397621,0.014299
0.020000,8.916905,8.855850,3.920286,5.143936,4.001552,1.374889,0.021318
0.020000,9.021363,8.858463,4.024776,5.224505,4.028452,1.344978,0.028756
0.020000,9.127418,8.861928,4.130888,5.305596,4.054538,1.304322,0.036620
0.020000,9.235073,8.866317,4.238632,5.387187,4.079553,1.250735,0.044923
0.020000,9.344325,8.871704,4.348017,5.469255,4.103382,1.191438,0.053672
0.020000,9.455172,8.878168,4.459052,5.551765,4.125526,1.107206,0.062877
0.020000,9.567608,8.885790,4.571746,5.634685,4.145989,1.023174,0.072546
0.020000,9.681623,8.894654,4.686106,5.717968,4.164153,0.908197,0.082686
0.020000,9.797205,8.904848,4.802137,5.801565,4.179869,0.785757,0.093304
0.020000,9.914340,8.916462,4.919845,5.885420,4.192756,0.644385,0.104404
0.020000,10.033005,8.929588,5.039235,5.969467,4.202326,0.478472,0.115990
0.020000,10.153178,8.944323,5.160307,6.053630,4.208162,0.291810,0.128064
0.020000,10.274829,8.960762,5.283064,6.137831,4.210028,0.093280,0.140628
