dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000000,17.000000,0.000198,0.019811,0.990560,49.528001,6.282816
0.020000,5.000000,17.000000,0.000991,0.059434,1.981120,49.528001,6.282881
0.020000,5.000000,17.000000,0.002774,0.118867,2.971680,49.528001,6.283026
0.020000,5.001012,17.000000,0.005745,0.178301,2.971680,-0.000000,0.000082
0.020000,5.005172,17.000001,0.009906,0.237734,2.971680,0.000000,0.000420
0.020000,5.010521,17.000004,0.015255,0.297168,2.971680,0.000000,0.000852
0.020000,5.017059,17.000012,0.021792,0.356602,2.971680,-0.000000,0.001379
0.020000,5.024785,17.000025,0.029519,0.416035,2.971680,0.000000,0.001998
0.020000,5.033700,17.000046,0.038434,0.475469,2.971680,-0.000000,0.002709
0.020000,5.043804,17.000077,0.048537,0.534902,2.971680,0.000000,0.003510
0.020000,5.055096,17.000122,0.059830,0.594336,2.971680,0.000000,0.004399
0.020000,5.067577,17.000183,0.072311,0.653770,2.971680,-0.000000,0.005374
0.020000,5.081247,17.000264,0.085981,0.713203,2.971680,0.000000,0.006432
0.020000,5.096105,17.000368,0.100839,0.772637,2.971680,-0.000000,0.007572
0.020000,5.112151,17.000499,0.116886,0.832070,2.971680,0.000000,0.008790
0.020000,5.129386,17.000662,0.134122,0.891504,2.971680,-0.000000,0.010083
0.020000,5.147810,17.000860,0.152546,0.950938,2.971680,0.000000,0.011448
0.020000,5.167421,17.001099,0.172159,1.010371,2.971680,0.000000,0.012883
0.020000,5.188221,17.001382,0.192961,1.069805,2.971680,-0.000000,0.014382
0.020000,5.210209,17.001716,0.214952,1.129238,2.971680,0.000000,0.015943
0.020000,5.233385,17.002104,0.238131,1.188672,2.971680,0.000000,0.017561
0.020000,5.257748,17.002552,0.262498,1.248106,2.971680,0.000000,0.019233
0.020000,5.283300,17.003066,0.288055,1.307539,2.971680,-0.000000,0.020952
0.020000,5.310038,17.003650,0.314800,1.366973,2.971680,0.000000,0.022716
0.020000,5.337964,17.004310,0.342734,1.426406,2.971680,-0.000000,0.024518
0.020000,5.367077,17.005050,0.371856,1.485840,2.971680,0.000000,0.026354
0.020000,5.397377,17.005878,0.402167,1.545274,2.971680,-0.000000,0.028219
0.020000,5.428864,17.006796,0.433667,1.604707,2.971680,0.000000,0.030106
0.020000,5.461536,17.007811,0.466356,1.664141,2.971680,-0.000000,0.032010
0.020000,5.495395,17.008928,0.500233,1.723574,2.971680,-0.000000,0.033925
0.020000,5.530440,17.010151,0.535299,1.783008,2.971680,0.000000,0.035845
0.020000,5.566670,17.011486,0.571553,1.842442,2.971680,0.000000,0.037763
0.020000,5.604085,17.012935,0.608996,1.901875,2.971680,-0.000000,0.039672
0.020000,5.642685,17.014504,0.647628,1.961309,2.971680,-0.000000,0.041566
0.020000,5.682469,17.016196,0.687449,2.020742,2.971680,0.000000,0.043438
0.020000,5.723438,17.018015,0.728458,2.080176,2.971680,-0.000000,0.045281
0.020000,5.765591,17.019964,0.770656,2.139610,2.971680,0.000000,0.047086
0.020000,5.808927,17.022044,0.814042,2.199043,2.971680,0.000000,0.048847
0.020000,5.853448,17.024259,0.858617,2.258477,2.971680,0.000000,0.050554
0.020000,5.899151,17.026610,0.904381,2.317910,2.971680,-0.000000,0.052201
0.020000,5.946038,17.029097,0.951334,2.377344,2.971680,0.000000,0.053779
0.020000,5.994107,17.031721,0.999475,2.436778,2.971680,-0.000000,0.055279
0.020000,6.043360,17.034482,1.048805,2.496211,2.971680,0.000000,0.056693
0.020000,6.093795,17.037379,1.099324,2.555645,2.971680,-0.000000,0.058011
0.020000,6.145414,17.040408,1.151031,2.615078,2.971680,0.000000,0.059225
0.020000,6.198215,17.043569,1.203927,2.674512,2.971680,0.000000,0.060326
0.020000,6.252200,17.046857,1.258011,2.733946,2.971680,0.000000,0.061302
0.020000,6.307368,17.050267,1.313284,2.793379,2.971680,-0.000000,0.062146
0.020000,6.363719,17.053794,1.369746,2.852813,2.971680,0.000000,0.062846
0.020000,6.421255,17.057431,1.427397,2.912246,2.971680,0.000000,0.063393
0.020000,6.479975,17.061171,1.486236,2.971680,2.971680,0.000000,0.063776
0.020000,6.539881,17.065004,1.546264,3.031114,2.971680,-0.000000,0.063985
0.020000,6.600972,17.068920,1.607481,3.090547,2.971680,0.000000,0.064008
0.020000,6.663250,17.072907,1.669886,3.149981,2.971680,0.000000,0.063835
0.020000,6.726715,17.076953,1.733480,3.209414,2.971680,0.000000,0.063453
0.020000,6.791368,17.081043,1.798263,3.268848,2.971680,-0.000000,0.062852
0.020000,6.857211,17.085160,1.864234,3.328282,2.971680,0.000000,0.062019
0.020000,6.924244,17.089288,1.931394,3.387715,2.971680,-0.000000,0.060943
0.020000,6.992468,17.093407,1.999743,3.447149,2.971680,-0.000000,0.059611
0.020000,7.061885,17.097495,2.069280,3.506582,2.971680,0.000000,0.058010
0.020000,7.132496,17.101531,2.140006,3.566016,2.971680,0.000000,0.056127
0.020000,7.204302,17.105488,2.211921,3.625450,2.971680,-0.000000,0.053949
0.020000,7.277303,17.109341,2.285024,3.684883,2.971680,0.000000,0.051463
0.020000,7.351502,17.113061,2.359316,3.744317,2.971680,-0.000000,0.048656
0.020000,7.426899,17.116615,2.434797,3.803750,2.971680,0.000000,0.045512
0.020000,7.503495,17.119971,2.511466,3.863184,2.971680,-0.000000,0.042018
0.020000,7.581290,17.123094,2.589324,3.922618,2.971680,0.000000,0.038159
0.020000,7.660286,17.125944,2.668371,3.982051,2.971680,0.000000,0.033921
0.020000,7.740481,17.128482,2.748606,4.041485,2.971680,-0.000000,0.029289
0.020000,7.821875,17.130663,2.830030,4.100918,2.971680,-0.000000,0.024248
0.020000,7.904469,17.132443,2.912643,4.160352,2.971680,0.000000,0.018782
0.020000,7.988260,17.133772,2.996444,4.219786,2.971680,0.000000,0.012878
0.020000,8.073245,17.134599,3.081434,4.279219,2.971680,0.000000,0.006518
0.020000,8.159424,17.134869,3.167613,4.338653,2.971680,0.000000,6.282875
0.020000,8.246790,17.134525,3.254980,4.398086,2.971680,0.000000,6.275562
0.020000,8.335340,17.133507,3.343536,4.457520,2.971680,0.000000,6.267749
0.020000,8.425067,17.131752,3.433281,4.516954,2.971680,0.000000,6.259423
0.020000,8.515964,17.129192,3.524214,4.576387,2.971680,0.000000,6.250569
0.020000,8.608022,17.125758,3.616337,4.635821,2.971680,-0.000000,6.241174
0.020000,8.701230,17.121379,3.709647,4.695254,2.971680,0.000000,6.231226
0.020000,8.795574,17.115979,3.804147,4.754688,2.971680,-0.000000,6.220714
0.020000,8.891041,17.109479,3.899835,4.814122,2.971680,0.000000,6.209626
0.020000,8.987612,17.101799,3.996712,4.873555,2.971680,0.000000,6.197954
0.020000,9.085268,17.092856,4.094777,4.932989,2.971680,0.000000,6.185691
0.020000,9.183987,17.082563,4.194031,4.992422,2.971680,0.000000,6.172831
0.020000,9.283741,17.070833,4.294474,5.051856,2.971680,-0.000000,6.159371
0.020000,9.384504,17.057577,4.396105,5.111290,2.971680,0.000000,6.145310
0.020000,9.486241,17.042703,4.498925,5.170723,2.971680,0.000000,6.130650
0.020000,9.588919,17.026120,4.602934,5.230157,2.971680,-0.000000,6.115396
0.020000,9.692496,17.007734,4.708132,5.289590,2.971680,0.000000,6.099556
0.020000,9.790241,16.988552,4.814518,5.349024,2.971680,0.000000,6.075627
0.020000,9.895130,16.964683,4.922093,5.408458,2.971680,0.000000,6.043292
0.020000,10.000342,16.937138,5.030856,5.467891,2.971680,-0.000000,6.011049
0.020000,10.105756,16.905890,5.140808,5.527325,2.971680,-0.000000,5.979081
0.020000,10.211252,16.870938,5.251949,5.586758,2.971680,0.000000,5.947573
0.020000,10.316724,16.832302,5.364279,5.646192,2.971680,0.000000,5.916703
0.020000,10.422072,16.790027,5.477797,5.705626,2.971680,-0.000000,5.886644
0.020000,10.527033,16.744261,5.592306,5.745248,1.981120,-49.528001,5.857602
0.020000,10.631115,16.695314,5.707326,5.756824,0.578806,-70.115715,5.829828
0.020000,10.733689,16.643646,5.822182,5.728778,-1.402314,-99.056002,5.803573
0.020000,10.834249,16.589747,5.936279,5.680920,-2.392874,-49.528001,5.779013
0.020000,10.932573,16.534011,6.049303,5.621487,-2.971680,-28.940286,5.756219
0.020000,11.028630,16.476744,6.161139,5.562053,-2.971680,0.000000,5.735194
0.020000,11.122506,16.418180,6.271786,5.502620,-2.971680,0.000000,5.715897
0.020000,11.214289,16.358542,6.381244,5.443186,-2.971680,0.000000,5.698282
0.020000,11.304071,16.298035,6.489513,5.383752,-2.971680,0.000000,5.682292
0.020000,11.391948,16.236849,6.596594,5.324319,-2.971680,0.000000,5.667870
0.020000,11.478014,16.175160,6.702486,5.264885,-2.971680,0.000000,5.654953
0.020000,11.562365,16.113130,6.807189,5.205452,-2.971680,0.000000,5.643479
0.020000,11.645092,16.050910,6.910704,5.146018,-2.971680,-0.000000,5.633388
0.020000,11.726286,15.988635,7.013030,5.086584,-2.971680,-0.000000,5.624619
0.020000,11.806034,15.926434,7.114167,5.027151,-2.971680,0.000000,5.617115
0.020000,11.884418,15.864421,7.214116,4.967717,-2.971680,0.000000,5.610821
0.020000,11.961520,15.802705,7.312876,4.908284,-2.971680,0.000000,5.605686
0.020000,12.037413,15.741383,7.410447,4.848850,-2.971680,-0.000000,5.601659
0.020000,12.112170,15.680547,7.506830,4.789416,-2.971680,0.000000,5.598696
0.020000,12.185857,15.620280,7.602024,4.729983,-2.971680,0.000000,5.596752
0.020000,12.258538,15.560661,7.696029,4.670549,-2.971680,-0.000000,5.595788
0.020000,12.330271,15.501760,7.788846,4.611116,-2.971680,0.000000,5.595766
0.020000,12.401110,15.443643,7.880474,4.551682,-2.971680,0.000000,5.596649
0.020000,12.471106,15.386374,7.970913,4.492248,-2.971680,0.000000,5.598405
0.020000,12.540305,15.330007,8.060164,4.432815,-2.971680,0.000000,5.601002
0.020000,12.608749,15.274597,8.148226,4.373381,-2.971680,0.000000,5.604410
0.020000,12.676477,15.220192,8.235099,4.313948,-2.971680,-0.000000,5.608602
0.020000,12.743522,15.166837,8.320784,4.254514,-2.971680,0.000000,5.613548
0.020000,12.809916,15.114574,8.405280,4.195080,-2.971680,-0.000000,5.619223
0.020000,12.875685,15.063442,8.488587,4.135647,-2.971680,0.000000,5.625602
0.020000,12.940853,15.013476,8.570705,4.076213,-2.971680,0.000000,5.632659
0.020000,13.005439,14.964709,8.651635,4.016780,-2.971680,0.000000,5.640368
0.020000,13.069461,14.917170,8.731377,3.957346,-2.971680,0.000000,5.648706
0.020000,13.132930,14.870887,8.809929,3.897912,-2.971680,-0.000000,5.657646
0.020000,13.195857,14.825883,8.887293,3.838479,-2.971680,0.000000,5.667163
0.020000,13.258248,14.782180,8.963468,3.779045,-2.971680,0.000000,5.677231
0.020000,13.320106,14.739795,9.038455,3.719612,-2.971680,0.000000,5.687823
0.020000,13.381433,14.698745,9.112253,3.660178,-2.971680,-0.000000,5.698912
0.020000,13.442225,14.659042,9.184862,3.600744,-2.971680,0.000000,5.710470
0.020000,13.502478,14.620696,9.256283,3.541311,-2.971680,-0.000000,5.722468
0.020000,13.562184,14.583714,9.326514,3.481877,-2.971680,0.000000,5.734875
0.020000,13.621332,14.548100,9.395558,3.422444,-2.971680,0.000000,5.747660
0.020000,13.679911,14.513856,9.463412,3.363010,-2.971680,-0.000000,5.760792
0.020000,13.737906,14.480979,9.530078,3.303576,-2.971680,-0.000000,5.774238
0.020000,13.795301,14.449466,9.595555,3.244143,-2.971680,0.000000,5.787963
0.020000,13.852076,14.419308,9.659844,3.184709,-2.971680,-0.000000,5.801936
0.020000,13.908213,14.390496,9.722944,3.125276,-2.971680,0.000000,5.816119
0.020000,13.963690,14.363015,9.784855,3.065842,-2.971680,0.000000,5.830479
0.020000,14.018486,14.336850,9.845577,3.006408,-2.971680,0.000000,5.844980
0.020000,14.072576,14.311982,9.905111,2.946975,-2.971680,-0.000000,5.859588
0.020000,14.125938,14.288389,9.963456,2.887541,-2.971680,0.000000,5.874266
0.020000,14.178547,14.266048,10.020613,2.828108,-2.971680,0.000000,5.888981
