dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.999904,15.990000,0.000199,0.019905,0.995230,49.761485,6.283091
0.020000,4.999921,15.990000,0.000215,0.000812,-0.954646,-97.493787,6.283107
0.020000,4.999957,15.990000,0.000252,0.001823,0.050574,50.261005,6.283143
0.020000,5.000888,15.990000,0.001182,0.046528,2.235235,109.233064,0.000017
0.020000,5.005152,15.990000,0.005447,0.213219,8.334549,304.965679,0.000101
0.020000,5.010634,15.990001,0.010929,0.274104,3.044252,-264.514870,0.000208
0.020000,5.017333,15.990003,0.017628,0.334963,3.042964,-0.064386,0.000337
0.020000,5.025249,15.990006,0.025544,0.395791,3.041398,-0.078304,0.000489
0.020000,5.034381,15.990011,0.034675,0.456581,3.039510,-0.094381,0.000662
0.020000,5.044727,15.990019,0.045022,0.517329,3.037370,-0.107029,0.000855
0.020000,5.056288,15.990030,0.056583,0.578027,3.034918,-0.122562,0.001068
0.020000,5.069061,15.990046,0.069356,0.638671,3.032204,-0.135704,0.001299
0.020000,5.083046,15.990065,0.083341,0.699255,3.029180,-0.151206,0.001547
0.020000,5.098242,15.990091,0.098537,0.759772,3.025888,-0.164615,0.001812
0.020000,5.114646,15.990123,0.114941,0.820219,3.022304,-0.179206,0.002091
0.020000,5.132258,15.990162,0.132553,0.880587,3.018415,-0.194447,0.002382
0.020000,5.151075,15.990210,0.151370,0.940872,3.014277,-0.206887,0.002686
0.020000,5.171097,15.990267,0.171391,1.001069,3.009824,-0.222664,0.002998
0.020000,5.192320,15.990334,0.192615,1.061171,3.005096,-0.236385,0.003319
0.020000,5.214743,15.990412,0.215038,1.121173,3.000090,-0.250300,0.003645
0.020000,5.238364,15.990502,0.238660,1.181068,2.994776,-0.265713,0.003974
0.020000,5.263181,15.990605,0.263477,1.240852,2.989204,-0.278605,0.004305
0.020000,5.289191,15.990721,0.289487,1.300519,2.983336,-0.293402,0.004636
0.020000,5.316392,15.990852,0.316688,1.360062,2.977171,-0.308245,0.004962
0.020000,5.344781,15.990997,0.345078,1.419477,2.970748,-0.321113,0.005283
0.020000,5.374356,15.991158,0.374653,1.478758,2.964018,-0.336504,0.005596
0.020000,5.405114,15.991335,0.405411,1.537898,2.957011,-0.350355,0.005896
0.020000,5.437051,15.991528,0.437349,1.596892,2.949726,-0.364268,0.006183
0.020000,5.470165,15.991737,0.470464,1.655735,2.942143,-0.379160,0.006453
0.020000,5.504453,15.991963,0.504752,1.714421,2.934289,-0.392704,0.006702
0.020000,5.539911,15.992205,0.540211,1.772944,2.926142,-0.407340,0.006927
0.020000,5.576536,15.992462,0.576837,1.831298,2.917712,-0.421504,0.007126
0.020000,5.614324,15.992735,0.614626,1.889478,2.908993,-0.435944,0.007294
0.020000,5.653273,15.993021,0.653576,1.947478,2.899993,-0.449983,0.007428
0.020000,5.693377,15.993321,0.693682,2.005292,2.890704,-0.464442,0.007525
0.020000,5.734635,15.993633,0.734940,2.062914,2.881127,-0.478877,0.007580
0.020000,5.777040,15.993955,0.777347,2.120340,2.871263,-0.493193,0.007590
0.020000,5.820590,15.994285,0.820898,2.177562,2.861109,-0.507687,0.007551
0.020000,5.865280,15.994620,0.865590,2.234575,2.850665,-0.522223,0.007458
0.020000,5.911107,15.994959,0.911417,2.291374,2.839931,-0.536674,0.007307
0.020000,5.958064,15.995297,0.958376,2.347952,2.828900,-0.551544,0.007094
0.020000,6.006149,15.995632,1.006462,2.404303,2.817582,-0.565895,0.006815
0.020000,6.055357,15.995959,1.055671,2.460423,2.805961,-0.581065,0.006464
0.020000,6.105682,15.996274,1.105997,2.516304,2.794051,-0.595530,0.006038
0.020000,6.157120,15.996572,1.157436,2.571940,2.781834,-0.610834,0.005531
0.020000,6.209666,15.996847,1.209982,2.627327,2.769324,-0.625515,0.004938
0.020000,6.263314,15.997094,1.263631,2.682457,2.756503,-0.641033,0.004255
0.020000,6.318060,15.997306,1.318378,2.737325,2.743382,-0.656056,0.003475
0.020000,6.373898,15.997476,1.374216,2.791924,2.729967,-0.670762,0.002594
0.020000,6.430823,15.997596,1.431141,2.846248,2.716220,-0.687341,0.001607
0.020000,6.488829,15.997658,1.489147,2.900292,2.702180,-0.701990,0.000507
0.020000,6.547910,15.997652,1.548228,2.954048,2.687822,-0.717878,6.282474
0.020000,6.608060,15.997570,1.608378,3.007512,2.673165,-0.732874,6.281133
0.020000,6.669273,15.997399,1.669592,3.060675,2.658173,-0.749585,6.279662
0.020000,6.731544,15.997131,1.731862,3.113533,2.642892,-0.764072,6.278055
0.020000,6.794864,15.996751,1.795184,3.166079,2.627284,-0.780382,6.276306
0.020000,6.859228,15.996248,1.859550,3.218306,2.611349,-0.796769,6.274409
0.020000,6.924629,15.995607,1.924954,3.270209,2.595150,-0.809921,6.272357
0.020000,6.991060,15.994815,1.991390,3.321780,2.578589,-0.828084,6.270144
0.020000,7.058513,15.993856,2.058850,3.373015,2.561749,-0.841984,6.267763
0.020000,7.126982,15.992713,2.127328,3.423908,2.544629,-0.856024,6.265207
0.020000,7.196458,15.991370,2.196817,3.474451,2.527170,-0.872931,6.262470
0.020000,7.266934,15.989807,2.267310,3.524641,2.509465,-0.885225,6.259544
0.020000,7.338400,15.988007,2.338800,3.574470,2.491476,-0.899476,6.256422
0.020000,7.410850,15.985948,2.411278,3.623934,2.473216,-0.912994,6.253098
0.020000,7.484273,15.983609,2.484739,3.673029,2.454747,-0.923444,6.249563
0.020000,7.558661,15.980968,2.559174,3.721750,2.436013,-0.936715,6.245810
0.020000,7.634005,15.978002,2.634576,3.770092,2.417098,-0.945732,6.241833
0.020000,7.710294,15.974686,2.710937,3.818052,2.398021,-0.953858,6.237622
0.020000,7.787518,15.970994,2.788249,3.865628,2.378776,-0.962242,6.233172
0.020000,7.865667,15.966899,2.866506,3.912817,2.359449,-0.966338,6.228473
0.020000,7.944730,15.962374,2.945698,3.959618,2.340050,-0.969953,6.223518
0.020000,8.024696,15.957389,3.025818,4.006030,2.320640,-0.970504,6.218300
0.020000,8.105552,15.951914,3.106860,4.052056,2.301271,-0.968451,6.212812
0.020000,8.187286,15.945917,3.188814,4.097696,2.282012,-0.962963,6.207044
0.020000,8.269885,15.939365,3.271673,4.142955,2.262924,-0.954387,6.200990
0.020000,8.353337,15.932226,3.355429,4.187837,2.244110,-0.940739,6.194643
0.020000,8.437627,15.924462,3.440076,4.232348,2.225585,-0.926202,6.187994
0.020000,8.522742,15.916038,3.525606,4.276500,2.207581,-0.900202,6.181038
0.020000,8.608665,15.906917,3.612012,4.320302,2.190085,-0.874816,6.173766
0.020000,8.695382,15.897059,3.699288,4.363768,2.173291,-0.839697,6.166173
0.020000,8.782876,15.886424,3.787426,4.406911,2.157191,-0.804985,6.158251
0.020000,8.871131,15.874972,3.876421,4.449756,2.142206,-0.749275,6.149996
0.020000,8.960130,15.862660,3.966267,4.492320,2.128205,-0.700058,6.141400
0.020000,9.049855,15.849445,4.056960,4.534630,2.115511,-0.634709,6.132461
0.020000,9.140287,15.835282,4.148494,4.576713,2.104165,-0.567256,6.123172
0.020000,9.231407,15.820127,4.240866,4.618605,2.094599,-0.478314,6.113530
0.020000,9.323196,15.803933,4.334073,4.660338,2.086650,-0.397479,6.103533
0.020000,9.415634,15.786653,4.428112,4.701953,2.080766,-0.294156,6.093176
0.020000,9.508699,15.768238,4.522982,4.743497,2.077196,-0.178505,6.082461
0.020000,9.602372,15.748640,4.618683,4.785018,2.076014,-0.059108,6.071385
0.020000,9.686118,15.730131,4.704449,4.288347,-24.833544,-1345.477929,6.055628
0.020000,9.762213,15.711274,4.782846,3.919840,-18.425338,320.410322,6.025057
0.020000,9.839214,15.689688,4.862816,3.998483,3.932131,1117.873419,5.994862
0.020000,9.917194,15.665287,4.944524,4.085421,4.346922,20.739580,5.965205
0.020000,9.996219,15.637991,5.028131,4.180345,4.746209,19.964348,5.936245
0.020000,10.076211,15.607781,5.113637,4.275305,4.748011,0.090074,5.908181
0.020000,10.156939,15.574727,5.200870,4.361630,4.316225,-21.589288,5.881234
0.020000,10.238025,15.539011,5.289473,4.430176,3.427305,-44.445983,5.855636
0.020000,10.319076,15.500881,5.379046,4.478631,2.422768,-50.226856,5.831572
0.020000,10.399821,15.460576,5.469292,4.512288,1.682825,-36.997171,5.809143
0.020000,10.480117,15.418305,5.560034,4.537112,1.241193,-22.081570,5.788380
0.020000,10.559957,15.374219,5.651238,4.560171,1.152982,-4.410581,5.769255
0.020000,10.639343,15.328468,5.742863,4.581290,1.055925,-4.852804,5.751731
0.020000,10.718274,15.281200,5.834865,4.600088,0.939907,-5.800906,5.735761
0.020000,10.796753,15.232566,5.927191,4.616316,0.811411,-6.424794,5.721295
0.020000,10.874783,15.182714,6.019788,4.629818,0.675071,-6.817048,5.708279
0.020000,10.952374,15.131787,6.112598,4.640522,0.535207,-6.993180,5.696657
0.020000,11.029532,15.079925,6.205566,4.648410,0.394408,-7.039934,5.686373
0.020000,11.106272,15.027265,6.298637,4.653531,0.256036,-6.918596,5.677373
0.020000,11.182608,14.973936,6.391756,4.655946,0.120765,-6.763580,5.669604
0.020000,11.258556,14.920062,6.484871,4.655755,-0.009533,-6.514901,5.663013
0.020000,11.334134,14.865763,6.577933,4.653073,-0.134134,-6.230020,5.657551
0.020000,11.409363,14.811153,6.670893,4.648013,-0.252986,-5.942638,5.653171
0.020000,11.484262,14.756340,6.763707,4.640706,-0.365342,-5.617765,5.649829
0.020000,11.558854,14.701426,6.856332,4.631271,-0.471753,-5.320577,5.647483
0.020000,11.633159,14.646508,6.948729,4.619829,-0.572092,-5.016941,5.646093
0.020000,11.707198,14.591681,7.040859,4.606494,-0.666764,-4.733604,5.645621
0.020000,11.780993,14.537031,7.132686,4.591370,-0.756196,-4.471569,5.646032
0.020000,11.854564,14.482644,7.224177,4.574554,-0.840809,-4.230693,5.647292
0.020000,11.927928,14.428597,7.315300,4.556133,-0.921058,-4.012443,5.649370
0.020000,12.001104,14.374969,7.406024,4.536183,-0.997473,-3.820711,5.652236
0.020000,12.074108,14.321830,7.496319,4.514770,-1.070668,-3.659760,5.655860
0.020000,12.146953,14.269250,7.586158,4.491945,-1.141234,-3.528295,5.660214
0.020000,12.219651,14.217295,7.675513,4.467764,-1.209049,-3.390784,5.665272
0.020000,12.292212,14.166028,7.764358,4.442248,-1.275802,-3.337655,5.671008
0.020000,12.364642,14.115508,7.852667,4.415429,-1.340967,-3.258212,5.677395
0.020000,12.436947,14.065793,7.940413,4.387320,-1.405452,-3.224245,5.684407
0.020000,12.509126,14.016939,8.027572,4.357928,-1.469593,-3.207094,5.692020
0.020000,12.581178,13.968995,8.114117,4.327256,-1.533618,-3.201231,5.700208
0.020000,12.653098,13.922013,8.200022,4.295284,-1.598575,-3.247841,5.708946
0.020000,12.724877,13.876040,8.285263,4.262004,-1.663999,-3.271227,5.718207
0.020000,12.796504,13.831119,8.369810,4.227395,-1.730467,-3.323363,5.727965
0.020000,12.867963,13.787292,8.453639,4.191427,-1.798389,-3.396105,5.738194
0.020000,12.939236,13.744598,8.536720,4.154070,-1.867852,-3.473169,5.748865
0.020000,13.010299,13.703073,8.619026,4.115302,-1.938400,-3.527412,5.759951
0.020000,13.081127,13.662751,8.700528,4.075074,-2.011389,-3.649407,5.771423
0.020000,13.151690,13.623661,8.781195,4.033362,-2.085596,-3.710362,5.783251
0.020000,13.221956,13.585830,8.860998,3.990132,-2.161501,-3.795269,5.795406
0.020000,13.291888,13.549281,8.939905,3.945353,-2.238973,-3.873570,5.807857
0.020000,13.361448,13.514034,9.017885,3.899001,-2.317577,-3.930197,5.820572
0.020000,13.430593,13.480105,9.094906,3.851049,-2.397608,-4.001551,5.833520
0.020000,13.499280,13.447507,9.170936,3.801484,-2.478235,-4.031366,5.846669
0.020000,13.567461,13.416247,9.245941,3.750295,-2.559486,-4.062556,5.859987
0.020000,13.635089,13.386330,9.319891,3.697478,-2.640836,-4.067484,5.873441
0.020000,13.702113,13.357756,9.392752,3.643041,-2.721850,-4.050712,5.887000
0.020000,13.768482,13.330522,9.464492,3.586989,-2.802600,-4.037510,5.900632
0.020000,13.834145,13.304619,9.535079,3.529349,-2.881987,-3.969334,5.914304
0.020000,13.899049,13.280037,9.604482,3.470152,-2.959835,-3.892417,5.927987
0.020000,13.963141,13.256758,9.672670,3.409427,-3.036254,-3.820957,5.941650
0.020000,14.026369,13.234765,9.739615,3.347222,-3.110254,-3.699979,5.955263
0.020000,14.088683,13.214034,9.805286,3.283595,-3.181375,-3.556056,5.968799
0.020000,14.150032,13.194539,9.869658,3.218599,-3.249815,-3.422026,5.982230
0.020000,14.210367,13.176250,9.932704,3.152293,-3.315288,-3.273629,5.995531
0.020000,14.269641,13.159136,9.994400,3.084760,-3.376636,-3.067381,6.008677
0.020000,14.327808,13.143160,10.054720,3.016046,-3.435681,-2.952288,6.021644
0.020000,14.384825,13.128287,10.113646,2.946269,-3.488892,-2.660538,6.034412
0.020000,14.440652,13.114477,10.171155,2.875459,-3.540498,-2.580310,6.046961
0.020000,14.495249,13.101690,10.227229,2.803710,-3.587448,-2.347485,6.059271
0.020000,14.548579,13.089882,10.281852,2.731122,-3.629363,-2.095733,6.071327
0.020000,14.600611,13.079011,10.335007,2.657771,-3.667591,-1.911434,6.083112
0.020000,14.651313,13.069032,10.386681,2.583704,-3.703315,-1.786188,6.094612
0.020000,14.700655,13.059902,10.436861,2.508999,-3.735246,-1.596526,6.105816
0.020000,14.748612,13.051574,10.485536,2.433746,-3.762656,-1.370503,6.116713
0.020000,14.795161,13.044006,10.532696,2.358000,-3.787330,-1.233715,6.127292
0.020000,14.840281,13.037151,10.578334,2.281878,-3.806074,-0.937192,6.137545
0.020000,14.883952,13.030967,10.622440,2.205340,-3.826888,-1.040682,6.147466
0.020000,14.926158,13.025409,10.665011,2.128515,-3.841271,-0.719168,6.157048
0.020000,14.966884,13.020435,10.706040,2.051444,-3.853528,-0.612829,6.166286
0.020000,15.006118,13.016005,10.745522,1.974131,-3.865695,-0.608353,6.175176
0.020000,15.043849,13.012077,10.783457,1.896747,-3.869190,-0.174781,6.183715
0.020000,15.080066,13.008612,10.819840,1.819128,-3.880936,-0.587288,6.191901
0.020000,15.114763,13.005573,10.854670,1.741492,-3.881788,-0.042594,6.199731
0.020000,15.147933,13.002923,10.887946,1.663804,-3.884401,-0.130638,6.207205
0.020000,15.179571,13.000628,10.919666,1.586032,-3.888634,-0.211668,6.214322
0.020000,15.209672,12.998654,10.949832,1.508311,-3.886033,0.130056,6.221082
0.020000,15.238234,12.996969,10.978444,1.430565,-3.887277,-0.062217,6.227485
0.020000,15.265254,12.995545,11.005501,1.352885,-3.884022,0.162757,6.233533
0.020000,15.290731,12.994351,11.031006,1.275230,-3.882731,0.064530,6.239225
0.020000,15.314663,12.993363,11.054959,1.197649,-3.879061,0.183540,6.244563
0.020000,15.337051,12.992553,11.077361,1.120111,-3.876888,0.108653,6.249548
0.020000,15.357894,12.991900,11.098214,1.042651,-3.873037,0.192516,6.254181
0.020000,15.377192,12.991382,11.117519,0.965242,-3.870414,0.131149,6.258465
0.020000,15.394946,12.990978,11.135278,0.887949,-3.864688,0.286311,6.262400
0.020000,15.411158,12.990670,11.151493,0.810728,-3.861010,0.183900,6.265989
0.020000,15.425827,12.990441,11.166164,0.733563,-3.858268,0.137123,6.269232
0.020000,15.438955,12.990277,11.179293,0.656442,-3.856062,0.110271,6.272130
0.020000,15.450543,12.990164,11.190882,0.579441,-3.850041,0.301048,6.274686
0.020000,15.460593,12.990090,11.200931,0.502492,-3.847470,0.128547,6.276901
0.020000,15.469104,12.990044,11.209443,0.425569,-3.846146,0.066192,6.278775
0.020000,15.476078,12.990019,11.216417,0.348703,-3.843304,0.142112,6.280309
0.020000,15.481516,12.990006,11.221855,0.271924,-3.838943,0.218063,6.281505
0.020000,15.485418,12.990002,11.225757,0.195085,-3.841943,-0.149989,6.282363
0.020000,15.487786,12.990000,11.228124,0.118372,-3.835663,0.313963,6.282883
0.020000,15.488863,12.990000,11.229202,0.053872,-3.224961,30.535137,6.283120
0.020000,15.489151,12.990000,11.229490,0.014410,-1.973093,62.593399,6.283183
0.020000,15.489162,12.990000,11.229501,0.000538,-0.693619,63.973682,6.283185
0.020000,15.489162,12.990000,11.229501,0.000000,-0.026905,33.335716,6.283185
