dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,10.000000,0.000198,0.019795,0.989751,49.487567,0.000000
0.020000,0.000000,10.000000,0.000990,0.059385,1.979503,49.487567,0.000000
0.020000,0.000000,10.000000,0.002771,0.118770,2.969254,49.487567,0.000000
0.020000,0.000741,10.000000,0.005741,0.178155,2.969254,0.000000,0.000000
0.020000,0.004898,10.000000,0.009898,0.237540,2.969254,-0.000000,0.000000
0.020000,0.010242,10.000000,0.015242,0.296925,2.969254,0.000000,0.000000
0.020000,0.016775,10.000000,0.021775,0.356310,2.969254,0.000000,0.000000
0.020000,0.024495,10.000000,0.029495,0.415696,2.969254,-0.000000,0.000000
0.020000,0.033402,10.000000,0.038402,0.475081,2.969254,0.000000,0.000000
0.020000,0.043498,10.000000,0.048498,0.534466,2.969254,-0.000000,0.000000
0.020000,0.054781,10.000000,0.059781,0.593851,2.969254,0.000000,0.000000
0.020000,0.067252,10.000000,0.072252,0.653236,2.969254,0.000000,0.000000
0.020000,0.080910,10.000000,0.085910,0.712621,2.969254,0.000000,0.000000
0.020000,0.095757,10.000000,0.100757,0.772006,2.969254,0.000000,0.000000
0.020000,0.111791,10.000000,0.116791,0.831391,2.969254,-0.000000,0.000000
0.020000,0.129012,10.000000,0.134012,0.890776,2.969254,0.000000,0.000000
0.020000,0.147422,10.000000,0.152422,0.950161,2.969254,0.000000,0.000000
0.020000,0.167019,10.000000,0.172019,1.009546,2.969254,0.000000,0.000000
0.020000,0.187804,10.000000,0.192804,1.068931,2.969254,-0.000000,0.000000
0.020000,0.209776,10.000000,0.214776,1.128317,2.969254,0.000000,0.000000
0.020000,0.232936,10.000000,0.237936,1.187702,2.969254,-0.000000,0.000000
0.020000,0.257284,10.000000,0.262284,1.247087,2.969254,0.000000,0.000000
0.020000,0.282820,10.000000,0.287820,1.306472,2.969254,-0.000000,0.000000
0.020000,0.309543,10.000000,0.314543,1.365857,2.969254,0.000000,0.000000
0.020000,0.337454,10.000000,0.342454,1.425242,2.969254,0.000000,0.000000
0.020000,0.366553,10.000000,0.371553,1.484627,2.969254,-0.000000,0.000000
0.020000,0.396839,10.000000,0.401839,1.544012,2.969254,0.000000,0.000000
0.020000,0.428313,10.000000,0.433313,1.603397,2.969254,-0.000000,0.000000
0.020000,0.460975,10.000000,0.465975,1.662782,2.969254,0.000000,0.000000
0.020000,0.494824,10.000000,0.499824,1.722167,2.969254,0.000000,0.000000
0.020000,0.529862,10.000000,0.534862,1.781552,2.969254,-0.000000,0.000000
0.020000,0.566087,10.000000,0.571087,1.840937,2.969254,0.000000,0.000000
0.020000,0.603499,10.000000,0.608499,1.900323,2.969254,-0.000000,0.000000
0.020000,0.642099,10.000000,0.647099,1.959708,2.969254,0.000000,0.000000
0.020000,0.681887,10.000000,0.686887,2.019093,2.969254,0.000000,0.000000
0.020000,0.722863,10.000000,0.727863,2.078478,2.969254,0.000000,0.000000
0.020000,0.765027,10.000000,0.770027,2.137863,2.969254,-0.000000,0.000000
0.020000,0.808378,10.000000,0.813378,2.197248,2.969254,0.000000,0.000000
0.020000,0.852916,10.000000,0.857916,2.256633,2.969254,0.000000,0.000000
0.020000,0.898643,10.000000,0.903643,2.316018,2.969254,-0.000000,0.000000
0.020000,0.945557,10.000000,0.950557,2.375403,2.969254,0.000000,0.000000
0.020000,0.993659,10.000000,0.998659,2.434788,2.969254,0.000000,0.000000
0.020000,1.042949,10.000000,1.047949,2.494173,2.969254,0.000000,0.000000
0.020000,1.093426,10.000000,1.098426,2.553558,2.969254,-0.000000,0.000000
0.020000,1.145091,10.000000,1.150091,2.612944,2.969254,0.000000,0.000000
0.020000,1.197944,10.000000,1.202944,2.672329,2.969254,0.000000,0.000000
0.020000,1.251984,10.000000,1.256984,2.731714,2.969254,-0.000000,0.000000
0.020000,1.307212,10.000000,1.312212,2.791099,2.969254,0.000000,0.000000
0.020000,1.363628,10.000000,1.368628,2.850484,2.969254,0.000000,0.000000
0.020000,1.421232,10.000000,1.426232,2.909869,2.969254,-0.000000,0.000000
0.020000,1.480023,10.000000,1.485023,2.969254,2.969254,0.000000,0.000000
0.020000,1.540002,10.000000,1.545002,3.028639,2.969254,0.000000,0.000000
0.020000,1.601168,10.000000,1.606168,3.088024,2.969254,0.000000,0.000000
0.020000,1.663523,10.000000,1.668523,3.147409,2.969254,-0.000000,0.000000
0.020000,1.727065,10.000000,1.732065,3.206794,2.969254,0.000000,0.000000
0.020000,1.791795,10.000000,1.796795,3.266179,2.969254,0.000000,0.000000
0.020000,1.857712,10.000000,1.862712,3.325564,2.969254,-0.000000,0.000000
0.020000,1.924817,10.000000,1.929817,3.384950,2.969254,0.000000,0.000000
0.020000,1.993110,10.000000,1.998110,3.444335,2.969254,0.000000,0.000000
0.020000,2.062591,10.000000,2.067591,3.503720,2.969254,-0.000000,0.000000
0.020000,2.133259,10.000000,2.138259,3.563105,2.969254,0.000000,0.000000
0.020000,2.205115,10.000000,2.210115,3.622490,2.969254,0.000000,0.000000
0.020000,2.278158,10.000000,2.283158,3.681875,2.969254,0.000000,0.000000
0.020000,2.352390,10.000000,2.357390,3.741260,2.969254,-0.000000,0.000000
0.020000,2.427611,10.000000,2.432611,3.780850,1.979503,-49.487567,0.000000
0.020000,2.503395,10.000000,2.508395,3.797559,0.835434,-57.203414,0.000000
0.020000,2.579117,10.000000,2.584117,3.774677,-1.144068,-98.975133,0.000000
0.020000,2.654184,10.000000,2.659184,3.732001,-2.133820,-49.487567,0.000000
0.020000,2.728230,10.000000,2.733230,3.672616,-2.969254,-41.771719,0.000000
0.020000,2.801089,10.000000,2.806089,3.613231,-2.969254,0.000000,0.000000
0.020000,2.872759,10.000000,2.877759,3.553846,-2.969254,-0.000000,0.000000
0.020000,2.943243,10.000000,2.948243,3.494461,-2.969254,0.000000,0.000000
0.020000,3.012538,10.000000,3.017538,3.435076,-2.969254,0.000000,0.000000
0.020000,3.080646,10.000000,3.085646,3.375691,-2.969254,-0.000000,0.000000
0.020000,3.147566,10.000000,3.152566,3.316305,-2.969254,0.000000,0.000000
0.020000,3.213298,10.000000,3.218298,3.256920,-2.969254,0.000000,0.000000
0.020000,3.277842,10.000000,3.282842,3.197535,-2.969254,-0.000000,0.000000
0.020000,3.341199,10.000000,3.346199,3.138150,-2.969254,0.000000,0.000000
0.020000,3.403368,10.000000,3.408368,3.078765,-2.969254,0.000000,0.000000
0.020000,3.464350,10.000000,3.469350,3.019380,-2.969254,0.000000,0.000000
0.020000,3.524144,10.000000,3.529144,2.959995,-2.969254,-0.000000,0.000000
0.020000,3.582750,10.000000,3.587750,2.900610,-2.969254,0.000000,0.000000
0.020000,3.640168,10.000000,3.645168,2.841225,-2.969254,0.000000,0.000000
0.020000,3.696399,10.000000,3.701399,2.781840,-2.969254,-0.000000,0.000000
0.020000,3.751442,10.000000,3.756442,2.722455,-2.969254,0.000000,0.000000
0.020000,3.805297,10.000000,3.810297,2.663070,-2.969254,0.000000,0.000000
0.020000,3.857964,10.000000,3.862964,2.603684,-2.969254,0.000000,0.000000
0.020000,3.909444,10.000000,3.914444,2.544299,-2.969254,-0.000000,0.000000
0.020000,3.959736,10.000000,3.964736,2.484914,-2.969254,0.000000,0.000000
0.020000,4.008841,10.000000,4.013841,2.425529,-2.969254,0.000000,0.000000
0.020000,4.056757,10.000000,4.061757,2.366144,-2.969254,-0.000000,0.000000
0.020000,4.103486,10.000000,4.108486,2.306759,-2.969254,0.000000,0.000000
0.020000,4.149028,10.000000,4.154028,2.247374,-2.969254,0.000000,0.000000
0.020000,4.193381,10.000000,4.198381,2.187989,-2.969254,-0.000000,0.000000
0.020000,4.236547,10.000000,4.241547,2.128604,-2.969254,0.000000,0.000000
0.020000,4.278526,10.000000,4.283526,2.069219,-2.969254,0.000000,0.000000
0.020000,4.319316,10.000000,4.324316,2.009834,-2.969254,0.000000,0.000000
0.020000,4.358919,10.000000,4.363919,1.950449,-2.969254,-0.000000,0.000000
0.020000,4.397334,10.000000,4.402334,1.891064,-2.969254,0.000000,0.000000
0.020000,4.434561,10.000000,4.439561,1.831678,-2.969254,-0.000000,0.000000
0.020000,4.470601,10.000000,4.475601,1.772293,-2.969254,0.000000,0.000000
0.020000,4.505453,10.000000,4.510453,1.712908,-2.969254,-0.000000,0.000000
0.020000,4.539118,10.000000,4.544118,1.653523,-2.969254,0.000000,0.000000
0.020000,4.571594,10.000000,4.576594,1.594138,-2.969254,0.000000,0.000000
0.020000,4.602883,10.000000,4.607883,1.534753,-2.969254,-0.000000,0.000000
0.020000,4.632984,10.000000,4.637984,1.475368,-2.969254,0.000000,0.000000
0.020000,4.661898,10.000000,4.666898,1.415983,-2.969254,-0.000000,0.000000
0.020000,4.689624,10.000000,4.694624,1.356598,-2.969254,0.000000,0.000000
0.020000,4.716162,10.000000,4.721162,1.297213,-2.969254,0.000000,0.000000
0.020000,4.741512,10.000000,4.746512,1.237828,-2.969254,-0.000000,0.000000
0.020000,4.765675,10.000000,4.770675,1.178443,-2.969254,0.000000,0.000000
0.020000,4.788650,10.000000,4.793650,1.119057,-2.969254,-0.000000,0.000000
0.020000,4.810437,10.000000,4.815437,1.059672,-2.969254,0.000000,0.000000
0.020000,4.831037,10.000000,4.836037,1.000287,-2.969254,0.000000,0.000000
