dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.245872,5.412827,0.000198,0.019837,0.991833,49.591647,2.081821
0.020000,21.245899,5.412778,0.000255,0.002809,-0.851375,-92.160384,2.081877
0.020000,21.245961,5.412668,0.000381,0.006323,0.175669,51.352175,2.082002
0.020000,21.246064,5.412484,0.000592,0.010543,0.211047,1.768906,2.082211
0.020000,21.246209,5.412226,0.000887,0.014773,0.211491,0.022194,2.082503
0.020000,21.246395,5.411895,0.001268,0.019016,0.212113,0.031124,2.082880
0.020000,21.245544,5.413407,0.003003,0.086769,3.387666,158.777636,2.083341
0.020000,21.242017,5.419671,0.010192,0.359442,13.633634,512.298396,2.083887
0.020000,21.237949,5.426886,0.018474,0.414111,2.733453,-545.009027,2.084519
0.020000,21.233329,5.435067,0.027870,0.469810,2.784967,2.575698,2.085238
0.020000,21.228165,5.444195,0.038357,0.524325,2.725776,-2.959567,2.086045
0.020000,21.222447,5.454283,0.049953,0.579805,2.773997,2.411037,2.086942
0.020000,21.216178,5.465318,0.062645,0.634584,2.738940,-1.752842,2.087928
0.020000,21.209356,5.477297,0.076430,0.689282,2.734866,-0.203699,2.089006
0.020000,21.201978,5.490220,0.091311,0.744019,2.736885,0.100957,2.090178
0.020000,21.194037,5.504088,0.107291,0.799037,2.750897,0.700622,2.091445
0.020000,21.185535,5.518891,0.124363,0.853567,2.726484,-1.220672,2.092809
0.020000,21.176468,5.534626,0.142523,0.908010,2.722154,-0.216512,2.094272
0.020000,21.166834,5.551288,0.161769,0.962329,2.715934,-0.310979,2.095836
0.020000,21.156626,5.568876,0.182105,1.016799,2.723501,0.378341,2.097504
0.020000,21.145842,5.587384,0.203525,1.071002,2.710143,-0.667903,2.099279
0.020000,21.134480,5.606801,0.226023,1.124855,2.692682,-0.873074,2.101162
0.020000,21.122538,5.627119,0.249591,1.178404,2.677440,-0.762081,2.103157
0.020000,21.110002,5.648348,0.274244,1.232682,2.713921,1.824063,2.105268
0.020000,21.096879,5.670461,0.299958,1.285678,2.649787,-3.206726,2.107498
0.020000,21.083155,5.693467,0.326746,1.339429,2.687528,1.887052,2.109850
0.020000,21.068833,5.717344,0.354589,1.392140,2.635565,-2.598153,2.112328
0.020000,21.053902,5.742094,0.383495,1.445276,2.656800,1.061786,2.114938
0.020000,21.038357,5.767706,0.413455,1.498018,2.637121,-0.983955,2.117683
0.020000,21.022194,5.794167,0.444462,1.550331,2.615613,-1.075416,2.120569
0.020000,21.005407,5.821468,0.476511,1.602456,2.606254,-0.467926,2.123600
0.020000,20.987990,5.849599,0.509597,1.654330,2.593703,-0.627556,2.126783
0.020000,20.969935,5.878548,0.543715,1.705886,2.577816,-0.794377,2.130123
0.020000,20.951236,5.908301,0.578856,1.757055,2.558445,-0.968536,2.133627
0.020000,20.931889,5.938844,0.615012,1.807764,2.535442,-1.150171,2.137302
0.020000,20.911878,5.970172,0.652185,1.858684,2.545985,0.527171,2.141156
0.020000,20.891204,6.002259,0.690356,1.908525,2.492062,-2.696165,2.145197
0.020000,20.869855,6.035093,0.729519,1.958178,2.482686,-0.468786,2.149433
0.020000,20.847826,6.068654,0.769665,2.007279,2.455034,-1.382597,2.153874
0.020000,20.825104,6.102930,0.810788,2.056163,2.444195,-0.541963,2.158530
0.020000,20.801686,6.137894,0.852870,2.104103,2.397006,-2.359437,2.163411
0.020000,20.777560,6.173527,0.895902,2.151596,2.374639,-1.118338,2.168530
0.020000,20.752718,6.209807,0.939873,2.198530,2.346700,-1.396954,2.173898
0.020000,20.727149,6.246711,0.984768,2.244787,2.312843,-1.692840,2.179531
0.020000,20.700846,6.284211,1.030573,2.290241,2.272714,-2.006457,2.185441
0.020000,20.673801,6.322277,1.077268,2.334760,2.225950,-2.338210,2.191646
0.020000,20.646002,6.360882,1.124841,2.378638,2.193884,-1.603310,2.198162
0.020000,20.617439,6.399993,1.173272,2.421540,2.145096,-2.439392,2.205008
0.020000,20.588104,6.439575,1.222539,2.463352,2.090627,-2.723472,2.212203
0.020000,20.557990,6.479587,1.272617,2.503912,2.028000,-3.131316,2.219771
0.020000,20.527086,6.519993,1.323487,2.543473,1.978051,-2.497458,2.227734
0.020000,20.495382,6.560750,1.375123,2.581792,1.915942,-3.105438,2.236119
0.020000,20.462871,6.601812,1.427497,2.618709,1.845841,-3.505052,2.244955
0.020000,20.429545,6.643125,1.480576,2.653952,1.762163,-4.183889,2.254270
0.020000,20.395402,6.684632,1.534322,2.687285,1.666644,-4.775999,2.264099
0.020000,20.360431,6.726282,1.588706,2.719235,1.597490,-3.457687,2.274479
0.020000,20.324633,6.768004,1.643681,2.748733,1.474887,-6.130130,2.285447
0.020000,20.288003,6.809734,1.699207,2.776289,1.377827,-4.853027,2.297049
0.020000,20.250540,6.851399,1.755238,2.801557,1.263407,-5.720980,2.309332
0.020000,20.212246,6.892920,1.811721,2.824169,1.130594,-6.640665,2.322348
0.020000,20.173130,6.934208,1.868596,2.843739,0.978473,-7.606061,2.336151
0.020000,20.133200,6.975172,1.925802,2.860310,0.828547,-7.496275,2.350805
0.020000,20.092469,7.015714,1.983270,2.873412,0.655136,-8.670551,2.366375
0.020000,20.050955,7.055730,2.040931,2.883048,0.481806,-8.666497,2.382935
0.020000,20.008679,7.095109,2.098706,2.888709,0.283016,-9.939504,2.400563
0.020000,19.965677,7.133727,2.156503,2.889883,0.058703,-11.215673,2.419346
0.020000,19.921986,7.171460,2.214233,2.886474,-0.170437,-11.456999,2.439373
0.020000,19.877651,7.208174,2.271795,2.878138,-0.416786,-12.317404,2.460742
0.020000,19.832728,7.243733,2.329089,2.864673,-0.673275,-12.824496,2.483559
0.020000,19.787284,7.277994,2.386001,2.845603,-0.953511,-14.011793,2.507929
0.020000,19.741392,7.310813,2.442421,2.820999,-1.230173,-13.833067,2.533967
0.020000,19.695136,7.342046,2.498233,2.790615,-1.519197,-14.451200,2.561783
0.020000,19.648610,7.371551,2.553327,2.754676,-1.796954,-13.887874,2.591489
0.020000,19.601909,7.399195,2.607596,2.713461,-2.060744,-13.189478,2.623189
0.020000,19.555132,7.424855,2.660949,2.667640,-2.291086,-11.517102,2.656974
0.020000,19.508371,7.448425,2.713314,2.618276,-2.468194,-8.855431,2.692918
0.020000,19.461708,7.469817,2.764647,2.566614,-2.583093,-5.744935,2.731060
0.020000,19.415200,7.488967,2.814943,2.514839,-2.588748,-0.282736,2.771407
0.020000,19.368869,7.505836,2.864250,2.465314,-2.476218,5.626477,2.813911
0.020000,19.322689,7.520407,2.912674,2.421227,-2.204373,13.592236,2.858468
0.020000,19.276576,7.532679,2.960392,2.385911,-1.765799,21.928699,2.904901
0.020000,19.230378,7.542662,3.007657,2.363217,-1.134692,31.555384,2.952963
0.020000,19.183875,7.550359,3.054792,2.356753,-0.323191,40.575060,3.002330
0.020000,19.136786,7.555757,3.102190,2.369897,0.657169,49.017960,3.052616
0.020000,19.088779,7.558811,3.150294,2.405208,1.765572,55.420146,3.103380
0.020000,19.039498,7.559436,3.199579,2.464233,2.951267,59.284786,3.154154
0.020000,18.988590,7.557504,3.250523,2.547236,4.150102,59.941750,3.204462
0.020000,18.935730,7.552849,3.303587,2.653202,5.298337,57.411716,3.253851
0.020000,18.880649,7.545278,3.359186,2.779960,6.337867,51.976527,3.301908
0.020000,18.823146,7.534584,3.417675,2.924437,7.223857,44.299482,3.348283
0.020000,18.763098,7.520571,3.479337,3.083095,7.932934,35.453843,3.392694
0.020000,18.700456,7.503059,3.544381,3.252189,8.454693,26.087946,3.434936
0.020000,18.635239,7.481903,3.612944,3.428135,8.797280,17.129350,3.474873
0.020000,18.567642,7.457046,3.684965,3.601087,8.647615,-7.483227,3.512367
0.020000,18.498073,7.428566,3.760139,3.758677,7.879484,-38.406563,3.547279
0.020000,18.427108,7.396696,3.837931,3.889612,6.546777,-66.635340,3.579497
0.020000,18.355329,7.361762,3.917760,3.991439,5.091315,-72.773103,3.609007
0.020000,18.283160,7.324087,3.999171,4.070572,3.956665,-56.732481,3.635919
0.020000,18.210882,7.283962,4.081840,4.133429,3.142833,-40.691636,3.660407
0.020000,18.138656,7.241629,4.165558,4.185900,2.623579,-25.962689,3.682679
0.020000,18.066617,7.197324,4.250131,4.228639,2.136944,-24.331736,3.702926
0.020000,17.994877,7.151271,4.335380,4.262470,1.691527,-22.270870,3.721325
0.020000,17.923529,7.103682,4.421143,4.288139,1.283446,-20.404052,3.738037
0.020000,17.852646,7.054755,4.507272,4.306471,0.916611,-18.341743,3.753209
0.020000,17.782288,7.004673,4.593635,4.318137,0.583310,-16.665016,3.766971
0.020000,17.712499,6.953605,4.680113,4.323875,0.286889,-14.821068,3.779441
0.020000,17.643316,6.901709,4.766597,4.324215,0.017030,-13.492949,3.790726
0.020000,17.574764,6.849127,4.852992,4.319755,-0.223006,-12.001816,3.800921
0.020000,17.506863,6.795992,4.939212,4.311024,-0.436583,-10.678858,3.810110
0.020000,17.439624,6.742423,5.025182,4.298471,-0.627644,-9.553014,3.818371
0.020000,17.373056,6.688532,5.110829,4.282380,-0.804558,-8.845726,3.825770
0.020000,17.307162,6.634420,5.196094,4.263242,-0.956894,-7.616811,3.832371
0.020000,17.241944,6.580179,5.280920,4.241308,-1.096678,-6.989191,3.838227
0.020000,17.177400,6.525894,5.365258,4.216863,-1.222277,-6.279930,3.843390
0.020000,17.113526,6.471644,5.449061,4.190153,-1.335455,-5.658907,3.847903
0.020000,17.050318,6.417501,5.532288,4.161367,-1.439308,-5.192671,3.851807
0.020000,16.987769,6.363529,5.614904,4.130786,-1.529080,-4.488601,3.855139
0.020000,16.925873,6.309789,5.696873,4.098484,-1.615090,-4.300472,3.857931
0.020000,16.864624,6.256337,5.778167,4.064674,-1.690474,-3.769204,3.860215
0.020000,16.804013,6.203224,5.858757,4.029481,-1.759679,-3.460270,3.862018
0.020000,16.744033,6.150497,5.938617,3.993018,-1.823121,-3.172072,3.863364
0.020000,16.684677,6.098200,6.017725,3.955397,-1.881081,-2.898032,3.864276
0.020000,16.625939,6.046374,6.096059,3.916704,-1.934651,-2.678499,3.864777
0.020000,16.567811,5.995054,6.173600,3.877042,-1.983075,-2.421193,3.864884
0.020000,16.510286,5.944276,6.250329,3.836473,-2.028445,-2.268478,3.864616
0.020000,16.453361,5.894072,6.326231,3.795063,-2.070511,-2.103311,3.863990
0.020000,16.397028,5.844470,6.401288,3.752879,-2.109180,-1.933460,3.863021
