dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,23.007804,6.400751,0.000198,0.019837,0.991833,49.591647,2.081821
0.020000,23.007777,6.400800,0.000255,0.002809,-0.851375,-92.160384,2.081877
0.020000,23.007715,6.400910,0.000381,0.006323,0.175669,51.352175,2.082002
0.020000,23.007612,6.401094,0.000592,0.010543,0.211047,1.768906,2.082211
0.020000,23.007467,6.401352,0.000887,0.014773,0.211491,0.022194,2.082503
0.020000,23.007281,6.401684,0.001268,0.019016,0.212113,0.031124,2.082880
0.020000,23.005973,6.404008,0.003934,0.133340,5.716220,275.205363,2.083341
0.020000,23.001905,6.411234,0.012227,0.414628,14.064384,417.408157,2.083887
0.020000,22.997210,6.419560,0.021785,0.477912,3.164234,-545.007459,2.084519
0.020000,22.991875,6.429007,0.032635,0.542483,3.228531,3.214804,2.085238
0.020000,22.985909,6.439552,0.044751,0.605797,3.165723,-3.140387,2.086045
0.020000,22.979297,6.451216,0.058158,0.670351,3.227691,3.098422,2.086942
0.020000,22.972044,6.463984,0.072843,0.734235,3.194180,-1.675579,2.087928
0.020000,22.964144,6.477856,0.088806,0.798179,3.197214,0.151696,2.089006
0.020000,22.955593,6.492833,0.106053,0.862341,3.208103,0.544456,2.090178
0.020000,22.946380,6.508923,0.124593,0.927016,3.233765,1.283139,2.091445
0.020000,22.936506,6.526116,0.144420,0.991331,3.215733,-0.901606,2.092809
0.020000,22.925964,6.544411,0.165535,1.055769,3.221872,0.306952,2.094272
0.020000,22.914748,6.563808,0.187941,1.120304,3.226763,0.244513,2.095836
0.020000,22.902848,6.584310,0.211647,1.185278,3.248727,1.098221,2.097504
0.020000,22.890260,6.605915,0.236651,1.250226,3.247389,-0.066883,2.099279
0.020000,22.876977,6.628616,0.262953,1.315073,3.242319,-0.253527,2.101162
0.020000,22.862993,6.652408,0.290551,1.379891,3.240947,-0.068588,2.103157
0.020000,22.848288,6.677309,0.319469,1.445921,3.301477,3.026505,2.105268
0.020000,22.832867,6.703295,0.349686,1.510828,3.245366,-2.805563,2.107498
0.020000,22.816709,6.730382,0.381226,1.577033,3.310238,3.243584,2.109850
0.020000,22.799812,6.758552,0.414076,1.642455,3.271114,-1.956179,2.112328
0.020000,22.782157,6.787816,0.448253,1.708852,3.319818,2.435220,2.114938
0.020000,22.763735,6.818168,0.483758,1.775292,3.322036,0.110862,2.117683
0.020000,22.744534,6.849604,0.520594,1.841769,3.323834,0.089927,2.120569
0.020000,22.724540,6.882121,0.558766,1.908609,3.341989,0.907765,2.123600
0.020000,22.703738,6.915718,0.598282,1.975779,3.358500,0.825503,2.126783
0.020000,22.682112,6.950391,0.639146,2.043245,3.373320,0.741015,2.130123
0.020000,22.659647,6.986138,0.681366,2.110973,3.386410,0.654506,2.133627
0.020000,22.636327,7.022952,0.724944,2.178928,3.397734,0.566217,2.137302
0.020000,22.612125,7.060841,0.769904,2.247978,3.452493,2.737946,2.141156
0.020000,22.587030,7.099789,0.816237,2.316628,3.432499,-0.999687,2.145197
0.020000,22.561017,7.139797,0.863957,2.386022,3.469676,1.858826,2.149433
0.020000,22.534066,7.180857,0.913073,2.455789,3.488364,0.934411,2.153874
0.020000,22.506147,7.222972,0.963601,2.526422,3.531676,2.165601,2.158530
0.020000,22.477242,7.266129,1.015544,2.597117,3.534711,0.151741,2.163411
0.020000,22.447319,7.310323,1.068915,2.668575,3.572908,1.909867,2.168530
0.020000,22.416350,7.355552,1.123730,2.740765,3.609511,1.830137,2.173898
0.020000,22.384302,7.401807,1.180003,2.813654,3.644473,1.748081,2.179531
0.020000,22.351142,7.449082,1.237748,2.887210,3.677761,1.664388,2.185441
0.020000,22.316838,7.497364,1.296976,2.961397,3.709358,1.579872,2.191646
0.020000,22.281347,7.546649,1.357710,3.036738,3.767068,2.885513,2.198162
0.020000,22.244628,7.596928,1.419970,3.112975,3.811858,2.239475,2.205008
0.020000,22.206638,7.648188,1.483773,3.190141,3.858303,2.322282,2.212203
0.020000,22.167332,7.700414,1.549137,3.268220,3.903946,2.282144,2.219771
0.020000,22.126656,7.753597,1.616092,3.347762,3.977070,3.656177,2.227734
0.020000,22.084552,7.807723,1.684666,3.428694,4.046634,3.478201,2.236119
0.020000,22.040960,7.862776,1.754888,3.511076,4.119099,3.623256,2.244955
0.020000,21.995820,7.918736,1.826784,3.594838,4.188078,3.448974,2.254270
0.020000,21.949064,7.975576,1.900384,3.679976,4.256899,3.441020,2.264099
0.020000,21.900610,8.033282,1.975736,3.767575,4.379970,6.153558,2.274479
0.020000,21.850383,8.091819,2.052867,3.856561,4.449299,3.466465,2.285447
0.020000,21.798292,8.151161,2.131828,3.948078,4.575835,6.326788,2.297049
0.020000,21.744239,8.211275,2.212671,4.042132,4.702694,6.342934,2.309332
0.020000,21.688120,8.272122,2.295446,4.138731,4.829959,6.363241,2.322348
0.020000,21.629826,8.333650,2.380203,4.237887,4.957776,6.390851,2.336151
0.020000,21.569233,8.395809,2.467009,4.340295,5.120426,8.132502,2.350805
0.020000,21.506211,8.458536,2.555928,4.445941,5.282284,8.092904,2.366375
0.020000,21.440610,8.521765,2.647040,4.555576,5.481775,9.974579,2.382935
0.020000,21.372275,8.585413,2.740424,4.669211,5.681750,9.998740,2.400563
0.020000,21.301043,8.649378,2.836161,4.786847,5.881776,10.001307,2.419346
0.020000,21.226732,8.713548,2.934344,4.909162,6.115769,11.699641,2.439373
0.020000,21.149149,8.777790,3.035072,5.036424,6.363116,12.367360,2.460742
0.020000,21.068085,8.841949,3.138454,5.169086,6.633083,13.498347,2.483559
0.020000,20.983328,8.905839,3.244594,5.306979,6.894662,13.078922,2.507929
0.020000,20.894650,8.969245,3.353608,5.450713,7.186699,14.601894,2.533967
0.020000,20.801823,9.031911,3.465608,5.599981,7.463388,13.834442,2.561783
0.020000,20.704616,9.093541,3.580706,5.754895,7.745692,14.115177,2.591489
0.020000,20.602807,9.153790,3.699006,5.915010,8.005739,13.002375,2.623189
0.020000,20.496190,9.212257,3.820601,6.079777,8.238377,11.631871,2.656974
0.020000,20.384590,9.268490,3.945568,6.248350,8.428636,9.512962,2.692918
0.020000,20.267886,9.321972,4.073944,6.418774,8.521187,4.627574,2.731060
0.020000,20.146013,9.372133,4.205736,6.589600,8.541294,1.005327,2.771407
0.020000,20.019003,9.418355,4.340894,6.757927,8.416365,-6.246447,2.813911
0.020000,19.886990,9.459985,4.479316,6.921097,8.158480,-12.894277,2.858468
0.020000,19.750240,9.496360,4.620821,7.075233,7.706832,-22.582368,2.904901
0.020000,19.609154,9.526831,4.765160,7.216971,7.086883,-30.997438,2.952963
